current_profile_backbone,mass_MeV,datasets_three,observed_three_ee,observed_three_minimal,scale_three,projected_three_minimal,density_2015,density_2016,density_2021,dimuon_factor,archived_three_ee,parent_replay_relative_error,three_cls,three_max_score,datasets_four,density_2019,observed_four_ee,observed_four_minimal,scale_four,projected_four_minimal,max_score,cls,standalone_2019_replay_ratio,standalone_2019_ee,covariance_load_2019
True,19,2015,6.028734241924968e-06,6.028734241924968e-06,1,6.028734241924968e-06,282453695.05657673,0,0,1,6.0287203111420068e-06,2.3107363158469951e-06,0.099999993019272759,1.2038992536211879e-07,2015,0,6.028734241924968e-06,6.028734241924968e-06,1,6.028734241924968e-06,,,,,
True,20,2015,1.3247666203503552e-05,1.3247666203503552e-05,1,1.3247666203503552e-05,379153831.15514982,0,0,1,1.3250739100729953e-05,-0.00023190383593252317,0.10000000000103,9.9073353965195565e-09,2015,0,1.3247666203503552e-05,1.3247666203503552e-05,1,1.3247666203503552e-05,,,,,
True,21,2015,2.629410197943599e-05,2.629410197943599e-05,1,2.629410197943599e-05,472707141.1161992,0,0,1,2.62940119494728e-05,3.4239720954065689e-06,0.099999999999890066,1.516903833653771e-07,2015,0,2.629410197943599e-05,2.629410197943599e-05,1,2.629410197943599e-05,,,,,
True,22,2015,1.686584019318706e-05,1.686584019318706e-05,1,1.686584019318706e-05,557319166.63764083,0,0,1,1.6849498786461963e-05,0.00096984527149412969,0.099999999971338058,1.0432189978537565e-07,2015,0,1.686584019318706e-05,1.686584019318706e-05,1,1.686584019318706e-05,,,,,
True,23,2015,5.9678548174185554e-06,5.9678548174185554e-06,1,5.9678548174185554e-06,630016895.05618083,0,0,1,5.9671222119670213e-06,0.00012277366300028625,0.10000000397277244,1.2816436134599485e-07,2015,0,5.9678548174185554e-06,5.9678548174185554e-06,1,5.9678548174185554e-06,,,,,
True,24,2015,5.0838747095335911e-06,5.0838747095335911e-06,1,5.0838747095335911e-06,691123382.26357746,0,0,1,5.0861911376302358e-06,-0.00045543473179887606,0.099999999948115301,6.7131151082477913e-08,2015,0,5.0838747095335911e-06,5.0838747095335911e-06,1,5.0838747095335911e-06,,,,,
True,25,2015,6.9818534230279209e-06,6.9818534230279209e-06,1,6.9818534230279209e-06,738967301.35860789,0,0,1,6.9821181425801129e-06,-3.7913931959621117e-05,0.099999999926916133,7.33293250565481e-08,2015,0,6.9818534230279209e-06,6.9818534230279209e-06,1,6.9818534230279209e-06,,,,,
True,26,2015,8.5048480894996441e-06,8.5048480894996441e-06,1,8.5048480894996441e-06,775313630.78009474,0,0,1,8.504925358416046e-06,-9.085196300495646e-06,0.10000000000000349,1.7195232948630235e-07,2015,0,8.5048480894996441e-06,8.5048480894996441e-06,1,8.5048480894996441e-06,,,,,
True,27,2015,7.7211727382211534e-06,7.7211727382211534e-06,1,7.7211727382211534e-06,800922607.86220157,0,0,1,7.7211668935564625e-06,7.5696650148060485e-07,0.10000000000005416,1.2355302869693219e-07,2015,0,7.7211727382211534e-06,7.7211727382211534e-06,1,7.7211727382211534e-06,,,,,
True,28,2015,7.5028303441331014e-06,7.5028303441331014e-06,1,7.5028303441331014e-06,816392166.02914727,0,0,1,7.5277366317360169e-06,-0.0033086024154874716,0.10000000000018797,1.3821695166171821e-07,2015,0,7.5028303441331014e-06,7.5028303441331014e-06,1,7.5028303441331014e-06,,,,,
