scenario,lane,region,region_lo,region_hi,k,selection,mass_MeV,sigma_MeV,A_hat,sigma_A,r,Z,p0,max_score,min_background,min_lambda,cov_load,rank,cov_load_over_poisson,feature_rank,prior_max_abs_error,prior_relative_error,prior_min_eigenvalue,target_Z,source_Z,source_Ahat,source_sigmaA,naive_scaled_yield,naive_yield_asimov_Z,background_asimov_Z,injected_yield,matched_to_naive_yield_ratio,matched_asimov_Z,matched_asimov_Ahat,asimov_recovery_fraction,expected_signal_fitwindow,expected_background_fitwindow,peak_signal_to_background,toy_count,Z_median,Z_q16,Z_q84,Z_min,Z_max,Z_region_max_median,Z_region_max_max,n_fixed_above3,n_fixed_above5,n_mass_points,seed_key,counts_sha256
one_120,one,120,111,132,100,requested regional maximum,121,2.9391708749999998,1611.767350303521,1349.8841014671552,1.194303556960703,1.194303556960703,0.1161796233791931,1.9433495015985791e-07,4133513.0545337531,4133572.316099151,1e-10,5,1.1328336934416868e-11,23,8.5265128291212022e-13,2.0262119532455231e-14,-6.4929213209394291e-13,11.94303556960703,1.194303556960703,1611.767350303521,1349.8841014671552,161176.73503035211,11.130695251513158,0.0032676240006391157,172948.77700608407,1.0730380968042013,11.943035569601216,170008.04308653998,0.9829965035286683,169605.58797405183,120058899.94768466,0.0026935435637602473,20,11.911193611606954,11.127717235608587,12.793190753847856,9.2228929888647109,13.042793421287524,11.911193611606954,13.042793421287524,20,20,11,121000,8ecf695fae327aecb8dc2de1d55ac2783b667439a08187b3ae074bc39029d9ce
one_160,one,160,148,177,100,requested regional maximum,148,3.5257560000000003,1534.4128169593057,1047.1863314793825,1.4658568483287784,1.4658568483287784,0.071343644962931496,1.9954012042688873e-07,1856079.1920395391,1856079.1920395391,1e-10,5,9.4240248931889577e-12,23,2.3092638912203256e-12,5.698245865908772e-14,-2.4870315153594449e-13,14.658568483287784,1.4658568483287784,1534.4128169593057,1047.1863314793823,153441.28169593058,13.590316336622573,0.047040281143234004,165553.28137708793,1.0789357306409841,14.658568483261311,162072.21631864028,0.97897314369433319,161097.01023901711,69344428.375285164,0.0042380944028042964,20,15.033986427753332,13.955414934355202,15.530307556351945,12.9057506411941,16.53132879488254,15.033986427753332,16.53132879488254,20,20,15,148000,c6df3228345073a78f4b6dde233299eace71a3db57b659f913962969c2d68cc7
one_210,one,210,198,223,100,requested regional maximum,203,5.1079478750000007,1052.2567424442625,624.22130083662171,1.6869752865895371,1.6869752865895371,0.045804052039312697,1.9957125729774816e-07,341515.76139966119,341515.76139966119,1e-10,5,9.2733160568770621e-12,23,1.7763568394002505e-12,4.2595097790207455e-14,-3.76107198210369e-13,16.869752865895371,1.6869752865895373,1052.2567424442623,624.22130083662171,105225.67424442622,15.502949872407926,0.059778180065161397,114553.50741985929,1.0886459815288583,16.869752865936526,112270.06658035425,0.98006660039543081,111839.63984296451,23647830.853078637,0.0089296551854112453,20,17.09209542569905,16.430545632022771,18.134343391415435,16.067335011995031,19.015748222058214,17.09209542569905,19.015748222058214,20,20,21,203000,afbebd52afc03d023f2e68c41f8f0314cb51ad67a9d8f42ac0b723a404762f87
one_65,one,65,60,70,100,requested regional maximum,66,2.1315715000000002,4577.4875281311643,1753.2088355824981,2.6118531324347516,2.6118531324347516,0.0045026465561719001,2.8423351478013004e-07,5745575.6878957357,5745575.6878957357,1e-10,6,3.5475384733273577e-11,22,1.3642420526593924e-12,3.5092262163619447e-14,-6.7466794428177153e-13,26.118531324347515,2.6118531324347516,4577.4875281311643,1753.2088355824981,457748.75281311641,23.432705370990782,0.12746591696990231,510569.94738044526,1.1153934210474932,26.118531324296576,500581.14302667411,0.98043597276921568,500873.18338076468,140220917.3115018,0.0066960104581876593,20,25.621597738957384,24.933302166917979,26.824371942590368,24.251445376234567,27.791447399465241,25.621597738957384,27.791447399465241,20,20,9,66000,5c9b6277b79c6b26d695d0f81f309219f0e63d0bf898ac1a7288e61647a106e7
one_75,one,75,71,83,100,requested regional maximum,82,2.3129235000000001,2749.5670335727705,1795.3501479192353,1.5318354770637894,1.5318354770637894,0.062781519501081795,1.9939718542971718e-07,9313901.4076826628,9313901.4076826628,1e-10,5,1.9399049265431579e-11,23,1.7550405573274477e-12,4.3157709337952573e-14,-6.0789350996837946e-13,15.318354770637894,1.5318354770637894,2749.5670335727705,1795.3501479192353,274956.70335727703,13.99254209552017,0.068993757378422074,301153.76861074107,1.0952770561095349,15.318354770714288,295191.08019470633,0.98020051868007052,294626.66276427009,170892344.71471161,0.0032059758051100297,20,15.540436363329526,14.250995625884853,16.469176776616855,13.83813295408698,17.916969097770345,15.540436363329526,17.916969097770345,20,20,9,82000,5969de133a639a944ba2989482aa777c84df3c6332dfa514a2c97ae8a69f7e0c
one_92,one,92,86,99,100,requested regional maximum,86,2.3651314999999999,1512.92170640734,1757.4653789013942,0.86096606830263533,0.86096606830263533,0.1946283658197841,1.5592997071323111e-07,8880586.9827314001,8880586.9827314001,1e-10,5,1.8354812817909507e-11,23,1.5702994460298214e-12,3.8085012569868215e-14,-6.4957526184067479e-13,8.6096606830263536,0.86096606830263533,1512.92170640734,1757.4653789013942,151292.170640734,7.9899591484843029,0.08727956936666198,163159.77497355061,1.0784416290846803,8.6096606829845665,161829.48552609756,0.99184670702280209,160322.0162193689,176122261.42090046,0.0017367859109298619,20,8.8577785300027614,7.7699071507561177,9.9189500114752818,6.620517171128526,10.446055482877734,8.8577785300027614,10.446055482877734,20,20,9,86000,b08f8747a34b446099af41018fc1dfd2a2905d7c1c75b436f913331ed64fe3be
one_extra145,one,extra 145,140,150,100,additional top-six 1% local maximum; distinct grid location,145,3.4543968749999996,1876.401095328662,1083.9178966488157,1.7319146163799839,1.7319146163799839,0.041644382964071101,1.9908331072571173e-07,2085295.6001559391,2085393.559578717,1e-10,5,1.0000278054810811e-11,23,4.2490455598453991e-12,1.0739603867090437e-13,-2.6536604974638074e-13,17.319146163799843,1.7319146163799841,1876.401095328662,1083.9178966488155,187640.10953286619,16.074218078561646,0.035939949756423263,202217.67921262214,1.0776889851324809,17.319146163839065,198272.82250592319,0.98049202857999807,197416.14676705204,75281385.560654014,0.004871522276815231,20,16.98240138231732,16.776810200680274,17.762587726171173,15.09238909554144,18.771326260841157,16.98240138231732,18.771326260841157,20,20,13,145000,0f0dc2e717c14fdfa2b84b2d0ccc2917835333b6bacc53d622f79823054edb2c
one_extra244,one,extra 244,239,249,100,additional top-six 1% local maximum; distinct grid location,244,6.6254039999999996,1256.0707018186615,439.70390602014282,2.8613727017142341,2.8613727017142341,0.0021090542984597001,1.8965649939417517e-07,104783.27055167481,105039.83493611218,1e-10,6,1.374530056638689e-11,24,2.330580173293129e-12,6.2227065794438374e-14,-6.212990491003245e-13,28.613727017142345,2.8613727017142341,1256.0707018186617,439.70390602014282,125607.07018186618,25.313475773157428,0,142063.51661345933,1.1310152876567052,28.613727017135862,137708.04960909236,0.96934141074222624,138711.08664076834,9598751.0239545181,0.028031948230620177,20,28.482522738892587,27.310128511376458,29.448320263998006,26.98842919116494,30.297143585331096,28.482522738892587,30.297143585331096,20,20,20,244000,7fb2ab563b36cd7ffe7958f0611f7e7ab2e5ced0bb4eea0ce1981236e7c94ed5
one_extra84,one,extra 84,79,89,100,additional top-six 1% local maximum; distinct grid location,84,2.3386840000000002,2702.3597968933177,1763.6615727888045,1.5325976584419507,1.5325976584419507,0.062687509398514696,1.9935589889996663e-07,9102412.3201143108,9102412.3201143108,1e-10,5,1.7728986005994994e-11,23,1.2789769243681805e-12,3.1080595250782831e-14,-6.9855051007242289e-13,15.325976584419507,1.5325976584419507,2702.3597968933177,1763.6615727888045,270235.97968933178,14.04615238908144,0.087993366980574125,295028.17640010919,1.0917427677072422,15.325976584383906,289079.6328668457,0.97983737144754524,288079.09068457596,169032890.07067639,0.0031336550039532565,20,15.569966773702189,14.750751670077168,16.651515294680134,14.004512900393498,17.049499610877341,15.569966773702189,17.049499610877341,20,20,9,84000,466fd501396b47579b50185fdaa96b0c44dd874f71f6559691f52b3d940911cb
ten_120,ten,120,111,132,10,requested regional maximum,123,2.9783278750000002,5892.3727602327708,4984.4634376516588,1.1822202271944209,1.1822202271944209,0.1185591643706386,1.4336835274519899e-08,4450215.8594000814,4450463.2416942539,1e-10,5,1.8891610150856328e-11,26,1.8403056856186595e-12,3.6251995254419397e-14,-1.0516836777373437e-12,3.7385086138561023,1.1822202271944207,5892.3727602327708,4984.4634376516588,58923.727602327708,3.6396238312751796,0.099175583550122751,60569.727409637235,1.0279344141025542,3.7385086138261663,60800.705490571687,1.0038134244747765,59292.121964572376,129904520.66246998,0.00086386626978893774,20,3.5058482314321826,2.8867210350475228,4.6339830548911864,2.3366884963578474,4.9169787344208338,3.5463543945950828,4.9687541613933082,15,0,11,1123000,8c22bc663f67f01989a8fc59ff7480bdfb040d2ecc5429ed0a98420a864dbb78
