mass_MeV,A90,Ahat,Ahat_bounded,sigma_A,signed_r,Z0,p0_fixed_mass,p_signed,cls,q_obs,q_asimov,cls_branch,max_score,max_iterations,boundary_fits,min_lambda,min_background,n_profiles,n_cls_evaluations,monotonicity_error,nll_null,nll_free,n_bins,nuisance_rank,zero_bins,ok,status,calibration,cov_load,cov_load_over_poisson,prior_relative_error,feature_rank,density_observed,K_counts_per_epsilon2,branching_factor,epsilon2_90,epsilon2_90_fixed_density
50,43643.539075947556,20677.288850894292,20677.288850894292,17033.118906946835,1.2139516777395218,1.2139516777395218,0.11238308862723545,0.11238308862723545,0.10000000003250704,1.8179729628174448,6.5694598419145649,interior,1.929610533579762e-07,3,0,1019810.762596079,1018931.770096215,16,7,0,1.1166516349364273,0.37981229699312735,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,7.4154788514084598e-10,7.6480773804979175e-14,25,4326271219.4025536,6661374108.7238255,1,6.5517321747162328e-06,6.5517321747162328e-06
51,34793.767780653761,8714.3911808416051,8714.3911808416051,17581.938310006117,0.49564602521382028,0.49564602521382028,0.31007208717627566,0.31007208717627566,0.099999999338377221,2.2001533624918737,3.9168342196644068,interior,1.6425284865562162e-07,2,0,1410582.5016931803,1409594.2278893504,20,9,0,0.22505987632832747,0.10222738517319797,14,7,0,True,converged,fixed-mass asymptotic reference,1e-10,4.3350893796449082e-10,2.2271174763555241e-14,26,5058466641.4667559,7944547104.5531111,1,4.3795785112423912e-06,4.3795785112423912e-06
52,31986.538431662455,-182.83659192487465,0,19514.325304088539,-0.0093693510876452467,0,0.5,0.50373777560209709,0.10000000000208956,2.7174309107180603,2.6867056612304996,deficit,9.1182452255367252e-08,2,0,1634366.709104276,1633723.1968643861,22,10,0,0.06413899876277486,0.06409510639287308,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,5.5998990911868854e-10,7.3798648620803293e-14,26,5824474417.177043,9326961060.9988766,1,3.42947056629363e-06,3.42947056629363e-06
53,29914.711589780458,-4547.4933392281273,0,19804.127377488658,-0.22962320787714913,0,0.5,0.59080771429140311,0.099999999999632674,2.9753430756077037,2.281494732876526,deficit,7.4650993164837587e-08,2,0,2130622.5008617011,2129760.6431941912,22,10,0,0.081575506242531917,0.055212097444635698,14,7,0,True,converged,fixed-mass asymptotic reference,1e-10,3.3784384928263566e-10,5.371088037930954e-14,26,6625407743.9651327,10813556619.358562,1,2.7664081895337534e-06,2.7664081895337534e-06
54,29281.959139825445,-7444.2452907304742,0,20375.99032505884,-0.3653431410478078,0,0.5,0.64257236059092226,0.099999999817820456,3.1151889140667697,2.064941038133278,deficit,2.9142550594940531e-08,2,0,2681689.7065823805,2680541.519816698,22,10,0,0.10479155029684467,0.038053744941505492,14,7,0,True,converged,fixed-mass asymptotic reference,1e-10,2.7692686677817355e-10,6.8034219651214427e-14,26,7430716129.9246845,12356757061.456688,1,2.3697122954016797e-06,2.3697122954016797e-06
55,28417.662087703153,-11234.194987438397,0,21025.110740530505,-0.5343212829865277,0,0.5,0.70344036510972197,0.099999999867989839,3.2711584098280073,1.8264875518693986,deficit,2.2700715973655861e-08,2,0,2973360.0696005169,2972534.204936258,18,8,0,0.22544129725245954,0.082691680526275013,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,2.9974567409559607e-10,3.9314340180516574e-14,26,8260727924.9260912,13991397201.053223,1,2.0310810764177269e-06,2.0310810764177269e-06
56,30836.744070509383,-6735.8295172001845,0,21098.8586264683,-0.31925020056193976,0,0.5,0.62523160377720477,0.099999998724263225,3.0692046721871478,2.1358775069197895,deficit,1.2334172350136896e-08,2,0,3581558.9886730839,3580480.7173447111,20,9,0,0.082802159097141725,0.031841813817722345,14,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.9813678279393606e-10,6.7770489748335308e-14,26,9084779442.5631638,15666879137.313002,1,1.9682761193368177e-06,1.9682761193368177e-06
57,34266.222872004517,-3700.7062073875786,0,22165.571933210507,-0.16695724369004014,0,0.5,0.56629815438258091,0.10000000000002711,2.9060221250761051,2.3897085388701642,deficit,1.8851900929206522e-08,2,0,3895178.4828215693,3894392.064235501,22,10,0,0.05283158456487818,0.038894223954590454,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,2.3129835475119506e-10,6.9647507975167257e-14,26,9905575596.0294819,17387400203.453041,1,1.9707502255109671e-06,1.9707502255109671e-06
58,36551.155333992036,-736.19218427052544,0,22493.937838000198,-0.032728464262868191,0,0.5,0.51305443757683944,0.10000000000114581,2.7467180888733709,2.6403513232841274,deficit,9.6022021223163279e-08,2,0,4535800.0379492044,4534756.9945594557,22,10,0,0.040791691868872673,0.040256115682369753,15,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.9686262244558326e-10,6.6382081545329006e-14,26,10724660070.575382,19155416843.578896,1,1.9081367757467714e-06,1.9081367757467714e-06
59,40491.764613081141,3488.571130890964,3488.571130890964,23277.455324354007,0.14986922156176288,0.14986922156176288,0.44043389752643519,0.44043389752643519,0.10000000000013161,2.5269668388833217,3.0259903990743657,interior,2.623591499606448e-08,2,0,4860626.6540301358,4859842.6961133108,22,10,0,0.031567770988225906,0.020337379202461519,15,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.8961138702573091e-10,8.9537522824141359e-14,26,11518095637.774019,20927279267.332829,1,1.9348795462527318e-06,1.9348795462527318e-06
