mass_MeV,published_2016_eps2,mass_GeV
39.0,3.6e-05,0.039
40.0,3.4e-05,0.04
41.0,3.1e-05,0.041
42.0,2.9e-05,0.042
43.0,2.6e-05,0.043
44.0,2.2e-05,0.044
45.0,2.5e-05,0.045
46.0,2.3e-05,0.046
47.0,2.7e-05,0.047
48.0,2.5e-05,0.048
49.0,1.4e-05,0.049
50.0,1.4e-05,0.05
51.0,1.1e-05,0.051
52.0,1.6e-05,0.052
53.0,1.9e-05,0.053
54.0,2e-05,0.054
55.0,1.6e-05,0.055
56.0,1.3e-05,0.056
57.0,1.1e-05,0.057
58.0,9e-06,0.058
59.0,8e-06,0.059
60.0,1.4e-05,0.06
61.0,1.7e-05,0.061
62.0,1.4e-05,0.062
63.0,1.3e-05,0.063
64.0,8e-06,0.064
65.0,6e-06,0.065
66.0,7e-06,0.066
67.0,7e-06,0.067
68.0,1.5e-05,0.068
69.0,1.8e-05,0.069
70.0,1.6e-05,0.07
71.0,1.4e-05,0.071
72.0,1.1e-05,0.072
73.0,5e-06,0.073
74.0,5e-06,0.074
75.0,6e-06,0.075
76.0,7e-06,0.076
77.0,8e-06,0.077
78.0,1.6e-05,0.078
79.0,2e-05,0.079
80.0,2.4e-05,0.08
81.0,1.9e-05,0.081
82.0,2e-05,0.082
83.0,1.7e-05,0.083
84.0,1e-05,0.084
85.0,7e-06,0.085
86.0,7e-06,0.086
87.0,7e-06,0.087
88.0,8e-06,0.088
89.0,1.6e-05,0.089
90.0,1.9e-05,0.09
91.0,2.2e-05,0.091
92.0,2.8e-05,0.092
93.0,3e-05,0.093
94.0,3.2e-05,0.094
95.0,1.9e-05,0.095
96.0,1.5e-05,0.096
97.0,1e-05,0.097
98.0,8e-06,0.098
99.0,8e-06,0.099
100.0,7e-06,0.1
101.0,8e-06,0.101
102.0,7e-06,0.102
103.0,8e-06,0.103
104.0,1e-05,0.104
105.0,1.4e-05,0.105
106.0,1.2e-05,0.106
107.0,1.1e-05,0.107
108.0,1.3e-05,0.108
109.0,1.1e-05,0.109
110.0,1.2e-05,0.11
111.0,1.6e-05,0.111
112.0,1.5e-05,0.112
113.0,2e-05,0.113
114.0,2.4e-05,0.114
115.0,3.1e-05,0.115
116.0,3.2e-05,0.116
117.0,3.3e-05,0.117
118.0,2.6e-05,0.118
119.0,2.6e-05,0.119
120.0,2.5e-05,0.12
121.0,2.5e-05,0.121
122.0,1.4e-05,0.122
123.0,1.5e-05,0.123
124.0,1.7e-05,0.124
125.0,1.7e-05,0.125
126.0,1.5e-05,0.126
127.0,1.7e-05,0.127
128.0,2e-05,0.128
129.0,1.9e-05,0.129
130.0,2.7e-05,0.13
131.0,2.8e-05,0.131
132.0,2.8e-05,0.132
133.0,2.7e-05,0.133
134.0,2.6e-05,0.134
135.0,3.1e-05,0.135
136.0,2.5e-05,0.136
137.0,2.4e-05,0.137
138.0,2.4e-05,0.138
139.0,2.2e-05,0.139
140.0,1.9e-05,0.14
141.0,2.1e-05,0.141
142.0,2.2e-05,0.142
143.0,1.9e-05,0.143
144.0,2e-05,0.144
145.0,1.9e-05,0.145
146.0,1.8e-05,0.146
147.0,1.8e-05,0.147
148.0,1.8e-05,0.148
149.0,1.9e-05,0.149
150.0,1.7e-05,0.15
151.0,1.9e-05,0.151
152.0,1.8e-05,0.152
153.0,1.8e-05,0.153
154.0,2e-05,0.154
155.0,2.5e-05,0.155
156.0,3.3e-05,0.156
157.0,3e-05,0.157
158.0,3.3e-05,0.158
159.0,3.4e-05,0.159
160.0,2.9e-05,0.16
161.0,3.4e-05,0.161
162.0,4e-05,0.162
163.0,5.3e-05,0.163
164.0,4.9e-05,0.164
165.0,4.9e-05,0.165
166.0,5.2e-05,0.166
167.0,4.6e-05,0.167
168.0,4.5e-05,0.168
169.0,4.5e-05,0.169
170.0,4e-05,0.17
171.0,3.8e-05,0.171
172.0,3.6e-05,0.172
173.0,3.3e-05,0.173
174.0,3.7e-05,0.174
175.0,3.2e-05,0.175
176.0,3.7e-05,0.176
177.0,4.2e-05,0.177
178.0,4.4e-05,0.178
179.0,4.7e-05,0.179
