dataset_set,mass_GeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,cls_alpha,eps2_obs,p0_analytic,Z_analytic,eps2_lo2,eps2_lo1,eps2_med,eps2_hi1,eps2_hi2,eps2_mean,ul_eps2_obs,toy_eps2_uls_q02,toy_eps2_uls_q16,toy_eps2_uls_q50,toy_eps2_uls_q84,toy_eps2_uls_q97,toy_eps2_uls_mean,p_strong,p_weak,p_two,meta,cls_statistic,cls_calibration,combined_mode,global_method,bands_refit_gp_on_toy,bands_train_exclude_nsigma,bands_refit_restarts,bands_refit_optimize,bandfix_applied,bandfix_note,mass_MeV,dimuon_threshold_GeV,dimuon_threshold_MeV,N_eff_dimuon,BR_ee_minimal,eps2_obs_ee_channel,eps2_obs_dimuon,eps2_lo2_ee_channel,eps2_lo2_dimuon,eps2_lo1_ee_channel,eps2_lo1_dimuon,eps2_med_ee_channel,eps2_med_dimuon,eps2_hi1_ee_channel,eps2_hi1_dimuon,eps2_hi2_ee_channel,eps2_hi2_dimuon,eps2_mean_ee_channel,eps2_mean_dimuon,ul_eps2_obs_ee_channel,ul_eps2_obs_dimuon,toy_eps2_uls_q02_ee_channel,toy_eps2_uls_q02_dimuon,toy_eps2_uls_q16_ee_channel,toy_eps2_uls_q16_dimuon,toy_eps2_uls_q50_ee_channel,toy_eps2_uls_q50_dimuon,toy_eps2_uls_q84_ee_channel,toy_eps2_uls_q84_dimuon,toy_eps2_uls_q97_ee_channel,toy_eps2_uls_q97_dimuon,toy_eps2_uls_mean_ee_channel,toy_eps2_uls_mean_dimuon
2015,0.02,0.0009721533740987,0.0009721533740987,0.1,2.289206894899871e-05,0.1549772036191221,1.0153177053224762,1.0227058040480646e-05,1.204075503933562e-05,1.5817539764075285e-05,2.2675385452659888e-05,3.080720635403469e-05,1.7167206908646544e-05,2.289206894899871e-05,1.0227058040480646e-05,1.204075503933562e-05,1.5817539764075285e-05,2.2675385452659888e-05,3.080720635403469e-05,1.7167206908646544e-05,0.847,0.153,0.306,"[{'key': '2015', 'sigma': 0.0009721533740987999, 'dens': 378776000.00000006}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,False,,20.0,0.211316749,211.316749,1.0,1.0,2.289206894899871e-05,2.289206894899871e-05,1.0227058040480646e-05,1.0227058040480646e-05,1.204075503933562e-05,1.204075503933562e-05,1.5817539764075285e-05,1.5817539764075285e-05,2.2675385452659888e-05,2.2675385452659888e-05,3.080720635403469e-05,3.080720635403469e-05,1.7167206908646544e-05,1.7167206908646544e-05,2.289206894899871e-05,2.289206894899871e-05,1.0227058040480646e-05,1.0227058040480646e-05,1.204075503933562e-05,1.204075503933562e-05,1.5817539764075285e-05,1.5817539764075285e-05,2.2675385452659888e-05,2.2675385452659888e-05,3.080720635403469e-05,3.080720635403469e-05,1.7167206908646544e-05,1.7167206908646544e-05
2015,0.021,0.0010253724579645,0.0010253724579645,0.1,1.603528007755124e-05,0.3281606774121607,0.4449977850189161,8.84829259085256e-06,1.0342113255711208e-05,1.364353771343483e-05,1.9725534896161152e-05,2.6984086350233592e-05,1.487631073020264e-05,1.603528007755124e-05,8.84829259085256e-06,1.0342113255711208e-05,1.364353771343483e-05,1.9725534896161152e-05,2.6984086350233592e-05,1.487631073020264e-05,0.6672,0.3328,0.6656,"[{'key': '2015', 'sigma': 0.0010253724579645, 'dens': 472304571.42857146}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,False,,21.0,0.211316749,211.316749,1.0,1.0,1.603528007755124e-05,1.603528007755124e-05,8.84829259085256e-06,8.84829259085256e-06,1.0342113255711208e-05,1.0342113255711208e-05,1.364353771343483e-05,1.364353771343483e-05,1.9725534896161152e-05,1.9725534896161152e-05,2.6984086350233592e-05,2.6984086350233592e-05,1.487631073020264e-05,1.487631073020264e-05,1.603528007755124e-05,1.603528007755124e-05,8.84829259085256e-06,8.84829259085256e-06,1.0342113255711208e-05,1.0342113255711208e-05,1.364353771343483e-05,1.364353771343483e-05,1.9725534896161152e-05,1.9725534896161152e-05,2.6984086350233592e-05,2.6984086350233592e-05,1.487631073020264e-05,1.487631073020264e-05
2015,0.022,0.0010785915418301,0.0010785915418301,0.1,8.79739253517774e-06,0.5,0.0,7.873443657535432e-06,9.286622795612423e-06,1.2181411905344828e-05,1.7740856026061535e-05,2.428099673942583e-05,1.3313311977696824e-05,8.79739253517774e-06,7.873443657535432e-06,9.286622795612423e-06,1.2181411905344828e-05,1.7740856026061535e-05,2.428099673942583e-05,1.3313311977696824e-05,0.1034,0.8966,0.2068,"[{'key': '2015', 'sigma': 0.0010785915418301997, 'dens': 555681750.0}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,False,,22.0,0.211316749,211.316749,1.0,1.0,8.79739253517774e-06,8.79739253517774e-06,7.873443657535432e-06,7.873443657535432e-06,9.286622795612423e-06,9.286622795612423e-06,1.2181411905344828e-05,1.2181411905344828e-05,1.7740856026061535e-05,1.7740856026061535e-05,2.428099673942583e-05,2.428099673942583e-05,1.3313311977696824e-05,1.3313311977696824e-05,8.79739253517774e-06,8.79739253517774e-06,7.873443657535432e-06,7.873443657535432e-06,9.286622795612423e-06,9.286622795612423e-06,1.2181411905344828e-05,1.2181411905344828e-05,1.7740856026061535e-05,1.7740856026061535e-05,2.428099673942583e-05,2.428099673942583e-05,1.3313311977696824e-05,1.3313311977696824e-05
2015,0.023,0.0011318106256958,0.0011318106256958,0.1,7.45465036549376e-06,0.5,0.0,7.145228653181871e-06,8.388694889619882e-06,1.1011998301297338e-05,1.586864273755523e-05,2.1697493316246555e-05,1.2003909575223085e-05,7.45465036549376e-06,7.145228653181871e-06,8.388694889619882e-06,1.1011998301297338e-05,1.586864273755523e-05,2.1697493316246555e-05,1.2003909575223085e-05,0.0498,0.9502,0.0996,"[{'key': '2015', 'sigma': 0.0011318106256958998, 'dens': 628787250.0000005}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,False,,23.0,0.211316749,211.316749,1.0,1.0,7.45465036549376e-06,7.45465036549376e-06,7.145228653181871e-06,7.145228653181871e-06,8.388694889619882e-06,8.388694889619882e-06,1.1011998301297338e-05,1.1011998301297338e-05,1.586864273755523e-05,1.586864273755523e-05,2.1697493316246555e-05,2.1697493316246555e-05,1.2003909575223085e-05,1.2003909575223085e-05,7.45465036549376e-06,7.45465036549376e-06,7.145228653181871e-06,7.145228653181871e-06,8.388694889619882e-06,8.388694889619882e-06,1.1011998301297338e-05,1.1011998301297338e-05,1.586864273755523e-05,1.586864273755523e-05,2.1697493316246555e-05,2.1697493316246555e-05,1.2003909575223085e-05,1.2003909575223085e-05
2015,0.024,0.0011850297095615,0.0011850297095615,0.1,1.160735825666375e-05,0.3923591053845175,0.2731756318777755,6.7921933204629055e-06,8.01275914609464e-06,1.0552450317249823e-05,1.5238701307500209e-05,2.0946437556438387e-05,1.1512781825960396e-05,1.160735825666375e-05,6.7921933204629055e-06,8.01275914609464e-06,1.0552450317249823e-05,1.5238701307500209e-05,2.0946437556438387e-05,1.1512781825960396e-05,0.5971,0.4029,0.8058,"[{'key': '2015', 'sigma': 0.0011850297095615998, 'dens': 690630250.0}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,False,,24.0,0.211316749,211.316749,1.0,1.0,1.160735825666375e-05,1.160735825666375e-05,6.7921933204629055e-06,6.7921933204629055e-06,8.01275914609464e-06,8.01275914609464e-06,1.0552450317249823e-05,1.0552450317249823e-05,1.5238701307500209e-05,1.5238701307500209e-05,2.0946437556438387e-05,2.0946437556438387e-05,1.1512781825960396e-05,1.1512781825960396e-05,1.160735825666375e-05,1.160735825666375e-05,6.7921933204629055e-06,6.7921933204629055e-06,8.01275914609464e-06,8.01275914609464e-06,1.0552450317249823e-05,1.0552450317249823e-05,1.5238701307500209e-05,1.5238701307500209e-05,2.0946437556438387e-05,2.0946437556438387e-05,1.1512781825960396e-05,1.1512781825960396e-05
2015,0.025,0.0012382487934273,0.0012382487934273,0.1,2.0112925907442e-05,0.0189247553856671,2.076480738434531,6.3232473083616364e-06,7.4505683384234305e-06,9.89789305263277e-06,1.4117155791210004e-05,1.957028995100536e-05,1.0718181656225648e-05,2.0112925907442e-05,6.3232473083616364e-06,7.4505683384234305e-06,9.89789305263277e-06,1.4117155791210004e-05,1.957028995100536e-05,1.0718181656225648e-05,0.979,0.021,0.042,"[{'key': '2015', 'sigma': 0.0012382487934273, 'dens': 737331777.7777777}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,False,,25.0,0.211316749,211.316749,1.0,1.0,2.0112925907442e-05,2.0112925907442e-05,6.3232473083616364e-06,6.3232473083616364e-06,7.4505683384234305e-06,7.4505683384234305e-06,9.89789305263277e-06,9.89789305263277e-06,1.4117155791210004e-05,1.4117155791210004e-05,1.957028995100536e-05,1.957028995100536e-05,1.0718181656225648e-05,1.0718181656225648e-05,2.0112925907442e-05,2.0112925907442e-05,6.3232473083616364e-06,6.3232473083616364e-06,7.4505683384234305e-06,7.4505683384234305e-06,9.89789305263277e-06,9.89789305263277e-06,1.4117155791210004e-05,1.4117155791210004e-05,1.957028995100536e-05,1.957028995100536e-05,1.0718181656225648e-05,1.0718181656225648e-05
2015,0.026,0.0012914678772929,0.0012914678772929,0.1,1.6115423314187462e-05,0.0709883088187994,1.4684699329221194,6.150943630412948e-06,7.222586462498605e-06,9.54826174576638e-06,1.37461734827628e-05,1.8902572161740807e-05,1.0391593212450124e-05,1.6115423314187462e-05,6.150943630412948e-06,7.222586462498605e-06,9.54826174576638e-06,1.37461734827628e-05,1.8902572161740807e-05,1.0391593212450124e-05,0.9262,0.0738,0.1476,"[{'key': '2015', 'sigma': 0.0012914678772929999, 'dens': 774237999.9999999}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,False,,26.0,0.211316749,211.316749,1.0,1.0,1.6115423314187462e-05,1.6115423314187462e-05,6.150943630412948e-06,6.150943630412948e-06,7.222586462498605e-06,7.222586462498605e-06,9.54826174576638e-06,9.54826174576638e-06,1.37461734827628e-05,1.37461734827628e-05,1.8902572161740807e-05,1.8902572161740807e-05,1.0391593212450124e-05,1.0391593212450124e-05,1.6115423314187462e-05,1.6115423314187462e-05,6.150943630412948e-06,6.150943630412948e-06,7.222586462498605e-06,7.222586462498605e-06,9.54826174576638e-06,9.54826174576638e-06,1.37461734827628e-05,1.37461734827628e-05,1.8902572161740807e-05,1.8902572161740807e-05,1.0391593212450124e-05,1.0391593212450124e-05
2015,0.027,0.0013446869611586,0.0013446869611586,0.1,6.901144767785321e-06,0.5,0.0,5.867247675067273e-06,6.863061669151452e-06,9.168757280598509e-06,1.3177663239087324e-05,1.790578832638928e-05,9.936625167040365e-06,6.901144767785321e-06,5.867247675067273e-06,6.863061669151452e-06,9.168757280598509e-06,1.3177663239087324e-05,1.790578832638928e-05,9.936625167040365e-06,0.1671,0.8329,0.3342,"[{'key': '2015', 'sigma': 0.0013446869611586998, 'dens': 800600222.2222228}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,False,,27.0,0.211316749,211.316749,1.0,1.0,6.901144767785321e-06,6.901144767785321e-06,5.867247675067273e-06,5.867247675067273e-06,6.863061669151452e-06,6.863061669151452e-06,9.168757280598509e-06,9.168757280598509e-06,1.3177663239087324e-05,1.3177663239087324e-05,1.790578832638928e-05,1.790578832638928e-05,9.936625167040365e-06,9.936625167040365e-06,6.901144767785321e-06,6.901144767785321e-06,5.867247675067273e-06,5.867247675067273e-06,6.863061669151452e-06,6.863061669151452e-06,9.168757280598509e-06,9.168757280598509e-06,1.3177663239087324e-05,1.3177663239087324e-05,1.790578832638928e-05,1.790578832638928e-05,9.936625167040365e-06,9.936625167040365e-06
2015,0.028,0.0013979060450244,0.0013979060450244,0.1,5.62616966875917e-06,0.5,0.0,5.787164451688064e-06,6.851929161052407e-06,9.025298339960029e-06,1.306062370719648e-05,1.781323287112785e-05,9.838838584545687e-06,5.62616966875917e-06,5.787164451688064e-06,6.851929161052407e-06,9.025298339960029e-06,1.306062370719648e-05,1.781323287112785e-05,9.838838584545687e-06,0.0159,0.9841,0.0318,"[{'key': '2015', 'sigma': 0.0013979060450244, 'dens': 815046400.0000004}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,False,,28.0,0.211316749,211.316749,1.0,1.0,5.62616966875917e-06,5.62616966875917e-06,5.787164451688064e-06,5.787164451688064e-06,6.851929161052407e-06,6.851929161052407e-06,9.025298339960029e-06,9.025298339960029e-06,1.306062370719648e-05,1.306062370719648e-05,1.781323287112785e-05,1.781323287112785e-05,9.838838584545687e-06,9.838838584545687e-06,5.62616966875917e-06,5.62616966875917e-06,5.787164451688064e-06,5.787164451688064e-06,6.851929161052407e-06,6.851929161052407e-06,9.025298339960029e-06,9.025298339960029e-06,1.306062370719648e-05,1.306062370719648e-05,1.781323287112785e-05,1.781323287112785e-05,9.838838584545687e-06,9.838838584545687e-06
2015,0.029,0.0014511251288901,0.0014511251288901,0.1,6.110407480801292e-06,0.5,0.0,5.629891861103225e-06,6.681517656076457e-06,8.834413905268458e-06,1.2690300407471968e-05,1.7250744632118297e-05,9.578082929801024e-06,6.110407480801292e-06,5.629891861103225e-06,6.681517656076457e-06,8.834413905268458e-06,1.2690300407471968e-05,1.7250744632118297e-05,9.578082929801024e-06,0.0747,0.9253,0.1494,"[{'key': '2015', 'sigma': 0.0014511251288901, 'dens': 822313999.9999999}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,False,,29.0,0.211316749,211.316749,1.0,1.0,6.110407480801292e-06,6.110407480801292e-06,5.629891861103225e-06,5.629891861103225e-06,6.681517656076457e-06,6.681517656076457e-06,8.834413905268458e-06,8.834413905268458e-06,1.2690300407471968e-05,1.2690300407471968e-05,1.7250744632118297e-05,1.7250744632118297e-05,9.578082929801024e-06,9.578082929801024e-06,6.110407480801292e-06,6.110407480801292e-06,5.629891861103225e-06,5.629891861103225e-06,6.681517656076457e-06,6.681517656076457e-06,8.834413905268458e-06,8.834413905268458e-06,1.2690300407471968e-05,1.2690300407471968e-05,1.7250744632118297e-05,1.7250744632118297e-05,9.578082929801024e-06,9.578082929801024e-06
