mass_GeV,mass_MeV,column,old_value,fixed_value,old_over_fixed,left_mass_GeV,right_mass_GeV,method
0.06,60.0,eps2_lo2,2.5014762146975346e-06,4.8227074381968755e-06,0.518687116470161,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.06,60.0,eps2_lo1,3.7751309169655536e-06,5.691841155225305e-06,0.6632530343015378,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.06,60.0,eps2_med,6.783418307220658e-06,7.53316125037336e-06,0.9004743270143668,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.06,60.0,eps2_hi1,1.3431360153219375e-05,1.0894969487750967e-05,1.2328038337619973,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.06,60.0,eps2_hi2,2.1870653222616625e-05,1.4911068364410863e-05,1.4667395177944873,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.06,60.0,eps2_mean,9.479279636669958e-06,8.203324436708651e-06,1.1555412332897135,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.06,60.0,toy_eps2_uls_q02,2.5014762146975346e-06,4.8227074381968755e-06,0.518687116470161,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.06,60.0,toy_eps2_uls_q16,3.7751309169655536e-06,5.691841155225305e-06,0.6632530343015378,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.06,60.0,toy_eps2_uls_q50,6.783418307220658e-06,7.53316125037336e-06,0.9004743270143668,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.06,60.0,toy_eps2_uls_q84,1.3431360153219375e-05,1.0894969487750967e-05,1.2328038337619973,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.06,60.0,toy_eps2_uls_q97,2.1870653222616625e-05,1.4911068364410863e-05,1.4667395177944873,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.06,60.0,toy_eps2_uls_mean,9.479279636669958e-06,8.203324436708651e-06,1.1555412332897135,0.059,0.061,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,eps2_lo2,2.4466560211787108e-05,2.21936824639876e-05,1.1024110240149454,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,eps2_lo1,2.881906116118974e-05,2.6284564466211678e-05,1.0964252878618594,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,eps2_med,3.821694830343085e-05,3.475713329840796e-05,1.0995425881449596,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,eps2_hi1,5.507623886000014e-05,5.0273174689042316e-05,1.0955393050203515,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,eps2_hi2,7.575314208500193e-05,6.918476703745904e-05,1.0949396135710994,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,eps2_mean,4.157205916448326e-05,3.78840096915133e-05,1.0973510856691642,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,toy_eps2_uls_q02,2.4466560211787108e-05,2.21936824639876e-05,1.1024110240149454,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,toy_eps2_uls_q16,2.881906116118974e-05,2.6284564466211678e-05,1.0964252878618594,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,toy_eps2_uls_q50,3.821694830343085e-05,3.475713329840796e-05,1.0995425881449596,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,toy_eps2_uls_q84,5.507623886000014e-05,5.0273174689042316e-05,1.0955393050203515,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,toy_eps2_uls_q97,7.575314208500193e-05,6.918476703745904e-05,1.0949396135710994,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.168,168.0,toy_eps2_uls_mean,4.157205916448326e-05,3.78840096915133e-05,1.0973510856691642,0.167,0.169,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,eps2_lo2,3.429728402622565e-05,3.107555691585069e-05,1.1036739942939413,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,eps2_lo1,4.0345008415914166e-05,3.6503596221513396e-05,1.1052338013791867,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,eps2_med,5.327952894409241e-05,4.849191916981962e-05,1.098730053506575,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,eps2_hi1,7.700512217535971e-05,6.961396249628904e-05,1.1061735234431553,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,eps2_hi2,0.0001052286750944,9.490073464705188e-05,1.108828877729546,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,eps2_mean,5.810148355222644e-05,5.264222447160399e-05,1.1037049466548903,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,toy_eps2_uls_q02,3.429728402622565e-05,3.107555691585069e-05,1.1036739942939413,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,toy_eps2_uls_q16,4.0345008415914166e-05,3.6503596221513396e-05,1.1052338013791867,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,toy_eps2_uls_q50,5.327952894409241e-05,4.849191916981962e-05,1.098730053506575,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,toy_eps2_uls_q84,7.700512217535971e-05,6.961396249628904e-05,1.1061735234431553,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,toy_eps2_uls_q97,0.0001052286750944,9.490073464705188e-05,1.108828877729546,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
0.187,187.0,toy_eps2_uls_mean,5.810148355222644e-05,5.264222447160399e-05,1.1037049466548903,0.186,0.188,log_linear_interpolation_from_adjacent_mass_points
