mass_GeV,mass_MeV,dataset_set,density_meta_terms,density_current_samples,density_full_campaign_scale,campaign_scale_sqrt_current_over_full,current_candidate_eps2_observed,current_candidate_eps2_expected_median,projected_full_campaign_eps2_observed_equivalent,projected_full_campaign_eps2_expected_median,campaign_scale_2015,campaign_scale_2016,campaign_scale_2021
0.019,19.0,2015,2015:368123999.9999997,368123999.9999997,368123999.9999997,1.0,2.969927122714948e-05,3.207259533224177e-05,2.969927122714948e-05,3.207259533224177e-05,1.0,10.0,100.0
0.02,20.0,2015,2015:415730545.45454508,415730545.4545451,415730545.4545451,1.0,2.830441847813019e-05,2.0351289772340013e-05,2.830441847813019e-05,2.0351289772340013e-05,1.0,10.0,100.0
0.021,21.0,2015,2015:472304571.42857146,472304571.42857146,472304571.42857146,1.0,1.8167526983828886e-05,2.037048920511872e-05,1.8167526983828886e-05,2.037048920511872e-05,1.0,10.0,100.0
0.022,22.0,2015,2015:555681750,555681750.0,555681750.0,1.0,1.1663117980490549e-05,1.3349375611615518e-05,1.1663117980490549e-05,1.3349375611615518e-05,1.0,10.0,100.0
0.023,23.0,2015,2015:628787250.00000048,628787250.0000005,628787250.0000005,1.0,1.067661860540974e-05,1.1146719901481336e-05,1.067661860540974e-05,1.1146719901481336e-05,1.0,10.0,100.0
0.024,24.0,2015,2015:690630250.0000006,690630250.0000006,690630250.0000006,1.0,1.0521099321083968e-05,1.0111645505413854e-05,1.0521099321083968e-05,1.0111645505413854e-05,1.0,10.0,100.0
0.025,25.0,2015,2015:737331777.77777827,737331777.7777783,737331777.7777783,1.0,1.036784538393328e-05,8.403515088039045e-06,1.036784538393328e-05,8.403515088039045e-06,1.0,10.0,100.0
0.026,26.0,2015,2015:774238000.00000048,774238000.0000005,774238000.0000005,1.0,7.789753695505146e-06,7.879167201486526e-06,7.789753695505146e-06,7.879167201486526e-06,1.0,10.0,100.0
0.027,27.0,2015,2015:800600222.22222281,800600222.2222228,800600222.2222228,1.0,5.556899169596376e-06,7.5766150332182594e-06,5.556899169596376e-06,7.5766150332182594e-06,1.0,10.0,100.0
0.028,28.0,2015,2015:815046400.00000036,815046400.0000004,815046400.0000004,1.0,5.5599641181944735e-06,7.294637545209183e-06,5.5599641181944735e-06,7.294637545209183e-06,1.0,10.0,100.0
0.029,29.0,2015,2015:822314000.00000036,822314000.0000004,822314000.0000004,1.0,7.27311833523971e-06,6.811800226377802e-06,7.27311833523971e-06,6.811800226377802e-06,1.0,10.0,100.0
0.03,30.0,2015,2015:821810999.99999988,821810999.9999999,821810999.9999999,1.0,1.0944291509261416e-05,6.5838086411971646e-06,1.0944291509261416e-05,6.5838086411971646e-06,1.0,10.0,100.0
0.031,31.0,2015,2015:813179090.90909123,813179090.9090912,813179090.9090912,1.0,1.1008699058502884e-05,6.472959086903949e-06,1.1008699058502884e-05,6.472959086903949e-06,1.0,10.0,100.0
0.032,32.0,2015,2015:799925818.18181741,799925818.1818174,799925818.1818174,1.0,8.30445248103405e-06,6.348350391709876e-06,8.30445248103405e-06,6.348350391709876e-06,1.0,10.0,100.0
0.033,33.0,2015,2015:781708363.63636398,781708363.636364,781708363.636364,1.0,5.188738048394698e-06,6.336706114984295e-06,5.188738048394698e-06,6.336706114984295e-06,1.0,10.0,100.0
0.034,34.0,2015,2015:758596833.33333349,758596833.3333335,758596833.3333335,1.0,4.184918222049177e-06,6.197517749574764e-06,4.184918222049177e-06,6.197517749574764e-06,1.0,10.0,100.0
0.035,35.0,2015,2015:732871000.00000024,732871000.0000002,732871000.0000002,1.0,3.952102532244309e-06,6.18093338643527e-06,3.952102532244309e-06,6.18093338643527e-06,1.0,10.0,100.0
0.036,36.0,2015,2015:704211333.33333349,704211333.3333335,704211333.3333335,1.0,4.333674025563979e-06,6.159544122492504e-06,4.333674025563979e-06,6.159544122492504e-06,1.0,10.0,100.0
0.037,37.0,2015,2015:673415692.30769169,673415692.3076917,673415692.3076917,1.0,5.6204641308296086e-06,6.24407112594191e-06,5.6204641308296086e-06,6.24407112594191e-06,1.0,10.0,100.0
0.038,38.0,2015,2015:640888461.53846169,640888461.5384617,640888461.5384617,1.0,9.821887690296838e-06,6.3297580876885625e-06,9.821887690296838e-06,6.3297580876885625e-06,1.0,10.0,100.0
0.039,39.0,2015+2016,2015:606720000.00000012;2016:57415666.666666746,664135666.6666669,1180876666.6666675,0.7499393316944082,1.406997688551788e-05,6.408195449175758e-06,1.0551629062481048e-05,4.805757812522016e-06,1.0,10.0,100.0
0.04,40.0,2015+2016,2015:572105714.28571439;2016:62106750.000000052,634212464.2857144,1193173214.2857149,0.729063974621377,1.491794944711683e-05,6.507100520552967e-06,1.0876139517115768e-05,4.744092568775177e-06,1.0,10.0,100.0
0.041,41.0,2015+2016,2015:536885714.28571439;2016:66716600.00000003,603602314.2857144,1204051714.2857146,0.7080319862474894,1.2676562773752196e-05,6.58803203863913e-06,8.975411919490752e-06,4.66453740977976e-06,1.0,10.0,100.0
0.042,42.0,2015+2016,2015:501812800;2016:72182240.000000015,573995040.0,1223635200.0,0.6849014551708148,8.435452464509066e-06,6.594885159430168e-06,5.777453667966496e-06,4.516846442378133e-06,1.0,10.0,100.0
0.043,43.0,2015+2016,2015:467202133.33333379;2016:79760153.846153945,546962287.1794877,1264803671.7948732,0.6576080677307765,5.481613317517565e-06,6.827357124461215e-06,3.6047531417800173e-06,4.489725126324891e-06,1.0,10.0,100.0
0.044,44.0,2015+2016,2015:432846533.33333337;2016:88065076.923076943,520911610.2564103,1313497302.5641026,0.6297489122155104,4.6886713781936095e-06,6.954128481224805e-06,2.952685700153424e-06,4.37935484645822e-06,1.0,10.0,100.0
0.045,45.0,2015+2016,2015:400272999.99999964;2016:95824769.230769247,496097769.2307689,1358520692.307692,0.6042970973824119,4.1360732509544565e-06,7.136103086748399e-06,2.499417060112814e-06,4.312326381943728e-06,1.0,10.0,100.0
0.046,46.0,2015+2016,2015:368517625;2016:102849000.00000001,471366625.0,1397007625.0,0.5808714433241673,4.243566352283391e-06,7.261286125103008e-06,2.464966511892725e-06,4.217873751878334e-06,1.0,10.0,100.0
0.047,47.0,2015+2016,2015:338220375;2016:109417999.9999999,447638374.9999999,1432400374.999999,0.5590252728286519,4.9390695398174855e-06,7.4511790018306686e-06,2.761064697016154e-06,4.165397374393511e-06,1.0,10.0,100.0
0.048,48.0,2015+2016,2015:310158823.52941173;2016:115341714.2857143,425500537.81512606,1463575966.3865547,0.5391907362515401,6.782149594137673e-06,7.567210796493653e-06,3.656872233031176e-06,4.080169960732017e-06,1.0,10.0,100.0
0.049,49.0,2015+2016,2015:283051294.11764705;2016:120591714.28571418,403643008.4033612,1488968436.9747887,0.5206621067555899,1.1215384593232116e-05,7.757122791097687e-06,5.839425770386418e-06,4.038839894774724e-06,1.0,10.0,100.0
0.05,50.0,2015+2016+2021,2015:257713882.35294116;2016:125276857.14285728;2021:50173333.333333381,433164072.82913184,6527815787.114852,0.2575978708748809,1.4485871348498711e-05,7.753912371819688e-06,3.7315296171407078e-06,1.9973913179311495e-06,1.0,10.0,100.0
0.051,51.0,2015+2016+2021,2015:234601444.4444446;2016:129237733.33333322;2021:52485028.571428522,416324206.3492063,6775481634.920629,0.24788243015896488,1.8837594045444382e-05,7.820798869091184e-06,4.6695085903328e-06,1.938638629454807e-06,1.0,10.0,100.0
0.052,52.0,2015+2016+2021,2015:212665555.5555557;2016:132828133.33333334;2021:57005688.888888836,402499377.7777779,7241515777.777773,0.2357587748799853,1.844816799533248e-05,7.932858931959105e-06,4.34931748535974e-06,1.8702411030944273e-06,1.0,10.0,100.0
0.053,53.0,2015+2016+2021,2015:192293555.55555537;2016:135705600.00000012;2021:61587927.27272734,389587082.82828283,7708142282.82829,0.22481610184412837,1.592317192312297e-05,8.044204067010322e-06,3.5797854407503794e-06,1.8084666007839443e-06,1.0,10.0,100.0
0.054,54.0,2015+2016+2021,2015:174063263.15789485;2016:138200266.66666669;2021:66105163.636363581,378368693.4609251,8166582293.46092,0.2152471581507718,1.157259388268104e-05,8.24239140573379e-06,2.4909679456801e-06,1.7741513264505435e-06,1.0,10.0,100.0
0.055,55.0,2015+2016+2021,2015:156865368.42105272;2016:140115125;2021:72972133.333333269,369952626.75438595,8855229951.75438,0.20439634990745706,7.804369425712333e-06,8.49379019830513e-06,1.5951846239449578e-06,1.7360997134133045e-06,1.0,10.0,100.0
0.056,56.0,2015+2016+2021,2015:141061894.73684219;2016:141804124.99999988;2021:79776000.000000015,362642019.73684204,9536703144.736843,0.19500238823699437,5.9431846239638455e-06,8.547780761995756e-06,1.1589351954063333e-06,1.666837662715408e-06,1.0,10.0,100.0
0.057,57.0,2015+2016+2021,2015:127255399.99999997;2016:142989375;2021:86643200,356887975.0,10221469150.0,0.18685696750912217,5.314725200351802e-06,8.382053608989632e-06,9.930934340820495e-07,1.5662451188746959e-06,1.0,10.0,100.0
0.058,58.0,2015+2016+2021,2015:114121699.9999999;2016:143786750;2021:95580266.666666761,353488716.6666666,11110015866.666676,0.17837354281739548,5.186909977858632e-06,8.421527396755943e-06,9.252075090255425e-07,1.5021776776931152e-06,1.0,10.0,100.0
0.059,59.0,2015+2016+2021,2015:102281499.99999991;2016:144165647.05882365;2021:99976266.666666672,346423413.7254902,11541564637.254904,0.17324921458378462,5.553902844741917e-06,8.401483863862182e-06,9.622093057261843e-07,1.455550480752463e-06,1.0,10.0,100.0
