mass_GeV,mass_MeV,dataset_set,eps2_observed_2015,eps2_observed_2016,eps2_observed_2021,best_active_individual_dataset,best_active_individual_eps2,combined_observed_eps2,combined_over_best_active_individual_epsilon
0.019,19.0,2015,2.969927122714948e-05,,,2015,2.969927122714948e-05,2.969927122714948e-05,1.0
0.02,20.0,2015,2.830441847813019e-05,,,2015,2.830441847813019e-05,2.830441847813019e-05,1.0
0.021,21.0,2015,1.8167526983828886e-05,,,2015,1.8167526983828886e-05,1.8167526983828886e-05,1.0
0.022,22.0,2015,1.1663117980490549e-05,,,2015,1.1663117980490549e-05,1.1663117980490549e-05,1.0
0.023,23.0,2015,1.067661860540974e-05,,,2015,1.067661860540974e-05,1.067661860540974e-05,1.0
0.024,24.0,2015,1.0521099321083968e-05,,,2015,1.0521099321083968e-05,1.0521099321083968e-05,1.0
0.025,25.0,2015,1.036784538393328e-05,,,2015,1.036784538393328e-05,1.036784538393328e-05,1.0
0.026,26.0,2015,7.789753695505146e-06,,,2015,7.789753695505146e-06,7.789753695505146e-06,1.0
0.027,27.0,2015,5.556899169596376e-06,,,2015,5.556899169596376e-06,5.556899169596376e-06,1.0
0.028,28.0,2015,5.5599641181944735e-06,,,2015,5.5599641181944735e-06,5.5599641181944735e-06,1.0
0.029,29.0,2015,7.27311833523971e-06,,,2015,7.27311833523971e-06,7.27311833523971e-06,1.0
0.03,30.0,2015,1.0944291509261416e-05,,,2015,1.0944291509261416e-05,1.0944291509261416e-05,1.0
0.031,31.0,2015,1.1008699058502884e-05,,,2015,1.1008699058502884e-05,1.1008699058502884e-05,1.0
0.032,32.0,2015,8.30445248103405e-06,,,2015,8.30445248103405e-06,8.30445248103405e-06,1.0
0.033,33.0,2015,5.188738048394698e-06,,,2015,5.188738048394698e-06,5.188738048394698e-06,1.0
0.034,34.0,2015,4.184918222049177e-06,,,2015,4.184918222049177e-06,4.184918222049177e-06,1.0
0.035,35.0,2015,3.952102532244309e-06,,,2015,3.952102532244309e-06,3.952102532244309e-06,1.0
0.036,36.0,2015,4.333674025563979e-06,,,2015,4.333674025563979e-06,4.333674025563979e-06,1.0
0.037,37.0,2015,5.6204641308296086e-06,,,2015,5.6204641308296086e-06,5.6204641308296086e-06,1.0
0.038,38.0,2015,9.821887690296838e-06,,,2015,9.821887690296838e-06,9.821887690296838e-06,1.0
0.039,39.0,2015+2016,1.417380639939357e-05,7.96520376897974e-05,,2015,1.417380639939357e-05,1.406997688551788e-05,0.9963305424068858
0.04,40.0,2015+2016,1.4371025945135568e-05,0.0001221415243675,,2015,1.4371025945135568e-05,1.491794944711683e-05,1.0188510065267784
0.041,41.0,2015+2016,1.1890910457502907e-05,9.943846779965111e-05,,2015,1.1890910457502907e-05,1.2676562773752196e-05,1.0325074674686743
0.042,42.0,2015+2016,8.012647117827452e-06,8.31093957872339e-05,,2015,8.012647117827452e-06,8.435452464509066e-06,1.026044467424804
0.043,43.0,2015+2016,5.5514252878472615e-06,5.150422845737324e-05,,2015,5.5514252878472615e-06,5.481613317517565e-06,0.9936923548589257
0.044,44.0,2015+2016,4.698987592999117e-06,3.2662566483440356e-05,,2015,4.698987592999117e-06,4.6886713781936095e-06,0.9989016907460282
0.045,45.0,2015+2016,4.418832775437375e-06,2.071370218016409e-05,,2015,4.418832775437375e-06,4.1360732509544565e-06,0.9674762832497065
0.046,46.0,2015+2016,4.587379771727482e-06,1.8244546852492007e-05,,2015,4.587379771727482e-06,4.243566352283391e-06,0.9617964084335506
0.047,47.0,2015+2016,5.329556643259648e-06,1.970378089235408e-05,,2015,5.329556643259648e-06,4.9390695398174855e-06,0.9626690940962499
0.048,48.0,2015+2016,6.984617958184813e-06,2.5848152706919728e-05,,2015,6.984617958184813e-06,6.782149594137673e-06,0.985399537907601
0.049,49.0,2015+2016,1.0772801975381895e-05,3.224955449705424e-05,,2015,1.0772801975381895e-05,1.1215384593232116e-05,1.0203349124897079
0.05,50.0,2015+2016+2021,1.5212366445816556e-05,3.383176465450033e-05,3.728277480841303e-05,2015,1.5212366445816556e-05,1.4485871348498711e-05,0.9758294543854058
0.051,51.0,2015+2016+2021,1.827117337426123e-05,3.331137755228992e-05,7.078464553266381e-05,2015,1.827117337426123e-05,1.8837594045444382e-05,1.0153820869340262
0.052,52.0,2015+2016+2021,1.7275677848256536e-05,2.671825167173966e-05,7.983956645662537e-05,2015,1.7275677848256536e-05,1.844816799533248e-05,1.033377672911439
0.053,53.0,2015+2016+2021,1.4437864801279932e-05,2.268523071688809e-05,8.46154559189173e-05,2015,1.4437864801279932e-05,1.592317192312297e-05,1.0501789447225707
0.054,54.0,2015+2016+2021,1.1245283433099365e-05,1.7390832888993713e-05,8.244447159099805e-05,2015,1.1245283433099365e-05,1.157259388268104e-05,1.0144488479375926
0.055,55.0,2015+2016+2021,8.941471305479681e-06,1.4768165789488488e-05,5.226486591417688e-05,2015,8.941471305479681e-06,7.804369425712333e-06,0.9342528166124895
0.056,56.0,2015+2016+2021,8.130392827247795e-06,1.2696120512330477e-05,2.2777456862351636e-05,2015,8.130392827247795e-06,5.9431846239638455e-06,0.8549758470833173
0.057,57.0,2015+2016+2021,8.206100482610672e-06,1.1826106409714958e-05,1.4475609035243656e-05,2015,8.206100482610672e-06,5.314725200351802e-06,0.8047703952145799
0.058,58.0,2015+2016+2021,8.58945435559265e-06,1.1484197194495024e-05,1.2303466133865236e-05,2015,8.58945435559265e-06,5.186909977858632e-06,0.7770904418534704
0.059,59.0,2015+2016+2021,9.472601511016242e-06,1.1751339632677942e-05,1.2622499176784352e-05,2015,9.472601511016242e-06,5.553902844741917e-06,0.7657103283553073
0.06,60.0,2015+2016+2021,1.1468309305590302e-05,1.2021696985548368e-05,1.3889676212581888e-05,2015,1.1468309305590302e-05,6.453474007517272e-06,0.7501482212766344
0.061,61.0,2015+2016+2021,1.4033178033104598e-05,1.3555617712332192e-05,1.5886216805228508e-05,2016,1.3555617712332192e-05,8.237355244059027e-06,0.7795325273117397
0.062,62.0,2015+2016+2021,1.7321715554560126e-05,1.5842527850001232e-05,1.6929460148418507e-05,2016,1.5842527850001232e-05,1.0758145591599218e-05,0.8240555127287419
0.063,63.0,2015+2016+2021,2.1539153342225736e-05,1.880689417601912e-05,1.5350090259180854e-05,2021,1.5350090259180854e-05,1.2707299243806687e-05,0.909852854350616
0.064,64.0,2015+2016+2021,2.2809857684752977e-05,2.1808993945353925e-05,1.3600086635193889e-05,2021,1.3600086635193889e-05,1.300133529317006e-05,0.9777394573610981
0.065,65.0,2015+2016+2021,2.140362827142069e-05,2.446102174264416e-05,1.3466819551928749e-05,2021,1.3466819551928749e-05,1.3250347873158572e-05,0.9919302157306215
0.066,66.0,2015+2016+2021,1.8390762282227346e-05,2.489210315280784e-05,1.4324460836682898e-05,2021,1.4324460836682898e-05,1.2929357010870554e-05,0.9500562549117643
0.067,67.0,2015+2016+2021,1.5337077521002352e-05,2.3525844952513467e-05,1.4718802858161018e-05,2021,1.4718802858161018e-05,1.154434765939841e-05,0.8856221180459247
0.068,68.0,2015+2016+2021,1.4181574466202073e-05,1.9556012836708076e-05,1.3878069305391568e-05,2021,1.3878069305391568e-05,9.365591307379548e-06,0.8214915019060756
0.069,69.0,2015+2016+2021,1.3810523229523368e-05,1.423537397116152e-05,1.2590031102456685e-05,2021,1.2590031102456685e-05,7.188420059991552e-06,0.7556197873544528
0.07,70.0,2015+2016+2021,1.3839729164430196e-05,1.1696228570620287e-05,1.1047074320105308e-05,2021,1.1047074320105308e-05,6.0362634082088025e-06,0.7391974391562879
0.071,71.0,2015+2016+2021,1.4975195012571483e-05,1.0128718549451045e-05,9.170018952051703e-06,2021,9.170018952051703e-06,5.345923642280819e-06,0.7635302695958867
0.072,72.0,2015+2016+2021,1.7688864932379866e-05,9.599795789680704e-06,8.054410641753594e-06,2021,8.054410641753594e-06,5.106803051489232e-06,0.796265080917608
0.073,73.0,2015+2016+2021,2.307996143227785e-05,9.683119667582892e-06,7.916377062404276e-06,2021,7.916377062404276e-06,5.313594634806888e-06,0.8192773983017302
0.074,74.0,2015+2016+2021,3.571696454571687e-05,1.033575806299994e-05,7.628254893489038e-06,2021,7.628254893489038e-06,5.731716427093388e-06,0.866821649813511
0.075,75.0,2015+2016+2021,4.692711730843709e-05,1.2184685388237176e-05,8.041464817341943e-06,2021,8.041464817341943e-06,6.828080197742652e-06,0.9214711096872457
0.076,76.0,2015+2016+2021,6.270144849237432e-05,1.4675434861560424e-05,9.06782614752104e-06,2021,9.06782614752104e-06,8.79490266560959e-06,0.98483602413208
0.077,77.0,2015+2016+2021,7.19435197076267e-05,1.7503908941152906e-05,9.78040885794452e-06,2021,9.78040885794452e-06,1.015678911023815e-05,1.0190598998923426
0.078,78.0,2015+2016+2021,7.823515627699284e-05,2.0274739820681865e-05,1.0395463170525352e-05,2021,1.0395463170525352e-05,1.124095739949154e-05,1.0398716277524842
0.079,79.0,2015+2016+2021,7.284441086123529e-05,2.1339938495272124e-05,1.0469191496047673e-05,2021,1.0469191496047673e-05,1.1248773251608177e-05,1.036563732054678
0.08,80.0,2015+2016+2021,5.882784272948351e-05,2.0567490076153166e-05,1.0529169102381195e-05,2021,1.0529169102381195e-05,1.0674622979793806e-05,1.0068834956263588
0.081,81.0,2015+2016+2021,6.104151499636774e-05,1.8335678113321385e-05,1.098728639402046e-05,2021,1.098728639402046e-05,1.0282236854145208e-05,0.9673832855785486
0.082,82.0,2015+2016+2021,5.210962053985458e-05,1.7104016759240792e-05,1.097545321505857e-05,2021,1.097545321505857e-05,9.707933771624932e-06,0.9404856447651085
0.083,83.0,2015+2016+2021,4.828274042402859e-05,1.5539114322136916e-05,1.0227077021221077e-05,2021,1.0227077021221077e-05,8.56315254381393e-06,0.9150421022387087
0.084,84.0,2015+2016+2021,4.552143040407599e-05,1.4010821780829176e-05,9.499339007553326e-06,2021,9.499339007553326e-06,7.463292501541672e-06,0.8863771218176814
0.085,85.0,2015+2016+2021,4.5862682357502014e-05,1.3437158575114928e-05,7.717054906732277e-06,2021,7.717054906732277e-06,6.144023413268039e-06,0.8922789260222788
0.086,86.0,2015+2016+2021,4.732582179658683e-05,1.3326521009616364e-05,6.64336492095044e-06,2021,6.64336492095044e-06,5.425810105738035e-06,0.9037290455400473
0.087,87.0,2015+2016+2021,5.752303649075604e-05,1.3507405971106602e-05,6.088309982366868e-06,2021,6.088309982366868e-06,5.150397038968326e-06,0.919754617356496
0.088,88.0,2015+2016+2021,6.915144472906585e-05,1.411063046562776e-05,5.811963474222129e-06,2021,5.811963474222129e-06,5.043231190701463e-06,0.931521752020094
0.089,89.0,2015+2016+2021,8.038453326791037e-05,1.4756141088084216e-05,6.015657601859364e-06,2021,6.015657601859364e-06,5.295449005713461e-06,0.938231134330727
