dataset,mass_GeV,mass_MeV,eps2_observed_raw,p0_analytic,Z_analytic,eps2_observed_v3_review,dimuon_factor,eps2_observed_dimuon_v3_review
2015,0.019,19.0,2.969927122714948e-05,0.5,0.0,2.969927122714948e-05,1.0,2.969927122714948e-05
2015,0.02,20.0,2.830441847813019e-05,0.1765426018360572,0.9286216388053108,2.830441847813019e-05,1.0,2.830441847813019e-05
2015,0.021,21.0,1.8167526983828886e-05,0.5,0.0,1.8167526983828886e-05,1.0,1.8167526983828886e-05
2015,0.022,22.0,1.1663117980490549e-05,0.4999655646006563,8.631674575031098e-05,1.1663117980490549e-05,1.0,1.1663117980490549e-05
2015,0.023,23.0,1.067661860540974e-05,0.5,0.0,1.067661860540974e-05,1.0,1.067661860540974e-05
2015,0.024,24.0,4.7511265055461615e-05,0.5,0.0,1.0521099321083968e-05,1.0,1.0521099321083968e-05
2015,0.025,25.0,1.036784538393328e-05,0.2839013932479691,0.5712904318768645,1.036784538393328e-05,1.0,1.036784538393328e-05
2015,0.026,26.0,7.789753695505146e-06,0.5,0.0,7.789753695505146e-06,1.0,7.789753695505146e-06
2015,0.027,27.0,5.556899169596376e-06,0.5,0.0,5.556899169596376e-06,1.0,5.556899169596376e-06
2015,0.028,28.0,5.5599641181944735e-06,0.5,0.0,5.5599641181944735e-06,1.0,5.5599641181944735e-06
2015,0.029,29.0,7.27311833523971e-06,0.4148577833824124,0.2150663782937969,7.27311833523971e-06,1.0,7.27311833523971e-06
2015,0.03,30.0,1.0944291509261416e-05,0.0792497164613042,1.4101363257271264,1.0944291509261416e-05,1.0,1.0944291509261416e-05
2015,0.031,31.0,1.1008699058502884e-05,0.0687308913923251,1.4853097783117322,1.1008699058502884e-05,1.0,1.1008699058502884e-05
2015,0.032,32.0,8.30445248103405e-06,0.2319374943124136,0.7324810767089235,8.30445248103405e-06,1.0,8.30445248103405e-06
2015,0.033,33.0,5.188738048394698e-06,0.4999513009912829,0.0001220703125,5.188738048394698e-06,1.0,5.188738048394698e-06
2015,0.034,34.0,4.184918222049177e-06,0.5,0.0,4.184918222049177e-06,1.0,4.184918222049177e-06
2015,0.035,35.0,3.952102532244309e-06,0.5,0.0,3.952102532244309e-06,1.0,3.952102532244309e-06
2015,0.036,36.0,4.333674025563979e-06,0.5,0.0,4.333674025563979e-06,1.0,4.333674025563979e-06
2015,0.037,37.0,5.6204641308296086e-06,0.5,0.0,5.6204641308296086e-06,1.0,5.6204641308296086e-06
2015,0.038,38.0,9.821887690296838e-06,0.1125954100454892,1.212840467758123,9.821887690296838e-06,1.0,9.821887690296838e-06
2015,0.039,39.0,1.417380639939357e-05,0.0096547367075665,2.339501898857939,1.417380639939357e-05,1.0,1.417380639939357e-05
