scope,dataset,mass_MeV,column,raw_value,left_mass_MeV,left_value,right_mass_MeV,right_value,corrected_value,raw_over_corrected,method,reason
individual observed limit,2015,24,eps2_observed_v3_review,4.7511265055461615e-05,23.0,1.067661860540974e-05,25.0,1.036784538393328e-05,1.0521099321083968e-05,4.515808054415992,linear interpolation in log(value) between adjacent evaluated masses,documented isolated optimizer failure in the observed scan
single-active simultaneous consistency,2015,24,eps2_obs,1.1332939434466676e-05,,,,,1.0521099321083968e-05,1.077163050039439,propagate the repaired 2015 value to the single-active simultaneous row,the simultaneous and individual limits must agree when only 2015 is active
single-active simultaneous consistency,2015,24,eps2_obs_dimuon,1.1332939434466676e-05,,,,,1.0521099321083968e-05,1.077163050039439,propagate the repaired 2015 value to the single-active simultaneous row,the simultaneous and individual limits must agree when only 2015 is active
single-active simultaneous consistency,2015,24,eps2_obs_ee_channel,1.1332939434466676e-05,,,,,1.0521099321083968e-05,1.077163050039439,propagate the repaired 2015 value to the single-active simultaneous row,the simultaneous and individual limits must agree when only 2015 is active
single-active simultaneous consistency,2015,24,ul_eps2_obs,1.1332939434466676e-05,,,,,1.0521099321083968e-05,1.077163050039439,propagate the repaired 2015 value to the single-active simultaneous row,the simultaneous and individual limits must agree when only 2015 is active
single-active simultaneous consistency,2015,24,ul_eps2_obs_dimuon,1.1332939434466676e-05,,,,,1.0521099321083968e-05,1.077163050039439,propagate the repaired 2015 value to the single-active simultaneous row,the simultaneous and individual limits must agree when only 2015 is active
single-active simultaneous consistency,2015,24,ul_eps2_obs_ee_channel,1.1332939434466676e-05,,,,,1.0521099321083968e-05,1.077163050039439,propagate the repaired 2015 value to the single-active simultaneous row,the simultaneous and individual limits must agree when only 2015 is active
individual observed limit,2016,44,eps2_observed_v3_review,0.0002280653217622,43.0,5.150422845737324e-05,45.0,2.071370218016409e-05,3.2662566483440356e-05,6.982467892650971,linear interpolation in log(value) between adjacent evaluated masses,documented isolated optimizer failure in the observed scan
individual observed limit,2016,98,eps2_observed_v3_review,0.000112159194446,97.0,2.1119173122414705e-05,99.0,1.6332846505762776e-05,1.857245845161674e-05,6.039006345777367,linear interpolation in log(value) between adjacent evaluated masses,documented isolated optimizer failure in the observed scan
individual observed limit,2016,133,eps2_observed_v3_review,0.0002417961752828,132.0,4.930512520460558e-05,134.0,5.382848589816848e-05,5.151718389803098e-05,4.693505292552328,linear interpolation in log(value) between adjacent evaluated masses,documented isolated optimizer failure in the observed scan
2021 observed limit,2021,136,A_obs,1736.77774443745,135.0,1712.246298373413,137.0,1800.1099189061358,1755.628532837256,0.989262655483651,linear interpolation in log(value) between adjacent evaluated masses,consistent 136 MeV display repair across v3 result figures
2021 observed limit,2021,136,eps2_obs,6.869172187874717e-06,135.0,6.614231836243721e-06,137.0,7.178481219383895e-06,6.890583358259779e-06,0.9968926911885629,linear interpolation in log(value) between adjacent evaluated masses,consistent 136 MeV display repair across v3 result figures
2021 observed limit,2021,136,eps2_obs_dimuon,6.869172187874717e-06,135.0,6.614231836243721e-06,137.0,7.178481219383895e-06,6.890583358259779e-06,0.9968926911885629,linear interpolation in log(value) between adjacent evaluated masses,consistent 136 MeV display repair across v3 result figures
2021 observed limit,2021,136,eps2_obs_ee_channel,6.869172187874717e-06,135.0,6.614231836243721e-06,137.0,7.178481219383895e-06,6.890583358259779e-06,0.9968926911885629,linear interpolation in log(value) between adjacent evaluated masses,consistent 136 MeV display repair across v3 result figures
2021 observed limit,2021,136,ul_A_obs,1736.77774443745,135.0,1712.246298373413,137.0,1800.1099189061358,1755.628532837256,0.989262655483651,linear interpolation in log(value) between adjacent evaluated masses,consistent 136 MeV display repair across v3 result figures
2021 observed limit,2021,136,ul_eps2_obs,6.869172187874717e-06,135.0,6.614231836243721e-06,137.0,7.178481219383895e-06,6.890583358259779e-06,0.9968926911885629,linear interpolation in log(value) between adjacent evaluated masses,consistent 136 MeV display repair across v3 result figures
2021 observed limit,2021,136,ul_eps2_obs_dimuon,6.869172187874717e-06,135.0,6.614231836243721e-06,137.0,7.178481219383895e-06,6.890583358259779e-06,0.9968926911885629,linear interpolation in log(value) between adjacent evaluated masses,consistent 136 MeV display repair across v3 result figures
2021 observed limit,2021,136,ul_eps2_obs_ee_channel,6.869172187874717e-06,135.0,6.614231836243721e-06,137.0,7.178481219383895e-06,6.890583358259779e-06,0.9968926911885629,linear interpolation in log(value) between adjacent evaluated masses,consistent 136 MeV display repair across v3 result figures
simultaneous observed limit,2015+2016+2021 active combination,136,eps2_obs,1.2450805766876476e-05,135.0,6.641043816523751e-06,137.0,7.244576465970057e-06,6.936248967753676e-06,1.795034437887068,linear interpolation in log(value) between adjacent evaluated masses,documented 136 MeV combined-limit numerical failure
simultaneous observed limit,2015+2016+2021 active combination,136,eps2_obs_dimuon,1.2450805766876476e-05,135.0,6.641043816523751e-06,137.0,7.244576465970057e-06,6.936248967753676e-06,1.795034437887068,linear interpolation in log(value) between adjacent evaluated masses,documented 136 MeV combined-limit numerical failure
simultaneous observed limit,2015+2016+2021 active combination,136,eps2_obs_ee_channel,1.2450805766876476e-05,135.0,6.641043816523751e-06,137.0,7.244576465970057e-06,6.936248967753676e-06,1.795034437887068,linear interpolation in log(value) between adjacent evaluated masses,documented 136 MeV combined-limit numerical failure
simultaneous observed limit,2015+2016+2021 active combination,136,ul_eps2_obs,1.2450805766876476e-05,135.0,6.641043816523751e-06,137.0,7.244576465970057e-06,6.936248967753676e-06,1.795034437887068,linear interpolation in log(value) between adjacent evaluated masses,documented 136 MeV combined-limit numerical failure
simultaneous observed limit,2015+2016+2021 active combination,136,ul_eps2_obs_dimuon,1.2450805766876476e-05,135.0,6.641043816523751e-06,137.0,7.244576465970057e-06,6.936248967753676e-06,1.795034437887068,linear interpolation in log(value) between adjacent evaluated masses,documented 136 MeV combined-limit numerical failure
simultaneous observed limit,2015+2016+2021 active combination,136,ul_eps2_obs_ee_channel,1.2450805766876476e-05,135.0,6.641043816523751e-06,137.0,7.244576465970057e-06,6.936248967753676e-06,1.795034437887068,linear interpolation in log(value) between adjacent evaluated masses,documented 136 MeV combined-limit numerical failure
individual observed limit,2016,171,eps2_observed_v3_review,0.0019794588343423,170.0,0.0001877766550352,172.0,0.0001961068280788,0.0001918965455817277,10.315239538792317,linear interpolation in log(value) between adjacent evaluated masses,documented isolated optimizer failure in the observed scan
