mass_MeV,dataset_set,reason,presentation
24,2015,stored tail fractions correspond to an observed upper limit superseded by the display-repair table,omit the mass row and connect adjacent valid hypotheses; do not interpolate a p-value
37,2015,stored tail fractions correspond to an observed upper limit superseded by the display-repair table,omit the mass row and connect adjacent valid hypotheses; do not interpolate a p-value
44,2015+2016,stored tail fractions correspond to an observed upper limit superseded by the display-repair table,omit the mass row and connect adjacent valid hypotheses; do not interpolate a p-value
59,2015+2016+2021,stored tail fractions correspond to an observed upper limit superseded by the display-repair table,omit the mass row and connect adjacent valid hypotheses; do not interpolate a p-value
91,2016+2021,stored tail fractions correspond to an observed upper limit superseded by the display-repair table,omit the mass row and connect adjacent valid hypotheses; do not interpolate a p-value
98,2016+2021,stored tail fractions correspond to an observed upper limit superseded by the display-repair table,omit the mass row and connect adjacent valid hypotheses; do not interpolate a p-value
115,2016+2021,stored tail fractions correspond to an observed upper limit superseded by the display-repair table,omit the mass row and connect adjacent valid hypotheses; do not interpolate a p-value
133,2016+2021,stored tail fractions correspond to an observed upper limit superseded by the display-repair table,omit the mass row and connect adjacent valid hypotheses; do not interpolate a p-value
136,2016+2021,stored tail fractions correspond to an observed upper limit superseded by the display-repair table,omit the mass row and connect adjacent valid hypotheses; do not interpolate a p-value
159,2016+2021,stored tail fractions correspond to an observed upper limit superseded by the display-repair table,omit the mass row and connect adjacent valid hypotheses; do not interpolate a p-value
166,2016+2021,stored tail fractions correspond to an observed upper limit superseded by the display-repair table,omit the mass row and connect adjacent valid hypotheses; do not interpolate a p-value
