mass_MeV,bin_center_MeV,bin_width_MeV,observed,gp_mean,in_fit,gp_sd,b_gaussian_control,s_gaussian_control,total_gaussian_control,b_log_gp,s_log_gp,total_log_gp,b_fixed,s_fixed,total_fixed
65,56.93749999999999,0.6249999999999936,617245.0,617216.4730251504,False,,,,,,,,,,
65,57.5625,0.6250000000000006,649974.0,649612.4554893224,False,,,,,,,,,,
65,58.18749999999999,0.6250000000000075,682240.0,681667.7580989356,False,,,,,,,,,,
65,58.8125,0.6250000000000006,712292.0,713268.7237344014,False,,,,,,,,,,
65,59.4375,0.6249999999999936,745400.0,744299.8868871231,False,,,,,,,,,,
65,60.0625,0.6250000000000006,774707.0,774646.0089161112,False,,,,,,,,,,
65,60.68749999999999,0.6250000000000006,803822.0,804194.4129539002,True,509.5261399570375,804130.4026257355,257.5476009782203,804387.9502267137,804130.3181022217,257.5762950390069,804387.8943972607,804194.4129612028,245.56079508740856,804439.9737562902
65,61.3125,0.6250000000000075,834822.0,832837.4285431773,True,569.5055451090235,832766.8147126096,447.00915513129974,833213.8238677409,832766.7074336887,447.0589576059521,833213.7663912947,832837.4284737513,426.20441086801395,833263.6328846193
65,61.9375,0.6249999999999936,861230.0,860474.7649544126,True,625.6017644812927,860399.1853179482,711.7995978868304,861110.9849158351,860399.0551696985,711.878901366467,861110.934071065,860474.7650143072,678.6709506751298,861153.4359649824
65,62.56250000000001,0.6250000000000006,886382.0,887015.6652319427,True,675.0036100677148,886936.9401443003,1039.8783816219254,887976.8185259223,886936.7885285334,1039.9942372283438,887976.7827657617,887015.6652192649,991.4802592429577,888007.1454785079
65,63.18749999999999,0.6250000000000006,913725.0,912380.7117288953,True,715.4556343241343,912300.7512171586,1393.7720033565508,913694.5232205152,912300.5814341584,1393.9272871892679,913694.5087213477,912380.712070451,1328.9029290695976,913709.6149995206
65,63.81249999999999,0.6250000000000006,937192.0,936503.2063459303,True,745.2968780862869,936423.9086038972,1713.9020026399694,938137.8106065372,936423.7262580516,1714.092953004326,938137.8192110559,936503.2062685346,1634.1334062970504,938137.3396748317
65,64.4375,0.6250000000000006,961826.0,959330.067026135,True,763.4775909522917,959253.2417843279,1933.596204961339,961186.8379892892,959253.0532985756,1933.8116320390177,961186.8649306146,959330.0670334082,1843.6025793478673,961173.6696127561
65,65.06250000000001,0.6250000000000006,982794.0,980822.2390886854,True,769.5549431417043,980749.5217222992,2001.3885802212862,982750.9103025205,980749.3340355073,2001.6115602271582,982750.9455957344,980822.2391290211,1908.239755180479,982730.4788842015
65,65.6875,0.6250000000000006,1002204.0,1000954.6312324776,True,763.6665150695477,1000887.4277723697,1900.5660395106547,1002787.9938118804,1000887.2474037796,1900.7777866100628,1002788.0251903897,1000954.631219658,1812.1097071210177,1002766.740926779
65,66.3125,0.6250000000000006,1023037.0,1019715.6257055642,True,746.484110089224,1019655.0668142644,1655.8473793252858,1021310.9141935897,1019654.899515123,1656.0318616702007,1021310.9313767932,1019715.6256965073,1578.7807669965614,1021294.4064635038
65,66.9375,0.6250000000000006,1038892.0,1037106.2250575975,True,719.1514329022018,1037053.131882052,1323.5584142322639,1038376.6902962843,1037052.9816196332,1323.705875382934,1038376.6874950161,1037106.2250030331,1261.9572277475395,1038368.1822307806
65,67.5625,0.6249999999999867,1053072.0,1053138.9102587027,True,683.2104714105587,1053093.7910657118,970.6236360173018,1054064.414701729,1053093.6602574873,970.7317757689709,1054064.3920332564,1053138.910152994,925.4487748507355,1054064.3589278448
65,68.1875,0.6250000000000144,1068286.0,1067836.2919084774,True,640.5221069379536,1067799.3453910449,653.0445760905313,1068452.3899671354,1067799.2350492636,653.117333517475,1068452.352382781,1067836.292085955,622.6505109083571,1068458.9425968633
65,68.8125,0.6249999999999867,1081924.0,1081229.6352154987,True,593.1861464590849,1081200.767534705,403.1049035698572,1081603.872438275,1081200.6768467806,403.1498145554865,1081603.826661336,1081229.6353327485,384.34355532054894,1081613.978888069
65,69.4375,0.6250000000000006,1093293.0,1093357.327558938,True,543.4626297603139,1093336.1835853434,228.28401797673453,1093564.4676033203,1093336.1103237013,228.30945170418354,1093564.4197754054,1093357.3275999357,217.65920065726317,1093574.9868005929
65,70.0625,0.6250000000000144,1104150.0,1104263.3629080283,False,,,,,,,,,,
65,70.6875,0.6249999999999867,1113951.0,1113995.8888856329,False,,,,,,,,,,
65,71.3125,0.6250000000000144,1121076.0,1122605.8652622043,False,,,,,,,,,,
65,71.9375,0.6250000000000006,1130302.0,1130145.8564565042,False,,,,,,,,,,
65,72.5625,0.6249999999999867,1136367.0,1136668.986370564,False,,,,,,,,,,
