mass_MeV,sigma_MeV,n_fit_bins,eps2_current,r_current,current_Ahat_window,conversion_window_per_eps2,template_window_fraction,lml_delta,log_cov_relative_load,count_cov_relative_load,prediction_hash_exact,log_mean_median_relative,gp_relative_sd_max,log_loading_count_cov_max_relative,eps2_gaussian_control,r_gaussian_control,Ahat_gaussian_control,sigma_A_gaussian_control,cls_gaussian_control,score_gaussian_control,min_lambda_gaussian_control,eps2_log_gp,r_log_gp,Ahat_log_gp,sigma_A_log_gp,cls_log_gp,score_log_gp,min_lambda_log_gp,eps2_fixed,r_fixed,Ahat_fixed,sigma_A_fixed,cls_fixed,score_fixed,min_lambda_fixed,gaussian_control_relative_to_release,dimuon_factor,eps2_current_dimuon,eps2_log_gp_dimuon,eps2_fixed_dimuon,eps2_gaussian_control_dimuon
50,1.9941875,15,2.1149103752779968e-05,1.5685927192524247,7505.3707356646355,653080147.4521304,0.981197732879438,-6.156756171549205e-07,1e-07,1e-07,True,4.719935170927059e-06,0.0030724408244243,3.880815443262133e-07,2.1148594450435556e-05,1.5686580080573722,7512.185222438749,4789.072924991169,0.0999999999988425,8.797546580119331e-09,102084.0611868068,2.1151768272334447e-05,1.5657781888632962,7513.8717536877775,4794.525520534446,0.0999999999989275,1.1911949715504023e-07,102084.08463142718,1.9204248134367248e-05,6.275351101767374,10411.897065887417,1661.5707819536913,0.0999999999998394,8.670841822322474e-14,101875.6556782221,-2.4081509569673365e-05,1.0,2.1149103752779968e-05,2.1151768272334447e-05,1.9204248134367248e-05,2.1148594450435556e-05
51,2.0014858749999997,14,1.1668758890409897e-05,0.2336263142727887,1170.5087342387037,771364840.0945915,0.97117532369572,0.0,1e-07,1e-07,True,2.9899979103742425e-06,0.0024454048255719,3.266937751101136e-07,1.1671566078191142e-05,0.2338416833615992,1172.861359177536,5015.649590316928,0.1000000000000097,1.9561424524638937e-07,141170.8254764184,1.1662974223593112e-05,0.2337115672537481,1172.485191035236,5016.2273717736425,0.1000000000000022,1.883200337893243e-07,141170.93749721747,4.656461050941558e-06,0.5236383791852991,940.2763070073288,1795.8575598922755,0.0999999999999688,2.2279289524362863e-11,141006.32586430747,0.0002405729527543,1.0,1.1668758890409897e-05,1.1662974223593112e-05,4.656461050941558e-06,1.1671566078191142e-05
52,2.008956,15,8.045157900312727e-06,-0.5493827813631382,-3034.8544587276115,914406325.7988971,0.9803084378467762,-7.547675977548352e-07,1e-07,1e-07,True,3.04453613453326e-06,0.0024676064390162,3.09414885579723e-07,8.015471354999516e-06,-0.5552932427466661,-3033.7049094603112,5463.196212986124,0.0999999999988432,5.248741186125727e-08,163532.93441845625,8.005932031501755e-06,-0.5550080447444028,-3029.8063743220314,5460.3299517083915,0.0999999999979965,1.626573471469328e-07,163532.88734117322,1.366653964872587e-06,-3.034155820726569,-5945.962659916027,1958.5242685923392,0.0999999999876727,1.9930985861726924e-08,163626.57589526096,-0.0036899891439118,1.0,8.045157900312727e-06,8.005932031501755e-06,1.366653964872587e-06,8.015471354999516e-06
53,2.016597875,14,6.398160947997226e-06,-0.7965714306515927,-4345.047323208298,1047657087.036896,0.9696386583051,-8.112360774248373e-07,1e-07,1e-07,True,1.781296978586866e-06,0.0018874843390585,2.6028576352519573e-07,6.3895231773908245e-06,-0.7983812495234839,-4342.345399904492,5438.829063043214,0.1000000000000238,1.709593355769812e-07,213153.16871793536,6.381958725417127e-06,-0.7983746465903766,-4339.298863044659,5436.73455094087,0.1000000000000134,7.392565604114054e-08,213153.1540265412,1.2374076905262882e-06,-3.131366758099986,-6514.93001442486,2079.3618102440405,0.1000000000000241,1.7687006248490178e-08,213304.1303333885,-0.0013500395936594,1.0,6.398160947997226e-06,6.381958725417127e-06,1.2374076905262882e-06,6.3895231773908245e-06
54,2.0244115,14,6.2664593612279555e-06,-0.5810758186152389,-3285.794767811998,1197945417.1515815,0.9689957522960766,0.0,1e-07,1e-07,True,1.3871220858607811e-06,0.0016656068250754,2.2945995382648698e-07,6.28673393133444e-06,-0.5799850569622956,-3285.091736312699,5664.01322818018,0.0999999999999914,2.026911105623697e-08,268278.37154177064,6.284762838929809e-06,-0.5794450908097749,-3282.561838411317,5666.09903138819,0.0999999999999895,5.5233161155854305e-08,268278.37109296094,2.7289963371984956e-06,-0.293215298766675,-649.4647581258406,2214.865519512734,0.1000000000000031,1.021932538591841e-12,268345.46370936214,0.0032354107699041,1.0,6.2664593612279555e-06,6.284762838929809e-06,2.7289963371984956e-06,6.28673393133444e-06
55,2.032396875,15,5.798976335094624e-06,-0.5977355555357049,-3591.9831366257754,1369200620.4555128,0.9788502618579518,0.0,1e-07,1e-07,True,1.410672585189232e-06,0.0016796866256365,2.2441519865962618e-07,5.79948785560099e-06,-0.5977582328954684,-3592.616892916621,6010.073695645496,0.0999999999999673,1.1031278424056269e-07,297437.8637128461,5.795407828062079e-06,-0.5974931918321579,-3589.659197878757,6008.903518206552,0.099999999999999,1.244878187200982e-07,297437.9183748548,1.4062972437733771e-06,-2.1030966950395467,-4979.513344731159,2366.910341911855,0.1000000000000226,2.5419459037667735e-09,297616.89094285644,8.820875906501158e-05,1.0,5.798976335094624e-06,5.795407828062079e-06,1.4062972437733771e-06,5.79948785560099e-06
56,2.040554,14,6.938518394247164e-06,0.1643998447106549,987.337180811866,1516587497.7196913,0.96796916381848,0.0,1e-07,1e-07,True,9.758372030432838e-07,0.001397023750133,2.0143384699656907e-07,6.977843748898567e-06,0.163104203799484,987.3241478081536,6053.358689503381,0.1000000000000789,1.6831651605819786e-07,358247.2008294596,6.9759202604321585e-06,0.1636276273645346,990.4939603216023,6053.08223075705,0.1000000000000768,3.3354164763466094e-08,358247.1297959141,3.0241476671776505e-06,0.3270360128645324,806.8310846650138,2467.224129599886,0.0999999999999722,1.3120893260776256e-12,358244.07712751196,0.0056676875979759,1.0,6.938518394247164e-06,6.9759202604321585e-06,3.0241476671776505e-06,6.977843748898567e-06
57,2.0488828750000003,15,7.169610243391224e-06,0.3754515313666307,2548.2603274603616,1700602888.1932418,0.9777906766177716,0.0,1e-07,1e-07,True,1.0294534580346235e-06,0.0014348895344625,1.9936792971418835e-07,7.16714317521109e-06,0.3990352940050444,2547.4346473324754,6384.037855830364,0.0999999999999827,1.9768051773283449e-07,389574.88156902656,7.165799217320636e-06,0.3995264367457669,2550.726979457721,6383.780790353427,0.1000000000000787,4.0729574823927805e-08,389574.8213853656,3.735916125822499e-06,1.065248311781558,2780.8553756453352,2610.9248354273464,0.0999999999776864,1.2176942787434086e-10,389504.86282691546,-0.0003441007385873,1.0,7.169610243391224e-06,7.165799217320636e-06,3.735916125822499e-06,7.16714317521109e-06
58,2.0573835000000003,15,5.770514369531544e-06,0.0670298300995082,251.3921451842248,1870863577.475184,0.9767319180923464,-3.0266733119788114e-07,1e-07,1e-07,True,7.973646578562921e-07,0.0012628261762516,1.8262412490249921e-07,5.7382435078262916e-06,0.0399259779162205,256.69104887066055,6429.180618390582,0.1000000000011383,1.933574760304424e-07,453689.45078908256,5.730875940699867e-06,0.0391021900044264,251.15324020896568,6422.944853309342,0.1000000000011122,1.2115947889412837e-07,453689.5515590725,7.89530853786417e-07,-3.753952175724935,-10227.61243397477,2723.0771629181104,0.0999999999999586,1.6677900283035285e-08,453995.707538838,-0.0055923717780936,1.0,5.770514369531544e-06,5.730875940699867e-06,7.89530853786417e-07,5.7382435078262916e-06
59,2.066055875,15,4.694809674652309e-06,-0.1772078375607224,-2211.138750689712,2043241863.588432,0.9761512235401388,0.0,1e-07,1e-07,True,7.335934624208562e-07,0.0012112751392048,1.749341535736458e-07,4.708701731970507e-06,-0.3338513450435049,-2209.2883844032744,6617.530810018532,0.1000000000000031,1.4097198297591262e-07,486178.71016122424,4.704721756358673e-06,-0.3340924301331791,-2209.5335199098677,6613.961258612622,0.0999999999999979,7.311583338776019e-08,486178.65259953664,8.457412665686755e-07,-3.2189010806026457,-9113.303085687156,2829.9735575758514,0.1000000000000184,7.857764217078511e-09,486438.3116713502,0.0029590245996982,1.0,4.694809674652309e-06,4.704721756358673e-06,8.457412665686755e-07,4.708701731970507e-06
