dataset_set,mass_GeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,cls_alpha,eps2_obs,p0_analytic,Z_analytic,eps2_lo2,eps2_lo1,eps2_med,eps2_hi1,eps2_hi2,eps2_mean,ul_eps2_obs,toy_eps2_uls_q02,toy_eps2_uls_q16,toy_eps2_uls_q50,toy_eps2_uls_q84,toy_eps2_uls_q97,toy_eps2_uls_mean,p_strong,p_weak,p_two,meta,cls_statistic,cls_calibration,combined_mode,global_method,bands_refit_gp_on_toy,bands_train_exclude_nsigma,bands_refit_restarts,bands_refit_optimize,bands_seed_sequence_index,n_toys_requested,n_toys_finite,gp_lml_by_dataset,gp_ls_opt_by_dataset,gp_const_opt_by_dataset,gp_state_sha256_by_dataset,observed_gp_fit_mode,observed_gp_optimizer_restarts,row_source,band_branch_repair_applied,selected_attempt,bands_n_toys,bands_seed,mvn_trunc_method,mvn_trunc_max_tries,toy_construction,inner_cls,coverage_calibration
2015,0.019,0.0009189342902331,0.0009189342902331,0.1,3.870739884070888e-05,0.5,0.0,2.7935964391177345e-05,3.309041633912505e-05,4.2884706308495094e-05,5.937690853932444e-05,9.132203993559452e-05,4.665163917614302e-05,3.870739884070888e-05,2.7935964391177345e-05,3.309041633912505e-05,4.2884706308495094e-05,5.937690853932444e-05,9.132203993559452e-05,4.665163917614302e-05,0.4,0.6,0.8,"[{""const_opt"": 27.02863942650108, ""dens"": 282453695.05657667, ""key"": ""2015"", ""lml"": 932.9538794957905, ""ls_opt"": 0.377854176580584, ""sigma"": 0.0009189342902331, ""state_sha256"": ""a72ae956ed7b24409fe6049978b7f6e763822c6d19898901b0560630166e8dd9""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,0,100,100,"{""2015"": 932.9538794957905}","{""2015"": 0.377854176580584}","{""2015"": 27.02863942650108}","{""2015"": ""a72ae956ed7b24409fe6049978b7f6e763822c6d19898901b0560630166e8dd9""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2015,0.02,0.0009721533740987,0.0009721533740987,0.1,3.1034876501469984e-05,0.1765426153543053,0.9286215866540648,1.5147729310178115e-05,1.7115588697663003e-05,2.1613318011344964e-05,3.060504045594273e-05,4.030171412263288e-05,2.376819444219921e-05,3.1034876501469984e-05,1.5147729310178115e-05,1.7115588697663003e-05,2.1613318011344964e-05,3.060504045594273e-05,4.030171412263288e-05,2.376819444219921e-05,0.85,0.15,0.3,"[{""const_opt"": 27.60827683024431, ""dens"": 379153831.1551498, ""key"": ""2015"", ""lml"": 912.1128897722413, ""ls_opt"": 0.3797060352728572, ""sigma"": 0.0009721533740987999, ""state_sha256"": ""d22c495a3413c132c9a84a9773e7eda7f7eb0ed2aa33859f1a34db71d1569299""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,1,100,100,"{""2015"": 912.1128897722413}","{""2015"": 0.3797060352728572}","{""2015"": 27.60827683024431}","{""2015"": ""d22c495a3413c132c9a84a9773e7eda7f7eb0ed2aa33859f1a34db71d1569299""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2015,0.021,0.0010253724579645,0.0010253724579645,0.1,1.815199060477469e-05,0.5,0.0,1.2787303951690558e-05,1.5202248038538604e-05,1.9561636398485215e-05,2.935756163214905e-05,4.0465670764612534e-05,2.2119002362177e-05,1.815199060477469e-05,1.2787303951690558e-05,1.5202248038538604e-05,1.9561636398485215e-05,2.935756163214905e-05,4.0465670764612534e-05,2.2119002362177e-05,0.4,0.6,0.8,"[{""const_opt"": 27.722326414770627, ""dens"": 472707141.1161992, ""key"": ""2015"", ""lml"": 894.3031144561157, ""ls_opt"": 0.381381157172953, ""sigma"": 0.0010253724579645, ""state_sha256"": ""fa65f42c992b9828f38d3ff58d4a2b790f387440b7d1610ca16964291aea407f""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,2,100,100,"{""2015"": 894.3031144561157}","{""2015"": 0.381381157172953}","{""2015"": 27.722326414770627}","{""2015"": ""fa65f42c992b9828f38d3ff58d4a2b790f387440b7d1610ca16964291aea407f""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2015,0.022,0.0010785915418301,0.0010785915418301,0.1,1.1628847427477736e-05,0.5,0.0,8.16403357289958e-06,9.658134798675414e-06,1.190197949650596e-05,1.7402857267234133e-05,2.290799394955317e-05,1.3421697614451933e-05,1.1628847427477736e-05,8.16403357289958e-06,9.658134798675414e-06,1.190197949650596e-05,1.7402857267234133e-05,2.290799394955317e-05,1.3421697614451933e-05,0.45,0.55,0.9,"[{""const_opt"": 26.287981646194023, ""dens"": 557319166.6376408, ""key"": ""2015"", ""lml"": 876.7121591913674, ""ls_opt"": 0.3829036909503536, ""sigma"": 0.0010785915418301997, ""state_sha256"": ""ead8453cc5b9fae0a7991df1949d5468b07f07893f6ef668e7ec792ca6cda7f2""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,3,100,100,"{""2015"": 876.7121591913674}","{""2015"": 0.3829036909503536}","{""2015"": 26.287981646194023}","{""2015"": ""ead8453cc5b9fae0a7991df1949d5468b07f07893f6ef668e7ec792ca6cda7f2""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2015,0.023,0.0011318106256958,0.0011318106256958,0.1,1.065558216887104e-05,0.4999513009912829,0.0001220703125,7.152148316982334e-06,8.206758331030257e-06,1.1278699074261532e-05,1.545000990068035e-05,2.2829457639798644e-05,1.220284013037119e-05,1.065558216887104e-05,7.152148316982334e-06,8.206758331030257e-06,1.1278699074261532e-05,1.545000990068035e-05,2.2829457639798644e-05,1.220284013037119e-05,0.46,0.54,0.92,"[{""const_opt"": 27.308845790937596, ""dens"": 630016895.0561807, ""key"": ""2015"", ""lml"": 876.0939714455826, ""ls_opt"": 0.3842935774677087, ""sigma"": 0.0011318106256958998, ""state_sha256"": ""ebd046774acb26be0132407b74edcd52af9ad332cea051d29c91c293113969ac""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,4,100,100,"{""2015"": 876.0939714455826}","{""2015"": 0.3842935774677087}","{""2015"": 27.308845790937596}","{""2015"": ""ebd046774acb26be0132407b74edcd52af9ad332cea051d29c91c293113969ac""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2015,0.024,0.0011850297095615,0.0011850297095615,0.1,1.1324853127030495e-05,0.3803753662623547,0.3044950904732278,6.717383431503026e-06,8.178807794506765e-06,1.0810522974425692e-05,1.5481462610800134e-05,1.8970593224889028e-05,1.1443565382886174e-05,1.1324853127030495e-05,6.717383431503026e-06,8.178807794506765e-06,1.0810522974425692e-05,1.5481462610800134e-05,1.8970593224889028e-05,1.1443565382886174e-05,0.56,0.44,0.88,"[{""const_opt"": 30.266897325835167, ""dens"": 691123382.2635775, ""key"": ""2015"", ""lml"": 868.4475847809091, ""ls_opt"": 0.3855674280160315, ""sigma"": 0.0011850297095615998, ""state_sha256"": ""7f772f911edfb0263bcf54ca468aeb4acf1fad6a1f769a07595193556d27ae78""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,5,100,100,"{""2015"": 868.4475847809091}","{""2015"": 0.3855674280160315}","{""2015"": 30.266897325835167}","{""2015"": ""7f772f911edfb0263bcf54ca468aeb4acf1fad6a1f769a07595193556d27ae78""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2015,0.025,0.0012382487934273,0.0012382487934273,0.1,1.0344991030869017e-05,0.2838968854363983,0.571303734224162,5.461970377096811e-06,6.426141650920389e-06,8.26549258530277e-06,1.2994214580519648e-05,1.8632032431571535e-05,9.54366328773694e-06,1.0344991030869017e-05,5.461970377096811e-06,6.426141650920389e-06,8.26549258530277e-06,1.2994214580519648e-05,1.8632032431571535e-05,9.54366328773694e-06,0.65,0.35,0.7,"[{""const_opt"": 29.137682851593627, ""dens"": 738967301.358607, ""key"": ""2015"", ""lml"": 868.586774318769, ""ls_opt"": 0.38673919140194, ""sigma"": 0.0012382487934273, ""state_sha256"": ""e4b96568ed567f2273ea9e6b6c9614626f0abf52029ab1b801bc8ba71cd16d19""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,6,100,100,"{""2015"": 868.586774318769}","{""2015"": 0.38673919140194}","{""2015"": 29.137682851593627}","{""2015"": ""e4b96568ed567f2273ea9e6b6c9614626f0abf52029ab1b801bc8ba71cd16d19""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2015,0.026,0.0012914678772929,0.0012914678772929,0.1,7.778965210146288e-06,0.5,0.0,5.022195238272946e-06,5.871938095650795e-06,7.380528920099317e-06,1.1137171439731493e-05,1.4460898276402948e-05,8.273567675718414e-06,7.778965210146288e-06,5.022195238272946e-06,5.871938095650795e-06,7.380528920099317e-06,1.1137171439731493e-05,1.4460898276402948e-05,8.273567675718414e-06,0.54,0.46,0.92,"[{""const_opt"": 29.68519377304855, ""dens"": 775313630.7800946, ""key"": ""2015"", ""lml"": 858.8875022794061, ""ls_opt"": 0.3878206668307946, ""sigma"": 0.0012914678772929999, ""state_sha256"": ""8561cab52af4f4b6a59ccf3da00efbbdaaaa0c327166b79727d06f300410e298""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,7,100,100,"{""2015"": 858.8875022794061}","{""2015"": 0.3878206668307946}","{""2015"": 29.68519377304855}","{""2015"": ""8561cab52af4f4b6a59ccf3da00efbbdaaaa0c327166b79727d06f300410e298""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2015,0.027,0.0013446869611586,0.0013446869611586,0.1,5.554676700440715e-06,0.5,0.0,4.904687225746968e-06,5.865344551933848e-06,7.824178838326397e-06,1.1475386055837297e-05,1.5853414373602307e-05,8.532532321299483e-06,5.554676700440715e-06,4.904687225746968e-06,5.865344551933848e-06,7.824178838326397e-06,1.1475386055837297e-05,1.5853414373602307e-05,8.532532321299483e-06,0.1,0.9,0.2,"[{""const_opt"": 29.89467084448365, ""dens"": 800922607.8622017, ""key"": ""2015"", ""lml"": 857.9153782493627, ""ls_opt"": 0.3888219026299353, ""sigma"": 0.0013446869611586998, ""state_sha256"": ""1cd4059ba946be493c2660784d88f5876f6e3f06aad7a7461e8ee5c16e513f41""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,8,100,100,"{""2015"": 857.9153782493627}","{""2015"": 0.3888219026299353}","{""2015"": 29.89467084448365}","{""2015"": ""1cd4059ba946be493c2660784d88f5876f6e3f06aad7a7461e8ee5c16e513f41""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
2015,0.028,0.0013979060450244,0.0013979060450244,0.1,5.550782113653665e-06,0.5,0.0,4.6315092606539354e-06,5.355545908093324e-06,6.833471647043144e-06,9.71142257246511e-06,1.1789940805077852e-05,7.451360226863699e-06,5.550782113653665e-06,4.6315092606539354e-06,5.355545908093324e-06,6.833471647043144e-06,9.71142257246511e-06,1.1789940805077852e-05,7.451360226863699e-06,0.23,0.77,0.46,"[{""const_opt"": 28.928848304005797, ""dens"": 816392166.0291471, ""key"": ""2015"", ""lml"": 848.2123874496933, ""ls_opt"": 0.3897515093968238, ""sigma"": 0.0013979060450244, ""state_sha256"": ""01bfbc7dbf604d691d8766c76589b4787ce5a234a9e0b1f52cd0d5546333bc35""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,9,100,100,"{""2015"": 848.2123874496933}","{""2015"": 0.3897515093968238}","{""2015"": 28.928848304005797}","{""2015"": ""01bfbc7dbf604d691d8766c76589b4787ce5a234a9e0b1f52cd0d5546333bc35""}",fixed_reviewed_max_lml,0,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/ul_bands_combined_all.csv,False,,100,24680,reject_then_clip,80,conditional GP posterior MVN then Poisson,asymptotic tilde_q_mu at alpha=0.1,False
