dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma,row_source,optimizer_repair_applied,interpolated
2015,0.019,0.0009189342902331,0.0169323978469755,0.0210676021530244,282453695.05657667,1.64,0.0174929477640177,0.0205070522359822,0.0030141044719645,0.0,0.15,3000,4.999999999999796e-05,True,10601.250204427171,3.870727962952491e-05,0.499975650495596,6.103515625e-05,-1529.6622464066284,6961.96548120783,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.2**2 * RBF(length_scale=0.378),0.047231772072573,0.377854176580584,0.133591625279895,0.377854176580584,0.047231772072573,27.02863942650108,932.9538797144858,276,0,276,284,8,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,51.39842160051731,411.1873728041385,411.1873728041385,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.02,0.0009721533740987,0.0178126549082777,0.0221873450917223,379153831.1551498,1.64,0.0184056684664779,0.021594331533522,0.003188663067044,0.0,0.15,3000,4.999999999999796e-05,True,12010.46304279487,3.1034927394304676e-05,0.1765426158742379,0.9286215846482476,4983.66357987154,5358.171241874503,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.25**2 * RBF(length_scale=0.38),0.0474632544091071,0.3797060352728572,0.1342463561994478,0.3797060352728572,0.0474632544091071,27.60827683024431,912.1128897722411,271,0,271,284,13,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,48.82280478952847,390.58243831622775,390.58243831622775,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.021,0.0010253724579645,0.0186929119695798,0.0233070880304201,472707141.1161992,1.64,0.0193183891689382,0.0226816108310617,0.0033632216621235,0.0,0.15,3000,4.999999999999796e-05,True,9196.006087786756,1.81519889716611e-05,0.5,0.0,-1963.897130772323,6320.094910985816,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.27**2 * RBF(length_scale=0.381),0.0476726446466191,0.381381157172953,0.1348386012268838,0.381381157172953,0.0476726446466191,27.722326414770627,894.3031145442076,267,0,267,284,17,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,46.49300288526926,371.9440230821541,371.9440230821541,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.022,0.0010785915418301,0.019573169030882,0.0244268309691179,557319166.6376408,1.64,0.0202311098713984,0.0237688901286015,0.003537780257203,0.0,0.15,3000,4.999999999999796e-05,True,7276.57580173166,1.162885150496759e-05,0.5,0.0,-2066.6908589222653,5054.847636677206,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.13**2 * RBF(length_scale=0.383),0.0478629613687942,0.3829036909503536,0.1353768982061765,0.3829036909503536,0.0478629613687942,26.287981646194023,876.7121591913674,264,2,262,284,20,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,44.37542805831604,355.0034244665283,355.0034244665283,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.023,0.0011318106256958,0.0204534260921842,0.0255465739078157,630016895.0561807,1.64,0.0211438305738587,0.0248561694261412,0.0037123388522825,0.0,0.15,3000,4.999999999999796e-05,True,7879.886039162243,1.0655561290136211e-05,0.5,0.0,-588.368399764825,4988.996048076933,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.23**2 * RBF(length_scale=0.384),0.0480366971834635,0.3842935774677087,0.1358682972969273,0.3842935774677087,0.0480366971834635,27.308845790937596,876.0939715722659,264,6,258,284,20,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,42.44234511752173,339.53876094017386,339.53876094017386,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.024,0.0011850297095615,0.0213336831534864,0.0266663168465136,691123382.2635775,1.64,0.0220565512763189,0.025943448723681,0.003886897447362,0.0,0.15,3000,4.999999999999796e-05,True,9586.565812576187,1.1324855173943756e-05,0.3803753755817259,0.3044950660045873,1567.6362543540356,5202.562170498639,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.5**2 * RBF(length_scale=0.386),0.0481959285020039,0.3855674280160315,0.1363186714773959,0.3855674280160315,0.0481959285020039,30.266897325835167,868.4475847809091,262,9,253,284,22,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,40.670649953437845,325.36519962750276,325.36519962750276,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.025,0.0012382487934273,0.0222139402147885,0.0277860597852114,738967301.358607,1.64,0.0229692719787792,0.0270307280212207,0.0040614560424415,0.0,0.15,3000,4.999999999999796e-05,True,9753.469403030183,1.0344995888279516e-05,0.2838968898557533,0.5713037211827968,2737.317509236702,4792.65175591664,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.4**2 * RBF(length_scale=0.387),0.0483423989252425,0.38673919140194,0.1367329523954569,0.38673919140194,0.0483423989252425,29.137682851593627,868.586774318769,262,13,249,284,22,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,39.04094167654102,312.32753341232814,312.32753341232814,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.026,0.0012914678772929,0.0230941972760907,0.0289058027239092,775313630.7800946,1.64,0.0238819926812394,0.0281180073187605,0.004236014637521,0.0,0.15,3000,4.999999999999796e-05,True,8002.674078563876,7.778946585983463e-06,0.5,0.0,-143.513975509753,4913.387430813322,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.45**2 * RBF(length_scale=0.388),0.0484775833538493,0.3878206668307946,0.1371153117001718,0.3878206668307946,0.0484775833538493,29.68519377304855,858.8875023380206,260,16,244,284,24,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,37.53680924334059,300.29447394672474,300.29447394672474,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.027,0.0013446869611586,0.0239744543373929,0.030025545662607,800922607.8622017,1.64,0.0247947133836997,0.0292052866163002,0.0044105732326005,0.0,0.15,3000,4.999999999999796e-05,True,6130.212854662674,5.554662345077807e-06,0.5,0.0,-5508.254411401785,5053.430094002784,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.47**2 * RBF(length_scale=0.389),0.0486027378287419,0.3888219026299353,0.1374693020117413,0.3888219026299353,0.0486027378287419,29.89467084448365,857.9153782493627,260,20,240,284,24,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,36.14427687084997,289.1542149667997,289.1542149667997,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.028,0.0013979060450244,0.0248547113986951,0.0311452886013049,816392166.0291471,1.64,0.0257074340861599,0.03029256591384,0.00458513182768,0.0,0.15,3000,4.999999999999796e-05,True,6475.512978021844,5.550776550854667e-06,0.5,0.0,-4638.434146075916,5101.588137544036,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.38**2 * RBF(length_scale=0.39),0.0487189386746029,0.3897515093968238,0.1377979676360932,0.3897515093968238,0.0487189386746029,28.928848304005797,848.2123874496933,258,23,235,284,26,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,34.85136847931193,278.81094783449544,278.81094783449544,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.029,0.0014511251288901,0.0257349684599972,0.0322650315400027,823046135.5837226,1.64,0.0266201547886202,0.0313798452113797,0.0047596904227595,0.0,0.15,3000,4.999999999999796e-05,True,8851.561859362399,7.266648574151798e-06,0.4148576078219534,0.2150668286545047,1057.534307688195,4969.14801974903,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.46**2 * RBF(length_scale=0.391),0.048827113532448,0.3906169082595845,0.1381039323382378,0.3906169082595845,0.048827113532448,29.78293981778102,847.7571887995082,258,27,231,284,26,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,33.64776238820543,269.18209910564343,269.18209910564343,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.03,0.0015043442127557,0.0266152255212994,0.0333847744787005,822008895.937668,1.64,0.0275328754910804,0.0324671245089195,0.004934249017839,0.0,0.15,3000,4.999999999999796e-05,True,13770.387176298464,1.0941700068777234e-05,0.0792495199239537,1.4101376571908932,7087.686426102689,5029.087680622602,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.59**2 * RBF(length_scale=0.391),0.04892806617657,0.3914245294125607,0.1383894695351874,0.3914245294125607,0.04892806617657,31.30111349024987,838.6824224351714,256,30,226,284,28,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,32.52451517524638,260.196121401971,260.196121401971,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.031,0.0015575632966214,0.0274954825826016,0.0345045174173983,814302946.6626806,1.64,0.0284455961935407,0.0335544038064592,0.0051088076129185,0.0,0.15,3000,4.999999999999796e-05,True,14162.583132106953,1.09933789519928e-05,0.0687334654465692,1.4852903354723814,7491.047356749523,5045.493408244953,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.5**2 * RBF(length_scale=0.392),0.0490224965213914,0.3921799721711316,0.1386565588838793,0.3921799721711316,0.0490224965213914,30.23955967840421,835.6090807993447,256,34,222,284,28,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,31.473839058563993,251.7907124685119,251.7907124685119,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.032,0.0016107823804872,0.0283757396439038,0.0356242603560962,800432354.0283093,1.64,0.0293583168960009,0.034641683103999,0.005283366207998,0.0,0.15,3000,4.999999999999796e-05,True,10848.61435914682,8.29919721869189e-06,0.2319384780036787,0.732477852271702,3679.677414043885,5024.41336626628,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.51**2 * RBF(length_scale=0.393),0.0491110168718647,0.3928881349749176,0.1389069322442499,0.3928881349749176,0.0491110168718647,30.31710856177922,835.9540145389984,256,38,218,284,28,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,30.48892107760112,243.91136862080896,243.91136862080896,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
2015,0.033,0.0016640014643529,0.0292559967052059,0.036744003294794,781756301.0638617,1.64,0.0302710375984612,0.0357289624015387,0.0054579248030775,0.0,0.15,3000,4.999999999999796e-05,True,6830.995793878314,5.188419877083662e-06,0.5,0.0,-3079.082922197061,5043.209502345489,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,5.41**2 * RBF(length_scale=0.394),0.0491941652153258,0.3935533217226066,0.139142111274273,0.3935533217226066,0.0491941652153258,29.220062757809703,827.4621080759143,254,41,213,284,30,0.019,0.09,0.00025,1.0,1e-08,1e+18,False,False,False,True,12,1.0,8.0,8.0,29.563775194426615,236.51020155541292,236.51020155541292,study_results/finalist_k15_2021_10pct_combined100toy_20260803/combined/raw_scan_and_bands/results_single.csv,False,False
