phase,dataset,study,study_label,mode,lslb,mass_GeV,inj_nsigma,n_toys,n_source_toys,n_success,success_rate,refit_ok_rate,fallback_rate,pull_mean_correct,pull_mean_err,pull_width_correct,pull_width_err,cov_1sigma,cov_2sigma,delta_z_mean,delta_z_width,recovery_bias_mean,recovery_bias_median,sigma_ratio_median,eps_width_ratio_median,eps_95_exp_proxy_median,eps_95_exp_proxy_q16,eps_95_exp_proxy_q84,eps_95_obs_proxy_median,eps_95_obs_proxy_q16,eps_95_obs_proxy_q84,eps2_95_exp_proxy_median,eps2_95_obs_proxy_median,A_per_eps2_unit_mean,sigma_A_mean,A_hat_mean,qmu_tilde_median,source_root,container,function_tag
highstat,2015,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,0.045,0.0,25,25,25,1.0,1.0,0.0,-0.153245743586353,0.14126569821631893,0.7063284910815947,0.10194973611556522,0.84,1.0,-0.15324574358635304,0.7063284910815947,,,0.999671706403166,0.9998358397272854,0.006771741417556273,0.006700849470871067,0.0068346822461125434,0.006824656998618023,0.006754828304226369,0.007716737690716016,4.5856481826247035e-05,4.657594314878595e-05,972054297.3299549,27044.444160022762,-4373.356291979069,0.0,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
highstat,2015,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,0.045,1.0,25,25,25,1.0,1.0,0.0,-0.2424488423821133,0.1444660392185684,0.722330196092842,0.10425938328949938,0.8,1.0,-0.24971432482078817,0.7216849563456331,-0.24376760623351781,-0.4475767031481288,1.007147200682457,1.0035672377486506,0.006796740483382299,0.0067265263560312765,0.006858635812242008,0.007871564548854834,0.007199068598767197,0.009240355678308044,4.6195681198447856e-05,6.196152844678821e-05,972054297.3299549,27246.546259927,20201.20580888555,0.2044316977262497,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
highstat,2015,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,0.045,2.0,25,25,25,1.0,1.0,0.0,-0.32456012077771285,0.1384176522321408,0.6920882611607041,0.09989433597102813,0.8,1.0,-0.3537235703820601,0.6905689487379469,-0.16442051096564675,-0.23533905017451928,1.0148333012500261,1.007389349382862,0.00681761902356111,0.00674995055378449,0.006892381382035576,0.009508088307733168,0.008858785939206824,0.010455705348440198,4.647992915042234e-05,9.040374326765217e-05,972054297.3299549,27448.972582775896,44960.535170892515,0.2700547128915787,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
highstat,2015,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,0.045,3.0,25,25,25,1.0,1.0,0.0,-0.4156226118406136,0.14046296775696518,0.7023148387848259,0.10137041530707197,0.84,1.0,-0.4803964782833246,0.7005686183321441,-0.14146083395786527,-0.21593424933060124,1.0220302682724776,1.010955126735345,0.00684519934505424,0.006772386938811226,0.006909616033327673,0.010640796964456257,0.010309645857636135,0.011668912807777319,4.6856754073531e-05,0.00011322656003878148,972054297.3299549,27645.768456904032,69420.59505663051,0.489982470870018,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
highstat,2015,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,0.045,5.0,25,25,25,1.0,1.0,0.0,-0.5605120896160563,0.14154739831925237,0.7077369915962618,0.10215303565338942,0.76,1.0,-0.741770675830934,0.7065888843483079,-0.11628461336757588,-0.16338645495450144,1.0379204938180984,1.0187838307600383,0.006898657829518582,0.006823845471397215,0.0069654611571003605,0.012871439761479168,0.012486050393936542,0.013728105414456543,4.7591479848778034e-05,0.0001656739615333869,972054297.3299549,28066.351030181224,119253.30255617599,0.5499076098203659,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
highstat,2015,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,0.06,0.0,25,25,25,1.0,1.0,0.0,-0.21250606246015277,0.18270325212483762,0.9135162606241881,0.13185471474511884,0.72,0.96,-0.21250606246015277,0.9135162606241881,,,0.9993137170271813,0.9996567996203404,0.0078807102081964,0.007695170815069674,0.00801021584571492,0.008014801767264814,0.00775871881777085,0.008813429647848,6.210559338557096e-05,6.42370473685512e-05,302047361.9702268,11335.004695157386,-2610.8515366138004,0.0,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
highstat,2015,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,0.06,1.0,25,25,25,1.0,1.0,0.0,-0.33281317759635987,0.18087000512018545,0.9043500256009273,0.13053168268058507,0.72,0.96,-0.3418352893060224,0.9029687857994194,-0.33462018666462595,-0.36847444390226103,1.0091447462300658,1.004561967342018,0.007922085777628296,0.007727342700525885,0.008054862159035166,0.00932168784620914,0.008075449197360729,0.01054999645996324,6.275944306810052e-05,8.68938643021632e-05,302047361.9702268,11446.246987779583,7329.001777276571,0.1028558798134327,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
highstat,2015,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,0.06,2.0,25,25,25,1.0,1.0,0.0,-0.44528551629680563,0.17937293792281434,0.8968646896140717,0.12945126749383862,0.72,0.96,-0.48190598464006,0.8947215674792853,-0.2263142150356384,-0.2317686252355411,1.0187300056871198,1.009321557129897,0.00796445110929101,0.007763995964227996,0.00808480897175043,0.011160985892329164,0.009477786738847731,0.012061153851979617,6.343248147228679e-05,0.00012456760608877063,302047361.9702268,11554.630076065603,17335.964280231237,0.212016824632883,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
highstat,2015,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,0.06,3.0,25,25,25,1.0,1.0,0.0,-0.5544730558866742,0.1893930152907304,0.946965076453652,0.13668263545092263,0.68,0.92,-0.637381492191909,0.9447044190874088,-0.18983345770374718,-0.1549217071702501,1.0285276367038179,1.0141635157625313,0.007996479099654964,0.007793068701270443,0.008132483147012752,0.012382242724366069,0.010951996523413316,0.013252787502328299,6.394367799121866e-05,0.00015331993488511644,302047361.9702268,11665.923733041554,27344.01425921072,0.1989134512841701,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
highstat,2015,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,0.06,5.0,25,25,25,1.0,1.0,0.0,-0.7446558197411872,0.18532573175190126,0.9266286587595063,0.13374732639340572,0.56,0.92,-0.9758630559621467,0.9274822510052605,-0.1561831219946987,-0.1676743468176598,1.049082226215824,1.024247150943474,0.008077881405848095,0.007864356775589096,0.00822932797227355,0.014866580666508748,0.01381159777256655,0.015633046131318207,6.525216800694639e-05,0.0002210152207138117,302047361.9702268,11894.055080271242,47601.58564240638,0.6837595999240875,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail
