dataset,study,mass_GeV,inj_nsigma,n_toys,pull_mean_correct,pull_mean_ratio_of_means,delta_z_mean,abs_definition_delta_ratio,abs_definition_delta_deltaZ,sigma_ratio_mean
2015,fixed_lslb1p0,0.03,0.0,10,-2.093521367477105,-2.0906601199928683,-2.093521367477105,0.002861247484236884,0.0,0.9994348302144008
2015,fixed_lslb1p0,0.03,1.0,10,-2.463854625432874,-2.46102571005113,-2.4635329547193665,0.0028289153817437906,0.00032167071350741594,0.9997051412223102
2015,fixed_lslb1p0,0.03,2.0,10,-2.825925388348374,-2.823150516500306,-2.8258128674656477,0.002774871848068017,0.00011252088272639682,0.9999704408988457
2015,fixed_lslb1p0,0.03,3.0,10,-3.2388808428358855,-3.2359978175283284,-3.2394982429015036,0.00288302530755713,0.0006174000656180567,1.0002326112319853
2015,fixed_lslb1p0,0.03,5.0,10,-4.030652401659341,-4.027876776011833,-4.034343790288297,0.0027756256475086616,0.003691388628955572,1.0007655192492417
2015,fixed_lslb1p0,0.045,0.0,10,7.858637062355963,7.869347043667963,7.858637062355962,0.010709981311999961,8.881784197001252e-16,1.002764850344189
2015,fixed_lslb1p0,0.045,1.0,10,7.463342880363392,7.473973924693891,7.460327651540358,0.010631044330499329,0.003015228823033844,1.003084046831407
2015,fixed_lslb1p0,0.045,2.0,10,7.083706694630993,7.094072889333607,7.077050045858518,0.01036619470261435,0.006656648772475293,1.003399003526598
2015,fixed_lslb1p0,0.045,3.0,10,6.615863410656223,6.626435226777386,6.604942567370976,0.010571816121163202,0.010920843285246562,1.0037132554367556
2015,fixed_lslb1p0,0.045,5.0,10,5.85777228779843,5.868044800950975,5.836414707396221,0.01027251315254496,0.02135758040220903,1.0043494072889205
2015,fixed_lslb1p0,0.06,0.0,10,-10.82980094973319,-10.796360571853768,-10.82980094973319,0.033440377879422556,0.0,0.9932886079348586
2015,fixed_lslb1p0,0.06,1.0,10,-11.195036617175811,-11.162076127196022,-11.188618747381442,0.03296048997978929,0.006417869794368869,0.9938821758021976
2015,fixed_lslb1p0,0.06,2.0,10,-11.498304681020258,-11.465766093690542,-11.486680409095381,0.03253858732971615,0.011624271924876695,0.9944804249002086
2015,fixed_lslb1p0,0.06,3.0,10,-12.156226242015626,-12.123351294006227,-12.140538663337347,0.03287494800939861,0.015687578678278413,0.9950570324434589
2015,fixed_lslb1p0,0.06,5.0,10,-12.681969260715935,-12.649619288868287,-12.661856346490032,0.03234997184764765,0.02011291422590311,0.9962525355576848
2015,fixed_lslb1p0,0.075,0.0,10,-3.5330198093510665,-3.513444686942861,-3.5330198093510674,0.01957512240820547,8.881784197001252e-16,0.9957727051145886
2015,fixed_lslb1p0,0.075,1.0,10,-3.9468496055339357,-3.92752511511604,-3.9436266621097316,0.019324490417895746,0.00322294342420415,0.9970140991260102
2015,fixed_lslb1p0,0.075,2.0,10,-4.258554729558264,-4.239360238559477,-4.2546405275641925,0.019194490998787117,0.00391420199407122,0.9982736993459496
2015,fixed_lslb1p0,0.075,3.0,10,-4.5182767328347655,-4.498878205133084,-4.516275010995983,0.019398527701681267,0.0020017218387824443,0.9995603214117308
2015,fixed_lslb1p0,0.075,5.0,10,-5.135213427415771,-5.115942467598285,-5.144211277583009,0.01927095981748561,0.008997850167238752,1.002030249929263
2015,fixed_lslb1p0,0.09,0.0,10,1.4999629194171096,1.5195526928923802,1.4999629194171096,0.019589773475270578,0.0,1.0054511851620604
2015,fixed_lslb1p0,0.09,1.0,10,1.171738224315374,1.1908421654393528,1.1646354994039416,0.01910394112397884,0.007102724911432379,1.0079206556585447
2015,fixed_lslb1p0,0.09,2.0,10,0.9584581480389037,0.975946147357507,0.9392379539390567,0.01748799931860323,0.019220194099846988,1.0104626019372165
2015,fixed_lslb1p0,0.09,3.0,10,0.6160322146422363,0.6335861950760925,0.5799435456527544,0.017553980433856142,0.03608866898948193,1.0129382906230204
2015,fixed_lslb1p0,0.09,5.0,10,0.07225062789598127,0.08719179924534645,-0.012800982973488218,0.014941171349365179,0.0850516108694695,1.0180578609302617
2015,fixed_lslb1p0,0.105,0.0,10,-1.5449450958665825,-1.4971901525258569,-1.5449450958665825,0.04775494334072561,0.0,0.9947784261790034
2015,fixed_lslb1p0,0.105,1.0,10,-1.763790869153798,-1.7204826468957828,-1.7614140165859016,0.04330822225801523,0.002376852567896437,0.9992014089234351
2015,fixed_lslb1p0,0.105,2.0,10,-1.9327677890070363,-1.8891560978329762,-1.9385659515551255,0.04361169117406005,0.005798162548089181,1.004480996043244
2015,fixed_lslb1p0,0.105,3.0,10,-2.2421052675161217,-2.2040020404017975,-2.263192788680903,0.038103227114324234,0.021087521164781187,1.0086290258912451
2015,fixed_lslb1p0,0.105,5.0,10,-2.719647922742065,-2.6847678437997873,-2.8000488814041384,0.03488007894227785,0.08040095866207331,1.017872569866403
2015,fixed_lslb1p0,0.12,0.0,10,6.201060376077906,6.251414146584021,6.201060376077906,0.050353770506115225,0.0,1.0590597299343931
2015,fixed_lslb1p0,0.12,1.0,10,6.088894491562954,6.135267914220113,6.030053879956789,0.04637342265715905,0.05884061160616483,1.0664432696458384
2015,fixed_lslb1p0,0.12,2.0,10,5.689558655488615,5.737297016620823,5.5585025584756895,0.04773836113220753,0.13105609701292575,1.0740758252709006
2015,fixed_lslb1p0,0.12,3.0,10,5.492181607987609,5.535509029131979,5.278037557805947,0.043327421144369715,0.2141440501816625,1.0807484077080716
2015,fixed_lslb1p0,0.12,5.0,10,5.017548283282844,5.0555876919451155,4.596601787921285,0.03803940866227151,0.4209464953615587,1.0957894620347592
2015,profiled_lslb0p5,0.03,0.0,10,-0.146040622383193,-0.14649962021280818,-0.146040622383193,0.00045899782961519864,0.0,1.0004897530683485
2015,profiled_lslb0p5,0.03,1.0,10,-1.022990967688082,-1.02720926971211,-1.0335763706513716,0.004218302024028064,0.010585402963289692,1.01071557649207
2015,profiled_lslb0p5,0.03,2.0,10,-1.8805459144099956,-1.882981714748636,-1.9218400579149733,0.002435800338640437,0.04129414350497762,1.0211401200767989
2015,profiled_lslb0p5,0.03,3.0,10,-2.751744607772594,-2.754413420991263,-2.8410450423020492,0.002668813218669186,0.08930043452945524,1.030767546713444
