dataset,mass_GeV,toy,injection_toy,strength,inj_nsigma,sigmaA_ref,sigmaA_ref_prefit,sigmaA_ref_matched,sigmaA_ref_mode,sigmaA_ref_matched_ok,sigmaA_ref_error,integral_density,A_per_eps2_unit,sigma_val,sigma_x,kernel_ls_policy,kernel_ls_res_lower_factor,kernel_ls_res_upper_factor,ls_lo,ls_hi,ls_init,initial_ls_opt,initial_const_opt,refit_ls_opt,refit_const_opt,ls_opt,const_opt,f_win,f_full,f_train,f_train_frac,n_train,n_train_low,n_train_high,n_blind,blind_nsigma,train_exclude_nsigma,signal_model,inj_shape_mode,inj_background_mode,extract_background_mode,A_hat,sigma_A,Zhat,pull_param,Nsig_win,Nsig_train,success,nll,toy_mode,refit_gp_on_toy,refit_ok,refit_restarts,refit_optimize,refit_kernel_lock_mode,refit_lock_const_opt,refit_lock_ls_opt,refit_tail_alpha_scale,refit_tail_alpha_threshold,refit_tail_alpha_n_bins,refit_tail_alpha_max,refit_tail_alpha_mean,refit_fallback_used,refit_error,source_model,source_label,source_root,container,function_tag,toy_hist,toy_index,qmu_tilde,tmu_tilde,sqrt_qmu_tilde,sqrt_tmu_tilde,qmu_A_test,qmu_branch,qmu_ok,qmu_nll_fixed,qmu_nll_unbounded,qmu_nll_null
2015,0.045,5000000,0,0.0,0.0,35546.69252878108,35546.69252878108,35546.69252878108,matched_refit_bonly,1.0,,393442625.0,971571009.1702017,0.0023026304707412,0.0499034166704954,resolution_scaled_local,1.1,8.0,0.054893758337545,0.3992273333639637,0.1480374572850532,0.1462042809103593,20.398615012867236,0.1462042809103593,20.398615012867236,0.1462042809103593,20.398615012867236,0.9773923766036258,1.0,0.0226076233963742,0.0226076233963742,558,159,399,42,2.25,2.25,default,full,fixed_hist,profiled,30364.363938013765,35460.5291186155,0.8562862622958879,0.8562862622958879,0,0,True,-43819745.74006748,full_refit,True,1.0,0,True,initial_fit,20.398615012867236,0.1462042809103593,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_5,5,0.0,0.0,0.0,0.0,0.0,muhat_gt_test,True,-43819745.27215162,-43819745.74006748,-43819745.27215162
2015,0.045,5000000,0,35546.69252878108,1.0,35546.69252878108,35546.69252878108,35546.69252878108,matched_refit_bonly,1.0,,393442625.0,971571009.1702017,0.0023026304707412,0.0499034166704954,resolution_scaled_local,1.1,8.0,0.054893758337545,0.3992273333639637,0.1480374572850532,0.1462042809103593,20.398615012867236,0.1462042809103593,20.398615012867236,0.1462042809103593,20.398615012867236,0.9773923766036258,1.0,0.0226076233963742,0.0226076233963742,558,159,399,42,2.25,2.25,default,full,fixed_hist,profiled,57967.94695663892,35835.35736706757,1.617618776976703,0.6256740849042798,34770,774,True,-44219053.904784955,full_refit,True,1.0,0,True,initial_fit,20.398615012867236,0.1462042809103593,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_5,5,0.0,0.0,0.0,0.0,35546.69252878108,muhat_gt_test,True,-44219053.6728679,-44219053.904784955,-44219052.63589798
2015,0.045,5000000,0,71093.38505756216,2.0,35546.69252878108,35546.69252878108,35546.69252878108,matched_refit_bonly,1.0,,393442625.0,971571009.1702017,0.0023026304707412,0.0499034166704954,resolution_scaled_local,1.1,8.0,0.054893758337545,0.3992273333639637,0.1480374572850532,0.1462042809103593,20.398615012867236,0.1462042809103593,20.398615012867236,0.1462042809103593,20.398615012867236,0.9773923766036258,1.0,0.0226076233963742,0.0226076233963742,558,159,399,42,2.25,2.25,default,full,fixed_hist,profiled,85190.57667295054,36192.64292883706,2.3538092214059785,0.3895043432751417,69160,1602,True,-44614495.02124983,full_refit,True,1.0,0,True,initial_fit,20.398615012867236,0.1462042809103593,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_5,5,0.0,0.0,0.0,0.0,71093.38505756216,muhat_gt_test,True,-44614494.91941133,-44614495.02124983,-44614492.29993254
2015,0.045,5000000,0,106640.07758634324,3.0,35546.69252878108,35546.69252878108,35546.69252878108,matched_refit_bonly,1.0,,393442625.0,971571009.1702017,0.0023026304707412,0.0499034166704954,resolution_scaled_local,1.1,8.0,0.054893758337545,0.3992273333639637,0.1480374572850532,0.1462042809103593,20.398615012867236,0.1462042809103593,20.398615012867236,0.1462042809103593,20.398615012867236,0.9773923766036258,1.0,0.0226076233963742,0.0226076233963742,558,159,399,42,2.25,2.25,default,full,fixed_hist,profiled,112660.84849439228,36628.10360501609,3.075803478915675,0.1643757201567079,104697,2439,True,-45023403.27400122,full_refit,True,1.0,0,True,initial_fit,20.398615012867236,0.1462042809103593,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_5,5,0.0,0.0,0.0,0.0,106640.07758634324,muhat_gt_test,True,-45023403.24646787,-45023403.27400122,-45023398.59116452
2015,0.045,5000000,0,177733.4626439054,5.0,35546.69252878108,35546.69252878108,35546.69252878108,matched_refit_bonly,1.0,,393442625.0,971571009.1702017,0.0023026304707412,0.0499034166704954,resolution_scaled_local,1.1,8.0,0.054893758337545,0.3992273333639637,0.1480374572850532,0.1462042809103593,20.398615012867236,0.1462042809103593,20.398615012867236,0.1462042809103593,20.398615012867236,0.9773923766036258,1.0,0.0226076233963742,0.0226076233963742,558,159,399,42,2.25,2.25,default,full,fixed_hist,profiled,170701.8016014552,37428.45124488646,4.560749801924459,-0.1878694097290728,174102,3966,True,-45823231.2612848,full_refit,True,1.0,0,True,initial_fit,20.398615012867236,0.1462042809103593,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_5,5,0.0,0.0,0.0,0.0,177733.4626439054,interior,True,-45823231.267736,-45823231.2612848,-45823221.01459326
2015,0.075,5000000,0,0.0,0.0,6080.907518742011,6080.907518742011,6080.907518742011,matched_refit_bonly,1.0,,17697538.461538445,72837453.3343346,0.0038992029867122,0.0506830127019153,resolution_scaled_local,1.1,8.0,0.0557513139721068,0.4054641016153226,0.1503501128485579,0.1448084954933375,20.306599326115983,0.1448084954933375,20.306599326115983,0.1448084954933375,20.306599326115983,0.9751707088987388,1.0,0.0248292911012613,0.0248292911012613,530,265,265,70,2.25,2.25,default,full,fixed_hist,profiled,-5589.817867749757,6070.777619464617,-0.920774605517954,-0.920774605517954,0,0,True,-2527937.6475787987,full_refit,True,1.0,0,True,initial_fit,20.306599326115983,0.1448084954933375,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_5,5,0.0,0.0,0.0,0.0,0.0,boundary,True,-2527937.216624495,-2527937.6475787987,-2527937.216624495
2015,0.075,5000000,0,6080.907518742011,1.0,6080.907518742011,6080.907518742011,6080.907518742011,matched_refit_bonly,1.0,,17697538.461538445,72837453.3343346,0.0038992029867122,0.0506830127019153,resolution_scaled_local,1.1,8.0,0.0557513139721068,0.4054641016153226,0.1503501128485579,0.1448084954933375,20.306599326115983,0.1448084954933375,20.306599326115983,0.1448084954933375,20.306599326115983,0.9751707088987388,1.0,0.0248292911012613,0.0248292911012613,530,265,265,70,2.25,2.25,default,full,fixed_hist,profiled,-543.5349839969549,6262.586380383889,-0.086790816283102,-1.0577806197593551,5996,172,True,-2577834.3413004717,full_refit,True,1.0,0,True,initial_fit,20.306599326115983,0.1448084954933375,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_5,5,1.1140964291989803,1.1140964291989803,1.055507664206651,1.055507664206651,6080.907518742011,boundary,True,-2577833.7803459098,-2577834.3413004717,-2577834.3373941244
2015,0.075,5000000,0,12161.815037484022,2.0,6080.907518742011,6080.907518742011,6080.907518742011,matched_refit_bonly,1.0,,17697538.461538445,72837453.3343346,0.0038992029867122,0.0506830127019153,resolution_scaled_local,1.1,8.0,0.0557513139721068,0.4054641016153226,0.1503501128485579,0.1448084954933375,20.306599326115983,0.1448084954933375,20.306599326115983,0.1448084954933375,20.306599326115983,0.9751707088987388,1.0,0.0248292911012613,0.0248292911012613,530,265,265,70,2.25,2.25,default,full,fixed_hist,profiled,3347.97314979452,6398.329847559697,0.5232573545847166,-1.3775222749810367,11967,310,True,-2627671.9246076313,full_refit,True,1.0,0,True,initial_fit,20.306599326115983,0.1448084954933375,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_5,5,1.9121595621109009,1.9121595621109009,1.3828085775373613,1.3828085775373613,12161.815037484022,interior,True,-2627670.96852785,-2627671.9246076313,-2627671.7858056654
2015,0.075,5000000,0,18242.722556226036,3.0,6080.907518742011,6080.907518742011,6080.907518742011,matched_refit_bonly,1.0,,17697538.461538445,72837453.3343346,0.0038992029867122,0.0506830127019153,resolution_scaled_local,1.1,8.0,0.0557513139721068,0.4054641016153226,0.1503501128485579,0.1448084954933375,20.306599326115983,0.1448084954933375,20.306599326115983,0.1448084954933375,20.306599326115983,0.9751707088987388,1.0,0.0248292911012613,0.0248292911012613,530,265,265,70,2.25,2.25,default,full,fixed_hist,profiled,9393.075250243097,6596.758475141495,1.4238925505062732,-1.3415145240394937,18028,438,True,-2678486.021680385,full_refit,True,1.0,0,True,initial_fit,20.306599326115983,0.1448084954933375,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_5,5,1.798511198721826,1.798511198721826,1.3410858282458382,1.3410858282458382,18242.722556226036,interior,True,-2678485.1224247855,-2678486.021680385,-2678485.0073454157
2015,0.075,5000000,0,30404.537593710054,5.0,6080.907518742011,6080.907518742011,6080.907518742011,matched_refit_bonly,1.0,,17697538.461538445,72837453.3343346,0.0038992029867122,0.0506830127019153,resolution_scaled_local,1.1,8.0,0.0557513139721068,0.4054641016153226,0.1503501128485579,0.1448084954933375,20.306599326115983,0.1448084954933375,20.306599326115983,0.1448084954933375,20.306599326115983,0.9751707088987388,1.0,0.0248292911012613,0.0248292911012613,530,265,265,70,2.25,2.25,default,full,fixed_hist,profiled,18151.57436697085,6946.793901091647,2.6129426934802886,-1.7638299625981022,29695,774,True,-2776668.9594310727,full_refit,True,1.0,0,True,initial_fit,20.306599326115983,0.1448084954933375,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2015_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_5,5,3.1307573188096285,3.1307573188096285,1.769394619300519,1.769394619300519,30404.537593710054,interior,True,-2776667.3940524133,-2776668.9594310727,-2776665.5598256597
