dataset,mass_GeV,inj_nsigma,toy_index,delta_abs_pull_profiled_minus_fixed,pull_correct_fixed1p0,pull_correct_profiled0p5,A_hat_fixed1p0,A_hat_profiled0p5,sigma_A_fixed1p0,sigma_A_profiled0p5,strength_fixed1p0,strength_profiled0p5
2015,0.03,0.0,0,-4.711070743495875,-5.107923740885,0.3968529973891251,-10706.034773935542,37167.90756994549,2095.966055296004,93656.6129384714,0.0,0.0
2015,0.03,0.0,1,-11.425979916025787,-11.814301075037024,-0.38832115901123665,-24757.044526700367,-35098.0439694906,2095.514950013476,90384.06266312928,0.0,0.0
2015,0.03,0.0,2,-9.940918089002743,10.171334122689117,0.2304160336863749,21314.80090863926,20815.089941180217,2095.575727975792,90336.98570435494,0.0,0.0
2015,0.03,0.0,3,-21.846976021830315,-22.850088902126103,-1.0031128802957892,-47891.92168265863,-87662.78147550471,2095.9183961075305,87390.74454876453,0.0,0.0
2015,0.03,0.0,4,-10.717928592527752,-10.915347425940046,-0.19741883341229446,-22878.81782607001,-17984.493771029858,2096.022868836871,91098.16657395897,0.0,0.0
2015,0.03,0.0,5,-21.159246097522185,21.56104860259519,0.4018025050730041,45196.59055437209,35999.19359237534,2096.2148635448098,89594.24876117831,0.0,0.0
2015,0.03,0.0,6,-12.098953873013377,12.295127218284767,0.19617334527139021,25790.24415944675,17687.944572888573,2097.598804922705,90164.87203406105,0.0,0.0
2015,0.03,0.0,7,-6.328641706235569,-6.592043726741107,-0.2634020205055376,-13815.913000094451,-21087.75444511168,2095.846686217992,80059.19774130336,0.0,0.0
2015,0.03,0.0,8,-26.960169393923113,27.151403306329648,0.19123391240653637,56909.07086507776,17155.648566372154,2095.99003863682,89710.28386378281,0.0,0.0
2015,0.03,0.0,9,-33.80979192950699,-34.83442205394049,-1.0246301244335025,-72980.62647881277,-98647.7642122373,2095.072120496317,96276.46294976704,0.0,0.0
2015,0.03,1.0,8,-25.9134282819879,26.598888540394555,-0.6854602584066538,57845.90886843556,27567.06261533048,2096.5427492467707,90685.76195862996,2080.2019610483385,89728.54844129726
2015,0.03,1.0,5,-20.76081588123342,21.15859908914428,-0.3977832079108588,46448.961279694086,53546.06121174961,2096.777210072592,90462.78337952976,2084.0929125136627,89530.63738100408
2015,0.03,1.0,2,-9.250265621570538,9.792345109509954,-0.542079487939417,22615.774100593346,40928.939687747465,2096.1371807371847,91033.65138492778,2089.67542993959,90276.41481574452
