toy_index,toy_hist,dataset,mass_GeV,strength,n_toys,inj_nsigma,inj_nsigma_xerr,sigmaA_ref,integral_density,A_per_eps2_unit,f_win,f_train_frac,kernel_ls_policy,signal_model,inj_background_mode,extract_background_mode,refit_kernel_lock_mode,refit_lock_const_opt,refit_lock_ls_opt,refit_tail_alpha_scale,refit_tail_alpha_threshold,refit_tail_alpha_n_bins,refit_tail_alpha_max,refit_tail_alpha_mean,kernel_ls_res_lower_factor,kernel_ls_res_upper_factor,ls_lo,ls_hi,ls_init,initial_ls_opt,initial_const_opt,refit_ls_opt,refit_const_opt,ls_opt,const_opt,n_train,n_train_low,n_train_high,n_blind,A_hat_mean,A_hat_std,sigma_A_mean,Ahat_over_Ainj,sigmaA_over_sigmaAref,pull_mean,pull_std,pull_std_err,pull_q16,pull_q84,pull_q02,pull_q97,cov_1sigma,cov_2sigma,Zhat_mean,delta_z_minus_pull,ainj_over_sigmaAref,Zhat_q16,Zhat_q84,qmu_tilde_mean,qmu_tilde_q16,qmu_tilde_q84,n_source_toys,source_model,source_label,source_root,container,function_tag,success_rate,refit_ok_rate,refit_fallback_rate
4,fShiftSigPowTail_toy_4,2016,0.06,0.0,1,0.0,0.0,26895.311316572184,144847882.35294104,280540201.0637756,0.973558300293543,0.026441699706457045,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,0.75,8.0,0.030350701598017338,0.32374081704551827,0.09912497633415532,0.08266577349445466,13.095978250724087,0.09912497633415532,1.0,0.09912497633415532,1.0,1156,218,938,44,9884.366229595573,,26892.061947431815,,0.9998791845499715,0.36755702292064396,,,0.36755702292064396,0.36755702292064396,0.36755702292064396,0.36755702292064396,1.0,1.0,0.36755702292064396,0.0,0.0,0.36755702292064396,0.36755702292064396,,,,0,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
4,fShiftSigPowTail_toy_4,2016,0.06,26895.311316572184,1,1.0,0.0,26895.311316572184,144847882.35294104,280540201.0637756,0.973558300293543,0.026441699706457045,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,0.75,8.0,0.030350701598017338,0.32374081704551827,0.09912497633415532,0.08266577349445466,13.095978250724087,0.09912497633415532,1.0,0.09912497633415532,1.0,1156,218,938,44,27015.614350280655,,27412.41293159678,1.0044730113844915,1.019226459546723,0.004388633500037655,,,0.004388633500037655,0.004388633500037655,0.004388633500037655,0.004388633500037655,1.0,1.0,0.9855248575779786,-0.018863775922059067,1.0,0.9855248575779786,0.9855248575779786,,,,0,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
4,fShiftSigPowTail_toy_4,2016,0.06,53790.62263314437,1,2.0,0.0,26895.311316572184,144847882.35294104,280540201.0637756,0.973558300293543,0.026441699706457045,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,0.75,8.0,0.030350701598017338,0.32374081704551827,0.09912497633415532,0.08266577349445466,13.095978250724087,0.09912497633415532,1.0,0.09912497633415532,1.0,1156,218,938,44,44651.20335162345,,27895.564665257378,0.8300927032607084,1.0371906217002538,-0.3276298361833714,,,-0.3276298361833714,-0.3276298361833714,-0.3276298361833714,-0.3276298361833714,1.0,1.0,1.6006560142241695,-0.07171414959245914,2.0,1.6006560142241695,1.6006560142241695,,,,0,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
4,fShiftSigPowTail_toy_4,2016,0.06,80685.93394971655,1,3.0,0.0,26895.311316572184,144847882.35294104,280540201.0637756,0.973558300293543,0.026441699706457045,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,0.75,8.0,0.030350701598017338,0.32374081704551827,0.09912497633415532,0.08266577349445466,13.095978250724087,0.09912497633415532,1.0,0.09912497633415532,1.0,1156,218,938,44,67442.58485382867,,28402.392521735997,0.8358654545147717,1.056035090556293,-0.46627582819837843,,,-0.46627582819837843,-0.46627582819837843,-0.46627582819837843,-0.46627582819837843,1.0,1.0,2.374538863309339,-0.15918530849228263,3.0,2.374538863309339,2.374538863309339,,,,0,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
4,fShiftSigPowTail_toy_4,2016,0.06,134476.5565828609,1,5.0,0.0,26895.311316572184,144847882.35294104,280540201.0637756,0.973558300293543,0.026441699706457045,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,0.75,8.0,0.030350701598017338,0.32374081704551827,0.09912497633415532,0.08266577349445466,13.095978250724087,0.09912497633415532,1.0,0.09912497633415532,1.0,1156,218,938,44,97976.1474103335,,29341.415363022636,0.7285741834857526,1.0909490883990336,-1.2439893822752277,,,-1.2439893822752277,-1.2439893822752277,-1.2439893822752277,-1.2439893822752277,0.0,1.0,3.3391759122093148,-0.41683470551545754,5.0,3.3391759122093148,3.3391759122093148,,,,0,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
4,fShiftSigPowTail_toy_4,2016,0.105,0.0,1,0.0,0.0,14218.389847535162,37713586.20689655,127825892.58152136,0.9770216863571828,0.022978313642817216,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,0.75,8.0,0.03077373979099063,0.32825322443723337,0.10050661328681346,0.08379170603675767,13.089584280484916,0.10050661328681347,1.0,0.10050661328681347,1.0,1120,380,740,80,6202.162490442044,,14238.558952676067,,1.0014185224457326,0.4355891990935205,,,0.4355891990935205,0.4355891990935205,0.4355891990935205,0.4355891990935205,1.0,1.0,0.4355891990935205,0.0,0.0,0.4355891990935205,0.4355891990935205,,,,0,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
4,fShiftSigPowTail_toy_4,2016,0.105,14218.389847535162,1,1.0,0.0,14218.389847535162,37713586.20689655,127825892.58152136,0.9770216863571828,0.022978313642817216,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,0.75,8.0,0.03077373979099063,0.32825322443723337,0.10050661328681346,0.08379170603675767,13.089584280484916,0.10050661328681347,1.0,0.10050661328681347,1.0,1120,380,740,80,17449.188012732182,,14543.143211709677,1.2272267253775644,1.0228403755739481,0.22215267484925022,,,0.22215267484925022,0.22215267484925022,0.22215267484925022,0.22215267484925022,1.0,1.0,1.1998223326772062,-0.02233034217204405,1.0,1.1998223326772062,1.1998223326772062,,,,0,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
4,fShiftSigPowTail_toy_4,2016,0.105,28436.779695070323,1,2.0,0.0,14218.389847535162,37713586.20689655,127825892.58152136,0.9770216863571828,0.022978313642817216,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,0.75,8.0,0.03077373979099063,0.32825322443723337,0.10050661328681346,0.08379170603675767,13.089584280484916,0.10050661328681347,1.0,0.10050661328681347,1.0,1120,380,740,80,29950.241450363977,,14976.396702962445,1.0532219812342543,1.0533117226039972,0.10105646807514654,,,0.10105646807514654,0.10105646807514654,0.10105646807514654,0.10105646807514654,1.0,1.0,1.9998296014981756,-0.10122686657697097,2.0,1.9998296014981756,1.9998296014981756,,,,0,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
4,fShiftSigPowTail_toy_4,2016,0.105,42655.16954260549,1,3.0,0.0,14218.389847535162,37713586.20689655,127825892.58152136,0.9770216863571828,0.022978313642817216,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,0.75,8.0,0.03077373979099063,0.32825322443723337,0.10050661328681346,0.08379170603675767,13.089584280484916,0.10050661328681347,1.0,0.10050661328681347,1.0,1120,380,740,80,41752.55204518842,,15243.83666930524,0.9788392003338423,1.0721211637017989,-0.05921196330019472,,,-0.05921196330019472,-0.05921196330019472,-0.05921196330019472,-0.05921196330019472,1.0,1.0,2.73897923147266,-0.20180880522714506,3.0,2.73897923147266,2.73897923147266,,,,0,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
4,fShiftSigPowTail_toy_4,2016,0.105,71091.94923767581,1,5.0,0.0,14218.389847535162,37713586.20689655,127825892.58152136,0.9770216863571828,0.022978313642817216,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,0.75,8.0,0.03077373979099063,0.32825322443723337,0.10050661328681346,0.08379170603675767,13.089584280484916,0.10050661328681347,1.0,0.10050661328681347,1.0,1120,380,740,80,60164.40447106193,,16036.826699273333,0.8462899824271137,1.1278933037592445,-0.681403183530632,,,-0.681403183530632,-0.681403183530632,-0.681403183530632,-0.681403183530632,1.0,1.0,3.7516402464951573,-0.5669565699742107,5.0,3.7516402464951573,3.7516402464951573,,,,0,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
