dataset,mass_GeV,strength,n_toys,inj_nsigma,inj_nsigma_xerr,sigmaA_ref,integral_density,A_per_eps2_unit,f_win,f_train_frac,kernel_ls_policy,signal_model,inj_background_mode,extract_background_mode,refit_kernel_lock_mode,refit_lock_const_opt,refit_lock_ls_opt,refit_tail_alpha_scale,refit_tail_alpha_threshold,refit_tail_alpha_n_bins,refit_tail_alpha_max,refit_tail_alpha_mean,kernel_ls_res_lower_factor,kernel_ls_res_upper_factor,ls_lo,ls_hi,ls_init,initial_ls_opt,initial_const_opt,refit_ls_opt,refit_const_opt,ls_opt,const_opt,n_train,n_train_low,n_train_high,n_blind,A_hat_mean,A_hat_std,sigma_A_mean,Ahat_over_Ainj,sigmaA_over_sigmaAref,pull_mean,pull_std,pull_std_err,pull_q16,pull_q84,pull_q02,pull_q97,cov_1sigma,cov_2sigma,Zhat_mean,delta_z_minus_pull,ainj_over_sigmaAref,Zhat_q16,Zhat_q84,qmu_tilde_mean,qmu_tilde_q16,qmu_tilde_q84,n_source_toys,source_model,source_label,source_root,container,function_tag,success_rate,refit_ok_rate,refit_fallback_rate
2016,0.06,0.0,10,0.0,0.0,14778.500795925636,144933658.8235293,280706332.2347287,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.0,8.0,0.040467602130689694,0.3237408170455182,0.11445966353987971,0.09045633952732503,13.196299178226969,0.11445966353987971,1.0,0.11445966353987971,1.0,1156,218,938,44,13402.927277303865,12537.811675994748,14824.379541604154,,1.0031044248880214,0.9135428160108354,0.8585843927672882,0.2023702821155612,0.29007792272667055,1.8321118113623884,-0.3938402023844562,2.115226556576986,0.6,0.9,0.9135428160108354,0.0,0.0,0.29007792272667055,1.8321118113623884,,,,10,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,14333.445973912028,1,1.0,0.0,14333.445973912028,144971411.76470575,280779451.82430327,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.0,8.0,0.0404676021306897,0.3237408170455182,0.1144596635398797,0.0920291782817072,13.147695824249045,0.1144596635398797,1.0,0.1144596635398797,1.0,1156,218,938,44,21654.809064797297,,14532.458726905215,1.510788759675148,1.0138845015605742,0.5037938334089733,,,0.5037938334089733,0.5037938334089733,0.5037938334089733,0.5037938334089733,1.0,1.0,1.4900994712412874,-0.013694362167685936,1.0,1.4900994712412874,1.4900994712412874,,,,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,14426.375399036744,1,1.0,0.0,14426.375399036744,144898117.6470587,280637496.3730568,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.0,8.0,0.0404676021306897,0.3237408170455182,0.1144596635398797,0.0858651610762157,13.255922189620708,0.1144596635398797,1.0,0.1144596635398797,1.0,1156,218,938,44,32702.18928798469,,14649.085634705936,2.266833378685559,1.0154377124890333,1.2475736946782352,,,1.2475736946782352,1.2475736946782352,1.2475736946782352,1.2475736946782352,0.0,1.0,2.232370681928992,-0.015203012749243294,1.0,2.232370681928992,2.232370681928992,,,,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,14443.584661259156,1,1.0,0.0,14443.584661259156,144921764.70588222,280683295.8043578,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.0,8.0,0.0404676021306897,0.3237408170455182,0.1144596635398797,0.0952049331790274,13.051113265742986,0.1144596635398797,1.0,0.1144596635398797,1.0,1156,218,938,44,45406.899828124275,,14657.169072414712,3.143741729843249,1.0147874932826362,2.1125031043777156,,,2.1125031043777156,2.1125031043777156,2.1125031043777156,2.1125031043777156,0.0,0.0,3.0979310945919014,-0.014572009785814188,1.0,3.0979310945919014,3.0979310945919014,,,,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,14548.901447331302,1,1.0,0.0,14548.901447331302,144847882.35294104,280540201.0637756,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.0,8.0,0.0404676021306897,0.3237408170455182,0.1144596635398797,0.0826658545518032,13.095975603650556,0.1144596635398797,1.0,0.1144596635398797,1.0,1156,218,938,44,42830.119379890566,,14713.81687920502,2.9438730845033576,1.0113352497761243,1.9220857622965937,,,1.9220857622965937,1.9220857622965937,1.9220857622965937,1.9220857622965937,0.0,1.0,2.910877560289758,-0.01120820200683581,1.0,2.910877560289758,2.910877560289758,,,,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,14650.642430883754,1,1.0,0.0,14650.642430883754,144871058.82352927,280585089.06360793,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.0,8.0,0.0404676021306897,0.3237408170455182,0.1144596635398797,0.0894737918652647,13.292866000435044,0.1144596635398797,1.0,0.1144596635398797,1.0,1156,218,938,44,40064.07549002396,,14861.62470325035,2.7346292614150727,1.0144008887911866,1.7100036884649696,,,1.7100036884649696,1.7100036884649696,1.7100036884649696,1.7100036884649696,0.0,1.0,2.69580724113304,-0.014196447331929596,1.0,2.69580724113304,2.69580724113304,,,,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,14987.76103289475,1,1.0,0.0,14987.76103289475,145185529.41176456,281194153.1425512,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.0,8.0,0.0404676021306897,0.3237408170455182,0.1144596635398797,0.0930195289348068,13.205229392384702,0.1144596635398797,1.0,0.1144596635398797,1.0,1156,218,938,44,6469.110270154797,,15132.69857522831,0.4316261952640265,1.0096703931971864,-0.5629300498117819,,,-0.5629300498117819,-0.5629300498117819,-0.5629300498117819,-0.5629300498117819,1.0,1.0,0.4274921778158259,-0.009577772372392324,1.0,0.4274921778158259,0.4274921778158259,,,,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,15018.920799484586,1,1.0,0.0,15018.920799484586,144873647.0588234,280590101.9366857,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.0,8.0,0.0404676021306897,0.3237408170455182,0.1144596635398797,0.0945886345668846,13.1598833778572,0.1144596635398797,1.0,0.1144596635398797,1.0,1156,218,938,44,18027.66094645516,,15176.151796419264,1.200329982902222,1.010468861180763,0.1982544842283713,,,0.1982544842283713,0.1982544842283713,0.1982544842283713,0.1982544842283713,1.0,1.0,1.187894084632752,-0.01036039959561938,1.0,1.187894084632752,1.187894084632752,,,,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,15088.010655382135,1,1.0,0.0,15088.010655382135,144793058.82352927,280434019.2976748,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.0,8.0,0.0404676021306897,0.3237408170455182,0.1144596635398797,0.0861122458600829,13.294546007072734,0.1144596635398797,1.0,0.1144596635398797,1.0,1156,218,938,44,21374.30114975164,,15254.983626575346,1.4166414405418706,1.0110665995012171,0.4120811040018624,,,0.4120811040018624,0.4120811040018624,0.4120811040018624,0.4120811040018624,1.0,1.0,1.4011356336375198,-0.010945470364342569,1.0,1.4011356336375198,1.4011356336375198,,,,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,15088.379865082632,1,1.0,0.0,15088.379865082632,144964352.94117635,280765780.35227317,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.0,8.0,0.0404676021306897,0.3237408170455182,0.1144596635398797,0.0919612179408505,13.298570295991796,0.1144596635398797,1.0,0.1144596635398797,1.0,1156,218,938,44,27311.12975756534,,15246.58273194778,1.810077026279572,1.0104850797951648,0.8016714372900811,,,0.8016714372900811,0.8016714372900811,0.8016714372900811,0.8016714372900811,1.0,1.0,1.7912951536567887,-0.01037628363329235,1.0,1.7912951536567887,1.7912951536567887,,,,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
