family,metric,value,raw_count,n_toys,masses_MeV,n_masses,interpretation
empirical_fixed_mass_limit_tail,minimum_p_strong,0,0,300,"[59, 71, 72]",3,"0/300; no pseudoexperiment in this empirical tail; quote below one-count resolution 1/300, not exact zero"
empirical_fixed_mass_limit_tail,minimum_p_weak,0,0,300,"[21, 65, 66]",3,"0/300; no pseudoexperiment in this empirical tail; quote below one-count resolution 1/300, not exact zero"
empirical_fixed_mass_limit_tail,minimum_p_two_sided,0,0,300,"[21, 59, 65, 66, 71, 72]",6,2*0/300; no pseudoexperiment in the smaller empirical tail; not an exact zero probability
local_asymptotic_discovery,minimum_local_p0,0.0001763637359786,,,[66],1,local asymptotic discovery statistic
analytic_look_elsewhere_reference,sidak_p_at_local_minimum,0.0062211105459677564,,,[66],1,resolution-spacing analytic Sidak reference; not scan-toy calibrated
ratio_diagnostic,minimum_observed_over_median,0.55873432777174337,,,[19],1,observed divided by fixed-GP toy-limit median
ratio_diagnostic,maximum_observed_over_median,3.0209632815271861,,,[65],1,observed divided by fixed-GP toy-limit median
ratio_diagnostic,minimum_wide_over_narrow_observed,0.2348670443713394,,,[19],1,wide-support observed limit divided by narrow-support finalist
ratio_diagnostic,maximum_wide_over_narrow_observed,2.2566928513191979,,,[43],1,wide-support observed limit divided by narrow-support finalist
ratio_diagnostic,wide_support_tightening_percent_at_minimum_ratio,76.513295562866062,,,[19],1,positive means the wide-support observed upper limit is tighter at the minimum ratio
ratio_diagnostic,wide_support_weakening_percent_at_maximum_ratio,125.66928513191979,,,[43],1,positive means the wide-support observed upper limit is weaker at the maximum ratio
reviewed_gp_state_diagnostic,2015_ls_at_upper_bound,0,0,,,72,diagnostic occupancy of the frozen reviewed state; not a post-unblinding retuning rule
reviewed_gp_state_diagnostic,2016_ls_at_upper_bound,1,142,,,142,diagnostic occupancy of the frozen reviewed state; not a post-unblinding retuning rule
reviewed_gp_state_diagnostic,2021_ls_at_upper_bound,0,0,,,201,diagnostic occupancy of the frozen reviewed state; not a post-unblinding retuning rule
minimal_visible_reinterpretation,N_eff_BR_at_250_MeV,1.7252323083862526,,,[250],1,common e+e-/mu+mu- visible-width factor multiplying observed and every fixed-GP toy-limit quantile
