mass_GeV,datasets,n_datasets,eps2_up,p0_analytic,Z_analytic,cls_statistic,cls_calibration,signal_model,global_method
0.039,2015+2016,2,1.1566306923539986e-05,0.05004180884912195,1.6444483847139524,tilde_q_mu,asymptotic,default,sidak_approx
0.04,2015+2016,2,1.102548152257776e-05,0.058129935372458676,1.5706676347276336,tilde_q_mu,asymptotic,default,sidak_approx
0.041,2015+2016,2,8.503414783198214e-06,0.19488851798839918,0.8600217812851584,tilde_q_mu,asymptotic,default,sidak_approx
0.042,2015+2016,2,6.234636104072753e-06,0.4733693898607485,0.06680269271768538,tilde_q_mu,asymptotic,default,sidak_approx
0.043,2015+2016,2,4.736414779825947e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.044,2015+2016,2,4.197601678583318e-06,0.49990260198329145,0.000244140625,tilde_q_mu,asymptotic,default,sidak_approx
0.045,2015+2016,2,3.982792146991183e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.046,2015+2016,2,3.9966098395944644e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.047,2015+2016,2,4.376890526700296e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.048,2015+2016,2,4.945492254141086e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.049,2015+2016,2,5.780958290576228e-06,0.4291156095965262,0.17862620194860274,tilde_q_mu,asymptotic,default,sidak_approx
0.05,2015+2016+2021,3,9.043179731758977e-06,0.0407104401108417,1.7425006362662119,tilde_q_mu,asymptotic,default,sidak_approx
0.051,2015+2016+2021,3,1.0909568303934277e-05,0.005321180321838988,2.5542277934511177,tilde_q_mu,asymptotic,default,sidak_approx
0.052,2015+2016+2021,3,9.455057090234971e-06,0.014061148057906623,2.1955761326955696,tilde_q_mu,asymptotic,default,sidak_approx
0.053,2015+2016+2021,3,8.09497935606442e-06,0.03507432178185398,1.8109496655191313,tilde_q_mu,asymptotic,default,sidak_approx
0.054,2015+2016+2021,3,6.096729065031044e-06,0.14716229521928992,1.0486818065910495,tilde_q_mu,asymptotic,default,sidak_approx
0.055,2015+2016+2021,3,5.697487820812156e-06,0.3352475753675508,0.4254685399744564,tilde_q_mu,asymptotic,default,sidak_approx
0.056,2015+2016+2021,3,2.8936694064287673e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.057,2015+2016+2021,3,2.380864923504186e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.058,2015+2016+2021,3,2.1928443656095045e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.059,2015+2016+2021,3,2.078932244768404e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.06,2015+2016+2021,3,2.0899284005593024e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.061,2015+2016+2021,3,2.2707971645323443e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.062,2015+2016+2021,3,2.7893745076837537e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.063,2015+2016+2021,3,3.0446899642512053e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.064,2015+2016+2021,3,6.320106175176419e-06,0.009848064286699086,2.332086738169097,tilde_q_mu,asymptotic,default,sidak_approx
0.065,2015+2016+2021,3,8.123335733365977e-06,0.00024372804315410106,3.4875564078414527,tilde_q_mu,asymptotic,default,sidak_approx
0.066,2015+2016+2021,3,7.945137804690095e-06,0.0001763583185669673,3.5731469887361644,tilde_q_mu,asymptotic,default,sidak_approx
0.067,2015+2016+2021,3,6.580432356351511e-06,0.0029677718603088677,2.751321063477955,tilde_q_mu,asymptotic,default,sidak_approx
0.068,2015+2016+2021,3,4.517706765348428e-06,0.06237825173536138,1.5351112495019614,tilde_q_mu,asymptotic,default,sidak_approx
0.069,2015+2016+2021,3,2.3686695586851935e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.07,2015+2016+2021,3,1.654192334829491e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.071,2015+2016+2021,3,1.374141384136167e-06,0.49986225840519083,0.00034526698300124393,tilde_q_mu,asymptotic,default,sidak_approx
0.072,2015+2016+2021,3,1.28968263148581e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.073,2015+2016+2021,3,1.3250576208803915e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.074,2015+2016+2021,3,1.4331984267360768e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.075,2015+2016+2021,3,1.812879955036008e-06,0.5,0.0,tilde_q_mu,asymptotic,default,sidak_approx
0.076,2015+2016+2021,3,2.828636784000871e-06,0.27174102785382176,0.607555902051854,tilde_q_mu,asymptotic,default,sidak_approx
0.077,2015+2016+2021,3,3.952213622943065e-06,0.05225107883484472,1.6234082715925235,tilde_q_mu,asymptotic,default,sidak_approx
0.078,2015+2016+2021,3,4.709937964092007e-06,0.013277483438273839,2.2179980279777847,tilde_q_mu,asymptotic,default,sidak_approx
0.079,2015+2016+2021,3,4.975420488233773e-06,0.0072465850261310754,2.444801959772036,tilde_q_mu,asymptotic,default,sidak_approx
