mass_MeV,mass_GeV,dataset_set,includes_2016,sigma_mass_res_min_GeV,v4_k8_eps2_obs_ee,v4p1_k12_eps2_obs_ee,v4_k8_p0_local_asymptotic,v4p1_k12_p0_local_asymptotic,v4_k8_Z_local_asymptotic,v4p1_k12_Z_local_asymptotic,minimal_visible_factor,v4_k8_eps2_obs_minimal_visible,v4p1_k12_eps2_obs_minimal_visible,observed_limit_ratio_k12_over_k8,observed_limit_fractional_change,delta_Z_k12_minus_k8,p0_ratio_k12_over_k8
19,0.019,2015,False,0.0009189342902331,9.091092361019904e-06,9.091092361019904e-06,0.5,0.5,0.0,0.0,1.0,9.091092361019904e-06,9.091092361019904e-06,1.0,0.0,0.0,1.0
20,0.02,2015,False,0.0009721533740987,1.3250739100729953e-05,1.3250739100729953e-05,0.483379216290111,0.483379216290111,0.0416741861075119,0.0416741861075119,1.0,1.3250739100729953e-05,1.3250739100729953e-05,1.0,0.0,0.0,1.0
21,0.021,2015,False,0.0010253724579645,2.62940119494728e-05,2.62940119494728e-05,0.0059409127076337,0.0059409127076337,2.5156347292362464,2.5156347292362464,1.0,2.62940119494728e-05,2.62940119494728e-05,1.0,0.0,0.0,1.0
22,0.022,2015,False,0.0010785915418301,1.6849498786461963e-05,1.6849498786461963e-05,0.0770457920742472,0.0770457920742472,1.4252270339921462,1.4252270339921462,1.0,1.6849498786461963e-05,1.6849498786461963e-05,1.0,0.0,0.0,1.0
23,0.023,2015,False,0.0011318106256958,6.694628007588694e-06,6.694628007588694e-06,0.5,0.5,0.0,0.0,1.0,6.694628007588694e-06,6.694628007588694e-06,1.0,0.0,0.0,1.0
24,0.024,2015,False,0.0011850297095615,6.022729184916315e-06,6.022729184916315e-06,0.4999311292015692,0.4999311292015692,0.0001726334915006,0.0001726334915006,1.0,6.022729184916315e-06,6.022729184916315e-06,1.0,0.0,0.0,1.0
25,0.025,2015,False,0.0012382487934273,7.086739843449337e-06,7.086739843449337e-06,0.5,0.5,0.0,0.0,1.0,7.086739843449337e-06,7.086739843449337e-06,1.0,0.0,0.0,1.0
26,0.026,2015,False,0.0012914678772929,8.504925358416046e-06,8.504925358416046e-06,0.3834249127734906,0.3834249127734906,0.2964979588308081,0.2964979588308081,1.0,8.504925358416046e-06,8.504925358416046e-06,1.0,0.0,0.0,1.0
27,0.027,2015,False,0.0013446869611586,7.721166893556462e-06,7.721166893556462e-06,0.443594697660886,0.443594697660886,0.1418615125555377,0.1418615125555377,1.0,7.721166893556462e-06,7.721166893556462e-06,1.0,0.0,0.0,1.0
28,0.028,2015,False,0.0013979060450244,7.527736631736017e-06,7.527736631736017e-06,0.4715599466808214,0.4715599466808214,0.0713491317383426,0.0713491317383426,1.0,7.527736631736017e-06,7.527736631736017e-06,1.0,0.0,0.0,1.0
