truth_model,study_scenario,ls_upper_factor_requested,n_rows,n_toys,n_mass_points,at_bound_rows,near_bound_rows,at_bound_row_fraction,near_bound_row_fraction,toys_with_any_bound_row,toys_with_any_near_bound_row,toys_with_initialization_lock,toys_with_unresolved_initialization_state,median_ls_opt_over_sigma_x,q05_ls_opt_over_sigma_x,q95_ls_opt_over_sigma_x,max_ls_bound_fraction,independence_caveat
gengamma,2021_10pct,6,110,10,11,110,110,1.0,1.0,10,10,0,0,6.0,5.999999999999999,6.000000000000001,1.0,mass rows share each toy; inferential counting unit is toy
gengamma,2021_10pct,9,110,10,11,99,100,0.9,0.9090909090909091,10,10,0,0,9.0,8.09652407514426,9.000000000000002,1.0000000000000004,mass rows share each toy; inferential counting unit is toy
gengamma,2021_10pct,12,110,10,11,46,53,0.41818181818181815,0.4818181818181818,10,10,0,0,11.71985852450155,8.096860285476382,12.0,1.0,mass rows share each toy; inferential counting unit is toy
gengamma,2021_10pct,15,110,10,11,0,0,0.0,0.0,0,0,0,0,11.731056113590231,8.096914852409624,12.9857611021261,0.918332302494898,mass rows share each toy; inferential counting unit is toy
gengamma,2021_10pct,20,110,10,11,0,0,0.0,0.0,0,0,0,0,11.730802667124731,8.096835898765374,12.985879850383292,0.6887474731916104,mass rows share each toy; inferential counting unit is toy
gengamma,2021_10pct,25,110,10,11,0,0,0.0,0.0,0,0,0,0,11.730909843945552,8.096863791511673,12.985271125649042,0.550998027020774,mass rows share each toy; inferential counting unit is toy
gengamma,2021_10pct_x10,6,110,10,11,110,110,1.0,1.0,10,10,0,0,6.0,5.999999999999999,6.000000000000001,1.0,mass rows share each toy; inferential counting unit is toy
gengamma,2021_10pct_x10,9,110,10,11,100,101,0.9090909090909091,0.9181818181818182,10,10,0,0,9.0,8.027792258039709,9.000000000000002,1.0000000000000004,mass rows share each toy; inferential counting unit is toy
gengamma,2021_10pct_x10,12,110,10,11,89,91,0.8090909090909091,0.8272727272727273,10,10,0,0,12.0,8.026859318659561,12.0,1.0,mass rows share each toy; inferential counting unit is toy
gengamma,2021_10pct_x10,15,110,10,11,4,13,0.03636363636363636,0.11818181818181818,2,5,0,0,13.393946262082512,8.026975517382175,14.911343457490926,1.0000000000000002,mass rows share each toy; inferential counting unit is toy
gengamma,2021_10pct_x10,20,110,10,11,0,0,0.0,0.0,0,0,0,0,13.39311714815974,8.026969713159591,14.918219272385572,0.7636056841323933,mass rows share each toy; inferential counting unit is toy
gengamma,2021_10pct_x10,25,110,10,11,0,0,0.0,0.0,0,0,0,0,13.393665163271082,8.026627137314843,14.918158123568556,0.6108726313014515,mass rows share each toy; inferential counting unit is toy
gengamma,2021_1pct,6,110,10,11,110,110,1.0,1.0,10,10,0,0,6.0,5.999999999999999,6.000000000000001,1.0,mass rows share each toy; inferential counting unit is toy
gengamma,2021_1pct,9,110,10,11,110,110,1.0,1.0,10,10,0,0,9.0,8.999999999999998,9.000000000000002,1.0000000000000004,mass rows share each toy; inferential counting unit is toy
gengamma,2021_1pct,12,110,10,11,91,96,0.8272727272727273,0.8727272727272727,10,10,0,0,12.0,10.739906597043602,12.0,1.0,mass rows share each toy; inferential counting unit is toy
gengamma,2021_1pct,15,110,10,11,47,49,0.42727272727272725,0.44545454545454544,9,10,0,0,14.117979945202617,11.141203622191584,15.0,1.0000000000000002,mass rows share each toy; inferential counting unit is toy
