truth_model,study_scenario,background_toy_index,mass_GeV,low_factor,high_factor,adjacent_factors,low_lml,high_lml,delta_lml_high_minus_low,lml_tolerance,low_ls_opt_over_sigma_x,high_ls_opt_over_sigma_x,low_at_upper_bound,high_at_upper_bound,high_solution_feasible_in_low_domain,status,repair_factor,warm_start_source_factor,low_attempt_path,high_attempt_path
gengamma,2021_10pct,0,0.05,6,9,True,1650.7153139438317,1658.9522248779178,8.236910934086154,0.0016589522248779177,5.999999999999999,7.781801796204965,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f09/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,6,12,False,1650.7153139438317,1658.952225309679,8.23691136584739,0.001658952225309679,5.999999999999999,7.782029694608839,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f12/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,6,15,False,1650.7153139438317,1658.9522260369788,8.236912093147112,0.0016589522260369786,5.999999999999999,7.781810117791905,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f15/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,6,20,False,1650.7153139438317,1658.952224815872,8.236910872040198,0.0016589522248158719,5.999999999999999,7.781788457531277,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f20/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,6,25,False,1650.7153139438317,1658.952223565272,8.236909621440418,0.001658952223565272,5.999999999999999,7.78179877765543,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f25/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,9,12,True,1658.9522248779178,1658.952225309679,4.31761236541206e-07,0.001658952225309679,7.781801796204965,7.782029694608839,False,False,True,consistent_lml_plateau,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f09/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f12/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,9,15,False,1658.9522248779178,1658.9522260369788,1.1590609574341215e-06,0.0016589522260369786,7.781801796204965,7.781810117791905,False,False,True,consistent_lml_plateau,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f09/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f15/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,9,20,False,1658.9522248779178,1658.952224815872,-6.204595592862461e-08,0.0016589522248779177,7.781801796204965,7.781788457531277,False,False,True,consistent_lml_plateau,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f09/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f20/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,9,25,False,1658.9522248779178,1658.952223565272,-1.3126457361067878e-06,0.0016589522248779177,7.781801796204965,7.78179877765543,False,False,True,consistent_lml_plateau,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f09/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f25/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,12,15,True,1658.952225309679,1658.9522260369788,7.272997208929155e-07,0.0016589522260369786,7.782029694608839,7.781810117791905,False,False,True,consistent_lml_plateau,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f12/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f15/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,12,20,False,1658.952225309679,1658.952224815872,-4.938071924698306e-07,0.001658952225309679,7.782029694608839,7.781788457531277,False,False,True,consistent_lml_plateau,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f12/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f20/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,12,25,False,1658.952225309679,1658.952223565272,-1.7444069726479938e-06,0.001658952225309679,7.782029694608839,7.78179877765543,False,False,True,consistent_lml_plateau,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f12/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f25/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,15,20,True,1658.9522260369788,1658.952224815872,-1.2211069133627461e-06,0.0016589522260369786,7.781810117791905,7.781788457531277,False,False,True,consistent_lml_plateau,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f15/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f20/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,15,25,False,1658.9522260369788,1658.952223565272,-2.4717066935409093e-06,0.0016589522260369786,7.781810117791905,7.78179877765543,False,False,True,consistent_lml_plateau,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f15/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f25/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.05,20,25,True,1658.952224815872,1658.952223565272,-1.2505997801781632e-06,0.0016589522248158719,7.781788457531277,7.78179877765543,False,False,True,consistent_lml_plateau,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f20/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f25/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.07,6,9,True,1599.4805647560636,1631.0187983110516,31.538233554987983,0.0016310187983110515,6.0,9.0,True,True,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f09/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.07,6,12,False,1599.4805647560636,1632.6673912415793,33.18682648551567,0.0016326673912415793,6.0,9.993189881678449,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f12/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.07,6,15,False,1599.4805647560636,1632.667397665943,33.18683290987951,0.0016326673976659431,6.0,9.993206297069598,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f15/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
