toy_index,toy_hist,function_tag,source_model,source_label,source_root,container,dataset,mass_GeV,sigma_val,blind_lo,blind_hi,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma,native_input_bin_width_gev,production_rebin_requested,rebinned_bin_width_gev,rebinned_n_full,rebinned_n_blind,rebinned_n_train_expected,rebinned_n_train_low,rebinned_n_train_high,training_geometry_valid,optimizer_restarts_requested,eps2_density_implementation,eps2_up_promotable,study_id,task_id,truth_model,truth_function_tag,study_scenario,source_family,exposure_multiplier,ls_upper_factor_requested,background_toy_index,optimizer_seed,injection_seed,generated_config_sha256,base_config_sha256,fit_code_commit,expected_limit_bands,repair_attempt_id,repair_row_id,repair_round,repair_variant,repair_reason,repair_warm_start,repair_source_factor,repair_source_attempt_path,repair_base_seed,repair_kernel_constant_init,repair_kernel_ls_init,repair_config_path,repair_config_sha256,repair_fit_is_actual,repair_interpolation_used
0,toy_0000,fGenGammaThresh,functional_form,fGenGammaThresh,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/inputs/paired_exposure_toys.root,toys/gengamma/2021_1pct_x100,2021,0.23,0.0060747875,0.216331728125,0.243668271875,6338.233583544274,1.8674274719403469e-06,0.5,0.0,-8155.830861725606,5555.600855911203,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,99**2 * RBF(length_scale=0.366),0.0286762762966508,0.3910401313179656,0.1058941681527014,0.3664177998272114,0.0260693420878643,9805.181789493538,1912.2399735306903,372,1.1,15.0,14.055506218462789,4.720539820800449,64.37099755636976,60.31779709614721,0.000125,5,0.000625,416,44,372,282,90,True,12,immutable_df4d456_rebinned_whole_bin,False,v4p1_2021_ls_exposure_ensembles_20260804,scan__f15__gengamma__2021_1pct_x100__t0000,gengamma,fGenGammaThresh,2021_1pct_x100,one_pct,100,15,0,1830240564,,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,3a4120ab520cca3352d281e06d4d0c5e4c05c83cec97c319b1aabe19e9c0b3f2,df4d4562060b4cdde46994cc58128d580d289adb,False,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__salt_01,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,2,salt_01,lower_factor_optimizer_miss,False,,,3749523101,1.0,0.1058941681527014,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,True,False
0,toy_0000,fGenGammaThresh,functional_form,fGenGammaThresh,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/inputs/paired_exposure_toys.root,toys/gengamma/2021_1pct_x100,2021,0.23,0.0060747875,0.216331728125,0.243668271875,6335.602734436805,1.866652347478135e-06,0.5,0.0,-8162.811003973663,5554.656691978134,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,99.5**2 * RBF(length_scale=0.367),0.0286762762966508,0.3910401313179656,0.1058941681527014,0.3667069562727215,0.0260693420878643,9906.481560667296,1912.236833196498,372,1.1,15.0,14.066598038292206,4.720539820800449,64.37099755636976,60.365396529956215,0.000125,5,0.000625,416,44,372,282,90,True,12,immutable_df4d456_rebinned_whole_bin,False,v4p1_2021_ls_exposure_ensembles_20260804,scan__f15__gengamma__2021_1pct_x100__t0000,gengamma,fGenGammaThresh,2021_1pct_x100,one_pct,100,15,0,206495599,,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,3a4120ab520cca3352d281e06d4d0c5e4c05c83cec97c319b1aabe19e9c0b3f2,df4d4562060b4cdde46994cc58128d580d289adb,False,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__salt_02,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,2,salt_02,lower_factor_optimizer_miss,False,,,1923753145,1.0,0.1058941681527014,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,True,False
0,toy_0000,fGenGammaThresh,functional_form,fGenGammaThresh,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/inputs/paired_exposure_toys.root,toys/gengamma/2021_1pct_x100,2021,0.23,0.0060747875,0.216331728125,0.243668271875,6337.899453132887,1.8673290274287633e-06,0.5,0.0,-8156.423713031208,5555.461592094078,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,99.1**2 * RBF(length_scale=0.366),0.0286762762966508,0.3910401313179656,0.1058941681527014,0.366457673540868,0.0260693420878643,9817.478760706455,1912.240992025545,372,1.1,15.0,14.057035743585525,4.720539820800449,64.37099755636976,60.32436090000974,0.000125,5,0.000625,416,44,372,282,90,True,12,immutable_df4d456_rebinned_whole_bin,False,v4p1_2021_ls_exposure_ensembles_20260804,scan__f15__gengamma__2021_1pct_x100__t0000,gengamma,fGenGammaThresh,2021_1pct_x100,one_pct,100,15,0,4221601708,,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,3a4120ab520cca3352d281e06d4d0c5e4c05c83cec97c319b1aabe19e9c0b3f2,df4d4562060b4cdde46994cc58128d580d289adb,False,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__salt_03,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,2,salt_03,lower_factor_optimizer_miss,False,,,1538540212,1.0,0.1058941681527014,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,True,False
0,toy_0000,fGenGammaThresh,functional_form,fGenGammaThresh,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/inputs/paired_exposure_toys.root,toys/gengamma/2021_1pct_x100,2021,0.23,0.0060747875,0.216331728125,0.243668271875,6324.161008599114,1.8632812831470275e-06,0.5,0.0,-8195.341225800343,5550.898563543763,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,102**2 * RBF(length_scale=0.368),0.0286762762966508,0.3910401313179656,0.1058941681527014,0.3679576935989206,0.0260693420878643,10413.060256945537,1912.2399868619968,372,1.1,15.0,14.11457536437829,4.720539820800449,64.37099755636976,60.57128641930611,0.000125,5,0.000625,416,44,372,282,90,True,12,immutable_df4d456_rebinned_whole_bin,False,v4p1_2021_ls_exposure_ensembles_20260804,scan__f15__gengamma__2021_1pct_x100__t0000,gengamma,fGenGammaThresh,2021_1pct_x100,one_pct,100,15,0,3682626126,,e6cef098ba5355b2d4233bc0c385350da347d7fabffadb917326b28116842cc0,3a4120ab520cca3352d281e06d4d0c5e4c05c83cec97c319b1aabe19e9c0b3f2,df4d4562060b4cdde46994cc58128d580d289adb,False,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230__warm,repair_r02__f15__gengamma__2021_1pct_x100__t0000__m230,2,warm,lower_factor_optimizer_miss,True,20.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f20/gengamma/2021_1pct_x100/toy_0000/m230MeV/salt_01/attempt_001,2198139558,10413.060256945537,0.3679576935989206,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/gengamma/2021_1pct_x100/toy_0000/m230MeV/warm/attempt_001/repair_config.yaml,e6cef098ba5355b2d4233bc0c385350da347d7fabffadb917326b28116842cc0,True,False
1,toy_0001,fSigPowExpQ,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/inputs/paired_exposure_toys.root,toys/sigpowexpq/2021_10pct_x10,2021,0.19,0.0046870875,0.179454053125,0.200545946875,21786.882552847004,2.30405917892004e-06,0.0586860413697468,1.565899774191733,11840.313872426184,7558.292556260578,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.47**2 * RBF(length_scale=0.366),0.0268064698428396,0.3655427705841774,0.0989894502254296,0.3655427705841774,0.0243695180389451,55.81579120190942,2020.2668289524584,382,1.1,15.0,15.0,5.719216857555929,77.98932078485358,77.98932078485358,0.000125,5,0.000625,416,34,382,223,159,True,12,immutable_df4d456_rebinned_whole_bin,False,v4p1_2021_ls_exposure_ensembles_20260804,scan__f15__sigpowexpq__2021_10pct_x10__t0001,sigpowexpq,fSigPowExpQ,2021_10pct_x10,ten_pct,10,15,1,899259096,,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,3a4120ab520cca3352d281e06d4d0c5e4c05c83cec97c319b1aabe19e9c0b3f2,df4d4562060b4cdde46994cc58128d580d289adb,False,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__salt_01,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,2,salt_01,higher_factor_optimizer_miss,False,,,4274520984,1.0,0.0989894502254296,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,True,False
1,toy_0001,fSigPowExpQ,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/inputs/paired_exposure_toys.root,toys/sigpowexpq/2021_10pct_x10,2021,0.19,0.0046870875,0.179454053125,0.200545946875,21786.882591634392,2.304059183021978e-06,0.0586877704327832,1.5658850052316662,11840.258854109135,7558.327618137862,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.47**2 * RBF(length_scale=0.366),0.0268064698428396,0.3655427705841774,0.0989894502254296,0.3655427705841774,0.0243695180389451,55.83390868451918,2020.2668266368569,382,1.1,15.0,15.0,5.719216857555929,77.98932078485358,77.98932078485358,0.000125,5,0.000625,416,34,382,223,159,True,12,immutable_df4d456_rebinned_whole_bin,False,v4p1_2021_ls_exposure_ensembles_20260804,scan__f15__sigpowexpq__2021_10pct_x10__t0001,sigpowexpq,fSigPowExpQ,2021_10pct_x10,ten_pct,10,15,1,3930017564,,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,3a4120ab520cca3352d281e06d4d0c5e4c05c83cec97c319b1aabe19e9c0b3f2,df4d4562060b4cdde46994cc58128d580d289adb,False,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__salt_02,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,2,salt_02,higher_factor_optimizer_miss,False,,,783290178,1.0,0.0989894502254296,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,True,False
1,toy_0001,fSigPowExpQ,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/inputs/paired_exposure_toys.root,toys/sigpowexpq/2021_10pct_x10,2021,0.19,0.0046870875,0.179454053125,0.200545946875,21786.88254386364,2.3040591779700087e-06,0.0586856536751946,1.5659030857693306,11840.3263500033,7558.284450547752,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.47**2 * RBF(length_scale=0.366),0.0268064698428396,0.3655427705841774,0.0989894502254296,0.3655427705841774,0.0243695180389451,55.811570342773386,2020.266853895791,382,1.1,15.0,15.0,5.719216857555929,77.98932078485358,77.98932078485358,0.000125,5,0.000625,416,34,382,223,159,True,12,immutable_df4d456_rebinned_whole_bin,False,v4p1_2021_ls_exposure_ensembles_20260804,scan__f15__sigpowexpq__2021_10pct_x10__t0001,sigpowexpq,fSigPowExpQ,2021_10pct_x10,ten_pct,10,15,1,2072744251,,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,3a4120ab520cca3352d281e06d4d0c5e4c05c83cec97c319b1aabe19e9c0b3f2,df4d4562060b4cdde46994cc58128d580d289adb,False,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__salt_03,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,2,salt_03,higher_factor_optimizer_miss,False,,,948407433,1.0,0.0989894502254296,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_15.yaml,71a6f45574eae96fb89c188606a27beb855b7a0dd48aa2210d9ceb7324fdce16,True,False
1,toy_0001,fSigPowExpQ,functional_form,fSigPowExpQ,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/inputs/paired_exposure_toys.root,toys/sigpowexpq/2021_10pct_x10,2021,0.19,0.0046870875,0.179454053125,0.200545946875,21786.8824960657,2.304059172915166e-06,0.0586835548262396,1.5659210138437027,11840.395952860988,7558.24215479789,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.47**2 * RBF(length_scale=0.366),0.0268064698428396,0.3655427705841774,0.0989894502254296,0.3655427705841774,0.0243695180389451,55.78967014293997,2020.266832771205,382,1.1,15.0,15.0,5.719216857555929,77.98932078485358,77.98932078485358,0.000125,5,0.000625,416,34,382,223,159,True,12,immutable_df4d456_rebinned_whole_bin,False,v4p1_2021_ls_exposure_ensembles_20260804,scan__f15__sigpowexpq__2021_10pct_x10__t0001,sigpowexpq,fSigPowExpQ,2021_10pct_x10,ten_pct,10,15,1,3918523265,,d3ca67233b14db6f3fbbc971d793a3cf34ed37eaefc745024bb7823f1b1f23d9,3a4120ab520cca3352d281e06d4d0c5e4c05c83cec97c319b1aabe19e9c0b3f2,df4d4562060b4cdde46994cc58128d580d289adb,False,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190__warm,repair_r02__f15__sigpowexpq__2021_10pct_x10__t0001__m190,2,warm,higher_factor_optimizer_miss,True,12.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f12/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/salt_02/attempt_001,1754205078,41.52969780558812,0.2924342164673419,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/round_002/f15/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/warm/attempt_001/repair_config.yaml,d3ca67233b14db6f3fbbc971d793a3cf34ed37eaefc745024bb7823f1b1f23d9,True,False
1,toy_0001,fGenGammaThresh,functional_form,fGenGammaThresh,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/inputs/paired_exposure_toys.root,toys/gengamma/2021_1pct_x100,2021,0.17,0.0040962875,0.160783353125,0.179216646875,21679.73480045812,1.6298419720200658e-06,0.1635858655793513,0.979826576302616,8979.271126115189,9188.147257207042,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,104**2 * RBF(length_scale=0.365),0.026191094099248,0.4762017108954186,0.1116792004819376,0.3646624914872395,0.0238100855447709,10855.2358058125,1940.2746628149612,386,1.1,20.0,15.315463306570315,6.39386129495257,116.25202354459216,89.02268004558749,0.000125,5,0.000625,416,30,386,193,193,True,12,immutable_df4d456_rebinned_whole_bin,False,v4p1_2021_ls_exposure_ensembles_20260804,scan__f20__gengamma__2021_1pct_x100__t0001,gengamma,fGenGammaThresh,2021_1pct_x100,one_pct,100,20,1,3010927282,,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,3a4120ab520cca3352d281e06d4d0c5e4c05c83cec97c319b1aabe19e9c0b3f2,df4d4562060b4cdde46994cc58128d580d289adb,False,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170__salt_01,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170,2,salt_01,lower_factor_optimizer_miss,False,,,211804824,1.0,0.1116792004819376,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,True,False
1,toy_0001,fGenGammaThresh,functional_form,fGenGammaThresh,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/inputs/paired_exposure_toys.root,toys/gengamma/2021_1pct_x100,2021,0.17,0.0040962875,0.160783353125,0.179216646875,21661.375905358145,1.6284617845745435e-06,0.1640095442983546,0.978111686250307,8961.442058036691,9185.922199937278,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,105**2 * RBF(length_scale=0.365),0.026191094099248,0.4762017108954186,0.1116792004819376,0.3651193431522987,0.0238100855447709,11126.267834781664,1940.2727996280505,386,1.1,20.0,15.334650623818725,6.39386129495257,116.25202354459216,89.13420826841347,0.000125,5,0.000625,416,30,386,193,193,True,12,immutable_df4d456_rebinned_whole_bin,False,v4p1_2021_ls_exposure_ensembles_20260804,scan__f20__gengamma__2021_1pct_x100__t0001,gengamma,fGenGammaThresh,2021_1pct_x100,one_pct,100,20,1,185257217,,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,3a4120ab520cca3352d281e06d4d0c5e4c05c83cec97c319b1aabe19e9c0b3f2,df4d4562060b4cdde46994cc58128d580d289adb,False,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170__salt_02,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170,2,salt_02,lower_factor_optimizer_miss,False,,,3559359609,1.0,0.1116792004819376,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,True,False
