truth_model,study_scenario,background_toy_index,mass_mev,factor_previous,factor_current,lml_previous,lml_current,delta_lml,lml_tolerance,regression_beyond_tolerance
gengamma,2021_10pct,0,50,6,9,1650.7153139438317,1658.9522248779178,8.236910934086154,0.0016589522248779177,False
gengamma,2021_10pct,0,70,6,9,1599.4805647560636,1631.0187983110516,31.538233554987983,0.0016310187983110515,False
gengamma,2021_10pct,0,90,6,9,1577.427411765046,1619.689484690004,42.26207292495815,0.001619689484690004,False
gengamma,2021_10pct,0,110,6,9,1554.535787292235,1603.632572427876,49.096785135641085,0.001603632572427876,False
gengamma,2021_10pct,0,130,6,9,1546.5744687619865,1598.2501247408914,51.67565597890484,0.0015982501247408913,False
gengamma,2021_10pct,0,150,6,9,1523.5224955312876,1574.694023249972,51.171527718684274,0.0015746940232499718,False
gengamma,2021_10pct,0,170,6,9,1515.6918492993173,1566.1582326875837,50.46638338826642,0.0015661582326875836,False
gengamma,2021_10pct,0,190,6,9,1512.6650921089818,1561.5936295124689,48.9285374034871,0.0015615936295124689,False
gengamma,2021_10pct,0,210,6,9,1509.3261942067882,1555.9754066838143,46.64921247702614,0.0015559754066838143,False
gengamma,2021_10pct,0,230,6,9,1502.361827478558,1546.69612983271,44.33430235415199,0.00154669612983271,False
gengamma,2021_10pct,0,250,6,9,1501.3351738838244,1542.7514194088608,41.4162455250364,0.0015427514194088607,False
gengamma,2021_10pct,1,50,6,9,1658.1941920384604,1665.217680627659,7.023488589198678,0.001665217680627659,False
gengamma,2021_10pct,1,70,6,9,1611.405515792824,1641.548403640427,30.142887847603106,0.001641548403640427,False
gengamma,2021_10pct,1,90,6,9,1575.634472228989,1617.077333285853,41.4428610568641,0.0016170773332858529,False
gengamma,2021_10pct,1,110,6,9,1556.589262977176,1604.7816174253685,48.19235444819242,0.0016047816174253684,False
gengamma,2021_10pct,1,130,6,9,1550.2097367175702,1601.196668749999,50.98693203242874,0.0016011966687499988,False
gengamma,2021_10pct,1,150,6,9,1524.5359595399093,1575.312701393733,50.77674185382375,0.001575312701393733,False
gengamma,2021_10pct,1,170,6,9,1520.6752540148846,1571.0256349302967,50.35038091541219,0.0015710256349302967,False
gengamma,2021_10pct,1,190,6,9,1508.0419649781245,1556.930951672527,48.88898669440255,0.001556930951672527,False
gengamma,2021_10pct,1,210,6,9,1519.6629209309292,1566.3622177674397,46.699296836510484,0.0015663622177674397,False
gengamma,2021_10pct,1,230,6,9,1510.4623745238964,1554.304791919663,43.84241739576669,0.001554304791919663,False
gengamma,2021_10pct,1,250,6,9,1508.3182079252892,1549.4387490798338,41.120541154544526,0.0015494387490798337,False
gengamma,2021_10pct,2,50,6,9,1636.7377861311318,1643.671294481276,6.933508350144166,0.001643671294481276,False
gengamma,2021_10pct,2,70,6,9,1585.647063144652,1614.8780068599235,29.23094371527145,0.0016148780068599234,False
gengamma,2021_10pct,2,90,6,9,1555.3892449201103,1597.1967338307531,41.80748891064286,0.001597196733830753,False
gengamma,2021_10pct,2,110,6,9,1540.2648877468605,1585.836052677858,45.57116493099761,0.0015858360526778581,False
gengamma,2021_10pct,2,130,6,9,1521.8486447593264,1572.2254956674533,50.376850908126926,0.0015722254956674533,False
gengamma,2021_10pct,2,150,6,9,1507.0456713603794,1557.1400179566067,50.0943465962273,0.0015571400179566067,False
gengamma,2021_10pct,2,170,6,9,1495.4076880644138,1545.3602218966869,49.95253383227305,0.0015453602218966868,False
gengamma,2021_10pct,2,190,6,9,1498.4025063842646,1546.911570485664,48.50906410139942,0.001546911570485664,False
gengamma,2021_10pct,2,210,6,9,1504.9583424806217,1551.3437398832343,46.385397402612625,0.0015513437398832343,False
gengamma,2021_10pct,2,230,6,9,1485.844381260434,1529.5268976944276,43.68251643399367,0.0015295268976944275,False
gengamma,2021_10pct,2,250,6,9,1478.637814272632,1519.5634669608676,40.92565268823546,0.0015195634669608676,False
gengamma,2021_10pct,3,50,6,9,1639.636835777758,1651.785307346184,12.148471568425975,0.001651785307346184,False
gengamma,2021_10pct,3,70,6,9,1593.419832217712,1624.7978620793876,31.378029861675714,0.0016247978620793876,False
gengamma,2021_10pct,3,90,6,9,1559.3413774024566,1603.5373126812588,44.19593527880215,0.0016035373126812586,False
gengamma,2021_10pct,3,110,6,9,1542.093233387519,1593.4295167608957,51.33628337337677,0.0015934295167608955,False
gengamma,2021_10pct,3,130,6,9,1530.8607595911235,1585.714895662339,54.85413607121541,0.0015857148956623388,False
gengamma,2021_10pct,3,150,6,9,1508.9875543879295,1563.8380268900917,54.85047250216212,0.0015638380268900916,False
gengamma,2021_10pct,3,170,6,9,1499.59041884095,1552.5295409361645,52.93912209521454,0.0015525295409361643,False
gengamma,2021_10pct,3,190,6,9,1499.3323258730177,1551.00047169782,51.66814582480242,0.00155100047169782,False
