truth_model,study_scenario,factor,scan_rows,scan_toys,scan_masses,ls_ratio_median,ls_ratio_min,ls_ratio_max,bound_rows,bound_row_fraction,toys_with_any_bound,total_toys,toy_any_bound_fraction,injection_rows,signal_strata,pull_mean_strata_median,pull_width_strata_median,sigma_A_over_anchor_median,sigmaA_ref_over_anchor_median,Ahat_minus_Ainj_over_anchor_sigma_median,injection_ls_ratio_median,injection_refit_bound_fraction,response_rows,positive_signal_strata,paired_response_mean,paired_response_median,paired_response_std,paired_response_candidate_prefit_sigma_units_median,paired_response_anchor_prefit_sigma_units_median,paired_response_anchor_fitted_sigma_units_median,adjacent_lml_comparisons,adjacent_lml_min_delta,adjacent_lml_median_delta,adjacent_lml_regressions
gengamma,2021_10pct,6,110,10,11,6.0,5.999999999999999,6.000000000000001,110,1.0,10,10,1.0,120,12,0.08448304438446597,1.1948094773826168,1.6460851260910427,1.645509094098906,0.7744926086020474,6.000000000000006,0.9833333333333334,90.0,9,0.9706229652132794,0.970590953969491,0.023668220179102997,1.7654286905858554,2.911772861908473,2.9085207363281995,0,,,0
gengamma,2021_10pct,9,110,10,11,9.0,7.2973816216580065,9.000000000000002,99,0.9,10,10,1.0,120,12,-0.15779446775775752,1.3094059171437662,1.1178792351400344,1.116935314482666,-0.37833471658111706,9.0,0.725,90.0,9,0.9767224363828563,0.9757893558354648,0.019681459803800386,2.625772847074556,2.9334231145558993,2.9290063250039657,110,3.9368347662421,46.696710307054786,0
gengamma,2021_10pct,12,110,10,11,11.71985852450155,7.297378738022263,12.0,45,0.4090909090909091,10,10,1.0,120,12,-0.20159496834621218,1.462711653807397,1.0000000158106888,0.9999999327289617,-0.06285138268883747,11.501296545683454,0.3,90.0,9,0.9782334773327209,0.97885548382737,0.02473329687768741,2.920143403812795,2.944039004752762,2.939607095952385,110,-6.77118259773124e-06,11.190125315838486,0
gengamma,2021_10pct,15,110,10,11,11.731056113590231,7.297034864030742,13.77498453742347,0,0.0,0,10,0.0,120,12,-0.14582336851910133,1.464059071445632,1.0,1.0,-0.03367523323041963,11.501245484366631,0.0,90.0,9,0.976860191905937,0.9785345173645195,0.02487376676829721,2.935603552093559,2.935603552093559,2.9310564297089545,110,-1.2477245263653458e-05,3.6152263191979728e-06,0
gengamma,2021_10pct,20,110,10,11,11.730802667124731,7.297367592625973,13.774949463832208,0,0.0,0,10,0.0,120,12,-0.14582452370234744,1.4668565462608907,0.9999996770047651,0.9999975931298232,-0.033729541426430365,11.55885017474618,0.0,90.0,9,0.9840170435853715,0.9785777360920838,0.14179161489419734,2.935734267164464,2.9357332082762513,2.9311858579914305,110,-1.3693222626898205e-05,-4.4992520997766405e-07,0
gengamma,2021_10pct,25,110,10,11,11.730909843945552,7.297422767738279,13.774950675519351,0,0.0,0,10,0.0,120,12,-0.1458358258769096,1.436647065191222,0.999999869543154,0.9999993172410788,-0.03371609909336176,11.495922955031105,0.0,90.0,9,0.982329005316798,0.9785502216760522,0.0858579765059981,2.9356474517710183,2.935650665028157,2.93110346530052,110,-7.289253289854969e-06,3.6615915632864926e-07,0
gengamma,2021_10pct_x10,6,110,10,11,6.0,5.999999999999999,6.000000000000001,110,1.0,10,10,1.0,120,12,-0.031042892099580256,0.867825849412705,1.8148066659987703,1.8143908681869219,-0.04159058275323774,6.000000000000006,0.9916666666666667,90.0,9,0.967790854199313,0.9630385976312157,0.0117679346987173,1.5905331199499755,2.889115792893647,2.8883936020768477,0,,,0
gengamma,2021_10pct_x10,9,110,10,11,9.0,7.339077388453467,9.000000000000002,100,0.9090909090909091,10,10,1.0,120,12,0.1995371146749187,1.1899885654555864,1.2097675520478375,1.20928464094248,0.15941030142545992,9.000000000000009,0.9916666666666667,90.0,9,0.9706691256803761,0.9681665174377263,0.009517988816381733,2.4035090360039746,2.9044995523131787,2.903552088970863,110,6.302281868477621,49.43223375606965,0
gengamma,2021_10pct_x10,12,110,10,11,12.0,7.338619321358255,12.0,88,0.8,10,10,1.0,120,12,0.009099849422856522,1.1647609185706167,1.0291559643772055,1.0290203538457061,-0.08956581076105694,12.000000000000002,0.6583333333333333,90.0,9,0.975500615997916,0.9735964724785909,0.009114652941805435,2.7865286925650485,2.9207894174357723,2.919096675240736,110,-0.00016368757769669173,14.29908613137286,0
gengamma,2021_10pct_x10,15,110,10,11,13.393946262082512,7.339101519437898,15.000000000000002,3,0.02727272727272727,2,10,0.2,120,12,-0.31086410037190804,1.221980190257165,1.0,1.0,-0.21454214304645497,13.067885797694768,0.0,90.0,9,0.9718708146124395,0.9745650430768866,0.009667878783021989,2.92369512923066,2.92369512923066,2.922000736625561,110,-0.000927997712551587,1.4378660174801325,0
gengamma,2021_10pct_x10,20,110,10,11,13.39311714815974,7.338696653576708,15.272113682647866,0,0.0,0,10,0.0,120,12,-0.31071150097094974,1.2140778589870231,1.0000066760750461,0.9999964681684492,-0.21450207744540734,13.067683231065338,0.0,90.0,9,0.9756331620671554,0.9756459013156197,0.009720823709435899,2.9269148624629375,2.9269377039468587,2.9233022736062733,110,-0.0015301748796900938,-2.161074507966987e-05,0
gengamma,2021_10pct_x10,25,110,10,11,13.393665163271082,7.340841057761472,15.271815782536292,0,0.0,0,10,0.0,120,12,-0.310804705487687,1.2222342934373192,0.9999974187134516,1.0000200455562993,-0.2142992696997736,13.067043320638707,0.0,90.0,9,0.9679660903904608,0.9744147260641871,0.009146821064905908,2.923154543209885,2.9232441781925615,2.9215500656073194,110,-0.0019119956248232484,2.503381665519555e-06,0
gengamma,2021_1pct,6,110,10,11,6.0,5.999999999999999,6.000000000000001,110,1.0,10,10,1.0,120,12,0.12465912960725753,1.0771415340443935,1.8183274709705528,1.8175701151726478,0.14907742497752238,6.000000000000006,0.9916666666666667,90.0,9,0.9620722396288084,0.9633045514418068,0.03323606139357602,1.6307306238095636,2.8967443259510253,2.8927047610961987,0,,,0
gengamma,2021_1pct,9,110,10,11,9.0,8.999999999999998,9.000000000000002,110,1.0,10,10,1.0,120,12,0.039217735301336244,1.0284085048472473,1.240578495859454,1.239486720296107,-0.38033479999077147,9.000000000000009,0.8916666666666666,90.0,9,0.9570949157119127,0.969193396469983,0.02744883550878389,2.385367938109754,2.9205478169203793,2.9164755903914727,110,7.400611493450015,37.53828855861309,0
gengamma,2021_1pct,12,110,10,11,12.0,9.339235682664372,12.0,91,0.8272727272727273,10,10,1.0,120,12,0.2915252146135721,0.9886103650029636,1.065165760345484,1.0659433723143004,0.1485240598950213,12.000000000000012,0.8500000000000001,90.0,9,0.9755726594563388,0.9746318090530192,0.029120676840873355,2.7822857482479795,2.936450454347241,2.9323561836771543,110,0.34421406156798184,11.512213993100431,0
gengamma,2021_1pct,15,110,10,11,14.117979945202617,9.339192846937465,15.000000000000002,47,0.42727272727272725,9,10,0.9,120,12,-0.11786284051329753,1.170438075789689,1.0,1.0,-0.037314729285016654,14.583685566468304,0.5499999999999999,90.0,9,0.9831856124387054,0.9759218145664726,0.027779126825653346,2.9395435457362344,2.9395435457362344,2.935444086457796,110,-1.7907291294250172e-07,1.8254202701452868,0
gengamma,2021_1pct,20,110,10,11,18.785763483165404,9.339203569039784,20.0,29,0.2636363636363636,8,10,0.8,120,12,0.4008478044279048,1.1294146150968496,0.9291283250142165,0.9557907384019722,0.2928725469584421,19.652324960753788,0.3,90.0,9,0.9510032285994846,0.9757659850850549,0.04830333836041334,2.9885917717782484,2.9372303793900265,2.9402152805368846,110,-4.647395144274924e-07,1.2787630901963212,0
gengamma,2021_1pct,25,110,10,11,18.87970411433477,9.339202797445182,22.65583270777977,0,0.0,0,10,0.0,120,12,0.3576373058220655,1.1269309076664853,0.9423170701345838,0.9803882933434989,0.2631048727317336,19.165510222964187,0.0,90.0,9,0.9553299802921285,0.9736793663912832,0.04831620320685995,3.078372985282643,2.9368022527859163,2.9553332653342044,110,-5.573972430283902e-07,4.4362650442053564e-08,0
gengamma,2021_1pct_x10,6,110,10,11,6.0,5.999999999999999,6.000000000000001,110,1.0,10,10,1.0,120,12,0.1578907697985756,1.1384314952708272,1.634502206185702,1.634128506627879,0.4830086555811359,6.000000000000006,0.9833333333333334,90.0,9,0.9609278721640633,0.9629883487462152,0.02310504749026998,1.7661483371050632,2.8889650462386456,2.8846865630931218,0,,,0
