factor,truth_model,study_scenario,background_toy_index,mass_mev,injection_toy,anchor_nsigma,inj_nsigma,strength,anchor_strength,A_hat,sigmaA_ref,injection_anchor_sigmaA_ref,anchor_sigma_A,sigma_A_over_anchor,sigmaA_ref_over_anchor,Ahat_minus_Ainj_over_anchor_sigma,A_hat_zero,delta_A_hat,paired_response,paired_response_candidate_prefit_sigma_units,paired_response_anchor_prefit_sigma_units,paired_response_anchor_fitted_sigma_units
6,gengamma,2021_10pct,0,60,0,1.0,0.6858151674130353,6876.5989357778535,6876.5989357778535,9613.297193609667,10026.898299314502,6876.5989357778535,6874.562476432062,1.459181100363581,1.4581188161412382,0.39809053553793233,3033.6904441429806,6579.606749466687,0.9568111810671459,0.6561956203262287,0.9568111810671459,0.9570946183154831
6,gengamma,2021_10pct,0,60,0,3.0,2.057445502239106,20629.79680733356,20629.79680733356,21861.326410341226,10026.898299314502,6876.5989357778535,6877.513720434646,1.459478779854587,1.4581188161412382,0.17906610630939374,3033.6904441429806,18827.635966198246,0.9126428215475842,1.877712868343884,2.737928464642753,2.737564290167403
6,gengamma,2021_10pct,0,60,0,5.0,3.4290758370651764,34382.99467888927,34382.99467888927,34628.67658841811,10026.898299314502,6876.5989357778535,6880.116421084847,1.4598666051964206,1.4581188161412382,0.035708975617900755,3033.6904441429806,31594.986144275128,0.9189131557430643,3.151022898719851,4.594565778715322,4.592216789740496
6,gengamma,2021_10pct,0,120,0,1.0,0.5545467856098125,5096.762353083137,5096.762353083137,5005.941049294327,9190.860871149824,5096.762353083137,5097.099123137861,1.803594278982315,1.803274360161227,-0.01781823378253213,-12.814918926922717,5018.7559682212495,0.9846949142498865,0.5460593995036047,0.9846949142498865,0.9846298545458967
6,gengamma,2021_10pct,0,120,0,3.0,1.6636403568294376,15290.287059249413,15290.287059249413,14855.273024428308,9190.860871149824,5096.762353083137,5099.946885380321,1.8031227623072175,1.803274360161227,-0.08529775791746581,-12.814918926922717,14868.08794335523,0.972387757387538,1.617703515676781,2.9171632721626146,2.9153417236513954
6,gengamma,2021_10pct,0,120,0,5.0,2.7727339280490626,25483.811765415685,25483.811765415685,24874.550340478385,9190.860871149824,5096.762353083137,5101.967559029373,1.8029270041976921,1.803274360161227,-0.1194169539277136,-12.814918926922717,24887.36525940531,0.9765950827332739,2.7078383198604303,4.88297541366637,4.87799363117472
6,gengamma,2021_10pct,0,220,0,1.0,0.6026726625053955,1983.135038933361,1983.135038933361,-802.6060051451477,3290.5674378678273,1983.135038933361,1982.576178986912,1.6593084962123148,1.659275527519132,-1.4051117296799212,-2636.6728062053617,1834.066801060214,0.9248320286079337,0.5573709810514095,0.9248320286079337,0.9250927255654884
6,gengamma,2021_10pct,0,220,0,3.0,1.8080179875161864,5949.405116800083,5949.405116800083,3166.75719900008,3290.5674378678273,1983.135038933361,1984.166862365812,1.6593720058352017,1.659275527519132,-1.4024263637192922,-2636.6728062053617,5803.430005205442,0.9754639146723371,1.7636563039005402,2.9263917440170113,2.9248699367379567
6,gengamma,2021_10pct,0,220,0,5.0,3.013363312526977,9915.675194666805,9915.675194666805,7148.131884697799,3290.5674378678273,1983.135038933361,1986.002700099267,1.6592950306455976,1.659275527519132,-1.3935244447707318,-2636.6728062053617,9784.804690903162,0.9868016548349595,2.9735919034205764,4.934008274174797,4.926883881081372
6,gengamma,2021_10pct,1,60,0,1.0,0.7092783231334711,7112.029210329728,7112.029210329728,21793.816862572945,10027.134593525983,7112.029210329728,7109.527846846891,1.4109534452267125,1.4098837753593965,2.065086172882023,15365.250853150746,6428.5660094221985,0.903900394571658,0.6411169561414684,0.903900394571658,0.9042184161741904
6,gengamma,2021_10pct,1,60,0,3.0,2.127834969400413,21336.087630989183,21336.087630989183,34858.40487438767,10027.134593525983,7112.029210329728,7104.782889435427,1.4128728818366445,1.4098837753593965,1.9032695937135133,15365.250853150746,19493.154021236922,0.9136236388964053,1.9440403277146265,2.740870916689216,2.743666389893854
6,gengamma,2021_10pct,1,60,0,5.0,3.546391615667355,35560.14605164864,35560.14605164864,48096.354336895165,10027.134593525983,7112.029210329728,7102.713468753292,1.4142663140817662,1.4098837753593965,1.764988597723477,15365.250853150746,32731.103483744417,0.9204434491412034,3.264252930730305,4.602217245706017,4.608253398892855
6,gengamma,2021_10pct,1,120,0,1.0,0.5520321334350667,5085.977258389213,5085.977258389213,-1709.7205096067926,9213.19059226007,5085.977258389213,5088.220180016244,1.8106486134548683,1.8114887511663773,-1.3355746267989352,-6889.084909576569,5179.364399969776,1.0183616907500959,0.5621683767533171,1.0183616907500959,1.0179127900776577
