variant,dataset,bin_center_MeV,observed,gp_mean_preprofile,in_extraction_window,null_profiled_background,standalone_profiled_background,standalone_profiled_total,shared_profiled_background,shared_profiled_total
common_0p5MeV,2015,14.249999999999998,2366,2350.7073414505603,False,,,,,
common_0p5MeV,2015,14.75,5287,5312.2241529059675,False,,,,,
common_0p5MeV,2015,15.25,10402,10486.057965173806,False,,,,,
common_0p5MeV,2015,15.75,18517,18483.713131650606,False,,,,,
common_0p5MeV,2015,16.25,29783,29677.062450657155,False,,,,,
common_0p5MeV,2015,16.75,44126,44143.269189833023,False,,,,,
common_0p5MeV,2015,17.25,61855,61686.285459027436,False,,,,,
common_0p5MeV,2015,17.750000000000004,81981,81900.12343215631,False,,,,,
common_0p5MeV,2015,18.25,104221,104242.07073358099,False,,,,,
common_0p5MeV,2015,18.75,127738,128099.20492855145,False,,,,,
common_0p5MeV,2015,19.25,152187,152843.49167004088,False,,,,,
common_0p5MeV,2015,19.75,177903,177875.57918153773,False,,,,,
common_0p5MeV,2015,20.25,203264,202657.78963483428,False,,,,,
common_0p5MeV,2015,20.75,227263,226736.14918683324,False,,,,,
common_0p5MeV,2015,21.25,249751,249751.33895939231,False,,,,,
common_0p5MeV,2015,21.750000000000004,271104,271439.34314601513,False,,,,,
common_0p5MeV,2015,22.250000000000004,291792,291623.73432000843,False,,,,,
common_0p5MeV,2015,22.75,310499,310202.3679876962,False,,,,,
common_0p5MeV,2015,23.25,327070,327131.46873574157,False,,,,,
common_0p5MeV,2015,23.75,341984,342409.71658206062,False,,,,,
common_0p5MeV,2015,24.25,355979,356064.20531379845,False,,,,,
common_0p5MeV,2015,24.75,366970,368139.30842153978,False,,,,,
common_0p5MeV,2015,25.25,379172,378688.7408250306,False,,,,,
common_0p5MeV,2015,25.750000000000004,389055,387770.56273629708,False,,,,,
common_0p5MeV,2015,26.25,395199,395444.54778580897,False,,,,,
common_0p5MeV,2015,26.75,401502,401771.21363813884,False,,,,,
common_0p5MeV,2015,27.25,406872,406811.83376494382,False,,,,,
common_0p5MeV,2015,27.75,409930,410628.8602350619,False,,,,,
common_0p5MeV,2015,28.25,413369,413286.34386519803,False,,,,,
common_0p5MeV,2015,28.75,415046,414850.09861414076,False,,,,,
common_0p5MeV,2015,29.25,415758,415387.50255408254,False,,,,,
common_0p5MeV,2015,29.75,415089,414966.94109346403,False,,,,,
common_0p5MeV,2015,30.250000000000004,413412,413656.97088992014,False,,,,,
common_0p5MeV,2015,30.750000000000004,412220,411525.32588280243,False,,,,,
common_0p5MeV,2015,31.25,408372,408637.89421476203,False,,,,,
common_0p5MeV,2015,31.75,404830,405057.7830394897,False,,,,,
common_0p5MeV,2015,32.25,401029,400844.56141561066,False,,,,,
common_0p5MeV,2015,32.75,396938,396053.73830680223,False,,,,,
common_0p5MeV,2015,33.25,390343,390736.49959942425,False,,,,,
common_0p5MeV,2015,33.75,383621,384939.69889400405,False,,,,,
common_0p5MeV,2015,34.25,378733,378706.07216835703,False,,,,,
common_0p5MeV,2015,34.75,372518,372074.63331117475,False,,,,,
common_0p5MeV,2015,35.25,364608,365081.19561360998,False,,,,,
common_0p5MeV,2015,35.750000000000007,357533,357758.96460533643,False,,,,,
common_0p5MeV,2015,36.250000000000007,350512,350139.14895502181,False,,,,,
common_0p5MeV,2015,36.750000000000007,342544,342251.54282783874,False,,,,,
common_0p5MeV,2015,37.250000000000007,333749,334125.04256451444,False,,,,,
common_0p5MeV,2015,37.750000000000007,325098,325788.06991502113,False,,,,,
common_0p5MeV,2015,38.25,317523,317268.88566524221,False,,,,,
common_0p5MeV,2015,38.750000000000007,308486,308595.78653792106,False,,,,,
common_0p5MeV,2015,39.25,300939,299797.18812235055,False,,,,,
common_0p5MeV,2015,39.75,291286,290901.60246102343,False,,,,,
common_0p5MeV,2015,40.25,282380,281937.52664880356,False,,,,,
common_0p5MeV,2015,40.75,272721,272933.26013116242,False,,,,,
common_0p5MeV,2015,41.25,264267,263916.67234997923,False,,,,,
common_0p5MeV,2015,41.75,254345,254914.94097126083,False,,,,,
common_0p5MeV,2015,42.25,245657,245954.28126798145,False,,,,,
common_0p5MeV,2015,42.75,237663,237059.68352444994,False,,,,,
common_0p5MeV,2015,43.250000000000007,228082,228254.67337560223,False,,,,,
common_0p5MeV,2015,43.750000000000007,218552,219561.1064790411,False,,,,,
common_0p5MeV,2015,44.250000000000007,211201,210999.00468308781,False,,,,,
common_0p5MeV,2015,44.750000000000007,202576,202586.43813137923,False,,,,,
common_0p5MeV,2015,45.250000000000007,194689,194339.45490669677,False,,,,,
common_0p5MeV,2015,45.75,185788,186272.05599022144,False,,,,,
common_0p5MeV,2015,46.25,178603,178396.21264825779,False,,,,,
common_0p5MeV,2015,46.75,170580,170721.9209970659,False,,,,,
common_0p5MeV,2015,47.25,162610,163257.28792077699,False,,,,,
common_0p5MeV,2015,47.750000000000007,156189,156008.64142356976,False,,,,,
common_0p5MeV,2015,48.25,148898,148980.65978177974,False,,,,,
common_0p5MeV,2015,48.75,142484,142176.51243027509,False,,,,,
common_0p5MeV,2015,49.25,135612,135598.00719796974,False,,,,,
common_0p5MeV,2015,49.750000000000007,128957,129245.73918612758,False,,,,,
common_0p5MeV,2015,50.249999999999993,123590,123119.23665171265,False,,,,,
common_0p5MeV,2015,50.75,117352,117217.10079401026,False,,,,,
common_0p5MeV,2015,51.25,111632,111537.13686502681,False,,,,,
common_0p5MeV,2015,51.750000000000007,106206,106076.47488324036,False,,,,,
common_0p5MeV,2015,52.250000000000007,101425,100831.67871361696,False,,,,,
common_0p5MeV,2015,52.75,95665,95798.843343900997,False,,,,,
common_0p5MeV,2015,53.25,90968,90973.680072969539,False,,,,,
common_0p5MeV,2015,53.750000000000007,86257,86351.590289424945,False,,,,,
common_0p5MeV,2015,54.250000000000007,81518,81927.72847734009,False,,,,,
common_0p5MeV,2015,54.75,77712,77697.055414949398,False,,,,,
common_0p5MeV,2015,55.25,73758,73654.382622517092,False,,,,,
common_0p5MeV,2015,55.750000000000007,69733,69794.40932722883,False,,,,,
common_0p5MeV,2015,56.25,66034,66111.752891192897,False,,,,,
common_0p5MeV,2015,56.75,62849,62600.974043564049,False,,,,,
common_0p5MeV,2015,57.249999999999993,58890,59256.597704873442,False,,,,,
common_0p5MeV,2015,57.75,55798,56073.130591678513,True,56118.539250937873,56023.672350828958,56047.708785207455,56094.182959286962,56100.560614325652
common_0p5MeV,2015,58.25,52849,53045.076123658248,True,53098.127304886337,52989.485884865077,53022.197644571264,53069.985625838352,53078.665129454792
common_0p5MeV,2015,58.750000000000007,50217,50166.947584000292,True,50226.874008812047,50105.541057667979,50149.090054906686,50195.235821193703,50206.790799660797
common_0p5MeV,2015,59.250000000000007,47311,47433.2798696092,True,47499.236344755707,47366.451189780411,47423.165520453782,47464.430960947851,47479.479134528388
common_0p5MeV,2015,59.750000000000007,45089,44838.640402035184,True,44909.727872008647,44766.85038089993,44839.102048037872,44872.124746036658,44891.29548499568
common_0p5MeV,2015,60.250000000000007,42256,42377.639451111041,True,42452.927714418322,42301.403223000263,42391.444853983819,42412.912304006575,42436.80330433097
common_0p5MeV,2015,60.750000000000007,39996,40044.940081945948,True,40123.489002536131,39964.814800718246,40074.583687869221,40081.470045976712,40110.595334911246
common_0p5MeV,2015,61.250000000000007,38322,37835.267912749339,True,37916.146455465714,37751.840515303527,37882.745325359545,37872.540028421427,37907.273371491196
common_0p5MeV,2015,61.750000000000007,35907,35743.420633223141,True,35825.723633048721,35657.296094203593,35810.007821897489,35780.934134706149,35821.453568839235
common_0p5MeV,2015,62.25,33728,33764.277416233039,True,33847.140043076666,33676.067826346014,33850.340632510524,33801.571080959453,33847.811376955091
common_0p5MeV,2015,62.75,32025,31892.808031568129,True,31975.417696278,31803.12248212639,31997.670724386357,31929.460936264113,31981.08097099885
common_0p5MeV,2015,63.25,30366,30124.081695831668,True,30205.687492630703,30033.51717453757,30245.97144044338,30159.711372022495,30216.082462597275
common_0p5MeV,2015,63.750000000000014,28457,28453.275526089899,True,28533.195355093896,28362.408951210156,28589.366201524212,28487.541389904014,28547.760598304041
common_0p5MeV,2015,64.25,26835,26875.682482702545,True,26953.308002455618,26785.06393928951,27022.235783155931,26908.296017632616,26971.225492997019
common_0p5MeV,2015,64.75,25601,25386.718724907609,True,25461.518214375639,25296.865801290427,25539.316066747106,25417.440126447524,25481.770140324472
common_0p5MeV,2015,65.25,24015,23981.930276970634,True,24053.44963720825,23893.323515470696,24135.773780927375,24010.557705863968,24074.887719740917
common_0p5MeV,2015,65.75,22869,22656.998939697387,True,22724.861241434905,22570.078510508123,22807.250354374552,22683.385354738726,22746.314830103129
common_0p5MeV,2015,66.25,21463,21407.747363627546,True,21471.650849519363,21322.910599101655,21549.867849415707,21431.779841690277,21491.9990500903
common_0p5MeV,2015,66.75,20616,20230.143262136597,True,20289.858403484828,20147.743310757698,20360.197576663508,20251.760711437641,20308.13180201242
common_0p5MeV,2015,67.25,19276,19120.302735240639,True,19175.668142984206,19040.647845908505,19235.196088168472,19139.466160894714,19191.08619562945
common_0p5MeV,2015,67.75,18088,18074.492674929174,True,18125.410565106235,17997.846473676225,18172.119279840739,18091.206329724107,18137.446625719745
common_0p5MeV,2015,68.25,17179,17089.132308458793,True,17135.563297413632,17015.714573576526,17168.426301270425,17103.433342163255,17143.952776296341
common_0p5MeV,2015,68.75,16348,16160.793856066299,True,16202.75142791609,16090.781848638764,16221.686658694785,16172.743112747006,16207.476455816775
common_0p5MeV,2015,69.25,15326,15286.202376360203,True,15323.747191301061,15219.732643277193,15329.501530428171,15295.878627021981,15325.003915956513
common_0p5MeV,2015,69.75,14589,14462.234833372204,True,14495.469055572648,14399.405438768779,14489.447069752336,14469.745488258584,14493.636488582981
common_0p5MeV,2015,70.25,13617,13685.918449270323,True,13714.979982151381,13626.791331921093,13699.042999059033,13691.376383041241,13710.547122000266
common_0p5MeV,2015,70.750000000000014,12827,12954.428410511084,True,12979.4854731545,12899.032118413535,12955.746449086908,12957.967948011665,12973.016121592203
common_0p5MeV,2015,71.250000000000014,12022,12265.084985252664,True,12286.33075610999,12213.417386303408,12256.966383542116,12266.845830745597,12278.400809212691
common_0p5MeV,2015,71.750000000000014,11430,11615.350134604216,True,11632.997802910708,11567.38131596315,11600.093075669341,11615.484522360801,11624.164025977243
common_0p5MeV,2015,72.250000000000014,11007,11002.823684054549,True,11017.10174124034,10958.498784477946,10982.535218856441,11001.487626058815,11007.865281097504
common_0p5MeV,2015,72.750000000000014,10367,10425.239119112881,False,,,,,
common_0p5MeV,2015,73.250000000000014,9854,9880.4590847245236,False,,,,,
common_0p5MeV,2015,73.750000000000014,9421,9366.4706387586339,False,,,,,
common_0p5MeV,2015,74.250000000000014,8971,8881.3803274841412,False,,,,,
common_0p5MeV,2015,74.75,8447,8423.4091377680234,False,,,,,
common_0p5MeV,2015,75.25,8129,7990.8873667594235,False,,,,,
common_0p5MeV,2015,75.75,7674,7582.2494676185661,False,,,,,
common_0p5MeV,2015,76.25,7215,7196.0289003497137,False,,,,,
common_0p5MeV,2015,76.75,6865,6830.8530238978619,False,,,,,
common_0p5MeV,2015,77.25,6473,6485.4380651504307,False,,,,,
common_0p5MeV,2015,77.75,6133,6158.5841840929488,False,,,,,
common_0p5MeV,2015,78.25,5717,5849.1706589059422,False,,,,,
common_0p5MeV,2015,78.750000000000014,5497,5556.1512098477024,False,,,,,
common_0p5MeV,2015,79.250000000000014,5266,5278.5494721214172,False,,,,,
common_0p5MeV,2015,79.75,5117,5015.4546348468948,False,,,,,
common_0p5MeV,2015,80.25,4695,4766.0172489080114,False,,,,,
common_0p5MeV,2015,80.75,4484,4529.4452120074338,False,,,,,
