dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma,source_csv,source_sha256_pending
2021,0.05,0.0019941875,0.045513078125,0.054486921875,432274745.5035101,1.64,0.0467295325,0.0532704675,0.0065409349999999,0.0,1.0,8000,0.000125,True,27684.52939613445,4.159366593104463e-05,9.819327331188712e-07,4.757107555612522,21759.372180351787,4584.999144396898,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.59**2 * RBF(length_scale=0.335),0.0430198208653474,0.586633920891102,0.1588612167593829,0.3353203036603693,0.0391089280594068,57.62356485870805,1679.397780139837,402,9,393,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.574009063889834,21.57260581833327,294.1718975227264,168.14883438010182,runs/functional_form/attempt_01/results_single.csv,False
2021,0.05,0.0019941875,0.045513078125,0.054486921875,432274745.5035101,1.64,0.0467295325,0.0532704675,0.0065409349999999,0.0,1.0,8000,0.000125,True,27684.75114603401,4.1593999091529695e-05,9.814910870395903e-07,4.757198403726919,21759.634710739083,4584.966893803751,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.59**2 * RBF(length_scale=0.335),0.0430198208653474,0.586633920891102,0.1588612167593829,0.3353260659546819,0.0391089280594068,57.63547287782156,1679.397780354415,402,9,393,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.574156403502514,21.57260581833327,294.1718975227264,168.15172392499798,runs/functional_form/attempt_02/results_single.csv,False
2021,0.051,0.002001485875,0.04649665678125,0.0555033432187499,505722115.71658146,1.64,0.047717563165,0.0542824368349999,0.0065648736699999,0.0,1.0,8000,0.000125,True,23741.69971033877,2.989163065618514e-05,0.0001324911251667,3.647327346091582,17500.779351515146,4819.253732915793,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.71**2 * RBF(length_scale=0.337),0.0423437473933882,0.5774147371825666,0.1563646500091317,0.3369438248127438,0.0384943158121711,59.472107282105824,1673.4697066877625,401,10,391,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.753079973075119,21.15615599504954,288.4930362961301,168.34684122501932,runs/functional_form/attempt_01/results_single.csv,False
2021,0.051,0.002001485875,0.04649665678125,0.0555033432187499,505722115.71658146,1.64,0.047717563165,0.0542824368349999,0.0065648736699999,0.0,1.0,8000,0.000125,True,23742.195021002393,2.9892254269641537e-05,0.0001324303596265,3.6474452558433135,17501.292270830167,4819.239482677111,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.71**2 * RBF(length_scale=0.337),0.0423437473933882,0.5774147371825666,0.1563646500091317,0.3369422323998849,0.0384943158121711,59.45873036502139,1673.4697060145393,401,10,391,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.753038605594615,21.15615599504954,288.4930362961301,168.3460456096823,runs/functional_form/attempt_02/results_single.csv,False
2021,0.052,0.002008956,0.047479849,0.056520151,582496150.2912881,1.64,0.04870531216,0.0552946878399999,0.0065893756799999,0.0,1.0,8000,0.000125,True,10779.748501486818,1.1556654974626395e-05,0.212216496030316,0.7987541313691372,3885.2123691532834,4873.816257500474,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.35**2 * RBF(length_scale=0.328),0.0416967826910809,0.5685924912420126,0.1539755745145915,0.3277081825428939,0.0379061660828008,69.68665238382594,1667.392052786278,402,12,390,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.645247367593445,20.75544844739304,283.02884246445046,163.12362368458736,runs/functional_form/attempt_01/results_single.csv,False
2021,0.052,0.002008956,0.047479849,0.056520151,582496150.2912881,1.64,0.04870531216,0.0552946878399999,0.0065893756799999,0.0,1.0,8000,0.000125,True,38758.29410880575,4.155164031505773e-05,1.5792341975994022e-16,8.167116887874935,33405.2546643208,4103.36709680342,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,3.55**2 * RBF(length_scale=0.396),0.0416967826910809,0.5685924912420126,0.1539755745145915,0.3957594695030436,0.0379061660828008,12.576302800062994,1606.094696502378,402,12,390,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,10.440503759693376,20.75544844739304,283.02884246445046,196.99757959011723,runs/functional_form/attempt_02/results_single.csv,False
2021,0.052,0.002008956,0.047479849,0.056520151,582496150.2912881,1.64,0.04870531216,0.0552946878399999,0.0065893756799999,0.0,1.0,8000,0.000125,True,10779.44084340621,1.1556325143342552e-05,0.2122430440526168,0.7986625835628638,3884.78374141509,4873.837989328027,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.35**2 * RBF(length_scale=0.328),0.0416967826910809,0.5685924912420126,0.1539755745145915,0.3277029140538569,0.0379061660828008,69.66917253119486,1667.3920545659892,402,12,390,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.645108379941,20.75544844739304,283.02884246445046,163.12100118362815,runs/functional_form/repairs/m052/round_01/results_single.csv,False
2021,0.053,0.002016597875,0.0484626547812499,0.05753734521875,661992830.0519445,1.64,0.049692779485,0.056307220515,0.00661444103,0.0,1.0,8000,0.000125,True,6127.816640621785,5.67148161289813e-06,0.5,0.0,-5423.68983830362,5018.526116810713,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.22**2 * RBF(length_scale=0.325),0.0410773062694674,0.5601450854927381,0.1516880062237032,0.3251997005042238,0.0373430056995158,67.57973557493993,1663.2237579609491,402,14,388,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.708450067489876,20.369607039017364,277.76736871387317,161.2615507215209,runs/functional_form/attempt_01/results_single.csv,False
2021,0.053,0.002016597875,0.0484626547812499,0.05753734521875,661992830.0519445,1.64,0.049692779485,0.056307220515,0.00661444103,0.0,1.0,8000,0.000125,True,6127.816608180365,5.671481582872603e-06,0.5,0.0,-5423.648944981321,5018.520404177411,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.22**2 * RBF(length_scale=0.325),0.0410773062694674,0.5601450854927381,0.1516880062237032,0.3252002735939828,0.0373430056995158,67.58098823464637,1663.223756005846,402,14,388,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.708465414132393,20.369607039017364,277.76736871387317,161.26183490795495,runs/functional_form/attempt_02/results_single.csv,False
2021,0.054,0.0020244115,0.049445074125,0.058554925875,743432117.467634,1.64,0.05067996514,0.05732003486,0.00664006972,0.0,1.0,8000,0.000125,True,5118.144755588937,4.13997203611705e-06,0.5,0.0,-15461.896595436816,5381.365680761375,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.78**2 * RBF(length_scale=0.324),0.0404838157112043,0.552052032425514,0.1494963970927404,0.3239980035058481,0.0368034688283676,60.46390084662582,1659.1467586817191,401,15,386,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.803463744594502,19.99781947059892,272.6975382354398,160.04552607305783,runs/functional_form/attempt_01/results_single.csv,False
2021,0.054,0.0020244115,0.049445074125,0.058554925875,743432117.467634,1.64,0.05067996514,0.05732003486,0.00664006972,0.0,1.0,8000,0.000125,True,5118.144750503665,4.139972032003668e-06,0.5,0.0,-15461.89838446134,5381.3549668737505,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.78**2 * RBF(length_scale=0.324),0.0404838157112043,0.552052032425514,0.1494963970927404,0.323998609197051,0.0368034688283676,60.46396649089237,1659.1467598648735,401,15,386,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.803480202043275,19.99781947059892,272.6975382354398,160.04582526677555,runs/functional_form/attempt_02/results_single.csv,False
2021,0.055,0.002032396875,0.05042710703125,0.05957289296875,825863093.242175,1.64,0.051666869125,0.058333130875,0.0066662617499999,0.0,1.0,8000,0.000125,True,4849.95376379661,3.467262898341287e-06,0.5,0.0,-20146.54177465795,5480.365770219824,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.83**2 * RBF(length_scale=0.326),0.0399149161083646,0.5442943105686093,0.1473955960828078,0.3259294125232804,0.0362862873712406,61.3000743049113,1664.2983351467813,402,17,385,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.982164782765896,19.639331569216612,267.8090668529538,160.36701125279993,runs/functional_form/attempt_01/results_single.csv,False
2021,0.055,0.002032396875,0.05042710703125,0.05957289296875,825863093.242175,1.64,0.051666869125,0.058333130875,0.0066662617499999,0.0,1.0,8000,0.000125,True,4850.0459356664305,3.467328792599267e-06,0.5,0.0,-20145.89255631118,5480.388427376749,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.83**2 * RBF(length_scale=0.326),0.0399149161083646,0.5442943105686093,0.1473955960828078,0.3259332737232474,0.0362862873712406,61.32203488644036,1664.2983344021152,402,17,385,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.982271192108012,19.639331569216612,267.8090668529538,160.36891107857437,runs/functional_form/attempt_02/results_single.csv,False
2021,0.056,0.002040554,0.0514087535,0.0605912465,908527012.009006,1.64,0.05265349144,0.05934650856,0.00669301712,0.0,1.0,8000,0.000125,True,5026.056828588344,3.207904610177673e-06,0.5,0.0,-21225.215156961996,5716.465162318594,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.88**2 * RBF(length_scale=0.33),0.0393693106142212,0.5368542356484718,0.1453808142699889,0.3298306935990004,0.0357902823765647,62.06764806426276,1660.5606127510212,401,18,383,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.215649380150492,19.293442180026243,263.0923933639942,161.6378167884802,runs/functional_form/attempt_01/results_single.csv,False
2021,0.056,0.002040554,0.0514087535,0.0605912465,908527012.009006,1.64,0.05265349144,0.05934650856,0.00669301712,0.0,1.0,8000,0.000125,True,5026.023580318386,3.2078833893116713e-06,0.5,0.0,-21225.423761413826,5716.469623127985,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.88**2 * RBF(length_scale=0.33),0.0393693106142212,0.5368542356484718,0.1453808142699889,0.3298271846940677,0.0357902823765647,62.05358358248569,1660.5606118160824,401,18,383,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.215551339433862,19.293442180026243,263.0923933639942,161.6360972040278,runs/functional_form/attempt_02/results_single.csv,False
2021,0.057,0.002048882875,0.05239001353125,0.06160998646875,990712198.9884846,1.64,0.053639832085,0.060360167915,0.0067203358299999,0.0,1.0,8000,0.000125,True,5674.204874553118,3.262891016816221e-06,0.4999311292015692,0.0001726334915006,-14904.121018753143,5787.097649187911,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.52**2 * RBF(length_scale=0.331),0.0388457919743114,0.5297153451042469,0.1434475935717297,0.3314262369250682,0.0353143563402831,72.66748446666963,1654.9457224986909,401,20,381,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.385028392744903,18.959498587400432,258.53861710091496,161.75948414087273,runs/functional_form/attempt_01/results_single.csv,False
