mass_MeV,functional_mean_fractional__A_hat,functional_mean_fractional__sigma_A,functional_mean_fractional__p0_analytic,functional_mean_fractional__Z_analytic,functional_mean_fractional__eps2_up,functional_mean_fractional__lml,functional_mean_fractional__const_opt,functional_mean_fractional__ls_opt,functional_mean_fractional__signed_Ahat_over_sigma,gp_mean_fractional__A_hat,gp_mean_fractional__sigma_A,gp_mean_fractional__p0_analytic,gp_mean_fractional__Z_analytic,gp_mean_fractional__eps2_up,gp_mean_fractional__lml,gp_mean_fractional__const_opt,gp_mean_fractional__ls_opt,gp_mean_fractional__signed_Ahat_over_sigma,functional_poisson_draw__A_hat,functional_poisson_draw__sigma_A,functional_poisson_draw__p0_analytic,functional_poisson_draw__Z_analytic,functional_poisson_draw__eps2_up,functional_poisson_draw__lml,functional_poisson_draw__const_opt,functional_poisson_draw__ls_opt,functional_poisson_draw__signed_Ahat_over_sigma,gp_poisson_draw__A_hat,gp_poisson_draw__sigma_A,gp_poisson_draw__p0_analytic,gp_poisson_draw__Z_analytic,gp_poisson_draw__eps2_up,gp_poisson_draw__lml,gp_poisson_draw__const_opt,gp_poisson_draw__ls_opt,gp_poisson_draw__signed_Ahat_over_sigma,functional_mean_minus_gp_mean__A_hat,functional_draw_minus_functional_mean__A_hat,gp_draw_minus_gp_mean__A_hat
55,-17072.11081452484,5531.8121056754317,0.5,0,3.6786577739890775e-06,1674.2309572841507,58.448489508750022,0.32195549360263959,-3.086169683350144,-13500.658582370956,5584.864911774046,0.5,0,3.985071892361248e-06,1673.9768845043438,56.572668380501042,0.31811200375916621,-2.4173652891601343,-20146.541774657951,5480.3657702198243,0.5,0,3.4672628983412871e-06,1664.2983351467813,61.300074304911298,0.32592941252328039,-3.6761308677850981,-15308.020142762763,5553.4961528431877,0.5,0,3.8168059663041181e-06,1669.8956336624483,56.703624954747198,0.3201008326313472,-2.7564654267250397,-3571.4522321538843,-3074.4309601331115,-1807.3615603918079
56,-15780.585439338054,5781.1921362760386,0.49993112920156918,0.00017263349150060001,3.553517072094476e-06,1668.9169665785651,59.113246068127197,0.32425316468462939,-2.7296420993029193,-10162.418820846358,5835.653663860201,0.5,0,4.0579765405556629e-06,1668.0778407296011,56.958775328085189,0.31958196466255517,-1.741436247970217,-21225.215156961996,5716.4651623185937,0.5,0,3.207904610177673e-06,1660.5606127510212,62.067648064262762,0.32983069359900041,-3.7129965029565692,-10889.577067473168,5816.071247818968,0.5,0,3.9685096190352142e-06,1663.7513627343581,57.262092852591763,0.32106929145344332,-1.8723252524729248,-5618.1666184916958,-5444.6297176239423,-727.15824662681007
57,-8401.4447872336823,5841.580884222134,0.5,0,3.8442095286391933e-06,1664.4267274378583,65.371613772099153,0.32467307211214508,-1.4382142357945662,-2914.4991632614028,5875.0604638947634,0.5,0,4.7308888226170222e-06,1664.5285299237439,61.752533056454077,0.32076217906381138,-0.49607985844102942,-14904.228119263693,5787.0833197985394,0.5,0,3.2628708304852004e-06,1654.9457246669788,72.683981480466727,0.33143023782371289,-2.5754300215920409,-2561.3863659337148,5856.8855603173406,0.49993112920156918,0.00017263349150060001,4.7939909204334262e-06,1661.2238125549641,62.372114331284322,0.32250290352440031,-0.43732907866393972,-5486.9456239722795,-6502.7833320300106,353.11279732768799
58,712.14580318213348,5947.3435672489613,0.4521560143042449,0.12021601883215539,5.3332252866269455e-06,1661.5844936000285,66.754326830017931,0.32188397630458021,0.11974183013468447,4392.3959210088387,5974.7281859096238,0.2310773154808049,0.73530357579150762,6.7384952985220116e-06,1662.1299529837329,63.204575510612443,0.31878961317756538,0.735162468372629,-4760.1228340824755,5908.8767991679715,0.49993112920156918,0.00017263349150060001,3.9992577731099567e-06,1651.9228868045941,73.400818471366179,0.3266578734411521,-0.80558843852570217,6338.6095539638736,5962.8580588432978,0.1439633263108771,1.0626809723385533,7.5677348198480796e-06,1659.0967192951823,62.87058926353582,0.31960207134760332,1.0630153344943893,-3680.2501178267053,-5472.2686372646094,1946.2136329550349
59,7603.2553164608707,6029.2776644965152,0.1035622353648098,1.2615119126793488,7.5048958320546032e-06,1660.5429974779363,63.768218363883769,0.31995815485867418,1.2610557581769279,7475.5120558992876,6049.9340429910553,0.10827220863560411,1.23576906409232,7.4667283844405406e-06,1660.6920024987633,62.106638144380824,0.31816736396067657,1.235635298298795,5757.1155175480399,6005.3529563367565,0.16858454897753239,0.95977374683960182,6.7250399645000812e-06,1654.4885509749113,65.616021930827671,0.32202596643391979,0.95866397186084118,10703.632421456065,6039.7923038640993,0.038156921773184499,1.7724864442949919,8.8847911657064044e-06,1658.0327993962858,60.441511614860865,0.31838710738322362,1.7721855128376127,127.74326056158316,-1846.1397989128309,3228.120365556777
60,12185.965570423594,6053.0446464135184,0.0220080493146762,2.0139374728937836,8.8263391487969468e-06,1665.1383684951561,61.527978371451965,0.31797107680079989,2.0131960496349359,7732.3604203898112,6076.0932848313741,0.1012174374756766,1.2746451332811906,6.9983121683405382e-06,1665.0599873830945,60.548804344084473,0.3163596332124855,1.272587509427022,14443.119998275988,6025.9704568240923,0.0082301014098864998,2.3985483597473984,9.7821295615061317e-06,1658.8098535785639,63.860023542786507,0.32017779217988701,2.3968122814010679,11200.402161958124,6055.8193115721706,0.031938634281175,1.8530355139189121,8.4097536129617909e-06,1662.5045332829488,60.214609817807165,0.31745458890863099,1.8495271383931617,4453.6051500337826,2257.1544278523943,3468.0417415683123
61,14299.571202250374,6301.1006187220955,0.0116576729829918,2.2682274702717642,9.2016200145834084e-06,1659.5093557564871,59.18461317913458,0.31725629199730998,2.2693767434474679,6016.9076737612368,6329.8321248221155,0.17071334725699219,0.95135007595022458,6.0504027309214228e-06,1658.9894287526024,58.807450040528302,0.315584671811169,0.95056354656962205,21474.052904796477,6265.2736993811122,0.00030075141129050001,3.4309358519002853,1.2108706007733697e-05,1654.3841003076398,60.534354430340201,0.31958301612769491,3.4274724353890074,9076.1457256271115,6310.6961893411235,0.075054482196434597,1.4391466950711571,7.1406854673276433e-06,1656.3870090471205,59.350181283849537,0.31672882234271288,1.4382162368958404,8282.6635284891381,7174.4817025461034,3059.2380518658747
62,12115.171361522029,6351.9794391604255,0.028157231953215199,1.9085941753472859,7.7750586982862211e-06,1657.2053722719645,63.866433348647675,0.32093285066733152,1.9073064510931972,2745.9870608239385,6383.4403002912923,0.33333104103923239,0.4307336037471457,4.6929941031344979e-06,1657.0334878914539,62.968841939585275,0.31881606642386812,0.43017353208404446,23177.495059516761,6288.447842399074,0.0001122968362675,3.6896150148576279,1.1937770648611064e-05,1654.9394711821351,64.679124449593573,0.32496775140396711,3.6857258961814705,4196.455587817406,6366.6874347775183,0.25487298130538871,0.6592333058343619,5.1156132790380388e-06,1654.2093058448529,63.878514991420012,0.31995442529507762,0.65912699984211642,9369.1843006980907,11062.323697994732,1450.4685269934675
63,8899.6211937741282,6440.0728220002929,0.083407249334804395,1.3825121623464836,6.2693166413664916e-06,1656.962762128139,64.117888080358767,0.32118935562166578,1.3819131304496488,1487.0552579310845,6466.9990383049853,0.40868501958021941,0.2309288991686671,4.1585578293234096e-06,1656.8200411995624,62.920120769446321,0.31908166478410482,0.22994518000127073,20219.214309398645,6386.1124686354669,0.00076874282443430001,3.1675135124297689,1.0199422183288332e-05,1654.5793386520884,65.843639929149845,0.32522460423337157,3.1661224898093479,-272.27216513044925,6461.071356718222,0.5,0,3.753469868974617e-06,1654.034665020152,63.770376511245018,0.31955920145353639,-0.042140405220465589,7412.5659358430439,11319.593115624517,-1759.3274230615339
64,2847.8458947123136,6485.9578147350776,0.33028163258929022,0.43913562749419088,4.2600438896033756e-06,1654.7083592122692,67.807616030911106,0.32096699436120368,0.43907869524566673,19.133096565344285,6501.1095048878269,0.49888098343899068,0.0028049622297548001,3.6241861742040862e-06,1654.9410589676911,66.364779276647965,0.31951796314030989,0.0029430509593722674,9351.0184825618344,6475.4864514769661,0.074246485137839505,1.4448751045489048,6.0804488951953422e-06,1653.9046778919619,68.968194746562503,0.32204610165075209,1.4440642494787399,-2973.0053283749994,6463.8958195642772,0.5,0,3.1037641210876201e-06,1653.4363102404125,69.892488913491405,0.3229688687669281,-0.45994016787470532,2828.7127981469694,6503.1725878495208,-2992.1384249403436
