window,draw_index,mass_GeV,attempt_01_source,attempt_02_source,attempt_01_finite,attempt_02_finite,attempt_01_lml,attempt_02_lml,targeted_repair_attempt_count,all_attempt_sources,all_finite_lml,selected_source,selected_attempt,selected_lml,branch_multiplicity,selected_state_reproducing_attempt_count,selected_at_kernel_bound,review_status,interpolated
window_2p25eq2p5,0,0.055,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,True,True,1663.707010753152,1663.7070121258314,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,1663.70701075|1663.70701213,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,attempt_02_55_75MeV,1663.7070121258314,1,2,False,stable_reproduced,False
window_2p25eq2p5,0,0.056,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,True,True,1662.264067471089,1662.2640664594155,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,1662.26406747|1662.26406646,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,attempt_01_full,1662.264067471089,1,2,False,stable_reproduced,False
window_2p25eq2p5,0,0.057,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,True,True,1658.2731161992926,1658.2731154166156,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,1658.2731162|1658.27311542,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,attempt_01_full,1658.2731161992926,1,2,False,stable_reproduced,False
window_2p25eq2p5,0,0.058,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,True,True,1655.7346532611166,1655.7346524542656,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,1655.73465326|1655.73465245,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,attempt_01_full,1655.7346532611166,1,2,False,stable_reproduced,False
window_2p25eq2p5,0,0.059,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,True,True,1654.3648063914031,1654.3648068489665,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,1654.36480639|1654.36480685,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,attempt_02_55_75MeV,1654.3648068489665,1,2,False,stable_reproduced,False
window_2p25eq2p5,0,0.06,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,True,True,1658.7772907249916,1658.7772906627754,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,1658.77729072|1658.77729066,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,attempt_01_full,1658.7772907249916,1,2,False,stable_reproduced,False
window_2p25eq2p5,0,0.061,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,True,True,1655.641285274485,1655.641285631276,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,1655.64128527|1655.64128563,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,attempt_02_55_75MeV,1655.641285631276,1,2,False,stable_reproduced,False
window_2p25eq2p5,0,0.062,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,True,True,1654.583818567117,1654.5838163025635,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,1654.58381857|1654.5838163,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,attempt_01_full,1654.583818567117,1,2,False,stable_reproduced,False
window_2p25eq2p5,0,0.063,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,True,True,1654.9071127897143,1654.907112912205,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,1654.90711279|1654.90711291,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,attempt_02_55_75MeV,1654.907112912205,1,2,False,stable_reproduced,False
window_2p25eq2p5,0,0.064,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,True,True,1654.467584120751,1654.467581875813,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_00/attempt_02/results_single.csv,1654.46758412|1654.46758188,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,attempt_01_full,1654.467584120751,1,2,False,stable_reproduced,False
