window,mass_GeV,draw_count,summary_scope,quantile_method,eps2_up_mean,eps2_up_median,eps2_up_q16,eps2_up_q84,eps2_up_min,eps2_up_max,p0_analytic_mean,p0_analytic_median,p0_analytic_q16,p0_analytic_q84,p0_analytic_min,p0_analytic_max,Z_analytic_mean,Z_analytic_median,Z_analytic_q16,Z_analytic_q84,Z_analytic_min,Z_analytic_max,A_hat_mean,A_hat_median,A_hat_q16,A_hat_q84,A_hat_min,A_hat_max,sigma_A_mean,sigma_A_median,sigma_A_q16,sigma_A_q84,sigma_A_min,sigma_A_max
window_2p25eq2p5,0.05,10,pointwise descriptive statistics across ten conditional draws,numpy linear,3.2538453350354835e-05,3.256858259950674e-05,3.095418670486776e-05,3.4049058944342055e-05,3.0669060869504153e-05,3.443997275161699e-05,0.0006118458837019201,0.00046613820935345,0.00019991362185014,0.00112066174556192,0.0001595825074624,0.0013812855764642,3.3012008495729956,3.3144212890575675,3.0564081970165393,3.5431181148529105,2.9929918622364475,3.599226578856512,15569.066307854573,15606.112218418868,14491.473272516085,16613.5729548751,14235.554958599529,16873.47511373446,4725.0612847616485,4720.820669972367,4699.917367993103,4749.250228914148,4692.711922029218,4755.814884167123
window_2p25eq2p5,0.051,10,pointwise descriptive statistics across ten conditional draws,numpy linear,2.189750502712364e-05,2.184979948125761e-05,2.0533616806160077e-05,2.325721349046464e-05,2.0377151844266353e-05,2.406428970413057e-05,0.01403491520822682,0.01265468996165735,0.006520731686768416,0.02190565129333541,0.0043456922778592,0.0235505061891108,2.2497071412495675,2.2480271916320334,2.015943830747874,2.4831229217926367,1.9853907673685256,2.6239605730346796,11026.932205665616,11002.886998201666,9911.772359722892,12139.916483542665,9773.78565668615,12797.095963850295,4921.437884220051,4922.331483618776,4903.123759859565,4940.297690853358,4896.521921548616,4942.608107713478
window_2p25eq2p5,0.052,10,pointwise descriptive statistics across ten conditional draws,numpy linear,8.77569379012497e-06,8.428212812270894e-06,8.181713386648586e-06,9.59871561131926e-06,7.838321729540206e-06,9.7522277125879e-06,0.4586322131720296,0.4999513009912829,0.39654041634783505,0.5,0.3778425605268144,0.5,0.10494423083779925,0.0001220703125,0.0,0.26231566177309407,0.0,0.3111519347287481,44.316374942782616,-421.80071275042366,-909.0530902039424,1292.711767337745,-1477.9865893648102,1526.984770716211,4943.222644245188,4940.702794188939,4926.338615347925,4958.772801900925,4924.331283613693,4962.601295411574
window_2p25eq2p5,0.053,10,pointwise descriptive statistics across ten conditional draws,numpy linear,5.5670117057307055e-06,5.596391631799815e-06,5.255652424891364e-06,5.787411959816907e-06,5.234216351603066e-06,5.960108270321841e-06,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-6442.550511756194,-6324.274838921174,-7961.120009197358,-5301.40550942474,-8124.087704969702,-4716.231694134674,5088.697146767841,5086.847573582045,5073.605447389438,5105.664249861555,5064.998203852467,5108.98044721748
window_2p25eq2p5,0.054,10,pointwise descriptive statistics across ten conditional draws,numpy linear,4.50068007397121e-06,4.543273734114559e-06,4.31562126380117e-06,4.630473319349123e-06,4.245427555830308e-06,4.71044131804003e-06,0.49999311292015697,0.5,0.5,0.5,0.4999311292015692,0.5,1.726334915006e-05,0.0,0.0,0.0,0.0,0.0001726334915006,-12739.13870397625,-12284.335767231063,-14475.389815136761,-11618.76060988894,-15079.724412266416,-10959.819911858096,5489.000146932929,5485.9523136053995,5468.4326466408265,5510.7629802659685,5458.22997480486,5516.982982132188
window_2p25eq2p5,0.055,10,pointwise descriptive statistics across ten conditional draws,numpy linear,4.049673792210651e-06,4.031811399400098e-06,3.907242885476245e-06,4.182132517804715e-06,3.792862226916247e-06,4.287015838360122e-06,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-12939.584442892125,-12998.800039436435,-14379.186365490821,-11628.132970406152,-15707.124454260407,-10701.911781317887,5594.457623150657,5590.116956911559,5575.4506646463005,5615.958899098054,5558.5403926341505,5626.298419469529
window_2p25eq2p5,0.056,10,pointwise descriptive statistics across ten conditional draws,numpy linear,4.169582923923085e-06,4.109130708431816e-06,3.88196147003987e-06,4.467778218729113e-06,3.763724432660515e-06,4.626090810310995e-06,0.4999862258403138,0.5,0.49996143235287877,0.5,0.4999311292015692,0.5,3.452669830012e-05,0.0,0.0,9.667475524033594e-05,0.0,0.0001726334915006,-9432.7277681907,-9829.519502398325,-11713.49015417903,-7035.7595222881155,-12986.682711322836,-6058.242224947989,5840.93530110574,5845.699105186806,5801.24346210908,5868.668411507013,5790.652410737243,5880.4736949122625
window_2p25eq2p5,0.057,10,pointwise descriptive statistics across ten conditional draws,numpy linear,4.999853942178348e-06,4.890544000298764e-06,4.434746455595794e-06,5.726989373416006e-06,4.051979993632474e-06,5.906562522669413e-06,0.48775849826319034,0.5,0.4676273181959699,0.5,0.4379104667628701,0.5,0.030779381038501107,0.0,0.0,0.08132006698735368,0.0,0.156269072322317,-2256.4469819914766,-2300.277192439077,-4376.955388566447,477.90533845971737,-6680.210828259833,920.8092796715732,5878.285974976995,5881.213835375775,5867.837702616774,5892.069202772725,5837.4693704162455,5900.852520351309
window_2p25eq2p5,0.058,10,pointwise descriptive statistics across ten conditional draws,numpy linear,7.051565838714434e-06,7.291152944646282e-06,5.8258211879418186e-06,8.283634922632487e-06,5.353178619599767e-06,8.738698047067459e-06,0.2250909194193529,0.1691812241921977,0.0965450251766059,0.362941325243864,0.0702128575791384,0.4507893565064983,0.8337500792630272,0.9578893501102066,0.35064944276011956,1.3118865178106682,0.1236672882174135,1.474207559370254,4966.042704848344,5693.184868352862,2054.4839639173656,7834.364856530703,731.5112359073111,8816.231823005992,5982.132834351296,5981.7918389432325,5968.289761275296,5994.439397184272,5960.693886977652,6005.464848077094
window_2p25eq2p5,0.059,10,pointwise descriptive statistics across ten conditional draws,numpy linear,7.5551171095873835e-06,7.14093382686038e-06,6.228255635159144e-06,9.164256456995596e-06,6.144810951487698e-06,1.0055236707120618e-05,0.13490519353898095,0.138521598177714,0.03511554964436184,0.23398853674610776,0.014896313489195,0.2437080364904322,1.2429755940416147,1.100816136929601,0.7261021980173559,1.8596745437557944,0.6944244371287136,2.1728364751056253,7527.137535703181,6624.47726071436,4391.389741473965,11268.252515453541,4192.1141159095805,13192.918311627383,6056.067175962271,6059.312598085542,6038.152291062842,6068.69027255393,6035.26498055056,6073.087866996012
