window,draw_index,result_csv,result_sha256,scan_log,scan_log_sha256,mass_count,grid_complete,scan_complete_marker,traceback_count,convergence_warning_count,nonfinite_row_count,extract_failure_count,non_asymptotic_count,selected_kernel_bound_count,selected_kernel_bound_masses_MeV,minimum_local_p0,minimum_local_p0_mass_MeV,optimizer_attempt_count_per_mass,within_fit_optimizer_restarts,unchanged_card_max_lml_reproduced,optimizer_review_status,pass_finite_grid_bound_gates
window_2p25eq2p5,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/results_single.csv,e93202224782bac53534480cb1242e017d011bd54393878e7c989121f54301bd,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_00/attempt_01/scan.log,8dceb6653411137af5eaf5c3f2baca13594ebb4c68f310660dcb28dce682d167,201,True,True,0,36,0,0,0,0,[],0.0002348476939663,50.0,1,12,False,single scan attempt; finite/bound audited; selected maximum-LML branch not independently reproduced,True
window_2p25eq2p5,1,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_01/attempt_01/results_single.csv,267db12e5ad16c75bc299da965bdaf061238900bf06c38c285b7789a791f2767,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_01/attempt_01/scan.log,caee7fc8df8ab13ba440ddd56224b9a82a651f0b466e8752154547d47e8ea2c1,201,True,True,0,42,0,0,0,0,[],0.0010764533513126,50.0,1,12,False,single scan attempt; finite/bound audited; selected maximum-LML branch not independently reproduced,True
window_2p25eq2p5,2,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_02/attempt_01/results_single.csv,dace9ea365bf896d069de847c2595acd529bc9c173dcd8d6e6771ae6a76d98f9,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_02/attempt_01/scan.log,4b389ff2d26a1b2cf8f2482b21e8d6139f9b49c663d59ce020c3d7dd74dc4d9e,201,True,True,0,48,0,0,0,0,[],0.0003827257293424,50.0,1,12,False,single scan attempt; finite/bound audited; selected maximum-LML branch not independently reproduced,True
window_2p25eq2p5,3,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv,eb832606452194bdddfbbe327ea17928a3fcbea6ede0aff2a1684245355964c4,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/scan.log,3ec31f0cd3539dcd9185da10923c2cdfd345b18d156f8f80169ac85032f03b09,201,True,True,0,42,0,0,0,0,[],0.0001595825074624,50.0,1,12,False,single scan attempt; finite/bound audited; selected maximum-LML branch not independently reproduced,True
window_2p25eq2p5,4,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_04/attempt_01/results_single.csv,8b86cf1d7ded47eb867d695795e1721dcdca387155a4fe2c1e441af7d0939ede,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_04/attempt_01/scan.log,f5c41a391fc46cb05f2c20b637ec836d09c335aeca8e8b0db4b16202c76b8a2d,201,True,True,0,48,0,0,0,0,[],0.0001724654223303,50.0,1,12,False,single scan attempt; finite/bound audited; selected maximum-LML branch not independently reproduced,True
window_2p25eq2p5,5,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_05/attempt_01/results_single.csv,fddca0504b0dc27dd8ae2ff409211d6e6166310c524bbce6993846dc0772d736,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_05/attempt_01/scan.log,4d8116645a78b719c10b9e328169d06ba0ff056d28603b3a28ee3427f3389486,201,True,True,0,32,0,0,0,0,[],0.0006448909675506,50.0,1,12,False,single scan attempt; finite/bound audited; selected maximum-LML branch not independently reproduced,True
window_2p25eq2p5,6,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_06/attempt_01/results_single.csv,5987db47f35ddf26947933767fbce85856d4af2941a4a7833538e24f0918f67d,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_06/attempt_01/scan.log,2954c1cf5a1d0801ef3e21f31ed33adc7b91217f6d2d7b30df4e801b948e8359,201,True,True,0,40,0,0,0,0,[],0.0011553969124721,50.0,1,12,False,single scan attempt; finite/bound audited; selected maximum-LML branch not independently reproduced,True
window_2p25eq2p5,7,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_07/attempt_01/results_single.csv,e3c9850f6f91911c1bbd37033ede427eb6a6f2176ca39961faa3a8e7abc35974,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_07/attempt_01/scan.log,4d23f6ebb3eaf4d41d3a0b4b833b36eee68cbad3723721cc8b401cee3ec911dc,201,True,True,0,35,0,0,0,0,[],0.0013812855764642,50.0,1,12,False,single scan attempt; finite/bound audited; selected maximum-LML branch not independently reproduced,True
window_2p25eq2p5,8,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_08/attempt_01/results_single.csv,b70e43087473ea8f64eb26777fae2a3776ba0cc477e465347946e20be8f45e89,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_08/attempt_01/scan.log,2a94fbab95615401eb0327e838fcc106cf9c8a5240c7dbbb1d9a5678ca5bcc99,201,True,True,0,36,0,0,0,0,[],0.0005495506893645,50.0,1,12,False,single scan attempt; finite/bound audited; selected maximum-LML branch not independently reproduced,True
window_2p25eq2p5,9,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_09/attempt_01/results_single.csv,7a0eef09b63e91ad3638b31fe0c4e72f618e5ae3f456b62d543f7e70b25ea275,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_09/attempt_01/scan.log,fbf6638b9798fa673138747d2404a01cade374c1f1833b881a15337da3418a23,201,True,True,0,34,0,0,0,0,[],5.114081534392688e-05,63.0,1,12,False,single scan attempt; finite/bound audited; selected maximum-LML branch not independently reproduced,True
window_3p0,0,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_3p0/draw_00/attempt_01/results_single.csv,acbe74bc96677fca338374909ca8fe28a06314d29c62aef974d28c0b897727a4,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_3p0/draw_00/attempt_01/scan.log,45e11c9542d9d85690c74951fd3d9fbdf7e33cb6aee89b1256d7add37b56a33e,201,True,True,0,50,0,0,0,0,[],0.0001544057780761,50.0,1,12,False,single scan attempt; finite/bound audited; selected maximum-LML branch not independently reproduced,True
