scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,study_id,mass_MeV,top_branch_replicates,n_attempts,analytic_mean,analytic_lane,truth_model,truth_function_tag
2021_10pct,-1,0.065,0.0,0.0,reference_bonly,0,2974518411,12,True,False,,1845.2078020304918,0.4143028888165573,115.77762853617146,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5736.486598818726,5738.0877086700775,-6736.258972972612,-1.174283048854287,-1.174283048854287,-196527977.81022426,16,1548353109.452468,3099298779.2062125,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,18c73080d40712450d2684be1a7264298f9d946ae67144b9b0f9981da5e085e8,False,False,False,False,True,-0.390571318428151,-1.4009220737989326e-06,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,65.0,3,3,True,rigid_scaled1pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct
2021_10pct,-1,0.09,0.0,0.0,reference_bonly,1,235926540,12,True,False,,1830.9047985610969,0.39802022814265037,85.75002261965062,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5586.267429049704,5586.845445758418,-2910.1299520697307,-0.5209435439729353,-0.5209435439729353,-248280831.3533214,18,1715348006.0543957,4754171337.8311,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.39802022814265037. Increasing the bound and calling fit again may find a better value.,398,71,327,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,fb8ee6183c71050e50202df4529e3905897dca5a6c3589f9fa04d1a9f13364af,False,True,False,False,True,-0.4250480293929039,-3.0445195558511916e-06,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,90.0,3,3,True,rigid_scaled1pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct
2021_10pct,-1,0.12,0.0,0.0,reference_bonly,0,2031275074,12,True,False,,1809.9119524058524,0.3606116126040492,55.38002804943066,1e-08,1e+18,0.026444851590963617,0.3606116126040493,0.09765408633176671,1.0,4566.731687868486,4566.9680981144775,-979.9063578492962,-0.2145749793999099,-0.2145749793999099,-170857300.95925495,22,1004523258.0192318,3712114132.412231,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3606116126040493. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,b3f07f22fd8d0a40280e1069d4c975f82c46ad32dae449dfd8226d569b2584fd,False,True,False,False,True,-0.09263155624683792,-1.4937305016527179e-06,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,120.0,3,3,True,rigid_scaled1pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct
2021_10pct,-1,0.18,0.0,0.0,reference_bonly,1,38912765,12,True,False,,1777.0514702433788,0.36088211163409106,55.85799189223024,1e-08,1e+18,0.02646468818650001,0.360882111634091,0.09772733781538258,1.0,2586.0906506616675,2585.9060470250565,463.8263320678196,0.17935424342110617,0.17935424342110617,-46926998.15760636,32,215435866.3868975,1194182192.1876762,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.360882111634091. Increasing the bound and calling fit again may find a better value.,384,208,176,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,8f97df39e70c0807b0b910cd6a4fb41f52d2208f273d9baff7a1f4ca07121f36,False,True,False,False,True,-0.004843642558353141,-5.246231262209907e-07,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,180.0,3,3,True,rigid_scaled1pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct
2021_10pct,-1,0.21,0.0,0.0,reference_bonly,1,2321365938,12,True,False,,1764.1786532018361,0.3771185154055612,64.62938994017011,1e-08,1e+18,0.027655357796407824,0.3771185154055612,0.10212417674180257,1.0,1935.6911838998728,1935.9679734471947,-521.2814451157575,-0.2692999014778391,-0.2692999014778391,-22778915.754597202,38,94995527.82149634,614331144.0748372,3,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3771185154055612. Increasing the bound and calling fit again may find a better value.",378,253,125,0.04,0.3,0.0006250000000000006,0,4417.199496517762,1156661.8724927919,9d941607506850ae5761f4104e2d68375551b025bf908ff4c20f2aed6dcdccff,False,True,False,False,True,-0.0015535178464571703,-4.113088305452743e-07,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,210.0,3,3,True,rigid_scaled1pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct
2021_10pct_x10,-1,0.065,0.0,0.0,reference_bonly,2,3871835262,12,True,False,,2278.6648338069244,0.3938513890826118,246.59133578979382,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,19832.39979400107,19832.697568224252,-2555.0595494449067,-0.12883259595330285,-0.12883259595330285,-2319353348.372826,16,15483531094.524681,30992987792.062126,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,44171.994965177626,11566618.724927917,b11891bae9e655ef88320010b93c5d216ffef7deaf9dfba18921efadb22d96b0,False,False,False,False,True,-47.66893883592876,-1.1660523624857338e-05,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,65.0,3,3,True,rigid_scaled1pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct
2021_10pct_x10,-1,0.09,0.0,0.0,reference_bonly,1,2719945109,12,True,False,,2262.9682704486513,0.39202762974966615,240.42737103049106,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,18415.120687571834,18414.884619968798,3895.962706872585,0.2115632459309337,0.2115632459309337,-2926515899.544482,18,17153480060.543957,47541713378.311005,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,44171.994965177626,11566618.724927917,b045efa05d1dacbe80878db1674f4e336f5d0ab055a2ac0a98e3d418881e4c8b,False,False,False,False,True,-92.5964766102806,-5.395779437463225e-05,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,90.0,3,3,True,rigid_scaled1pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct
2021_10pct_x10,-1,0.12,0.0,0.0,reference_bonly,2,167776303,12,True,False,,2238.5055925835204,0.3606116126040492,105.4448389681124,1e-08,1e+18,0.026444851590963617,0.3606116126040493,0.09765408633176671,1.0,14893.599931663019,14893.25744934975,4557.910781170677,0.30603150360449766,0.30603150360449766,-2026993057.3937511,22,10045232580.19232,37121141324.122314,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3606116126040493. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,0,44171.994965177626,11566618.724927917,a225b514fa36e9b9510dab770815eb62f1a846d75b3d1c49a3dd3578b18a4e68,False,True,False,False,True,-18.82719933730803,-2.6143558798096422e-05,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,120.0,3,3,True,rigid_scaled1pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct
2021_10pct_x10,-1,0.18,0.0,0.0,reference_bonly,2,3484004388,12,True,False,,2194.1748969301275,0.36088211163409106,106.29758011596051,1e-08,1e+18,0.02646468818650001,0.360882111634091,0.09772733781538258,1.0,8409.558457668312,8409.961547734769,-3148.5658559258313,-0.37440323077304855,-0.37440323077304855,-569057235.156039,32,2154358663.8689747,11941821921.87676,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.360882111634091. Increasing the bound and calling fit again may find a better value.,384,208,176,0.04,0.3,0.0006250000000000006,0,44171.994965177626,11566618.724927917,d53cbae844823debf0dfe0b762cadceb62cfcb604fb32fc3bfb7b437546fc018,False,True,False,False,True,-0.877379692720191,-8.32325800712252e-06,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,180.0,3,3,True,rigid_scaled1pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct
2021_10pct_x10,-1,0.21,0.0,0.0,reference_bonly,2,239799391,12,True,False,,2174.2472709827384,0.3771185154055612,157.2973340072568,1e-08,1e+18,0.027655357796407824,0.3771185154055612,0.10212417674180257,1.0,6345.093231783246,6344.7721589220255,1836.7671164111366,0.28947834953954266,0.28947834953954266,-280148980.4957298,38,949955278.2149634,6143311440.748373,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3771185154055612. Increasing the bound and calling fit again may find a better value.",378,253,125,0.04,0.3,0.0006250000000000006,0,44171.994965177626,11566618.724927917,54f4f95309d7c14e86049ac32f294af9f91049cd49e6ec1a91716d755d972726,False,True,False,False,True,-0.37872697133261535,-8.794254628869758e-06,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,210.0,3,3,True,rigid_scaled1pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct
