scenario,upper_factor,mass_MeV,selected_rows,exact_upper_bound_rows,exact_upper_bound_fraction,near_upper_bound_rows,near_upper_bound_fraction,exact_lower_bound_rows,exact_lower_bound_fraction,near_lower_bound_rows,near_lower_bound_fraction,exact_boundary_ratio,near_boundary_fractional_window
2021_10pct,15,50,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,15,70,20,1,0.05,1,0.05,0,0.0,0,0.0,0.999,0.02
2021_10pct,15,90,20,20,1.0,20,1.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,15,110,20,19,0.95,19,0.95,0,0.0,0,0.0,0.999,0.02
2021_10pct,15,130,20,19,0.95,20,1.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,15,150,20,20,1.0,20,1.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,15,170,20,20,1.0,20,1.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,15,190,20,20,1.0,20,1.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,15,210,20,19,0.95,19,0.95,0,0.0,0,0.0,0.999,0.02
2021_10pct,15,230,20,20,1.0,20,1.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,15,250,20,10,0.5,18,0.9,0,0.0,0,0.0,0.999,0.02
2021_10pct,20,50,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,20,70,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,20,90,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,20,110,20,0,0.0,1,0.05,0,0.0,0,0.0,0.999,0.02
2021_10pct,20,130,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,20,150,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,20,170,20,1,0.05,1,0.05,0,0.0,0,0.0,0.999,0.02
2021_10pct,20,190,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,20,210,20,1,0.05,1,0.05,0,0.0,0,0.0,0.999,0.02
2021_10pct,20,230,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,20,250,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,25,50,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,25,70,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,25,90,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,25,110,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,25,130,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,25,150,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,25,170,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,25,190,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,25,210,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,25,230,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct,25,250,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct_x10,15,50,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_10pct_x10,15,70,20,1,0.05,1,0.05,0,0.0,0,0.0,0.999,0.02
