scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
2021_1pct_x10,10,0.065,0.0,0.0,reference_bonly,0,3266086786,12,True,False,,1630.3415620006901,0.39587541722618863,90.7549939355518,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5491.71965460666,5490.984046084368,5180.711563876276,0.9433678136739011,0.9433678136739011,-172320075.90745512,16,1371411554.7232068,2745119399.053598,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,3897.0,1023666.0,fdce1e507d436a2b0a0cb63264760783d4e09b78b565d8d2e686afccea4ba648,False,False,False,False,True,-0.29390433509634734,-1.1053503675952517e-06,,,,,,,,,
2021_1pct_x10,10,0.065,0.0,0.0,reference_bonly,1,2820554213,12,True,False,,1610.8303595708542,0.3514073904612868,8.424713910955973,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5570.684774229806,5570.6075924977,2652.7274738774154,0.47619414513437036,0.47619414513437036,-172320075.68020755,16,1371411554.7232068,2745119399.053598,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3897.0,1023666.0,fdce1e507d436a2b0a0cb63264760783d4e09b78b565d8d2e686afccea4ba648,False,False,False,False,True,-0.029614983834855665,-1.0477869164878281e-07,,,,,,,,,
2021_1pct_x10,10,0.065,0.0,0.0,reference_bonly,2,3850695991,12,True,False,,1630.3415611917487,0.3958833983481136,90.7638386387027,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5491.663745423721,5490.928171598586,5180.529689528433,0.9433442995932589,0.9433442995932589,-172320075.9073075,16,1371411554.7232068,2745119399.053598,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3897.0,1023666.0,fdce1e507d436a2b0a0cb63264760783d4e09b78b565d8d2e686afccea4ba648,False,False,False,False,True,-0.23689273255101248,-8.9097012025807e-07,,,,,,,,,
2021_1pct_x10,10,0.065,1.0,5491.71965460666,injected_refit,0,2162944489,12,True,False,,1630.3610213311997,0.3958598224801564,90.61163945196178,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5492.618513864176,5491.71965460666,10586.835971952527,1.9274660974960847,0.9276297460828647,-172393258.79789886,16,1371411554.7232068,2745119399.053598,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,3897.0,1023666.0,789f01c5cd751e0cdc6f2a26da121ece84e9b47768d24ff6de8a55b7a8938e50,False,False,False,False,True,-0.20893043959058002,-7.857912337390132e-07,176945712.0,0.0,1630.3415620006901,0.39587541722618863,90.7549939355518,5466.0,5358.0,108.0,b7096d88ba25205c0cbeb41274acf0f876811122d430a9a80bb7d5e1fd482acb
2021_1pct_x10,10,0.065,3.0,16475.15896381998,injected_refit,0,275325182,12,True,False,,1630.3839347353603,0.3958226273126338,90.30103964853579,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5494.439914295756,5491.71965460666,21298.853870414245,3.876437672017786,0.877922951535732,-172540705.711833,16,1371411554.7232068,2745119399.053598,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3897.0,1023666.0,236f369390d0ba6d348f4e189c79aaceb7a04da2ad98f02468470d4f6fa72fb7,False,False,False,False,True,-0.23039498917037884,-8.665561944403972e-07,2877849536.0,0.0,1630.3415620006901,0.39587541722618863,90.7549939355518,16477.0,16152.0,325.0,dc2480cf89b005cb4bb71f0411b4e4d3d3d75a0570a516c62278d3b5ea8bf742
2021_1pct_x10,10,0.065,5.0,27458.598273033298,injected_refit,0,854429169,12,True,False,,1630.4065802741845,0.3956982236419827,89.94162718382178,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5496.832618988288,5491.71965460666,31872.13704161315,5.7982731603494475,0.8029239881406794,-172685149.58592728,16,1371411554.7232068,2745119399.053598,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3897.0,1023666.0,d42383bf07732bd81b323835f370c392e6cba79d8694326b36507801b1449dee,False,False,False,False,True,-0.251321212394258,-9.448428701971871e-07,2773527841.0,0.0,1630.3415620006901,0.39587541722618863,90.7549939355518,27251.0,26726.0,525.0,b39cca17d7ad54086fcc3ef1fa80fbd6836445edcd6ed9c660d62d44ae3f196b
2021_1pct_x10,10,0.09,0.0,0.0,reference_bonly,0,3974156508,12,True,False,,1616.665343892062,0.38832109824443095,77.93137384170836,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5292.334979172869,5293.096508293626,-5352.692449810115,-1.0114046958242011,-1.0114046958242011,-217732270.64427602,18,1518821195.2289052,4209487618.933145,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3897.0,1023666.0,b9d86ff59226f4360f38fcbed08d91f0ffe64d79da6cf18bbeb06c8ae350a44c,False,False,False,False,True,-0.41396802213097694,-3.2380087925659195e-06,,,,,,,,,
2021_1pct_x10,10,0.09,0.0,0.0,reference_bonly,1,3967194924,12,True,False,,1616.6653440095533,0.3883194194522897,77.92812755187056,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5292.340656902757,5293.102184531117,-5352.683004867745,-1.011401826125135,-1.011401826125135,-217732270.64424747,18,1518821195.2289052,4209487618.933145,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3897.0,1023666.0,b9d86ff59226f4360f38fcbed08d91f0ffe64d79da6cf18bbeb06c8ae350a44c,False,False,False,False,True,-0.3298033233333629,-2.5796674710781116e-06,,,,,,,,,
2021_1pct_x10,10,0.09,0.0,0.0,reference_bonly,2,3450655832,12,True,False,,1616.665343946764,0.38832262441416426,77.9233055381987,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5292.319793135579,5293.081349429192,-5352.827062411134,-1.0114330334599273,-1.0114330334599273,-217732270.6443311,18,1518821195.2289052,4209487618.933145,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3897.0,1023666.0,b9d86ff59226f4360f38fcbed08d91f0ffe64d79da6cf18bbeb06c8ae350a44c,False,False,False,False,True,-0.3359024229215632,-2.6274252086765028e-06,,,,,,,,,
2021_1pct_x10,10,0.09,1.0,5292.340656902757,injected_refit,0,2013777537,12,True,False,,1616.6385275645166,0.38832739415136297,77.88422779219586,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5293.060362171731,5292.340656902757,-91.33883513664094,-0.017256337333580837,-1.017120365850218,-217804211.87575436,18,1518821195.2289052,4209487618.933145,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3897.0,1023666.0,f708c12e776f38a899e4262dcb13a1d8326ac482cc72ebf35c366f842b9f128d,False,False,False,False,True,-0.333216687256011,-2.6065273576579303e-06,4090187633.0,1.0,1616.6653440095533,0.3883194194522897,77.92812755187056,5335.0,5227.0,108.0,573ff1e8ed578eae2a2078845a67cb8298b6b743f958618831f4ef5cda59052a
