scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,top_branch_replicates,study_id,scenario_label,source_family,truth_model,truth_function_tag,mass_MeV,n_attempts,optimizer_gate_status,optimizer_trigger_reasons,accepted,sigmaA_ref,sigmaA_ref_mode,reference_top_branch_replicates,eps2_hat_signed,eps2_injected,eps2_sigma,nominal_Z_residual,pull_identity_residual,refit_ls_over_hi,refit_ls_over_lo,refit_upper_boundary,refit_lower_boundary,refit_constant_lower_boundary,refit_constant_upper_boundary,analysis_partition,declared_result_commit,declared_integration_commit,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
2021_1pct_x10,2,0.065,0.0,0.0,reference_bonly,1,1077206175,12,True,False,,1631.8825308269181,0.40316604756578,117.34904018233485,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5466.857464396161,5469.514135809819,-11826.162208320595,-2.163246853487673,-2.163246853487673,-172297070.15902624,16,1370350247.6464212,2742995007.848928,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,3871.0,1025631.0,35ebfbecb0e7c96e222ea7325376ce113565946fb1432ced0274d78e8fc50824,False,False,False,False,True,-0.2338039065522134,-8.954312841686793e-07,3,v4p8p1_2021_rigid_ggt26_scaled1pct_25toy_20260813,2021 1pct source x10,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,65.0,3,pass_replicated_initial3,,True,5466.857464396161,matched_refit_bonly_multistart_v1,3,-4.311404933104394e-06,0.0,1.9930249412605753e-06,-2.163246853487673,0.0,0.8367893925217932,11.410764443478998,False,False,False,False,rigid_scaled1pct_25toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,,,,,,,,,
2021_1pct_x10,2,0.065,1.0,5466.857464396161,injected_refit,0,2577804878,12,True,False,,1631.9539818861006,0.4032842545480329,117.40851106805519,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5466.9776395267545,5466.857464396161,-6540.380408297866,-1.1963429959929432,-2.196321013987799,-172369812.6293595,16,1370350247.6464212,2742995007.848928,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3871.0,1025631.0,052686e2c21e911fe9fe68a626579f4989eebeefdacb337078394d9db6cce926,False,False,False,False,True,-0.3006244976113686,-1.1520875005310436e-06,1,v4p8p1_2021_rigid_ggt26_scaled1pct_25toy_20260813,2021 1pct source x10,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,65.0,1,pass_single_untriggered,,True,5466.857464396161,matched_refit_bonly_multistart_v1,3,-2.3843938430740597e-06,1.9930249412605753e-06,1.9930687529081538e-06,-2.1963429959929432,0.0,0.8370347364674664,11.414110042738177,False,False,False,False,rigid_scaled1pct_25toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,262488270.0,1.0,1631.8825308269181,0.40316604756578,117.34904018233485,5406.0,5326.0,80.0,d398c68ebbe2a41da4040146af32cac20d921758fc80fb2703f7e1f4e1e4fa97
2021_1pct_x10,2,0.065,3.0,16400.572393188482,injected_refit,0,1774868753,12,True,False,,1632.1495538283395,0.403613760183354,117.6217544620139,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5466.587882553487,5466.857464396161,3896.2531277446815,0.7127395024928622,-2.2874084408943833,-172514008.4391275,16,1370350247.6464212,2742995007.848928,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3871.0,1025631.0,543f91c4477c12abb081e59fb6fa265b33189a8ead521e14f293f9d46c78b70b,False,False,False,False,True,-0.24545865563391817,-9.423314567260602e-07,1,v4p8p1_2021_rigid_ggt26_scaled1pct_25toy_20260813,2021 1pct source x10,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,65.0,1,pass_single_untriggered,,True,5466.857464396161,matched_refit_bonly_multistart_v1,3,1.4204375569754117e-06,5.979074823781726e-06,1.9929266611536476e-06,-2.2872604975071376,0.0,0.8377186403380368,11.423436004609592,False,False,False,False,rigid_scaled1pct_25toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,1364997282.0,1.0,1631.8825308269181,0.40316604756578,117.34904018233485,16186.0,15883.0,303.0,47657c7540abf633bafd42677556cc51bbc8c413087dcc8c5e11606169cddbae
2021_1pct_x10,2,0.065,5.0,27334.287321980806,injected_refit,0,1167076905,12,True,False,,1632.3225766159437,0.40379031304721963,117.59585396348206,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5467.167771618223,5466.857464396161,14881.271497895508,2.7219343030131324,-2.2777819054196207,-172663278.0440247,16,1370350247.6464212,2742995007.848928,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3871.0,1025631.0,6d46e33755e50c5d861622f33bc58814060cc582956e49e3b48161cc91b95fbb,False,False,False,False,True,-0.2764047829978337,-1.0622353349398322e-06,1,v4p8p1_2021_rigid_ggt26_scaled1pct_25toy_20260813,2021 1pct source x10,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,65.0,1,pass_single_untriggered,,True,5466.857464396161,matched_refit_bonly_multistart_v1,3,5.4251908790623296e-06,9.965124706302876e-06,1.9931380684158102e-06,-2.2780656969868676,0.0,0.8380850838036861,11.428432960959354,False,False,False,False,rigid_scaled1pct_25toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,2136813553.0,1.0,1631.8825308269181,0.40316604756578,117.34904018233485,27306.0,26808.0,498.0,580aed9f807945875d43cfc074aeeccee93493142c67e62b98b27386231e5b3f
2021_1pct_x10,2,0.09,0.0,0.0,reference_bonly,2,1384269397,12,True,False,,1619.5989618565618,0.34729483404267264,68.98753265949307,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5512.959345432502,5512.2498596416035,2915.8869014265674,0.5289150016755312,0.5289150016755312,-217724581.91614872,18,1518690132.753463,4209124372.8384676,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3871.0,1025631.0,84c196eae60251e0f083e5369376a112197b8a09b71151a66c70db0096bfed45,False,False,False,False,True,-0.4487619211244292,-2.8669616811541884e-06,2,v4p8p1_2021_rigid_ggt26_scaled1pct_25toy_20260813,2021 1pct source x10,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,90.0,3,pass_replicated_initial3,,True,5512.959345432502,matched_refit_bonly_multistart_v1,2,6.927537993989491e-07,0.0,1.3097639454437836e-06,0.5289150016755312,0.0,0.8725557383435353,11.898487341048208,False,False,False,False,rigid_scaled1pct_25toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,,,,,,,,,
2021_1pct_x10,2,0.09,1.0,5512.959345432502,injected_refit,0,133587000,12,True,False,,1619.5905583780768,0.34743322125371123,69.09274156230165,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5512.9956128456915,5512.959345432502,8256.275190254226,1.4976023508918614,0.49760892942297885,-217798545.99002075,18,1518690132.753463,4209124372.8384676,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3871.0,1025631.0,b61cfeb0564792c4e15ef52a5190aaf93e3ab0bba5c3e65e6ba7db399fa1ce5e,False,False,False,False,True,-0.28028770120828783,-1.7918319841517484e-06,1,v4p8p1_2021_rigid_ggt26_scaled1pct_25toy_20260813,2021 1pct source x10,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,90.0,1,pass_single_untriggered,,True,5512.959345432502,matched_refit_bonly_multistart_v1,2,1.961518467720287e-06,1.3097639454437836e-06,1.3097725618233383e-06,0.49760235089186144,0.0,0.8729034272328271,11.903228553174914,False,False,False,False,rigid_scaled1pct_25toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,720887612.0,2.0,1619.5989618565618,0.34729483404267264,68.98753265949307,5456.0,5374.0,82.0,c19a955d20a11eee0fccca24b4a3461ad7f1485b5aadbbe66a7227b75060563c
2021_1pct_x10,2,0.09,3.0,16538.87803629751,injected_refit,0,3025914477,12,True,False,,1619.6384220143873,0.34790429734822104,69.4644749178515,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5512.010391431802,5512.959345432502,19230.132445128656,3.488769265569804,0.48825278214543905,-217946728.78809816,18,1518690132.753463,4209124372.8384676,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3871.0,1025631.0,b718b9159fb66c3c4786cd4fd52b17419d772521409dda71cf559a900ff58a3c,False,False,False,False,True,-0.33454065070563593,-2.143459662583329e-06,1,v4p8p1_2021_rigid_ggt26_scaled1pct_25toy_20260813,2021 1pct source x10,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,90.0,1,pass_single_untriggered,,True,5512.959345432502,matched_refit_bonly_multistart_v1,2,4.568677649256682e-06,3.929291836331351e-06,1.3095384938019116e-06,0.48876926556980393,0.0,0.8740869753572731,11.919367845780997,False,False,False,False,rigid_scaled1pct_25toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,1153275258.0,2.0,1619.5989618565618,0.34729483404267264,68.98753265949307,16484.0,16140.0,344.0,6f1ff9f381f3d08d6f82957378f9c0239e32b86bf0bfff67259adc754d135187
2021_1pct_x10,2,0.09,5.0,27564.79672716251,injected_refit,0,319774623,12,True,False,,1619.6624443189257,0.3483203482410773,69.78625734054835,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5511.341667935647,5512.959345432502,29891.484243230876,5.423631130897963,0.42216354133962836,-218096390.10853565,18,1518690132.753463,4209124372.8384676,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3871.0,1025631.0,72fca409f3ffacf3176c8bbe6dd45f1c1b69c99f895b16fc90927b9ae68a1fcc,False,False,False,False,True,-0.3734513346157933,-2.397504023411561e-06,1,v4p8p1_2021_rigid_ggt26_scaled1pct_25toy_20260813,2021 1pct source x10,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,90.0,1,pass_single_untriggered,,True,5512.959345432502,matched_refit_bonly_multistart_v1,2,7.1015920641644615e-06,6.548819727218917e-06,1.309379619072414e-06,0.423631130897963,0.0,0.8751322762325522,11.93362194862571,False,False,False,False,rigid_scaled1pct_25toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,3123468042.0,2.0,1619.5989618565618,0.34729483404267264,68.98753265949307,27614.0,27013.0,601.0,4ef27e2d63433269977977c9df6590ecbc2b935278d691a7e509f620f6ff3afa
2021_1pct_x10,2,0.12,0.0,0.0,reference_bonly,1,530700138,12,True,False,,1604.8915904753612,0.35030946122300666,71.19430485082532,1e-08,1e+18,0.026444851590963617,0.3606116126040493,0.09765408633176671,1.0,4349.196841446876,4349.05960646463,-2864.9163020032483,-0.6587230715108673,-0.6587230715108673,-149794488.67316547,22,889261861.7227672,3286177296.5072517,0,,394,117,277,0.04,0.3,0.0006250000000000006,0,3871.0,1025631.0,d847faed7c404007c5b78fab95c1c7d6a64f6006d8e0001545698b29fc8a9893,False,False,False,False,True,-0.11917620841952335,-2.039827068003312e-06,3,v4p8p1_2021_rigid_ggt26_scaled1pct_25toy_20260813,2021 1pct source x10,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,120.0,3,pass_replicated_initial3,,True,4349.196841446876,matched_refit_bonly_multistart_v1,3,-8.718081964257543e-07,0.0,1.323482103680001e-06,-0.6587230715108673,0.0,0.9714314486251602,13.246792481252182,False,False,False,False,rigid_scaled1pct_25toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,,,,,,,,,
2021_1pct_x10,2,0.12,1.0,4349.196841446876,injected_refit,0,1669808225,12,True,False,,1604.9030602380208,0.35051604835629135,71.37398068328149,1e-08,1e+18,0.026444851590963617,0.3606116126040493,0.09765408633176671,1.0,4349.15227321734,4349.196841446876,1470.2059995132552,0.3380442686651787,-0.6619659789018726,-149850761.43973508,22,889261861.7227672,3286177296.5072517,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",394,117,277,0.04,0.3,0.0006250000000000006,0,3871.0,1025631.0,c590a1b39e36bb3b4f9d89881a946439bbb77fe7748235863208a922f7a981ba,False,False,False,False,True,-0.1426447437229081,-2.4437694910984127e-06,1,v4p8p1_2021_rigid_ggt26_scaled1pct_25toy_20260813,2021 1pct source x10,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,120.0,1,pass_single_untriggered,,True,4349.196841446876,matched_refit_bonly_multistart_v1,3,4.47390955161147e-07,1.323482103680001e-06,1.3234685413473833e-06,-0.6619557313348212,0.0,0.9720043284938723,13.254604479461895,False,False,False,False,rigid_scaled1pct_25toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,4216847312.0,1.0,1604.8915904753612,0.35030946122300666,71.19430485082532,4333.0,4255.0,78.0,90b6f88991d81d613a649d649a6638807dfc9c190d8bf779b9ab3320f023c931
