scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
2021_10pct_x10,0,0.065,0.0,0.0,reference_bonly,0,3369678879,12,True,False,,2084.8690280974615,0.3944532233319317,299.88626160278346,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,19866.058181635926,19866.24910071867,110.03465196840828,0.005538826623900845,0.005538826623900845,-2319166402.1615734,16,15482779113.525053,30991482570.94693,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,44415.0,11568661.0,03eceaa7b822f889a6adb3628d621d9ff5df89fe1ecefa265a2011c4e79f2b36,False,False,False,False,True,-135.31201046554372,-3.285512116056932e-05,,,,,,,,,
2021_10pct_x10,0,0.065,0.0,0.0,reference_bonly,1,3522204382,12,True,False,,2084.86903243875,0.3944533163241327,299.88698466186526,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,19866.031064772986,19866.221968549096,110.14484517158857,0.005544380999529421,0.005544380999529421,-2319166402.1615953,16,15482779113.525053,30991482570.94693,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,44415.0,11568661.0,03eceaa7b822f889a6adb3628d621d9ff5df89fe1ecefa265a2011c4e79f2b36,False,False,False,False,True,-118.50094316308054,-2.8773003040490904e-05,,,,,,,,,
2021_10pct_x10,0,0.065,0.0,0.0,reference_bonly,2,2280266195,12,True,False,,2084.8690753243964,0.3944538057963916,299.89176094662827,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,19866.0369718891,19866.227898414996,109.79720247547623,0.005526880002833066,0.005526880002833066,-2319166402.1615453,16,15482779113.525053,30991482570.94693,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,44415.0,11568661.0,03eceaa7b822f889a6adb3628d621d9ff5df89fe1ecefa265a2011c4e79f2b36,False,False,False,False,True,-113.53459592543742,-2.756723905379401e-05,,,,,,,,,
2021_10pct_x10,0,0.065,1.0,19866.0369718891,injected_refit,0,2856289443,12,True,False,,2084.89396785754,0.39464974516367307,300.89118856774377,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,19863.824538608675,19866.0369718891,19306.233324391258,0.9719293123469932,-0.028182067678345184,-2319477523.7444787,16,15482779113.525053,30991482570.94693,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,44415.0,11568661.0,80de2c0d126bebbc653cf1d990971ac12425d19a27a74e460c97e93270e8ecd9,False,False,False,False,True,-98.15906561740458,-2.3849911183393943e-05,3709263880.0,2.0,2084.8690753243964,0.3944538057963916,299.89176094662827,19700.0,19345.0,355.0,8975f211f1390cdf5b397bdf1c21222315f271d5428b1f0bb2276f7add307b25
2021_10pct_x10,0,0.065,3.0,59598.110915667305,injected_refit,0,223270352,12,True,False,,2084.9566810107863,0.3950280672297084,302.57788953586015,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,19859.575711689187,19866.0369718891,58293.48036001668,2.935283271218408,-0.06569277081195303,-2320107427.307375,16,15482779113.525053,30991482570.94693,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,44415.0,11568661.0,2aa8fc5969c99195454d7378c3bdc6814ccb2558d41540b2acfabbf80e1422e8,False,False,False,False,True,-135.4396468604837,-3.295231344553661e-05,1331032835.0,2.0,2084.8690753243964,0.3944538057963916,299.89176094662827,59600.0,58510.0,1090.0,04e0706c94098327143c51f2f1a6be0e4dbfcd87e9e03a9854c8b2cc88cc0c7d
2021_10pct_x10,0,0.065,5.0,99330.18485944551,injected_refit,0,292365290,12,True,False,,2084.99276807116,0.3954533621077936,305.0257924106822,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,19854.871674639344,19866.0369718891,97210.6772092156,4.896061722392441,-0.10675000498427574,-2320736301.683682,16,15482779113.525053,30991482570.94693,3,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,44415.0,11568661.0,a6ab5a1b54e911b9233b02155b69077dffdd01b573dbdc1705f52fc04b17c31e,False,False,False,False,True,-141.79537069788876,-3.454743930102302e-05,4107481661.0,2.0,2084.8690753243964,0.3944538057963916,299.89176094662827,99456.0,97610.0,1846.0,9afcef55f9dff8c105c377e87193437aa96a106a7642c5b304db55e677ec37b8
2021_10pct_x10,0,0.09,0.0,0.0,reference_bonly,0,3611715556,12,True,False,,2072.183487808292,0.3936617913329721,289.30019645607666,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,18424.25386341373,18423.56603149924,31354.972738218614,1.7018313452835272,1.7018313452835272,-2926357828.032078,18,17154609875.804968,47544844716.85688,3,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,44415.0,11568661.0,ea863ea6fe63fea16f53ee52a6dd6fcda160c60ce49b9934a82b534ddd1553bd,False,False,False,False,True,-182.68382749313548,-0.00010625690283902642,,,,,,,,,
2021_10pct_x10,0,0.09,0.0,0.0,reference_bonly,1,1057307705,12,True,False,,2072.1834994001483,0.39367402471475615,289.4541810866843,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,18424.113269685033,18423.42553298498,31353.304074303924,1.7017537623312669,1.7017537623312669,-2926357828.031943,18,17154609875.804968,47544844716.85688,3,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,44415.0,11568661.0,ea863ea6fe63fea16f53ee52a6dd6fcda160c60ce49b9934a82b534ddd1553bd,False,False,False,False,True,-201.17157782554096,-0.00011701564407758212,,,,,,,,,
2021_10pct_x10,0,0.09,0.0,0.0,reference_bonly,2,2965742897,12,True,False,,2072.183436827463,0.39366184634006274,289.30164669758653,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,18423.426884158343,18422.738911386852,31355.023547472705,1.7019104938850322,1.7019104938850322,-2926357828.0315175,18,17154609875.804968,47544844716.85688,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,44415.0,11568661.0,ea863ea6fe63fea16f53ee52a6dd6fcda160c60ce49b9934a82b534ddd1553bd,False,False,False,False,True,-161.50122770131355,-9.393763811627012e-05,,,,,,,,,
2021_10pct_x10,0,0.09,1.0,18424.113269685033,injected_refit,0,2543650590,12,True,False,,2072.1116287174777,0.39371866357396107,289.47194971325877,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,18424.129287056894,18424.113269685033,49224.85760769008,2.671760322604279,1.671761191973551,-2926646737.9049277,18,17154609875.804968,47544844716.85688,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,44415.0,11568661.0,884073d4c395bd3a4d56a871f93e1f0f4ed79d97973133aa3b7c61c9a1ead798,False,False,False,False,True,-193.1701146982032,-0.00011238330303393173,3849728767.0,1.0,2072.1834994001483,0.39367402471475615,289.4541810866843,18224.0,17848.0,376.0,4d3e4bbea0eff6acd04cdbaf7569bb6a43d40fb95757f80266fdf3b0a5ca6f73
