scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
2021_1pct_x100,16,0.065,0.0,0.0,reference_bonly,0,3965186696,12,True,False,,2062.25943240853,0.39178834975689186,188.2163334461499,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,18608.708553169716,18609.235753441426,-15072.006497957986,-0.8099437129069709,-0.8099437129069709,-2036875397.3498814,16,13707680556.562101,27438313234.456585,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,38884.0,10238633.0,2456d2d2da9837ef0592f4a05a02c05fe5cdf3a5028155fa831c62d21b302344,False,False,False,False,True,-44.00778677272901,-1.2309662750546348e-05,,,,,,,,,
2021_1pct_x100,16,0.065,1.0,17602.732633637937,injected_refit,0,3602163000,12,True,False,,2062.306045313223,0.3923370202550161,190.03205336780906,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,18600.654592861447,17602.732633637937,2356.770989012347,0.1267036585861246,-0.8196465112833545,-2037150782.043184,16,13707680556.562101,27438313234.456585,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,38884.0,10238633.0,45c4080c7e6f81d34c8250d21321e56091319534e69a06f02ce891b79ff0492b,False,False,False,False,True,-47.213314310466906,-1.3233309435853565e-05,507620449.0,2.0,2062.5663012935356,0.4580515987263845,723.3883443868955,17582.0,17252.0,330.0,47e3b02b154ae5b1d1fe6948b05ab065a5ec49be3bc120b70ac5a2a514e71f74
2021_1pct_x100,16,0.065,3.0,52808.197900913816,injected_refit,0,528096527,12,True,False,,2062.7675917912566,0.45740338257085783,705.5495974506753,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,17609.968018229454,17602.732633637937,21769.063285967564,1.2361784679809018,-1.762588925931905,-2037700548.8860173,16,13707680556.562101,27438313234.456585,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,38884.0,10238633.0,c5bf7e9704f94414732e4703da4d2bcbd64ce3bec375c5f2c22c88bfbbb84ac9,False,False,False,False,True,-187.78751986563924,-6.652524034053925e-05,3078728414.0,2.0,2062.5663012935356,0.4580515987263845,723.3883443868955,52711.0,51698.0,1013.0,471a6e42918744affb1def90b27cc8579c7c06416953908bf8303cd3f60d6b3c
2021_1pct_x100,16,0.065,5.0,88013.66316818968,injected_refit,0,862510564,12,True,False,,2062.8780360359137,0.4578342388337144,708.8116507629782,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,17604.686536981215,17602.732633637937,56088.39187501404,3.1859920798471575,-1.813452981745057,-2038257026.8973136,16,13707680556.562101,27438313234.456585,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,38884.0,10238633.0,35a55e081427365c366b447e711650aa243191b935680f7133c409811ce197fb,False,False,False,False,True,-188.04629276572467,-6.673270911644752e-05,405367869.0,2.0,2062.5663012935356,0.4580515987263845,723.3883443868955,88213.0,86560.0,1653.0,ee5aa39e91c63607f9d803b4f8fb83e657c8e0779acb85281232e86011fce244
2021_1pct_x100,16,0.09,0.0,0.0,reference_bonly,0,1925152897,12,True,False,,2048.894919720141,0.377283432103406,147.49789413646346,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,17474.98813065321,17474.171005741475,-8475.307719076876,-0.4849964792943222,-0.4849964792943222,-2569985203.667352,18,15184896516.47446,42085687295.96024,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,38884.0,10238633.0,d1871f1f26a10151822ac1e8bafb9c8c771960d5300ed6afde167326b469331d,False,False,False,False,True,-63.71782439994777,-4.0309980024040934e-05,,,,,,,,,
2021_1pct_x100,16,0.09,1.0,17474.98813065321,injected_refit,0,2856433456,12,True,False,,2048.9287045571405,0.3773875292961517,147.85798648059765,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,17474.305494722805,17474.98813065321,8883.278708268408,0.5083623329666026,-0.49167673215851,-2570261705.830947,18,15184896516.47446,42085687295.96024,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,38884.0,10238633.0,4bf90d8da2f1fe33417291baf4261cfb2a738e86bd7afa68469340508c125911,False,False,False,False,True,-68.98789259178751,-4.3661135377996805e-05,3787666938.0,0.0,2048.894919720141,0.377283432103406,147.49789413646346,17561.0,17211.0,350.0,1e2ea453249db9616ef3ad8bb9583dfc603f10e112d3a6448575464c189fb8fd
2021_1pct_x100,16,0.09,3.0,52424.964391959635,injected_refit,0,2982070176,12,True,False,,2048.9848871198833,0.37759200433589307,148.56411626840432,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,17473.0278052054,17474.98813065321,42650.86916986959,2.440954690014483,-0.5593818845282348,-2570809818.8875775,18,15184896516.47446,42085687295.96024,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,38884.0,10238633.0,6983e370d272e8de8b3977eb7440aa5b610476352e879972b8592274a898887a,False,False,False,False,True,-54.11171745611639,-3.427246626109129e-05,3441433572.0,0.0,2048.894919720141,0.377283432103406,147.49789413646346,52388.0,51328.0,1060.0,585edda37025307e10335aca4f13ced1022bd97fba75bc1c388fae489da4e28b
2021_1pct_x100,16,0.09,5.0,87374.94065326607,injected_refit,0,2323004380,12,True,False,,2049.060907553634,0.3778248738884711,149.35148149722122,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,17471.302981077937,17474.98813065321,77186.54630898235,4.417904399722117,-0.5831502295689179,-2571363991.07396,18,15184896516.47446,42085687295.96024,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,38884.0,10238633.0,548009df6f0a46561b91465ac7adb9494382ffac115dfc267f258d8678ab6d84,False,False,False,False,True,-64.49644142118409,-4.08860903889819e-05,3663731916.0,0.0,2048.894919720141,0.377283432103406,147.49789413646346,87620.0,85821.0,1799.0,6642208fc950629e727294c40ba9ac4e2b94692537db4430d1b1ee3292763594
2021_1pct_x100,16,0.12,0.0,0.0,reference_bonly,0,2314538011,12,True,False,,2027.140325550221,0.3606116126040492,92.77470140281271,1e-08,1e+18,0.026444851590963617,0.3606116126040493,0.09765408633176671,1.0,13977.484633076709,13977.104296406453,-15022.936772228535,-1.0747954418549557,-1.0747954418549557,-1779419587.1660583,22,8891494763.574982,32857619877.53212,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3606116126040493. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,0,38884.0,10238633.0,9f1177fa276abc4a7a8fb49c886a6f625676230ff394e0d29ac32fbf7892f42e,False,True,False,False,True,-14.154528582197598,-2.247847444567883e-05,,,,,,,,,
2021_1pct_x100,16,0.12,1.0,13977.515384314063,injected_refit,0,2132038211,12,True,False,,2027.120185419964,0.3606116126040492,92.7952172193892,1e-08,1e+18,0.026444851590963617,0.3606116126040493,0.09765408633176671,1.0,13978.31102952112,13977.515384314063,-1208.7052898120699,-0.08647005258785392,-1.0864131326062212,-1779633829.8752666,22,8891494763.574982,32857619877.53212,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3606116126040493. Increasing the bound and calling fit again may find a better value.",394,117,277,0.04,0.3,0.0006250000000000006,0,38884.0,10238633.0,2a09e0f0c9b99298d3d7591d1677dbf9b08b0254782bdf906aa6f81e1ac703cc,False,True,False,False,True,-13.382028090388104,-2.1251320760657463e-05,1567990347.0,1.0,2027.140346010427,0.3606116126040492,92.79544787360891,14057.0,13796.0,261.0,987dbba15049f0c3a43edece387c597732113b10b28dd7322bdfc24b2eaf7735
