scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,top_branch_replicates,study_id,scenario_label,source_family,truth_model,truth_function_tag,mass_MeV,n_attempts,optimizer_gate_status,optimizer_trigger_reasons,accepted,sigmaA_ref,sigmaA_ref_mode,reference_top_branch_replicates,eps2_hat_signed,eps2_injected,eps2_sigma,nominal_Z_residual,pull_identity_residual,refit_ls_over_hi,refit_ls_over_lo,refit_upper_boundary,refit_lower_boundary,refit_constant_lower_boundary,refit_constant_upper_boundary,analysis_partition,declared_result_commit,declared_integration_commit,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
2021_1pct_x100,18,0.065,0.0,0.0,reference_bonly,2,1852527262,12,True,False,,2080.3155527645927,0.40042110512293067,251.42452571099952,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,18501.410987278323,18503.13408626274,-22479.51669016615,-1.215016341490019,-1.215016341490019,-2036537858.3325074,16,13705522739.058474,27433993986.40269,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,39115.0,10241646.0,dfc20fb514b41f49b5ba6357e25c0cbfcaab993c28a0b9687e85fa5c9f347d9f,False,False,False,False,True,-56.20322397407794,-1.610095873144406e-05,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2021 1pct source x100,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,65.0,3,pass_replicated_initial3,,True,18501.410987278323,matched_refit_bonly_multistart_v1,3,-8.194037186604268e-07,0.0,6.743972823077934e-07,-1.215016341490019,0.0,0.8310921401536249,11.333074638458521,False,False,False,False,rigid_scaled1pct_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,,,,,,,,,
2021_1pct_x100,18,0.065,1.0,18501.410987278323,injected_refit,0,598673822,12,True,False,,2080.3514429347524,0.40073747778856655,252.98934442077987,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,18497.53451624784,18501.410987278323,-4320.539302877308,-0.23357379325781163,-1.233783360161286,-2036831164.6250072,16,13705522739.058474,27433993986.40269,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,39115.0,10241646.0,c6e2f892eb677d81a39d980ca4c8af9162812d75a1c555f5a78577b602e39e08,False,False,False,False,True,-55.488027401965084,-1.5913904037638977e-05,1,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2021 1pct source x100,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,65.0,1,pass_single_untriggered,,True,18501.410987278323,matched_refit_bonly_multistart_v1,3,-1.5748852700845264e-07,6.743972823077934e-07,6.742559805697962e-07,-1.2335737932578117,0.0,0.8317487859507757,11.342028899328758,False,False,False,False,rigid_scaled1pct_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,2759999660.0,2.0,2080.3155527645927,0.40042110512293067,251.42452571099952,18711.0,18376.0,335.0,a53154ddfcaf9bcdc472a5e6fdf3d8b09aa5d1ac11d5c4eb25115a96c762d104
2021_1pct_x100,18,0.065,3.0,55504.23296183497,injected_refit,0,1068604450,12,True,False,,2080.4244316556733,0.4011044390906672,253.67533916437037,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,18492.739822795407,18501.410987278323,31217.354433423276,1.688087040241741,-1.3133196465822785,-2037403502.1702585,16,13705522739.058474,27433993986.40269,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,39115.0,10241646.0,26185e8a26056181058a3c81175a57b17153cbebd326e2cbc4e3450343e24d21,False,False,False,False,True,-56.17832030148804,-1.6137217555110152e-05,1,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2021 1pct source x100,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,65.0,1,pass_single_untriggered,,True,18501.410987278323,matched_refit_bonly_multistart_v1,3,1.1379077522906711e-06,2.0231918469233805e-06,6.74081208589646e-07,-1.311912959758259,0.0,0.8325104307542451,11.352414964830615,False,False,False,False,rigid_scaled1pct_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,2185079583.0,2.0,2080.3155527645927,0.40042110512293067,251.42452571099952,55244.0,54235.0,1009.0,022fd9d26a877349bda11917843c09b3517ea85da029089b59fb301dffeb4ce0
2021_1pct_x100,18,0.065,5.0,92507.05493639162,injected_refit,0,2613847254,12,True,False,,2080.479521755918,0.4016007217718019,255.29191220285628,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,18486.221601923655,18501.410987278323,67542.84773641861,3.6536859284100642,-1.350422370646864,-2037989104.337836,16,13705522739.058474,27433993986.40269,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,39115.0,10241646.0,6e50a479185009c99e46768aca17bc58cb1c1f16ecd9bfc6c13a5d10ad41506e,False,False,False,False,True,-49.87686519183672,-1.4355369835367767e-05,1,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2021 1pct source x100,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,65.0,1,pass_single_untriggered,,True,18501.410987278323,matched_refit_bonly_multistart_v1,3,2.4620129234516624e-06,3.3719864115389675e-06,6.738436120925781e-07,-1.3463140715899358,0.0,0.8335404879373169,11.36646119914523,False,False,False,False,rigid_scaled1pct_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,3360532076.0,2.0,2080.3155527645927,0.40042110512293067,251.42452571099952,92624.0,90922.0,1702.0,7875fc7862ef1339f68e0805af928c3417659bcc25232f1589435936ce6d199f
2021_1pct_x100,18,0.09,0.0,0.0,reference_bonly,2,3564088981,12,True,False,,2062.6394137067746,0.3949366588569162,248.82041342743128,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,17258.124173272437,17257.67485640644,1845.0881063352613,0.10691127771538109,0.10691127771538109,-2569612292.591969,18,15183676793.202007,42082306772.94012,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,39115.0,10241646.0,f8b56113e3cb41168d5344e2a0522d310515b7bb887aa3ba80a7765c68f547ba,False,False,False,False,True,-73.90639520143085,-4.951153591597609e-05,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2021 1pct source x100,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,90.0,3,pass_replicated_initial3,,True,17258.124173272437,matched_refit_bonly_multistart_v1,3,4.384474730177327e-08,0.0,4.1010404363977987e-07,0.10691127771538109,0.0,0.9922527322289032,13.530719075848678,False,False,False,False,rigid_scaled1pct_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,,,,,,,,,
2021_1pct_x100,18,0.09,1.0,17258.124173272437,injected_refit,2,1190572978,12,True,False,,2062.53429077973,0.39509948072303763,249.83907642575267,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,17256.958117058784,17258.124173272437,18733.22272944189,1.0855460506057435,0.08547848039981595,-2569884227.340758,18,15183676793.202007,42082306772.94012,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,39115.0,10241646.0,648119b2835a84631d6bebfacc9c3c86d0e2169b627f6f443fd5f3d8490d952d,False,False,False,False,True,-78.87720724780677,-5.2868396123296846e-05,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2021 1pct source x100,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,90.0,3,pass_trigger_replicated_after3,near_upper_length_bound,True,17258.124173272437,matched_refit_bonly_multistart_v1,3,4.451567455776398e-07,4.1010404363977987e-07,4.1007633469739835e-07,0.0855460506057435,0.0,0.9926618116037913,13.53629743096079,False,False,False,False,rigid_scaled1pct_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,1601091270.0,2.0,2062.6394137067746,0.3949366588569162,248.82041342743128,17284.0,16927.0,357.0,d2c86a7e48a475632658c54805abb6438f8697e6945708f34b6602503822990f
2021_1pct_x100,18,0.09,3.0,51774.37251981731,injected_refit,1,1777658967,12,True,False,,2062.3174839492103,0.3953781976123779,251.29245711547713,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,17255.046528776813,17258.124173272437,53075.61268412442,3.075947236398839,0.0754121504185448,-2570432478.0623207,18,15183676793.202007,42082306772.94012,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,39115.0,10241646.0,e950cbf7a7662bf8608cfe5b24f50faeb1a63aed4bdaa92cc69730743f5c1985,False,False,False,False,True,-77.86323843934696,-5.223718140905237e-05,2,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2021 1pct source x100,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,90.0,3,pass_trigger_replicated_after3,reference_relative_lml;reference_relative_length;reference_relative_constant,True,17258.124173272437,matched_refit_bonly_multistart_v1,3,1.2612334435585943e-06,1.2303121309193396e-06,4.100309097093556e-07,0.07594723639883894,0.0,0.9933620697053479,13.545846405072925,False,False,False,False,rigid_scaled1pct_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,3055246914.0,2.0,2062.6394137067746,0.3949366588569162,248.82041342743128,52072.0,51052.0,1020.0,0c77ca6f15799020034b2428badfd546fcd1806bdbf4198f09c6f31b668e8729
2021_1pct_x100,18,0.09,5.0,86290.62086636218,injected_refit,0,2562241117,12,True,False,,2062.091239203148,0.3956882806165437,253.06250759690755,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,17252.842893940433,17258.124173272437,87649.76400238258,5.080308476765127,0.07877792340517752,-2570982940.335879,18,15183676793.202007,42082306772.94012,4,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,39115.0,10241646.0,f99b675aced6adf1892bbf6116e4ed197594d5475c200739fc1ce793e87f08cf,False,False,False,False,True,-77.96830167263828,-5.2360354528166224e-05,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2021 1pct source x100,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,90.0,3,pass_trigger_replicated_after3,near_upper_length_bound,True,17258.124173272437,matched_refit_bonly_multistart_v1,3,2.082817476601434e-06,2.050520218198899e-06,4.0997854483191985e-07,0.08030847676512742,0.0,0.9941411331353971,13.55646999730087,False,False,False,False,rigid_scaled1pct_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,436843290.0,2.0,2062.6394137067746,0.3949366588569162,248.82041342743128,87069.0,85314.0,1755.0,9fba05c58a00e310b5e65151e88aaa772e87fbeb8369bcbb98110daec1021712
2021_1pct_x100,18,0.12,0.0,0.0,reference_bonly,0,2623604524,12,True,False,,2045.4487300271157,0.3606116126040492,109.09316588289731,1e-08,1e+18,0.026444851590963617,0.3606116126040493,0.09765408633176671,1.0,14000.786498613292,14001.763771039774,-5208.526612034553,-0.3720167158145317,-0.3720167158145317,-1779299912.5386517,22,8891740488.43806,32858527928.918324,3,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3606116126040493. Increasing the bound and calling fit again may find a better value.",394,117,277,0.04,0.3,0.0006250000000000006,0,39115.0,10241646.0,3e5acbc7f54a44e0d41584059400d66fad5a5114c8e6b060fbef4b58b7d31481,False,True,False,False,True,-13.687694872123505,-2.155952074356997e-05,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2021 1pct source x100,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,120.0,3,pass_replicated_initial3,,True,14000.786498613292,matched_refit_bonly_multistart_v1,3,-1.585136931058498e-07,0.0,4.260929317619064e-07,-0.3720167158145317,0.0,0.9999999999999999,13.636363636363633,True,False,False,False,rigid_scaled1pct_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,,,,,,,,,
2021_1pct_x100,18,0.12,1.0,14000.786498613292,injected_refit,2,1850954574,12,True,False,,2045.4157828879797,0.3606116126040492,108.97950805487532,1e-08,1e+18,0.026444851590963617,0.3606116126040493,0.09765408633176671,1.0,14001.419422021067,14000.786498613292,8625.11563187044,0.616017231674746,-0.38393756409354735,-1779510157.3345687,22,8891740488.43806,32858527928.918324,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3606116126040493. Increasing the bound and calling fit again may find a better value.",394,117,277,0.04,0.3,0.0006250000000000006,0,39115.0,10241646.0,bdc8efef034ec704b446bae5483d71d4b7a29dacd10ac5bd47ae89030151d84a,False,True,False,False,True,-17.868252969393144,-2.8145665045626346e-05,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2021 1pct source x100,one_pct,rigid_ggt26_scaled1pct,rigid_ggt26_scaled1pct,120.0,3,pass_trigger_replicated_after3,near_upper_length_bound,True,14000.786498613292,matched_refit_bonly_multistart_v1,3,2.6249245402985926e-07,4.260929317619064e-07,4.2611219383624965e-07,-0.383982768325254,0.0,0.9999999999999999,13.636363636363633,True,False,False,False,rigid_scaled1pct_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,135714113.0,0.0,2045.4487300271157,0.3606116126040492,109.09316588289731,13782.0,13539.0,243.0,34431c47414274f2d406c731c04207210ab5054e6d6fb24b637ffc3a9312f761
