scenario,background_toy_index,mass_MeV,mass_GeV,lower_factor,upper_factor,strict_lml_tolerance,gate_lml_per_train_tolerance,comparable,reason,n_train,lower_lml,upper_lml,delta_lml_upper_minus_lower,delta_lml_per_train,strict_nested_order_violation,material_nested_order_violation,same_input_geometry
2021_10pct,0,50,0.05,15,20,0.0001,0.001,True,,402,1674.7811374746473,1674.781135367766,-2.10688131119241e-06,-5.240998286548284e-09,False,False,True
2021_10pct,0,50,0.05,20,25,0.0001,0.001,True,,402,1674.781135367766,1674.7811357479852,3.802192622970324e-07,9.45819060440379e-10,False,False,True
2021_10pct,0,70,0.07,15,20,0.0001,0.001,True,,400,1652.719489358061,1652.719489483163,1.2510190572356805e-07,3.1275476430892013e-10,False,False,True
2021_10pct,0,70,0.07,20,25,0.0001,0.001,True,,400,1652.719489483163,1652.7194865566623,-2.9265006560308393e-06,-7.316251640077098e-09,False,False,True
2021_10pct,0,90,0.09,15,20,0.0001,0.001,True,,398,1640.7986858151635,1641.288455055525,0.48976924036151104,0.0012305759808078167,False,False,True
2021_10pct,0,90,0.09,20,25,0.0001,0.001,True,,398,1641.288455055525,1641.288452589033,-2.466491878294619e-06,-6.197215774609595e-09,False,False,True
2021_10pct,0,110,0.11,15,20,0.0001,0.001,True,,396,1631.262557359339,1633.575640299961,2.3130829406218254,0.005841118536923802,False,False,True
2021_10pct,0,110,0.11,20,25,0.0001,0.001,True,,396,1633.575640299961,1633.5756412505452,9.505843081569765e-07,2.4004654246388297e-09,False,False,True
2021_10pct,0,130,0.13,15,20,0.0001,0.001,True,,394,1625.0482086085333,1628.2827509468984,3.234542338365145,0.008209498320723718,False,False,True
2021_10pct,0,130,0.13,20,25,0.0001,0.001,True,,394,1628.2827509468984,1628.2827527778616,1.8309631286683725e-06,4.647114539767443e-09,False,False,True
2021_10pct,0,150,0.15,15,20,0.0001,0.001,True,,390,1611.35250808466,1614.4560734228291,3.103565338169119,0.00795785984145928,False,False,True
2021_10pct,0,150,0.15,20,25,0.0001,0.001,True,,390,1614.4560734228291,1614.4560729749744,-4.47854745289078e-07,-1.1483455007412257e-09,False,False,True
2021_10pct,0,170,0.17,15,20,0.0001,0.001,True,,386,1597.1877805559411,1599.6799895376002,2.4922089816591324,0.006456499952484799,False,False,True
2021_10pct,0,170,0.17,20,25,0.0001,0.001,True,,386,1599.6799895376002,1599.6799917406365,2.2030362742953002e-06,5.707347860868653e-09,False,False,True
2021_10pct,0,190,0.19,15,20,0.0001,0.001,True,,382,1582.532629641154,1584.665145161251,2.1325155200970585,0.0055825013615106245,False,False,True
2021_10pct,0,190,0.19,20,25,0.0001,0.001,True,,382,1584.665145161251,1584.6651441460272,-1.015223915601382e-06,-2.6576542293229897e-09,False,False,True
2021_10pct,0,210,0.21,15,20,0.0001,0.001,True,,378,1582.8989728510805,1584.3066843938104,1.407711542729885,0.003724104610396521,False,False,True
2021_10pct,0,210,0.21,20,25,0.0001,0.001,True,,378,1584.3066843938104,1584.3066852665436,8.727331533009419e-07,2.3088178658755076e-09,False,False,True
2021_10pct,0,230,0.23,15,20,0.0001,0.001,True,,372,1571.05241892674,1571.7046242972074,0.6522053704672999,0.0017532402431916663,False,False,True
2021_10pct,0,230,0.23,20,25,0.0001,0.001,True,,372,1571.7046242972074,1571.7046259842664,1.6870590116013773e-06,4.535104869896175e-09,False,False,True
2021_10pct,0,250,0.25,15,20,0.0001,0.001,True,,366,1562.9219114568095,1562.9395293588445,0.017617902034999133,4.8136344357921126e-05,False,False,True
2021_10pct,0,250,0.25,20,25,0.0001,0.001,True,,366,1562.9395293588445,1562.9395309480708,1.5892262581473915e-06,4.342148246304348e-09,False,False,True
