scenario,background_toy_index,mass_GeV,mass_MeV,upper_factor,attempt,optimizer_seed,optimizer_seed_namespace,seed_includes_upper_factor,optimizer_restarts,background_only,fit_ok,error,gp_lml,ell_opt,ell_lo,ell_hi,ell_init,sigma_x,ell_over_sigma_x,ell_lo_over_sigma_x,ell_hi_over_sigma_x,ell_over_ell_hi,ell_over_ell_lo,ell_mass_delta_GeV,kernel_constant_opt,kernel_constant_lo,kernel_constant_hi,kernel_constant_init,n_blind,blind_lo,blind_hi,sigma_mass_GeV,support_lo_GeV,support_hi_GeV,ell_at_lower_exact,ell_at_upper_exact,ell_near_lower,ell_near_upper,constant_at_lower_exact,constant_at_upper_exact,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,training_counts_sha256,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,evaluated_attempt_count,maximum_lml_candidate_attempt,matches_maximum_lml_branch,selected_maximum_lml_reproduced_branch,maximum_lml_branch_replicates,study_id,selected_attempt,n_attempts,top_branch_replicates,optimizer_gate_status,truth_model,support_preserved_40_300,common_seeds_across_factors,factor_selection_performed
2021_10pct_x10,9,0.05,50,15,2,72341961,v4p8_rigid_length_scan_common_v1,False,12,True,True,,2107.918644576422,0.3743094665711173,0.04301982086534748,0.586633920891102,0.1588612167593829,0.0391089280594068,9.570946715863395,1.1,15.0,0.638063114390893,8.700860650784904,0.02269935206121411,155.40937203107768,1e-08,1e+18,1.0,14,0.045513078125,0.054486921875000004,0.0019941875000000003,0.04,0.3,False,False,False,False,False,False,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",402,9,393,0.04,0.3,0.0006250000000000006,b251ccd3311f8a9684a7eb90e28fbe0a88e2d51a5ffd42160144b0b7dadee69f,True,-4.80456231867955,-1.1435878698620221e-06,3,2,True,True,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2,3,3,maximum_lml_reproduced,rigid_ggt26_scaled1pct,True,True,False
2021_10pct_x10,9,0.05,50,20,0,2244056926,v4p8_rigid_length_scan_common_v1,False,12,True,True,,2107.918647616437,0.3742530899544531,0.04301982086534748,0.782178561188136,0.1834371325196424,0.0391089280594068,9.569505187816945,1.1,20.0,0.47847525939084734,8.699550170742679,0.022695253633240056,155.14538208816143,1e-08,1e+18,1.0,14,0.045513078125,0.054486921875000004,0.0019941875000000003,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",402,9,393,0.04,0.3,0.0006250000000000006,b251ccd3311f8a9684a7eb90e28fbe0a88e2d51a5ffd42160144b0b7dadee69f,True,-3.9952294468968717,-9.507913039597571e-07,3,0,True,True,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,0,3,3,maximum_lml_reproduced,rigid_ggt26_scaled1pct,True,True,False
2021_10pct_x10,9,0.05,50,25,1,667673868,v4p8_rigid_length_scan_common_v1,False,12,True,True,,2107.9186337898514,0.3743399866637507,0.04301982086534748,0.97772320148517,0.20508894895577884,0.0391089280594068,9.571727102699542,1.1,25.0,0.3828690841079817,8.70157009336322,0.0227015708860326,155.66602026285705,1e-08,1e+18,1.0,14,0.045513078125,0.054486921875000004,0.0019941875000000003,0.04,0.3,False,False,False,False,False,False,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",402,9,393,0.04,0.3,0.0006250000000000006,b251ccd3311f8a9684a7eb90e28fbe0a88e2d51a5ffd42160144b0b7dadee69f,True,-4.242518160030142,-1.0098426197283594e-06,3,1,True,True,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,1,3,3,maximum_lml_reproduced,rigid_ggt26_scaled1pct,True,True,False
2021_10pct_x10,9,0.07,70,15,0,2736219602,v4p8_rigid_length_scan_common_v1,False,12,True,True,,2081.5458819414953,0.37722433083928586,0.0336246112080568,0.4585174255644109,0.1241671058160028,0.030567828370960726,12.340566894756808,1.1,15.0,0.8227044596504539,11.218697177051643,0.03207619792687201,159.01617510582219,1e-08,1e+18,1.0,16,0.065111228125,0.07488877187500001,0.0021727875000000004,0.04,0.3,False,False,False,False,False,False,3,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,40,360,0.04,0.3,0.0006250000000000006,e4f0c7798df661748d30c2afb56130505c38177c06fe2c69403c07380380ea96,True,-70.32994823854392,-2.0097902191876932e-05,3,0,True,True,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,0,3,3,maximum_lml_reproduced,rigid_ggt26_scaled1pct,True,True,False
2021_10pct_x10,9,0.07,70,20,1,3419662674,v4p8_rigid_length_scan_common_v1,False,12,True,True,,2081.5458758360337,0.37724866392024725,0.0336246112080568,0.6113565674192145,0.14337582393473194,0.030567828370960726,12.341362930401411,1.1,20.0,0.6170681465200706,11.219420845819464,0.032078681785480234,159.06680519937854,1e-08,1e+18,1.0,16,0.065111228125,0.07488877187500001,0.0021727875000000004,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,40,360,0.04,0.3,0.0006250000000000006,e4f0c7798df661748d30c2afb56130505c38177c06fe2c69403c07380380ea96,True,-69.25810227099008,-1.979455922098983e-05,3,1,True,True,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,1,3,3,maximum_lml_reproduced,rigid_ggt26_scaled1pct,True,True,False
2021_10pct_x10,9,0.07,70,25,1,3419662674,v4p8_rigid_length_scan_common_v1,False,12,True,True,,2081.5458728010844,0.37720687223438143,0.0336246112080568,0.7641957092740181,0.160299044324051,0.030567828370960726,12.339995751635596,1.1,25.0,0.4935998300654239,11.21817795603236,0.032074415834418724,158.97124255378333,1e-08,1e+18,1.0,16,0.065111228125,0.07488877187500001,0.0021727875000000004,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,40,360,0.04,0.3,0.0006250000000000006,e4f0c7798df661748d30c2afb56130505c38177c06fe2c69403c07380380ea96,True,-62.860305259285845,-1.7961672741509655e-05,3,1,True,True,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,1,3,3,maximum_lml_reproduced,rigid_ggt26_scaled1pct,True,True,False
2021_10pct_x10,9,0.09,90,15,1,3746744534,v4p8_rigid_length_scan_common_v1,False,12,True,True,,2071.1437128878015,0.38212785782629666,0.02918815006379436,0.39802022814265037,0.10778438730842861,0.02653468187617669,14.401071759951185,1.1,15.0,0.9600714506634123,13.09188341813744,0.041885949234789624,192.39162792225594,1e-08,1e+18,1.0,18,0.084554803125,0.095445196875,0.0024200875,0.04,0.3,False,False,False,False,False,False,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,84caf08dd20deaf6039da0fcd7251770a9b763e257a7397301340efe55fac1bb,True,-79.68433381761312,-4.475814386108294e-05,3,1,True,True,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,1,3,3,maximum_lml_reproduced,rigid_ggt26_scaled1pct,True,True,False
2021_10pct_x10,9,0.09,90,20,2,2086669498,v4p8_rigid_length_scan_common_v1,False,12,True,True,,2071.1437016777627,0.3822043244299835,0.02918815006379436,0.5306936375235338,0.12445869005392028,0.02653468187617669,14.403953520661323,1.1,20.0,0.7201976760330662,13.094503200601203,0.04189603449098935,192.80563160684747,1e-08,1e+18,1.0,18,0.084554803125,0.095445196875,0.0024200875,0.04,0.3,False,False,False,False,False,False,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,84caf08dd20deaf6039da0fcd7251770a9b763e257a7397301340efe55fac1bb,True,-80.52691377711486,-4.524347756124591e-05,3,2,True,True,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2,3,3,maximum_lml_reproduced,rigid_ggt26_scaled1pct,True,True,False
2021_10pct_x10,9,0.09,90,25,2,2086669498,v4p8_rigid_length_scan_common_v1,False,12,True,True,,2071.14370140127,0.3821540326813745,0.02918815006379436,0.6633670469044173,0.13914904567557138,0.02653468187617669,14.4020581993289,1.1,25.0,0.5760823279731561,13.092780181208092,0.0418894013755771,192.6430842984448,1e-08,1e+18,1.0,18,0.084554803125,0.095445196875,0.0024200875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,84caf08dd20deaf6039da0fcd7251770a9b763e257a7397301340efe55fac1bb,True,-82.89333836082986,-4.6563066577627974e-05,3,2,True,True,2,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,2,3,2,maximum_lml_reproduced,rigid_ggt26_scaled1pct,True,True,False
2021_10pct_x10,9,0.11,110,15,1,4007833810,v4p8_rigid_length_scan_common_v1,False,12,True,True,,2059.3413949883798,0.36853818773546987,0.027026133767267792,0.36853818773546987,0.09980061302459649,0.02456921251569799,15.0,1.1,15.0,1.0,13.636363636363635,0.04901818289751632,124.0994575570054,1e-08,1e+18,1.0,20,0.103843803125,0.116156196875,0.0027360875000000005,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.36853818773546987. Increasing the bound and calling fit again may find a better value.,396,102,294,0.04,0.3,0.0006250000000000006,acb61489fdb15c4a367d44faff23fb951e3f4dcd97a331a3b16f3782ee74ffa5,True,-24.660103020131935,-2.6221116548382377e-05,3,1,True,True,3,v4p8p2_2021_rigid_ggt26_scaled1pct_20toy_20260813,1,3,3,maximum_lml_reproduced,rigid_ggt26_scaled1pct,True,True,False
