scenario,background_toy_index,mass_MeV,mass_GeV,lower_factor,upper_factor,strict_lml_tolerance,gate_lml_per_train_tolerance,comparable,reason,n_train,lower_lml,upper_lml,delta_lml_upper_minus_lower,delta_lml_per_train,strict_nested_order_violation,material_nested_order_violation,same_input_geometry
2021_10pct_x10,17,50,0.05,15,20,0.0001,0.001,True,,402,2105.922576338659,2105.922574124995,-2.213663719885517e-06,-5.506626168869445e-09,False,False,True
2021_10pct_x10,17,50,0.05,20,25,0.0001,0.001,True,,402,2105.922574124995,2105.9226355451706,6.142017537058564e-05,1.527865058969792e-07,False,False,True
2021_10pct_x10,17,70,0.07,15,20,0.0001,0.001,True,,400,2080.709819817012,2080.7097790316725,-4.0785339479043614e-05,-1.0196334869760903e-07,False,False,True
2021_10pct_x10,17,70,0.07,20,25,0.0001,0.001,True,,400,2080.7097790316725,2080.7097454891764,-3.354249611220439e-05,-8.385624028051098e-08,False,False,True
2021_10pct_x10,17,90,0.09,15,20,0.0001,0.001,True,,398,2061.766094742078,2061.8047092899246,0.03861454784646412,9.702147700116614e-05,False,False,True
2021_10pct_x10,17,90,0.09,20,25,0.0001,0.001,True,,398,2061.8047092899246,2061.8047218537586,1.2563833934109425e-05,3.1567421944998554e-08,False,False,True
2021_10pct_x10,17,110,0.11,15,20,0.0001,0.001,True,,396,2050.879400071087,2052.777938026436,1.898537955349184,0.004794287766033293,False,False,True
2021_10pct_x10,17,110,0.11,20,25,0.0001,0.001,True,,396,2052.777938026436,2052.777770289743,-0.00016773669312897255,-4.235775079014458e-07,True,False,True
2021_10pct_x10,17,130,0.13,15,20,0.0001,0.001,True,,394,2047.228740110826,2050.4701112658668,3.2413711550407243,0.008226830342742955,False,False,True
2021_10pct_x10,17,130,0.13,20,25,0.0001,0.001,True,,394,2050.4701112658668,2050.4700626182016,-4.864766515311203e-05,-1.234712313530762e-07,False,False,True
2021_10pct_x10,17,150,0.15,15,20,0.0001,0.001,True,,390,2030.6823258827387,2035.0900088826272,4.407682999888493,0.011301751281765367,False,False,True
2021_10pct_x10,17,150,0.15,20,25,0.0001,0.001,True,,390,2035.0900088826272,2035.0898771804325,-0.0001317021947215835,-3.376979351835475e-07,True,False,True
2021_10pct_x10,17,170,0.17,15,20,0.0001,0.001,True,,386,2007.3642499067992,2011.3794198383148,4.015169931515629,0.0104019946412322,False,False,True
2021_10pct_x10,17,170,0.17,20,25,0.0001,0.001,True,,386,2011.3794198383148,2011.379397395412,-2.244290271846694e-05,-5.8142235021935074e-08,False,False,True
2021_10pct_x10,17,190,0.19,15,20,0.0001,0.001,True,,382,1995.2323727174194,1998.2175316610533,2.9851589436339054,0.007814552208465721,False,False,True
2021_10pct_x10,17,190,0.19,20,25,0.0001,0.001,True,,382,1998.2175316610533,1998.2175325375433,8.764900485402904e-07,2.294476566859399e-09,False,False,True
2021_10pct_x10,17,210,0.21,15,20,0.0001,0.001,True,,378,1989.417459533148,1991.2775072141596,1.8600476810115651,0.004920761060877157,False,False,True
2021_10pct_x10,17,210,0.21,20,25,0.0001,0.001,True,,378,1991.2775072141596,1991.2775411152836,3.390112397028133e-05,8.968551314889241e-08,False,False,True
2021_10pct_x10,17,230,0.23,15,20,0.0001,0.001,True,,372,1967.4307908497135,1967.8940411317608,0.4632502820472837,0.001245296457116354,False,False,True
2021_10pct_x10,17,230,0.23,20,25,0.0001,0.001,True,,372,1967.8940411317608,1967.8939495423379,-9.158942293652217e-05,-2.462081261734467e-07,False,False,True
2021_10pct_x10,17,250,0.25,15,20,0.0001,0.001,True,,366,1953.9497573326187,1954.6078525701175,0.6580952374988556,0.0017980744193957802,False,False,True
2021_10pct_x10,17,250,0.25,20,25,0.0001,0.001,True,,366,1954.6078525701175,1954.6078463433225,-6.226794994290685e-06,-1.7013101077296955e-08,False,False,True
