source,support_low_MeV,mass_MeV,resolution_MeV,fit_policy,poisson_metric_absorption_fraction,window_2p25sigma_absorption_fraction
one_pct,40.0,65.0,2.121696875,normalization_only_shape_frozen,0.0824782128740924,0.10622676183564375
one_pct,40.0,90.0,2.4200875,normalization_only_shape_frozen,0.10420946788239166,0.1365535291306897
one_pct,40.0,120.0,2.91985,normalization_only_shape_frozen,0.07341350444044872,0.0965726260602708
one_pct,40.0,180.0,4.3831,normalization_only_shape_frozen,0.023466309954178848,0.031041209201287074
one_pct,40.0,210.0,5.3465875,normalization_only_shape_frozen,0.012554698926651243,0.01668794661705107
ten_pct,40.0,65.0,2.121696875,normalization_only_shape_frozen,0.0824782128740924,0.10622676183564374
ten_pct,40.0,90.0,2.4200875,normalization_only_shape_frozen,0.10420946788239163,0.13655352913068963
ten_pct,40.0,120.0,2.91985,normalization_only_shape_frozen,0.07341350444044871,0.09657262606027078
ten_pct,40.0,180.0,4.3831,normalization_only_shape_frozen,0.02346630995417884,0.03104120920128707
ten_pct,40.0,210.0,5.3465875,normalization_only_shape_frozen,0.012554698926651238,0.016687946617051065
