model,scenario,background_toy_index,mass_MeV,comparable,delta_lml_25_minus_20,abs_delta_lml_per_training_bin_20_to_25,abs_delta_ell_over_sigma_x_20_to_25,factor20_upper_exact,factor20_upper_near,factor20_top_branch_replicates,factor25_upper_exact,factor25_upper_near
knot_spline,2021_10pct,0,65,True,1.1055913091695402e-06,2.7639782729238504e-09,0.00015780587490249888,False,False,3,False,False
knot_spline,2021_10pct,0,120,True,-2.8532617761811707e-06,7.24178115782023e-09,6.023803462879681e-05,False,False,3,False,False
knot_spline,2021_10pct,0,210,True,1.6205133306357311e-06,4.28707230326913e-09,0.0003623710408012497,False,False,3,False,False
knot_spline,2021_10pct,1,65,True,-1.748705926729599e-07,4.3717648168239977e-10,0.00033261086970308017,False,False,3,False,False
knot_spline,2021_10pct,1,120,True,3.4174718166468665e-08,8.673786336667173e-11,0.00041393964055177053,False,False,3,False,False
knot_spline,2021_10pct,1,210,True,-1.875598627520958e-06,4.9619011310078256e-09,9.900577816876645e-05,False,False,3,False,False
knot_spline,2021_10pct,2,65,True,1.2724544831144158e-06,3.1811362077860394e-09,0.00015426876751235683,False,False,2,False,False
knot_spline,2021_10pct,2,120,True,1.1734073268598877e-06,2.978191184923573e-09,9.79004765805561e-06,False,False,3,False,False
knot_spline,2021_10pct,2,210,True,1.8385101157036843e-06,4.863783374877472e-09,0.0006834725255358834,False,False,3,False,False
knot_spline,2021_10pct_x10,0,65,True,-4.992629783373559e-05,1.2481574458433896e-07,0.004976131199584925,False,False,2,False,False
knot_spline,2021_10pct_x10,0,120,True,1.19368187370128e-05,3.0296494256377663e-08,0.0018945157565150338,False,False,2,False,False
knot_spline,2021_10pct_x10,0,210,True,-0.00020752630507558933,5.490113890888607e-07,0.0007564541088039309,False,False,3,False,False
knot_spline,2021_10pct_x10,1,65,True,-5.3874739933235105e-05,1.3468684983308777e-07,0.00016550713167147623,False,False,3,False,False
knot_spline,2021_10pct_x10,1,120,True,1.936294370352698e-05,4.914452716631213e-08,0.000455649215211498,False,False,3,False,False
knot_spline,2021_10pct_x10,1,210,True,3.9721080611343496e-06,1.0508222383953305e-08,0.00012153177670197845,False,False,3,False,False
knot_spline,2021_10pct_x10,2,65,True,-7.152969783419394e-05,1.7882424458548484e-07,0.008742975582568667,False,False,3,False,False
knot_spline,2021_10pct_x10,2,120,True,9.830915587372147e-06,2.4951562404497834e-08,0.001482676387602344,False,False,3,False,False
knot_spline,2021_10pct_x10,2,210,True,1.563768114465347e-05,4.136952683770759e-08,9.035274870902859e-05,False,False,3,False,False
knot_spline,2021_1pct,0,65,True,3.323922054983541,0.008309805137458852,5.00000000000001,True,True,3,True,True
knot_spline,2021_1pct,0,120,True,0.8686993367575724,0.0022048206516689654,6.288686190883026,False,False,3,True,True
knot_spline,2021_1pct,0,210,True,2.4405815544582765,0.006456564958884329,6.721550235315953,False,False,3,True,True
knot_spline,2021_1pct,1,65,True,3.1742521178996412,0.007935630294749103,5.00000000000001,True,True,3,True,True
knot_spline,2021_1pct,1,120,True,6.04603969392565,0.015345278410978807,5.000000000000018,True,True,3,True,True
knot_spline,2021_1pct,1,210,True,5.430000781869467,0.014365081433517108,5.000000000000009,True,True,3,True,True
knot_spline,2021_1pct,2,65,True,3.5913971109566774,0.008978492777391694,5.00000000000001,True,True,3,True,True
knot_spline,2021_1pct,2,120,True,4.8257237676857585,0.012248029867222737,5.000000000000018,True,True,3,True,True
knot_spline,2021_1pct,2,210,True,5.2615448249036945,0.013919430753713477,5.000000000000009,True,True,3,True,True
knot_spline,2021_1pct_x10,0,65,True,3.059290065721143e-07,7.648225164302857e-10,0.00016068209990182828,False,False,3,False,False
knot_spline,2021_1pct_x10,0,120,True,-6.029135874996427e-07,1.5302375317249816e-09,0.0001552465583206942,False,False,3,False,False
knot_spline,2021_1pct_x10,0,210,True,-2.4262317310785875e-07,6.418602463170867e-10,0.0006072601741358041,False,False,3,False,False
knot_spline,2021_1pct_x10,1,65,True,-1.0471114819665672e-06,2.617778704916418e-09,0.00011136423431129304,False,False,3,False,False
knot_spline,2021_1pct_x10,1,120,True,2.3427855921909213e-07,5.946156325357669e-10,1.0004075540893615e-05,False,False,3,False,False
knot_spline,2021_1pct_x10,1,210,True,-2.1053983800811693e-07,5.569836984341717e-10,4.008424294416843e-05,False,False,3,False,False
knot_spline,2021_1pct_x10,2,65,True,1.8885007193603087e-06,4.721251798400772e-09,6.393560126665032e-05,False,False,2,False,False
knot_spline,2021_1pct_x10,2,120,True,2.475303517712746e-07,6.282496237849609e-10,0.00012965263395413936,False,False,2,False,False
knot_spline,2021_1pct_x10,2,210,True,9.179893822874874e-08,2.428543339384887e-10,0.0010757873307252568,False,False,3,False,False
knot_spline,2021_1pct_x100,0,65,True,-1.8909271148004336e-05,4.727317787001084e-08,8.459883324817406e-06,False,False,3,False,False
knot_spline,2021_1pct_x100,0,120,True,-6.723012802467565e-06,1.7063484270222245e-08,0.00035376004122349294,False,False,3,False,False
knot_spline,2021_1pct_x100,0,210,True,3.9952988117875066e-07,1.0569573576157425e-09,2.4149817546122375e-05,False,False,3,False,False
knot_spline,2021_1pct_x100,1,65,True,-2.173347616007959e-05,5.4333690400198976e-08,0.00018736851728132006,False,False,3,False,False
knot_spline,2021_1pct_x100,1,120,True,-8.722993015908287e-06,2.2139576182508342e-08,0.00044078705757937735,False,False,3,False,False
