model,scenario,background_toy_index,current,status,directory
knot_spline,2021_1pct,0,True,current,runs/residual_length_pilot/knot_spline/2021_1pct/toy_0000
knot_spline,2021_1pct,1,True,current,runs/residual_length_pilot/knot_spline/2021_1pct/toy_0001
knot_spline,2021_1pct,2,True,current,runs/residual_length_pilot/knot_spline/2021_1pct/toy_0002
knot_spline,2021_1pct_x10,0,True,current,runs/residual_length_pilot/knot_spline/2021_1pct_x10/toy_0000
knot_spline,2021_1pct_x10,1,True,current,runs/residual_length_pilot/knot_spline/2021_1pct_x10/toy_0001
knot_spline,2021_1pct_x10,2,True,current,runs/residual_length_pilot/knot_spline/2021_1pct_x10/toy_0002
knot_spline,2021_1pct_x100,0,True,current,runs/residual_length_pilot/knot_spline/2021_1pct_x100/toy_0000
knot_spline,2021_1pct_x100,1,True,current,runs/residual_length_pilot/knot_spline/2021_1pct_x100/toy_0001
knot_spline,2021_1pct_x100,2,True,current,runs/residual_length_pilot/knot_spline/2021_1pct_x100/toy_0002
knot_spline,2021_10pct,0,True,current,runs/residual_length_pilot/knot_spline/2021_10pct/toy_0000
knot_spline,2021_10pct,1,True,current,runs/residual_length_pilot/knot_spline/2021_10pct/toy_0001
knot_spline,2021_10pct,2,True,current,runs/residual_length_pilot/knot_spline/2021_10pct/toy_0002
knot_spline,2021_10pct_x10,0,True,current,runs/residual_length_pilot/knot_spline/2021_10pct_x10/toy_0000
knot_spline,2021_10pct_x10,1,True,current,runs/residual_length_pilot/knot_spline/2021_10pct_x10/toy_0001
knot_spline,2021_10pct_x10,2,True,current,runs/residual_length_pilot/knot_spline/2021_10pct_x10/toy_0002
regional_blend,2021_1pct,0,True,current,runs/residual_length_pilot/regional_blend/2021_1pct/toy_0000
regional_blend,2021_1pct,1,True,current,runs/residual_length_pilot/regional_blend/2021_1pct/toy_0001
regional_blend,2021_1pct,2,True,current,runs/residual_length_pilot/regional_blend/2021_1pct/toy_0002
regional_blend,2021_1pct_x10,0,True,current,runs/residual_length_pilot/regional_blend/2021_1pct_x10/toy_0000
regional_blend,2021_1pct_x10,1,True,current,runs/residual_length_pilot/regional_blend/2021_1pct_x10/toy_0001
regional_blend,2021_1pct_x10,2,True,current,runs/residual_length_pilot/regional_blend/2021_1pct_x10/toy_0002
regional_blend,2021_1pct_x100,0,True,current,runs/residual_length_pilot/regional_blend/2021_1pct_x100/toy_0000
regional_blend,2021_1pct_x100,1,True,current,runs/residual_length_pilot/regional_blend/2021_1pct_x100/toy_0001
regional_blend,2021_1pct_x100,2,True,current,runs/residual_length_pilot/regional_blend/2021_1pct_x100/toy_0002
regional_blend,2021_10pct,0,True,current,runs/residual_length_pilot/regional_blend/2021_10pct/toy_0000
regional_blend,2021_10pct,1,True,current,runs/residual_length_pilot/regional_blend/2021_10pct/toy_0001
regional_blend,2021_10pct,2,True,current,runs/residual_length_pilot/regional_blend/2021_10pct/toy_0002
regional_blend,2021_10pct_x10,0,True,current,runs/residual_length_pilot/regional_blend/2021_10pct_x10/toy_0000
regional_blend,2021_10pct_x10,1,True,current,runs/residual_length_pilot/regional_blend/2021_10pct_x10/toy_0001
regional_blend,2021_10pct_x10,2,True,current,runs/residual_length_pilot/regional_blend/2021_10pct_x10/toy_0002
