model,source,mass_GeV,mass_MeV,z,sigmaA_diagonal_poisson,injected_amplitude,refit_absorption_fraction,z_times_abs_absorption,gap_projection_amplitude,gap_abs_shift_sigmaA,tangent_absorption_fraction,tangent_solver_absorption_spread,refit_best_basin_repeats,gap_best_basin_repeats,refit_optimizer_success,gap_optimizer_success,refit_constraints_feasible,gap_constraints_feasible,refit_failure,gap_failure
knot_spline,one_pct,0.05,50.0,1.0,498.96450356938146,498.96450356938146,0.13902400540406076,0.13902400540406076,-236.24386617867128,0.4734682817889497,0.13901580893440282,0.0,4,3,True,True,True,True,,
knot_spline,one_pct,0.05,50.0,3.0,498.96450356938146,1496.8935107081443,0.13903741066732472,0.41711223200197417,-236.24386617867128,0.4734682817889497,0.13901580893440282,0.0,4,3,True,True,True,True,,
knot_spline,one_pct,0.05,50.0,5.0,498.96450356938146,2494.8225178469074,0.13905174932872932,0.6952587466436466,-236.24386617867128,0.4734682817889497,0.13901580893440282,0.0,4,3,True,True,True,True,,
knot_spline,one_pct,0.055,55.0,1.0,718.570751997697,718.570751997697,0.21547070843508323,0.21547070843508323,1023.1874363704243,1.4239202382310483,0.21546200269162702,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.055,55.0,3.0,718.570751997697,2155.7122559930913,0.21548751395408716,0.6464625418622615,1023.1874363704243,1.4239202382310483,0.21546200269162702,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.055,55.0,5.0,718.570751997697,3592.853759988485,0.21550387981270963,1.077519399063548,1023.1874363704243,1.4239202382310483,0.21546200269162702,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.06,60.0,1.0,894.3471836454572,894.3471836454572,0.24530033606495508,0.24530033606495508,1921.0867425794472,2.14803241706301,0.24529736620876313,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.06,60.0,3.0,894.3471836454572,2683.0415509363716,0.24531064664496288,0.7359319399348887,1921.0867425794472,2.14803241706301,0.24529736620876313,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.06,60.0,5.0,894.3471836454572,4471.735918227286,0.24531836685290592,1.2265918342645297,1921.0867425794472,2.14803241706301,0.24529736620876313,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.065,65.0,1.0,1015.6076443475935,1015.6076443475935,0.23174015521385447,0.23174015521385447,-1432.5853512490428,1.4105696813352637,0.2317367588278958,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.065,65.0,3.0,1015.6076443475935,3046.8229330427803,0.23173714816173985,0.6952114444852195,-1432.5853512490428,1.4105696813352637,0.2317367588278958,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.065,65.0,5.0,1015.6076443475935,5078.038221737967,0.23173717887923476,1.1586858943961738,-1432.5853512490428,1.4105696813352637,0.2317367588278958,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.06999999999999999,69.99999999999999,1.0,1090.8020729879684,1090.8020729879684,0.20049995871062473,0.20049995871062473,-2781.797940795067,2.5502316228415807,0.20050077016948897,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.06999999999999999,69.99999999999999,3.0,1090.8020729879684,3272.4062189639053,0.20049815876245344,0.6014944762873603,-2781.797940795067,2.5502316228415807,0.20050077016948897,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.06999999999999999,69.99999999999999,5.0,1090.8020729879684,5454.010364939842,0.20049502421607024,1.002475121080351,-2781.797940795067,2.5502316228415807,0.20050077016948897,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.07499999999999998,74.99999999999999,1.0,1132.436093627696,1132.436093627696,0.17276080600392282,0.17276080600392282,-1128.1128977500312,0.9961823930710159,0.17276157553245985,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.07499999999999998,74.99999999999999,3.0,1132.436093627696,3397.3082808830877,0.17276007639087762,0.5182802291726328,-1128.1128977500312,0.9961823930710159,0.17276157553245985,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.07499999999999998,74.99999999999999,5.0,1132.436093627696,5662.18046813848,0.1727597883688103,0.8637989418440516,-1128.1128977500312,0.9961823930710159,0.17276157553245985,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.07999999999999999,79.99999999999999,1.0,1150.5548647988103,1150.5548647988103,0.15785619322188518,0.15785619322188518,328.48001198806764,0.28549704324226793,0.15785559388636922,0.0,2,4,True,True,True,True,,
knot_spline,one_pct,0.07999999999999999,79.99999999999999,3.0,1150.5548647988103,3451.664594396431,0.15785839326382026,0.4735751797914608,328.48001198806764,0.28549704324226793,0.15785559388636922,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.07999999999999999,79.99999999999999,5.0,1150.5548647988103,5752.774323994052,0.15785963975187564,0.7892981987593782,328.48001198806764,0.28549704324226793,0.15785559388636922,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.08499999999999999,84.99999999999999,1.0,1152.0575745548747,1152.0575745548747,0.15621204677852324,0.15621204677852324,1266.8689762322713,1.0996576943836829,0.1562108388564093,0.0,4,4,True,True,True,True,,
