task_id,model,scenario,background_toy_index,mass_grid_MeV,upper_factors,output_directory,command,current,status
knot_spline__2021_1pct__pilot_0000,knot_spline,2021_1pct,0,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_1pct/toy_0000,python3 run_residual_length_pilot.py run-task knot_spline 2021_1pct 0,False,stale_contract
knot_spline__2021_1pct__pilot_0001,knot_spline,2021_1pct,1,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_1pct/toy_0001,python3 run_residual_length_pilot.py run-task knot_spline 2021_1pct 1,False,stale_contract
knot_spline__2021_1pct__pilot_0002,knot_spline,2021_1pct,2,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_1pct/toy_0002,python3 run_residual_length_pilot.py run-task knot_spline 2021_1pct 2,False,missing_success_marker
knot_spline__2021_1pct_x10__pilot_0000,knot_spline,2021_1pct_x10,0,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_1pct_x10/toy_0000,python3 run_residual_length_pilot.py run-task knot_spline 2021_1pct_x10 0,False,missing_success_marker
knot_spline__2021_1pct_x10__pilot_0001,knot_spline,2021_1pct_x10,1,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_1pct_x10/toy_0001,python3 run_residual_length_pilot.py run-task knot_spline 2021_1pct_x10 1,False,missing_success_marker
knot_spline__2021_1pct_x10__pilot_0002,knot_spline,2021_1pct_x10,2,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_1pct_x10/toy_0002,python3 run_residual_length_pilot.py run-task knot_spline 2021_1pct_x10 2,False,missing_success_marker
knot_spline__2021_1pct_x100__pilot_0000,knot_spline,2021_1pct_x100,0,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_1pct_x100/toy_0000,python3 run_residual_length_pilot.py run-task knot_spline 2021_1pct_x100 0,False,missing_success_marker
knot_spline__2021_1pct_x100__pilot_0001,knot_spline,2021_1pct_x100,1,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_1pct_x100/toy_0001,python3 run_residual_length_pilot.py run-task knot_spline 2021_1pct_x100 1,False,missing_success_marker
knot_spline__2021_1pct_x100__pilot_0002,knot_spline,2021_1pct_x100,2,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_1pct_x100/toy_0002,python3 run_residual_length_pilot.py run-task knot_spline 2021_1pct_x100 2,False,missing_success_marker
knot_spline__2021_10pct__pilot_0000,knot_spline,2021_10pct,0,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_10pct/toy_0000,python3 run_residual_length_pilot.py run-task knot_spline 2021_10pct 0,False,missing_success_marker
knot_spline__2021_10pct__pilot_0001,knot_spline,2021_10pct,1,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_10pct/toy_0001,python3 run_residual_length_pilot.py run-task knot_spline 2021_10pct 1,False,missing_success_marker
knot_spline__2021_10pct__pilot_0002,knot_spline,2021_10pct,2,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_10pct/toy_0002,python3 run_residual_length_pilot.py run-task knot_spline 2021_10pct 2,False,missing_success_marker
knot_spline__2021_10pct_x10__pilot_0000,knot_spline,2021_10pct_x10,0,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_10pct_x10/toy_0000,python3 run_residual_length_pilot.py run-task knot_spline 2021_10pct_x10 0,False,missing_success_marker
knot_spline__2021_10pct_x10__pilot_0001,knot_spline,2021_10pct_x10,1,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_10pct_x10/toy_0001,python3 run_residual_length_pilot.py run-task knot_spline 2021_10pct_x10 1,False,missing_success_marker
knot_spline__2021_10pct_x10__pilot_0002,knot_spline,2021_10pct_x10,2,65|120|210,15|20|25,runs/residual_length_pilot/knot_spline/2021_10pct_x10/toy_0002,python3 run_residual_length_pilot.py run-task knot_spline 2021_10pct_x10 2,False,missing_success_marker
regional_blend__2021_1pct__pilot_0000,regional_blend,2021_1pct,0,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_1pct/toy_0000,python3 run_residual_length_pilot.py run-task regional_blend 2021_1pct 0,False,missing_success_marker
regional_blend__2021_1pct__pilot_0001,regional_blend,2021_1pct,1,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_1pct/toy_0001,python3 run_residual_length_pilot.py run-task regional_blend 2021_1pct 1,False,missing_success_marker
regional_blend__2021_1pct__pilot_0002,regional_blend,2021_1pct,2,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_1pct/toy_0002,python3 run_residual_length_pilot.py run-task regional_blend 2021_1pct 2,False,missing_success_marker
regional_blend__2021_1pct_x10__pilot_0000,regional_blend,2021_1pct_x10,0,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_1pct_x10/toy_0000,python3 run_residual_length_pilot.py run-task regional_blend 2021_1pct_x10 0,False,missing_success_marker
regional_blend__2021_1pct_x10__pilot_0001,regional_blend,2021_1pct_x10,1,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_1pct_x10/toy_0001,python3 run_residual_length_pilot.py run-task regional_blend 2021_1pct_x10 1,False,missing_success_marker
regional_blend__2021_1pct_x10__pilot_0002,regional_blend,2021_1pct_x10,2,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_1pct_x10/toy_0002,python3 run_residual_length_pilot.py run-task regional_blend 2021_1pct_x10 2,False,missing_success_marker
regional_blend__2021_1pct_x100__pilot_0000,regional_blend,2021_1pct_x100,0,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_1pct_x100/toy_0000,python3 run_residual_length_pilot.py run-task regional_blend 2021_1pct_x100 0,False,missing_success_marker
regional_blend__2021_1pct_x100__pilot_0001,regional_blend,2021_1pct_x100,1,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_1pct_x100/toy_0001,python3 run_residual_length_pilot.py run-task regional_blend 2021_1pct_x100 1,False,missing_success_marker
regional_blend__2021_1pct_x100__pilot_0002,regional_blend,2021_1pct_x100,2,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_1pct_x100/toy_0002,python3 run_residual_length_pilot.py run-task regional_blend 2021_1pct_x100 2,False,missing_success_marker
regional_blend__2021_10pct__pilot_0000,regional_blend,2021_10pct,0,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_10pct/toy_0000,python3 run_residual_length_pilot.py run-task regional_blend 2021_10pct 0,False,missing_success_marker
regional_blend__2021_10pct__pilot_0001,regional_blend,2021_10pct,1,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_10pct/toy_0001,python3 run_residual_length_pilot.py run-task regional_blend 2021_10pct 1,False,missing_success_marker
regional_blend__2021_10pct__pilot_0002,regional_blend,2021_10pct,2,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_10pct/toy_0002,python3 run_residual_length_pilot.py run-task regional_blend 2021_10pct 2,False,missing_success_marker
regional_blend__2021_10pct_x10__pilot_0000,regional_blend,2021_10pct_x10,0,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_10pct_x10/toy_0000,python3 run_residual_length_pilot.py run-task regional_blend 2021_10pct_x10 0,False,missing_success_marker
regional_blend__2021_10pct_x10__pilot_0001,regional_blend,2021_10pct_x10,1,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_10pct_x10/toy_0001,python3 run_residual_length_pilot.py run-task regional_blend 2021_10pct_x10 1,False,missing_success_marker
regional_blend__2021_10pct_x10__pilot_0002,regional_blend,2021_10pct_x10,2,65|120|210,15|20|25,runs/residual_length_pilot/regional_blend/2021_10pct_x10/toy_0002,python3 run_residual_length_pilot.py run-task regional_blend 2021_10pct_x10 2,False,missing_success_marker
