model,scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,optimizer_selection_pull_blind,selected_extraction_upper_factor,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256,optimizer_trigger_reasons
knot_spline,2021_10pct_x10,13,0.065,0.0,0.0,reference_bonly,0,4115515057,12,True,False,,2063.565076322823,0.39898493795994466,416.6807965887736,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,19861.029366977484,19861.08278417299,20089.54027958566,1.011505491905073,1.011505491905073,-2321953411.4342847,16,15500521189.11033,31026996429.424263,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,44493.0,11569161.0,b39adb2241df91ee7dc2e8bac7c7ea12d47b09e309eef5a0ad032fb74637de4b,False,False,False,False,True,-173.08207450812466,-4.210539535424191e-05,True,25.0,,,,,,,,,,
knot_spline,2021_10pct_x10,13,0.065,1.0,19861.029366977484,injected_refit,0,4093657460,12,True,False,,2063.5772769430114,0.3991947795099949,417.73093035248195,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,19858.495536106544,19861.029366977484,39504.279701654435,1.9892886462535944,0.9891610519518845,-2322268404.1116967,16,15500521189.11033,31026996429.424263,3,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,44493.0,11569161.0,d6d9eb3c3cbcb1fb67c863d70234624774247c95b8b547b50ee01011292724d8,False,False,False,False,True,-123.94644967462938,-3.0174629613266206e-05,True,25.0,4054389284.0,0.0,2063.565076322823,0.39898493795994466,416.6807965887736,19990.0,19583.0,407.0,287beeb8851c8fb2a5dc3d5b34da06f8cd0db4ec62b7ed497c07b147331790d2,
knot_spline,2021_10pct_x10,13,0.065,3.0,59583.08810093245,injected_refit,0,1058312816,12,True,False,,2063.614084215138,0.3995880381152144,421.2739826510682,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,19854.808296125193,19861.029366977484,78709.18328544563,3.9642378869407815,0.9632979024151934,-2322904457.8729362,16,15500521189.11033,31026996429.424263,4,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,44493.0,11569161.0,9138b4a952618e3ccc04078dc9798f65e0f3c6124280541ad9ff78a07bb1f7de,False,False,False,False,True,-113.37254659870874,-2.7634053375396032e-05,True,25.0,1607310970.0,0.0,2063.565076322823,0.39898493795994466,416.6807965887736,60216.0,59128.0,1088.0,3116005fb663bfd449b0ddd751660d951689276d8db1eb64487aa28c8735d805,
knot_spline,2021_10pct_x10,13,0.065,5.0,99305.14683488742,injected_refit,0,1171267637,12,True,False,,2063.619087086552,0.399855350739501,422.8828020508704,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,19852.441397612434,19861.029366977484,116710.27756039213,5.878887902141264,0.8767249517028144,-2323519426.8111734,16,15500521189.11033,31026996429.424263,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,44493.0,11569161.0,d56347ebab775c1619e4d33b858a808f6eaa95624713f524ea81368923f04520,False,False,False,False,True,-169.98071387333542,-4.1469613006871676e-05,True,25.0,1218132705.0,0.0,2063.565076322823,0.39898493795994466,416.6807965887736,99189.0,97360.0,1829.0,7a77b717ba49ba875dcd78ad18d08bd5d4b80da9cb6a16afb7c58ff7bdd16517,
knot_spline,2021_10pct_x10,13,0.09,0.0,0.0,reference_bonly,0,1177452080,12,True,False,,2043.8828925911503,0.4038868412714049,475.32861429487735,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,18336.455428889934,18336.938015987405,-13073.481297792472,-0.7129775625661324,-0.7129775625661324,-2925975059.4251986,18,17149193523.515245,47529833030.17843,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,44493.0,11569161.0,01d41457b62842e998e5ac3c0a5556696a526bc3c7873b68a46a858ddeb7ebcd,False,False,False,False,True,-163.98006173658354,-9.742900518001063e-05,True,25.0,,,,,,,,,,
knot_spline,2021_10pct_x10,13,0.09,1.0,18336.455428889934,injected_refit,0,2308199012,12,True,False,,2043.8633922029835,0.40402541587680313,477.942420515732,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,18335.982934009415,18336.455428889934,4774.559554941755,0.2603928882419467,-0.739632880481891,-2926267175.888443,18,17149193523.515245,47529833030.17843,3,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,44493.0,11569161.0,70913fbab3ce70dc1686112a353c71f1eaee1f3bb1fbc54c482575b795323761,False,False,False,False,True,-158.98416390536144,-9.449304087549871e-05,True,25.0,215956196.0,0.0,2043.8828925911503,0.4038868412714049,475.32861429487735,18430.0,18046.0,384.0,13ad7d92853a0e06689091ad050e132455b9bb09a78ee055b8401e3ae041e876,
knot_spline,2021_10pct_x10,13,0.09,3.0,55009.3662866698,injected_refit,0,3995274051,12,True,False,,2043.808766554033,0.40411063063967784,477.83791893441423,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,18336.86205416902,18336.455428889934,40831.736615543494,2.2267570369958745,-0.7731764371267066,-2926846596.4099216,18,17149193523.515245,47529833030.17843,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,44493.0,11569162.0,7f9602cb6129af4984a73d18f4675627763ea5682b534be3dfbf2f3cba0c4f25,False,False,False,False,True,-210.50566787918495,-0.00012516013612883078,True,25.0,3587502185.0,0.0,2043.8828925911503,0.4038868412714049,475.32861429487735,54958.0,53841.0,1117.0,1b5aa83b72f728e611923dd39bcd5d550918dda05ed840d6dd9f47db2cfe8088,
knot_spline,2021_10pct_x10,13,0.09,5.0,91682.27714444968,injected_refit,0,4026275650,12,True,False,,2043.7739331348666,0.4045758865077673,485.3204612287524,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,18333.43106753162,18336.455428889934,76983.47948490521,4.1990764959016555,-0.8017483255262532,-2927430461.6426845,18,17149193523.515245,47529833030.17843,4,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,44493.0,11569161.0,4748803e41c0ae3689941400045f049e24ebe5099e56e9143d4fc0740cf4fa76,False,False,False,False,True,-168.29814524626,-0.00010018835811890917,True,25.0,2609979053.0,0.0,2043.8828925911503,0.4038868412714049,475.32861429487735,91763.0,89909.0,1854.0,b44c69a9a76647fede0a1517c615f0413c8b3937a3e093d471a0e36c89d0bb03,
knot_spline,2021_10pct_x10,13,0.12,0.0,0.0,reference_bonly,0,3000228343,12,True,False,,2025.0108952711053,0.39295627264270344,360.0678681467097,1e-08,1e+18,0.026444851590963617,0.6010193543400821,0.12607088335067795,1.0,14622.31615622874,14620.636208897362,31633.301864753073,2.163357810539343,2.163357810539343,-2025562478.223011,22,10039504589.206686,37099974112.593506,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",394,117,277,0.04,0.3,0.0006250000000000006,0,44493.0,11569161.0,56d65d143469ed505054f9776a8804ed7e8c3f554b713121da72c4cd98d837a3,False,False,False,False,True,-68.03996914927993,-0.00010321266016632445,True,25.0,,,,,,,,,,
knot_spline,2021_10pct_x10,13,0.12,1.0,14622.311330710856,injected_refit,0,2868581737,12,True,False,,2024.9398106183298,0.39303696445471326,360.8604747238006,1e-08,1e+18,0.026444851590963617,0.6010193543400821,0.12607088335067795,1.0,14622.388561087548,14622.311330710856,45787.44473144187,3.1313245808068175,2.1313298624594266,-2025784732.5829494,22,10039504589.206686,37099974112.593506,3,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",394,117,277,0.04,0.3,0.0006250000000000006,0,44493.0,11569161.0,ac9b7a4c1c8560fe99535dbcf9e8d4cfbe3d55257eb62d91846e79afe2f320b2,False,False,False,False,True,-79.09159379922912,-0.0001200023961764256,True,25.0,2229162511.0,2.0,2025.010951755451,0.39295584727963995,360.0581096184166,14457.0,14202.0,255.0,f6dae600a66ed6f6405f3aa96783ee0aca50ca6f22176febaf02ce9ee7298f44,
