model,scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
knot_spline,2021_1pct,10,0.065,0.0,0.0,reference_bonly,0,3921175522,12,True,False,,1195.6409133361412,0.803001828912564,140.5439976276654,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,1382.7234216333927,1380.0322467063838,3214.1115899768606,2.3244790242867754,2.3244790242867754,-14118065.954314971,16,137190122.14948308,274609955.249421,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,0,357.0,102860.0,5011da09fd35e7fd87a4415dc938a20ee0a9d430223b3a4dfc89605417cbbb41,False,True,False,False,True,-0.005209265080503203,-5.978976492540706e-07,,,,,,,,,
knot_spline,2021_1pct,10,0.065,0.0,0.0,reference_bonly,1,1014112686,12,True,False,,1195.6409126492629,0.803001828912564,140.5444232551152,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,1382.7234447281342,1380.032269549703,3214.1118682305287,2.324479186698447,2.324479186698447,-14118065.954314068,16,137190122.14948308,274609955.249421,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,0,357.0,102860.0,5011da09fd35e7fd87a4415dc938a20ee0a9d430223b3a4dfc89605417cbbb41,False,True,False,False,True,-0.004829409764852352,-5.542993371756859e-07,,,,,,,,,
knot_spline,2021_1pct,10,0.065,0.0,0.0,reference_bonly,2,357963328,12,True,False,,1195.640913286191,0.803001828912564,140.54519365861916,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,1382.723516054514,1380.0323404301314,3214.1123500416443,2.3244794152433634,2.3244794152433634,-14118065.954313422,16,137190122.14948308,274609955.249421,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.",400,32,368,0.04,0.3,0.0006250000000000006,0,357.0,102860.0,5011da09fd35e7fd87a4415dc938a20ee0a9d430223b3a4dfc89605417cbbb41,False,True,False,False,True,-0.005492518365007243,-6.30407983961451e-07,,,,,,,,,
knot_spline,2021_1pct,10,0.065,1.0,1382.7234216333927,injected_refit,0,1694331478,12,True,False,,1195.6040209862092,0.803001828912564,140.41809349328017,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,1383.4046846581477,1382.7234216333927,4507.774972359562,3.2584644409191625,2.2589568948137533,-14132875.193441661,16,137190122.14948308,274609955.249421,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,0,357.0,102860.0,68de07202a133944953e5f0da70b08572450b58217341e07e902127af6eeaa3b,False,True,False,False,True,-0.004572220255848374,-5.247864271539094e-07,3209793389.0,0.0,1195.6409133361412,0.803001828912564,140.5439976276654,1333.0,1304.0,29.0,003333294e54ff7a9592eeb021a1bda90d4e22c5f8f3497dd0bcd9ee4dca8020
knot_spline,2021_1pct,10,0.065,1.0,1382.7234216333927,injected_refit,1,1865854397,12,True,False,,1195.6040205470388,0.803001828912564,140.41616002505597,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,1383.4045131093628,1382.7234216333927,4507.773880790595,3.2584640559389593,2.258956385889827,-14132875.193444822,16,137190122.14948308,274609955.249421,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,0,357.0,102860.0,68de07202a133944953e5f0da70b08572450b58217341e07e902127af6eeaa3b,False,True,False,False,True,-0.006022355622061668,-6.912293086369245e-07,3209793389.0,0.0,1195.6409133361412,0.803001828912564,140.5439976276654,1333.0,1304.0,29.0,003333294e54ff7a9592eeb021a1bda90d4e22c5f8f3497dd0bcd9ee4dca8020
knot_spline,2021_1pct,10,0.065,1.0,1382.7234216333927,injected_refit,2,2815386442,12,True,False,,1195.604020756871,0.803001828912564,140.42395037941904,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,1383.4051869477269,1382.7234216333927,4507.778753926321,3.258465991349974,2.258958808147805,-14132875.193433918,16,137190122.14948308,274609955.249421,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,0,357.0,102860.0,68de07202a133944953e5f0da70b08572450b58217341e07e902127af6eeaa3b,False,True,False,False,True,-0.0051731046718679905,-5.937530588298901e-07,3209793389.0,0.0,1195.6409133361412,0.803001828912564,140.5439976276654,1333.0,1304.0,29.0,003333294e54ff7a9592eeb021a1bda90d4e22c5f8f3497dd0bcd9ee4dca8020
knot_spline,2021_1pct,10,0.065,3.0,4148.170264900178,injected_refit,0,686818151,12,True,False,,1195.4219159103254,0.803001828912564,140.20997209344821,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,1384.8598791718632,1382.7234216333927,7322.303229738246,5.287396465061096,2.2920246391542354,-14164278.591457335,16,137190122.14948308,274609955.249421,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.",400,32,368,0.04,0.3,0.0006250000000000006,0,357.0,102860.0,b8c6fa2d2603e142be7561f12433b4a6853cb6f3f2554c3a2f22a72a8caba770,False,True,False,False,True,-0.006211016345849057,-7.128928118972339e-07,675742229.0,0.0,1195.6409133361412,0.803001828912564,140.5439976276654,4150.0,4068.0,82.0,883483468d333b751fbe744d2b1d3f5321141e4d50c8f4ad732a42cec2d32b1e
knot_spline,2021_1pct,10,0.065,3.0,4148.170264900178,injected_refit,1,3403676334,12,True,False,,1195.4219158311466,0.803001828912564,140.19139727603564,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,1384.8582557700925,1382.7234216333927,7322.291688872131,5.2873943296098185,2.2920189923747007,-14164278.591482116,16,137190122.14948308,274609955.249421,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,0,357.0,102860.0,b8c6fa2d2603e142be7561f12433b4a6853cb6f3f2554c3a2f22a72a8caba770,False,True,False,False,True,-0.00474115294450878,-5.441871998461546e-07,675742229.0,0.0,1195.6409133361412,0.803001828912564,140.5439976276654,4150.0,4068.0,82.0,883483468d333b751fbe744d2b1d3f5321141e4d50c8f4ad732a42cec2d32b1e
knot_spline,2021_1pct,10,0.065,3.0,4148.170264900178,injected_refit,2,1310300062,12,True,False,,1195.4219158179365,0.803001828912564,140.19431112102473,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,1384.858507110974,1382.7234216333927,7322.293479436753,5.2873946629480395,2.2920198693498874,-14164278.591478592,16,137190122.14948308,274609955.249421,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,0,357.0,102860.0,b8c6fa2d2603e142be7561f12433b4a6853cb6f3f2554c3a2f22a72a8caba770,False,True,False,False,True,-0.005246595226605468,-6.022009702094357e-07,675742229.0,0.0,1195.6409133361412,0.803001828912564,140.5439976276654,4150.0,4068.0,82.0,883483468d333b751fbe744d2b1d3f5321141e4d50c8f4ad732a42cec2d32b1e
knot_spline,2021_1pct,10,0.065,5.0,6913.617108166964,injected_refit,0,2047739137,12,True,False,,1195.2791159728215,0.803001828912564,140.00402633074842,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,1386.3524398183213,1382.7234216333927,10164.64624840673,7.331935196607572,2.3450235646181055,-14195746.142165326,16,137190122.14948308,274609955.249421,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,0,357.0,102860.0,506b9b8fa7d0fc483238e2c68d988a426bd21e3e85f59c62bb24dcd5c5e40af3,False,True,False,False,True,-0.0034111218922146364,-3.9153044231522096e-07,2351825654.0,0.0,1195.6409133361412,0.803001828912564,140.5439976276654,6972.0,6838.0,134.0,28b959c70f853924bf5254a2142696d83b8ca2e5cff082fe10312e1acdb38917
knot_spline,2021_1pct,10,0.065,5.0,6913.617108166964,injected_refit,1,1157525822,12,True,False,,1195.279116840674,0.803001828912564,140.00395907203662,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,1386.3524296487471,1382.7234216333927,10164.646321278618,7.331935302954662,2.3450236343837556,-14195746.142165497,16,137190122.14948308,274609955.249421,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,0,357.0,102860.0,506b9b8fa7d0fc483238e2c68d988a426bd21e3e85f59c62bb24dcd5c5e40af3,False,True,False,False,True,-0.003540015254369933,-4.0632489294544644e-07,2351825654.0,0.0,1195.6409133361412,0.803001828912564,140.5439976276654,6972.0,6838.0,134.0,28b959c70f853924bf5254a2142696d83b8ca2e5cff082fe10312e1acdb38917
