model,scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,top_branch_replicates,study_id,scenario_label,source_family,source_multiplier,truth_model,truth_function_tag,mass_MeV,n_attempts,optimizer_gate_version,optimizer_gate_status,optimizer_trigger_reasons,optimizer_selection_pull_blind,accepted,sigmaA_ref,sigmaA_ref_mode,reference_top_branch_replicates,eps2_hat_signed,eps2_injected,eps2_sigma,nominal_Z_residual,pull_identity_residual,refit_ls_over_hi,refit_ls_over_lo,refit_upper_boundary,refit_lower_boundary,refit_constant_lower_boundary,refit_constant_upper_boundary,selected_extraction_upper_factor,production_card_upper_factor,analysis_partition,declared_result_commit,declared_integration_commit,claim_boundary,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
knot_spline,2021_1pct_x100,16,0.065,0.0,0.0,reference_bonly,1,387723602,12,True,False,,2057.7961023758903,0.3740832580529161,155.95531081914686,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,18936.832156388144,18935.305190491556,24014.55976940765,1.268140287197222,1.268140287197222,-2036331028.2028456,16,13705833094.182001,27434615216.307938,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,38998.0,10236292.0,ff0e17f205686623d0decfdc6c77385c95494e201f5d2736593a1085ebd46bf4,False,False,False,False,True,-55.36027410253347,-1.4397761532950221e-05,3,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,knot_spline,knot_spline,65.0,3,v4p7p1_reference_relative_v1,pass_replicated_initial3,,True,True,18936.832156388144,matched_refit_bonly_multistart_v1,3,8.753379473364253e-07,0.0,6.902532441982834e-07,1.268140287197222,0.0,0.4658560473760125,10.587637440363919,False,False,False,False,25.0,15.0,residual_knot_spline_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",,,,,,,,,
knot_spline,2021_1pct_x100,16,0.065,1.0,18936.832156388144,injected_refit,0,3611322335,12,True,False,,2057.8057497573313,0.37414428526634497,156.05471128319618,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,18936.72775189378,18936.832156388144,42032.38584302017,2.2196224391944748,1.2196169258610343,-2036623736.7242289,16,13705833094.182001,27434615216.307938,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,38998.0,10236292.0,394075ab1042c524956fb4977b81bf15ec5181f9bd049dbad6dff2e8475d1573,False,False,False,False,True,-62.992601005427765,-1.6386821971488407e-05,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,knot_spline,knot_spline,65.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,18936.832156388144,matched_refit_bonly_multistart_v1,3,1.5320931426089365e-06,6.902532441982834e-07,6.902494386229713e-07,1.2196224391944748,0.0,0.4659320462233769,10.589364686894928,False,False,False,False,25.0,15.0,residual_knot_spline_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",4117632831.0,1.0,2057.7961023758903,0.3740832580529161,155.95531081914686,18667.0,18339.0,328.0,0a0ec3e0a247ca4e4571b977f7cc4795412938b233b0aa094a409eb58f6bb3e8
knot_spline,2021_1pct_x100,16,0.065,3.0,56810.49646916443,injected_refit,0,2973193639,12,True,False,,2057.8318729228995,0.3742596385547355,156.15435780365627,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,18936.496255558886,18936.832156388144,79991.50365986464,4.2241976857985435,1.2241444709654423,-2037217730.4526598,16,13705833094.182001,27434615216.307938,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,38998.0,10236292.0,f687c919c26091bf10247c639f0eca291ea8b098fbbe22ffeeaecd182f167f36,False,False,False,False,True,-40.93962539943826,-1.0655354614600082e-05,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,knot_spline,knot_spline,65.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,18936.832156388144,matched_refit_bonly_multistart_v1,3,2.9157144370049467e-06,2.07075973259485e-06,6.90241000511736e-07,1.2241976857985435,0.0,0.4660756988082617,10.592629518369584,False,False,False,False,25.0,15.0,residual_knot_spline_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",2858438124.0,1.0,2057.7961023758903,0.3740832580529161,155.95531081914686,56506.0,55552.0,954.0,8e42924d92c025375af555f4f207ba639f843711462fe881e3e8a86a2abce11a
knot_spline,2021_1pct_x100,16,0.065,5.0,94684.16078194072,injected_refit,0,937523025,12,True,False,,2057.8625101756274,0.3744194406277192,156.37510649873315,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,18935.50680447322,18936.832156388144,115967.15971426874,6.124322993397424,1.1239730286648697,-2037812998.6471353,16,13705833094.182001,27434615216.307938,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,38998.0,10236292.0,3a09f4cf73e4c2495c879796fe7f2f14197314c6f533dd1ce2b1ae12d1bfa4fd,False,False,False,False,True,-53.97129011536199,-1.4056547161041043e-05,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,knot_spline,knot_spline,65.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,18936.832156388144,matched_refit_bonly_multistart_v1,3,4.227037951869449e-06,3.451266220991417e-06,6.902049347212059e-07,1.1243229933974241,0.0,0.4662747046725449,10.597152378921473,False,False,False,False,25.0,15.0,residual_knot_spline_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",409748085.0,1.0,2057.7961023758903,0.3740832580529161,155.95531081914686,94578.0,92845.0,1733.0,8d0252afea7efe628220377f10b263d6df01a9837de87a127f2c83a8377b33af
knot_spline,2021_1pct_x100,16,0.09,0.0,0.0,reference_bonly,1,410817147,12,True,False,,2054.3042584395207,0.36943447091850107,135.41552060153225,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,17613.98115081743,17612.284160490453,17723.550623025738,1.0062205966538815,1.0062205966538815,-2570006220.0166802,18,15185582623.684603,42087588875.8272,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,38998.0,10236292.0,9c35d7e94bb4fa9c17ebfd7cb7d47db6f653d83df35407737020fc52fafbf025,False,False,False,False,True,-61.81950902794593,-3.771007761580437e-05,3,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,knot_spline,knot_spline,90.0,3,v4p7p1_reference_relative_v1,pass_replicated_initial3,,True,True,17613.98115081743,matched_refit_bonly_multistart_v1,3,4.2111109465824427e-07,0.0,4.185077268927119e-07,1.0062205966538815,0.0,0.5569080837561289,12.657001903548382,False,False,False,False,25.0,15.0,residual_knot_spline_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",,,,,,,,,
knot_spline,2021_1pct_x100,16,0.09,1.0,17613.98115081743,injected_refit,0,1244248281,12,True,False,,2054.3679974224606,0.36954410607869986,135.75799084302517,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,17613.112551088707,17613.98115081743,35133.041324704005,1.9947094088450796,0.994660093329369,-2570286871.237117,18,15185582623.684603,42087588875.8272,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,38998.0,10236292.0,12e81c9598cd2a15d5b57c0e55abd60631bdc81e9eae3e0fb7cefb1802992117,False,False,False,False,True,-62.03726332665589,-3.785979219474786e-05,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,knot_spline,knot_spline,90.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,17613.98115081743,matched_refit_bonly_multistart_v1,3,8.347601338807625e-07,4.185077268927119e-07,4.1848708898610036e-07,0.9947094088450796,0.0,0.5570733544923079,12.66075805664336,False,False,False,False,25.0,15.0,residual_knot_spline_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",2537623183.0,1.0,2054.3042584395207,0.36943447091850107,135.41552060153225,17830.0,17469.0,361.0,459499f4a0626df683ca252d453fea10834e88c79ee932cb9d06dd149d974cc6
knot_spline,2021_1pct_x100,16,0.09,3.0,52841.943452452295,injected_refit,0,2470686507,12,True,False,,2054.4912138642794,0.3697757923715965,136.4919291300179,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,17611.133747399086,17613.98115081743,69030.44207106504,3.9197046062556797,0.9192195602400419,-2570836268.5797043,18,15185582623.684603,42087588875.8272,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,38998.0,10236292.0,d41333d62b7c051819e690b6f23d8344b03dc309b00fcc30b408ba2241b28453,False,False,False,False,True,-53.33327718073583,-3.2578679141592565e-05,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,knot_spline,knot_spline,90.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,17613.98115081743,matched_refit_bonly_multistart_v1,3,1.6401614802579565e-06,1.2555231806781357e-06,4.1844007266270257e-07,0.9197046062556797,0.0,0.5574226125598857,12.668695739997402,False,False,False,False,25.0,15.0,residual_knot_spline_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",2201789384.0,1.0,2054.3042584395207,0.36943447091850107,135.41552060153225,52775.0,51666.0,1109.0,c00e44d4a687ffc223ea2b3a31c71aab572ef891658e151829fe6e204de3ea97
knot_spline,2021_1pct_x100,16,0.09,5.0,88069.90575408716,injected_refit,0,3924902524,12,True,False,,2054.5909483380537,0.3699860813538897,137.15426556717046,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,17609.529874757187,17613.98115081743,104013.24950791776,5.906645449803752,0.9053815670959495,-2571391075.690446,18,15185582623.684603,42087588875.8272,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,38998.0,10236292.0,eb093daff64754de37c66ae06f47a84485e8d7bd0b024005881c533ef9f2c8b6,False,False,False,False,True,-75.06780595948649,-4.589443544164443e-05,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,knot_spline,knot_spline,90.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,17613.98115081743,matched_refit_bonly_multistart_v1,3,2.471352060931608e-06,2.0925386344635596e-06,4.1840196469109526e-07,0.9066454498037517,0.0,0.5577396150146723,12.675900341242551,False,False,False,False,25.0,15.0,residual_knot_spline_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",1468214088.0,1.0,2054.3042584395207,0.36943447091850107,135.41552060153225,87992.0,86198.0,1794.0,d3ff79062580d1a1edb65064303993a2fb37cc5bf5bd6a335e308b9decbc9cdc
knot_spline,2021_1pct_x100,16,0.12,0.0,0.0,reference_bonly,1,377981969,12,True,False,,2023.1394479617993,0.38312902623332284,183.14208791360613,1e-08,1e+18,0.026444851590963617,0.6010193543400821,0.12607088335067795,1.0,13776.094905146487,13777.72276506602,-15056.358943536507,-1.0929337411802917,-1.0929337411802917,-1779055953.7254379,22,8890679874.764706,32854608538.327354,0,,394,117,277,0.04,0.3,0.0006250000000000006,0,38998.0,10236292.0,27b8961b3da4da9ca856c8e668e436b88d7887ea902485bd801665e38217b1ea,False,False,False,False,True,-27.491923586042894,-4.676473726023626e-05,3,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,knot_spline,knot_spline,120.0,3,v4p7p1_reference_relative_v1,pass_replicated_initial3,,True,True,13776.094905146487,matched_refit_bonly_multistart_v1,3,-4.5827235853296315e-07,0.0,4.1930479521847423e-07,-1.0929337411802917,0.0,0.637465371899708,14.487849361356998,False,False,False,False,25.0,15.0,residual_knot_spline_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",,,,,,,,,
knot_spline,2021_1pct_x100,16,0.12,1.0,13776.094905146487,injected_refit,0,215948355,12,True,False,,2023.2046840430257,0.3832148562182377,183.39830247977815,1e-08,1e+18,0.026444851590963617,0.6010193543400821,0.12607088335067795,1.0,13776.016916040173,13776.094905146487,-1594.3810403395187,-0.11573599611968342,-1.115741657342865,-1779267297.277813,22,8890679874.764706,32854608538.327354,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",394,117,277,0.04,0.3,0.0006250000000000006,0,38998.0,10236292.0,cb194720623e949281a4ee0e7806833ab7256eb76d4a6824df0f17108013c128,False,False,False,False,True,-34.728355921861755,-5.909124052218901e-05,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,knot_spline,knot_spline,120.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,13776.094905146487,matched_refit_bonly_multistart_v1,3,-4.85283834223608e-08,4.1930479521847423e-07,4.1930242145388583e-07,-1.1157359961196833,0.0,0.6376081792557359,14.491094983084905,False,False,False,False,25.0,15.0,residual_knot_spline_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",646942378.0,1.0,2023.1394479617993,0.38312902623332284,183.14208791360613,13846.0,13610.0,236.0,ce85dad552867b04e702fe6025e821f7afe5259d1ea133b96bf986d94337f9cf
