model,scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,top_branch_replicates,study_id,scenario_label,source_family,source_multiplier,truth_model,truth_function_tag,mass_MeV,n_attempts,optimizer_gate_version,optimizer_gate_status,optimizer_trigger_reasons,optimizer_selection_pull_blind,accepted,sigmaA_ref,sigmaA_ref_mode,reference_top_branch_replicates,eps2_hat_signed,eps2_injected,eps2_sigma,nominal_Z_residual,pull_identity_residual,refit_ls_over_hi,refit_ls_over_lo,refit_upper_boundary,refit_lower_boundary,refit_constant_lower_boundary,refit_constant_upper_boundary,selected_extraction_upper_factor,production_card_upper_factor,analysis_partition,declared_result_commit,declared_integration_commit,claim_boundary,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
regional_blend,2021_1pct_x10,16,0.065,0.0,0.0,reference_bonly,1,781307664,12,True,False,,1576.869207623911,0.2373564612192524,47.68743513554851,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,7906.588818726782,7912.4858450679185,-13933.758137586072,-1.762297048328088,-1.762297048328088,-172472939.86705962,16,1371905131.4920888,2746107379.03562,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3656.0,1022930.0,d9eb310067641bb26f7570b25d2835072e4f9b3736572e7a0de34d93cd7c7b7d,False,False,False,False,True,-0.08322256276172506,-7.747090259182243e-08,3,v4p8p3_2021_residual_truths_20260814,2021_1pct_x10,one_pct,10,regional_blend,regional_blend,65.0,3,v4p7p1_reference_relative_v1,pass_replicated_initial3,,True,True,7906.588818726782,matched_refit_bonly_multistart_v1,3,-5.074003385286171e-06,0.0,2.879198708356198e-06,-1.762297048328088,0.0,0.2955864515784276,6.717873899509718,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",,,,,,,,,
regional_blend,2021_1pct_x10,16,0.065,1.0,7906.588818726782,injected_refit,0,3800298391,12,True,False,,1576.8021657472793,0.2373451041676963,47.699432762001564,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,7908.89722880733,7906.588818726782,-6398.81980761875,-0.8090659952327764,-1.8087741201440295,-172580222.5295284,16,1371905131.4920888,2746107379.03562,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3656.0,1022930.0,b6ee5cac7a26c73f0f18ecdc6f06f6eadbdd87639235808b3d72de05ddbe918d,False,False,False,False,True,-0.08822050143701668,-8.209928431608387e-08,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x10,one_pct,10,regional_blend,regional_blend,65.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,7906.588818726782,matched_refit_bonly_multistart_v1,3,-2.330141878816804e-06,2.879198708356198e-06,2.8800393200883433e-06,-1.8090659952327766,0.0,0.29557230833348447,6.7175524621246465,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",3987588073.0,1.0,1576.869207623911,0.2373564612192524,47.68743513554851,8008.0,7854.0,154.0,5432237a3f96a70ea63139a00360657c559458cdf93b3f811f4acd1eedc5324b
regional_blend,2021_1pct_x10,16,0.065,3.0,23719.766456180347,injected_refit,0,1672250340,12,True,False,,1576.71092762678,0.23732418520859966,47.73222305179228,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,7913.432826909905,7906.588818726782,9307.937779443351,1.1762199772254822,-1.821185444037519,-172789449.29218966,16,1371905131.4920888,2746107379.03562,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3656.0,1022930.0,6e444c39794cfea8601254e35be2761ce5d1858be8a70145aed713c9096f8805,False,False,False,False,True,-0.1084918081426873,-1.0090545311667292e-07,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x10,one_pct,10,regional_blend,regional_blend,65.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,7906.588818726782,matched_refit_bonly_multistart_v1,3,3.38950248286071e-06,8.637596125068595e-06,2.881690966392199e-06,-1.8237800227745178,0.0,0.2955462573852258,6.716960395118766,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",2702012716.0,1.0,1576.869207623911,0.2373564612192524,47.68743513554851,23626.0,23169.0,457.0,fbde8973a5d6fec0cbb150ec0ca8ffc7857377d5724571593ba6d42a78aca9fe
regional_blend,2021_1pct_x10,16,0.065,5.0,39532.94409363391,injected_refit,0,1184339991,12,True,False,,1576.606725849839,0.23730230197562818,47.752511051360116,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,7917.87877597557,7906.588818726782,24012.402423325446,3.032681239852255,-1.960189352405962,-173002238.58865917,16,1371905131.4920888,2746107379.03562,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3656.0,1022930.0,f17a16e5908a5c9a5723e58922a248771733629d7fa007043bfc9615bb8a04dd,False,False,False,False,True,-0.12999912427488902,-1.2084548579863879e-07,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x10,one_pct,10,regional_blend,regional_blend,65.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,7906.588818726782,matched_refit_bonly_multistart_v1,3,8.744160045102875e-06,1.4395993541780989e-05,2.8833099668361023e-06,-1.9673187601477449,0.0,0.29551900560050554,6.716341036375125,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",2966084418.0,1.0,1576.869207623911,0.2373564612192524,47.68743513554851,39451.0,38744.0,707.0,07aa3d25bbb4832184df650495c372d14806c2e64b1c4e901a8ee3cc5f8cbabc
regional_blend,2021_1pct_x10,16,0.09,0.0,0.0,reference_bonly,2,1107975670,12,True,False,,1564.185331842682,0.2376634877282401,47.256359573739914,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,6819.06217103696,6819.122207456078,-2763.992015243433,-0.4053331595924017,-0.4053331595924017,-217573391.59198186,18,1517102817.247964,4204725049.870939,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3656.0,1022930.0,2a005ba4775f6a168300b0bd0fa114a2d927159205bfef0ac606a7030e03eb70,False,False,False,False,True,-0.16777152954507824,-4.284828936921042e-07,3,v4p8p3_2021_residual_truths_20260814,2021_1pct_x10,one_pct,10,regional_blend,regional_blend,90.0,3,v4p7p1_reference_relative_v1,pass_replicated_initial3,,True,True,6819.06217103696,matched_refit_bonly_multistart_v1,3,-6.573538061253902e-07,0.0,1.621761729996178e-06,-0.4053331595924017,0.0,0.35826845610931346,8.142464911575306,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",,,,,,,,,
regional_blend,2021_1pct_x10,16,0.09,1.0,6819.06217103696,injected_refit,0,2558202628,12,True,False,,1564.1395532829383,0.23764141094940716,47.24759069094994,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,6820.670927396454,6819.06217103696,3927.8538875932363,0.5758750025332996,-0.4238891326409934,-217666274.60356885,18,1517102817.247964,4204725049.870939,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3656.0,1022930.0,5a48b3e9c9e4632e0944f85fbd7964227bd1abb1b4b8fc98a6bc2a11cc650095,False,False,False,False,True,-0.14024433399257308,-3.5807149816375477e-07,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x10,one_pct,10,regional_blend,regional_blend,90.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,6819.06217103696,matched_refit_bonly_multistart_v1,3,9.341523740568481e-07,1.621761729996178e-06,1.6221443367874459e-06,-0.4241249974667004,0.0,0.3582351762246162,8.141708550559459,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",2962480894.0,2.0,1564.185331842682,0.2376634877282401,47.256359573739914,6881.0,6749.0,132.0,b0a5911d9a979aa05a8a05b3d5c114b83f193c4de6b332e6baeaa824daaac82b
regional_blend,2021_1pct_x10,16,0.09,3.0,20457.18651311088,injected_refit,0,420423835,12,True,False,,1564.0064331299095,0.23757963045056213,47.216596117750115,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,6824.183757120984,6819.06217103696,17244.217497721056,2.526927484877125,-0.47082099922017984,-217847754.1666484,18,1517102817.247964,4204725049.870939,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3656.0,1022930.0,0b27fef720cf9ac423d2c61a24d87baef20786b0547c87edc9ec5e2eae6ff3d4,False,False,False,False,True,-0.22960563621261576,-5.857550393259124e-07,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x10,one_pct,10,regional_blend,regional_blend,90.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,6819.06217103696,matched_refit_bonly_multistart_v1,3,4.1011522259345726e-06,4.865285189988534e-06,1.6229797849280177e-06,-0.4730725151228752,0.0,0.35814204452756654,8.139591921081058,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",724862156.0,2.0,1564.185331842682,0.2376634877282401,47.256359573739914,20362.0,19935.0,427.0,cf16590b3e388b50ad5a31ac72b705193bd7cf284ca973121c40e31c04030405
regional_blend,2021_1pct_x10,16,0.09,5.0,34095.3108551848,injected_refit,0,528657198,12,True,False,,1563.9023615759206,0.23753091905274212,47.19145862790152,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,6827.522186545503,6819.06217103696,30271.450691754453,4.433738897459488,-0.5600655785441087,-218037610.05382618,18,1517102817.247964,4204725049.870939,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,3656.0,1022930.0,8e3c7fc957932259cb8bcd47da90b1c15255d35337697dd07407a1b67f35961b,False,False,False,False,True,-0.17175688576302112,-4.378869955370655e-07,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x10,one_pct,10,regional_blend,regional_blend,90.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,6819.06217103696,matched_refit_bonly_multistart_v1,3,7.199388861986021e-06,8.108808649980891e-06,1.6237737558499978e-06,-0.566261102540512,0.0,0.3580686139915649,8.137923045262838,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",2773213432.0,2.0,1564.185331842682,0.2376634877282401,47.256359573739914,34452.0,33728.0,724.0,f3cef1425defbd60fa71a95c9ac42465127170a9d1168d58ab3f275630f8a9ff
regional_blend,2021_1pct_x10,16,0.12,0.0,0.0,reference_bonly,0,2423210550,12,True,False,,1546.6938059344448,0.23798113611649657,47.391843090283025,1e-08,1e+18,0.026444851590963617,0.6010193543400821,0.12607088335067795,1.0,5193.077435018972,5192.9290448312695,-330.54299760876034,-0.06365069686420972,-0.06365069686420972,-148280358.99137598,22,880453613.7330816,3253627306.665525,0,,394,117,277,0.04,0.3,0.0006250000000000006,0,3656.0,1022930.0,d1667f363afb28dd0b4c37c5d68278907447e7ddeb374f31e466e683148dd3d7,False,False,False,False,True,-0.061682669336468716,-4.6035498322791707e-07,3,v4p8p3_2021_residual_truths_20260814,2021_1pct_x10,one_pct,10,regional_blend,regional_blend,120.0,3,v4p7p1_reference_relative_v1,pass_replicated_initial3,,True,True,5193.077435018972,matched_refit_bonly_multistart_v1,3,-1.015921512988274e-07,0.0,1.5960885945296205e-06,-0.06365069686420972,0.0,0.39596251667768556,8.999148106311035,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",,,,,,,,,
regional_blend,2021_1pct_x10,16,0.12,1.0,5193.077435018972,injected_refit,0,3249365160,12,True,False,,1546.691166190763,0.23805945769378012,47.41719661148677,1e-08,1e+18,0.026444851590963617,0.6010193543400821,0.12607088335067795,1.0,5193.0602398795645,5193.077435018972,4875.828137953898,0.9389123007875941,-0.06109101038897869,-148348992.04882348,22,880453613.7330816,3253627306.665525,0,,394,117,277,0.04,0.3,0.0006250000000000006,0,3656.0,1022930.0,49b7b839fe3c80c523faa8694648a8bae22719cfb17a76b747d68dd4ceecc3ed,False,False,False,False,True,-0.07072896817957225,-5.283027518410698e-07,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x10,one_pct,10,regional_blend,regional_blend,120.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,5193.077435018972,matched_refit_bonly_multistart_v1,3,1.4985822524801965e-06,1.5960885945296205e-06,1.5960833096159575e-06,-0.061087699212405866,0.0,0.3960928312452914,9.002109801029349,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",4135207731.0,0.0,1546.6938059344448,0.23798113611649657,47.391843090283025,5290.0,5193.0,97.0,f5a0df3c28590045b165a3987fefdac7968ad3d84b565f42f3d851e210f440a6
