model,scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,top_branch_replicates,study_id,scenario_label,source_family,source_multiplier,truth_model,truth_function_tag,mass_MeV,n_attempts,optimizer_gate_version,optimizer_gate_status,optimizer_trigger_reasons,optimizer_selection_pull_blind,accepted,sigmaA_ref,sigmaA_ref_mode,reference_top_branch_replicates,eps2_hat_signed,eps2_injected,eps2_sigma,nominal_Z_residual,pull_identity_residual,refit_ls_over_hi,refit_ls_over_lo,refit_upper_boundary,refit_lower_boundary,refit_constant_lower_boundary,refit_constant_upper_boundary,selected_extraction_upper_factor,production_card_upper_factor,analysis_partition,declared_result_commit,declared_integration_commit,claim_boundary,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
regional_blend,2021_1pct_x100,1,0.065,0.0,0.0,reference_bonly,2,3608368705,12,True,False,,1991.1988662568317,0.18430551447185928,56.559294441207804,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,39535.23983351669,39535.8298802065,-624.9242683230559,-0.015806765583176393,-0.015806765583176393,-2039328326.3759804,16,13724157695.529371,27471295101.689785,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,37046.0,10218504.0,dc9ffe7f11702cd27ee333cfb979a686e6a71ea48b6fc2a471bd70188ecaacc4,False,False,False,False,True,-9.32655813262555,-2.133552341205119e-07,2,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,regional_blend,regional_blend,65.0,3,v4p7p1_reference_relative_v1,pass_replicated_initial3,,True,True,39535.23983351669,matched_refit_bonly_multistart_v1,2,-2.2748263815367637e-08,0.0,1.43914728763861e-06,-0.015806765583176393,0.0,0.22952066587625125,5.216378769914801,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",,,,,,,,,
regional_blend,2021_1pct_x100,1,0.065,1.0,39535.23983351669,injected_refit,0,873365,12,True,False,,1991.1860182486223,0.18422084542688252,56.549733967950864,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,39574.75553555096,39535.23983351669,38698.75711173272,0.9778647167376356,-0.02113677546365479,-2039951310.1008604,16,13724157695.529371,27471295101.689785,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,37046.0,10218504.0,b07d7f3cd230301f58615a89f9387784d904ec28848143af40fd238bc91ea27e,False,False,False,False,True,-9.369515998608648,-2.13787029917722e-07,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,regional_blend,regional_blend,65.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,39535.23983351669,matched_refit_bonly_multistart_v1,2,1.4086979506602265e-06,1.43914728763861e-06,1.4405857237184527e-06,-0.022135283262364358,0.0,0.22941522521356758,5.213982391217445,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",2883889356.0,2.0,1991.1988662568317,0.18430551447185928,56.559294441207804,39728.0,39029.0,699.0,7279b11c09a63a449d2fb8723786389c44424ce11344ec855ef4377353f34d53
regional_blend,2021_1pct_x100,1,0.065,3.0,118605.71950055007,injected_refit,0,308022838,12,True,False,,1991.1670815926857,0.18405386281969555,56.542880508706325,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,39653.27124773243,39535.23983351669,116443.91331825581,2.936552512673583,-0.0545177261363494,-2041184237.1348064,16,13724157695.529371,27471295101.689785,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,37046.0,10218504.0,c28fadafd65ac7131390a107d9be879069278a1dcfa94c89de5b695e5201e9e3,False,False,False,False,True,-11.673660372655483,-2.650037526639042e-07,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,regional_blend,regional_blend,65.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,39535.23983351669,matched_refit_bonly_multistart_v1,2,4.238748587833896e-06,4.317441862915831e-06,1.443443823851367e-06,-0.06344748732641703,0.0,0.22920727723490217,5.209256300793231,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",1858953854.0,2.0,1991.1988662568317,0.18430551447185928,56.559294441207804,118464.0,116263.0,2201.0,ea2be8c1f79343e4ab702ea6ccbde1d4a1c98a815d5e514655f3ab9834eb0be8
regional_blend,2021_1pct_x100,1,0.065,5.0,197676.19916758343,injected_refit,0,2980112312,12,True,False,,1991.122095360238,0.18388071829235855,56.533627720824455,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,39734.639034357024,39535.23983351669,191825.6255968854,4.8276675026799944,-0.1472411405484083,-2042431954.995686,16,13724157695.529371,27471295101.689785,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,37046.0,10218504.0,8aae1c6d9db38d6592d36208387518aa54ce007ed34c0a7806ba8eaa85b9749b,False,False,False,False,True,-13.38472526407308,-3.022425965279135e-07,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,regional_blend,regional_blend,65.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,39535.23983351669,matched_refit_bonly_multistart_v1,2,6.982766006728457e-06,7.19573643819305e-06,1.4464057441512071e-06,-0.17233249732000555,0.0,0.22899165564961704,5.204355810218568,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",2354709076.0,2.0,1991.1988662568317,0.18430551447185928,56.559294441207804,198136.0,194419.0,3717.0,ae29f9e8ecb7bfbd62fd508f91e04e40db6f3a174878baa22dfa781e88f08b6b
regional_blend,2021_1pct_x100,1,0.09,0.0,0.0,reference_bonly,2,2587927282,12,True,False,,1980.6592285855309,0.1864208314692489,56.65957695550403,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,29244.67635261134,29243.58533936667,31724.55009820563,1.0847974419581106,1.0847974419581106,-2568651903.2719254,18,15174905634.58108,42057997075.567924,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,37046.0,10218504.0,2d67dad79181390b7823521e12fbdb373c3205501ee79a9c73d17a5a2019e8e5,False,False,False,False,True,-14.379271013603175,-1.2191360600201537e-06,3,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,regional_blend,regional_blend,90.0,3,v4p7p1_reference_relative_v1,pass_replicated_initial3,,True,True,29244.67635261134,matched_refit_bonly_multistart_v1,3,7.543048243881985e-07,0.0,6.953416326523066e-07,1.0847974419581106,0.0,0.28102214654643487,6.386866966964429,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",,,,,,,,,
regional_blend,2021_1pct_x100,1,0.09,1.0,29244.67635261134,injected_refit,0,717072375,12,True,False,,1980.6645953303823,0.1863144261786243,56.65208074635686,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,29268.372939544643,29244.67635261134,59900.30496873826,2.0465881411469464,1.0473977723137438,-2569107070.9186673,18,15174905634.58108,42057997075.567924,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,37046.0,10218504.0,d18362e667232224afc62f36c211f85bd3fb4076f8fccf231c8594528619690c,False,False,False,False,True,-13.770709906174725,-1.164642341602896e-06,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,regional_blend,regional_blend,90.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,29244.67635261134,matched_refit_bonly_multistart_v1,3,1.424231041271701e-06,6.953416326523066e-07,6.959050590772675e-07,1.0465881411469464,0.0,0.28086174471290826,6.383221470747915,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",1333351671.0,2.0,1980.6592285855309,0.1864208314692489,56.65957695550403,28943.0,28333.0,610.0,f0e61088d0ce4b954624f72c7c59ff21d32eca79a96f632ac2d5cf7fec38fe2e
regional_blend,2021_1pct_x100,1,0.09,3.0,87734.02905783402,injected_refit,0,3365446221,12,True,False,,1980.64701284302,0.18611441325136255,56.626518086279454,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,29312.8180041001,29244.67635261134,115775.33873207374,3.9496488776984795,0.9566227876936796,-2570035890.4521255,18,15174905634.58108,42057997075.567924,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,37046.0,10218504.0,f87307d3361e13aa6ed8eb5970aabb3bd420e02881f92e8c51886d4be53a81af,False,False,False,False,True,-16.750600397463618,-1.4100807780277926e-06,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,regional_blend,regional_blend,90.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,29244.67635261134,matched_refit_bonly_multistart_v1,3,2.752754452953473e-06,2.0860248979569202e-06,6.969618156431021e-07,0.9496488776984795,0.0,0.2805602330110607,6.376368932069561,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",3982815294.0,2.0,1980.6592285855309,0.1864208314692489,56.65957695550403,87927.0,86148.0,1779.0,647212effefa883ef254c39d85020f8c13bb8051371bab89207acb3388e4643d
regional_blend,2021_1pct_x100,1,0.09,5.0,146223.3817630567,injected_refit,0,206049629,12,True,False,,1980.6487141189218,0.18592342039398194,56.6222325262201,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,29355.86264715351,29244.67635261134,172968.82223002496,5.892138967573378,0.9110766318959332,-2570953937.4296765,18,15174905634.58108,42057997075.567924,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,37046.0,10218504.0,5e86a2b5e46d0214f76b45321c178e3f00a37183d14d9465dbc2c97835054e17,False,False,False,False,True,-19.274979244056755,-1.6153219893885832e-06,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,regional_blend,regional_blend,90.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,29244.67635261134,matched_refit_bonly_multistart_v1,3,4.11262623655716e-06,3.4767081632615335e-06,6.979852748196309e-07,0.892138967573378,0.0,0.28027231871343034,6.369825425305235,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",68536162.0,2.0,1980.6592285855309,0.1864208314692489,56.65957695550403,146143.0,143290.0,2853.0,6cb674ae88b7430bfa0755567b1b690631f28fec9411e9cc612cd82284789d4d
regional_blend,2021_1pct_x100,1,0.12,0.0,0.0,reference_bonly,1,483968896,12,True,False,,1956.6562718691484,0.18340501469308199,56.909238816487374,1e-08,1e+18,0.026444851590963617,0.6010193543400821,0.12607088335067795,1.0,21592.439554391007,21596.427994709567,-6855.035153312595,-0.3174738609801302,-0.3174738609801302,-1762187004.781649,22,8805877653.539677,32541230504.16406,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",394,117,277,0.04,0.3,0.0006250000000000006,0,37046.0,10218504.0,b72da887885bc252278ca2d8c2be0ff895702b1f05a3948947a6dc0ce2d813a8,False,False,False,False,True,-7.414011709028692,-1.9052480343803705e-06,3,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,regional_blend,regional_blend,120.0,3,v4p7p1_reference_relative_v1,pass_replicated_initial3,,True,True,21592.439554391007,matched_refit_bonly_multistart_v1,3,-2.1065691269527768e-07,0.0,6.635409669473926e-07,-0.3174738609801302,0.0,0.305156586670092,6.935376969774817,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",,,,,,,,,
regional_blend,2021_1pct_x100,1,0.12,1.0,21592.439554391007,injected_refit,0,72577832,12,True,False,,1956.6431664455818,0.18337083684850877,56.916696257690205,1e-08,1e+18,0.026444851590963617,0.6010193543400821,0.12607088335067795,1.0,21598.486154945564,21592.439554391007,14283.059746088275,0.6612991134481793,-0.3384209317202099,-1762515525.3486102,22,8805877653.539677,32541230504.16406,0,,394,117,277,0.04,0.3,0.0006250000000000006,0,37046.0,10218504.0,421c418cb6f7557c8f3eaac8f27fbf747001b5a5bd0bfc81a40d0dce921f7a6e,False,False,False,False,True,-6.0211894120537455,-1.5461414937509593e-06,1,v4p8p3_2021_residual_truths_20260814,2021_1pct_x100,one_pct,100,regional_blend,regional_blend,120.0,1,v4p7p1_reference_relative_v1,pass_single_untriggered,,True,True,21592.439554391007,matched_refit_bonly_multistart_v1,3,4.3892193149428007e-07,6.635409669473926e-07,6.637267804664537e-07,-0.33870088655182073,0.0,0.3050997202075955,6.934084550172625,False,False,False,False,25.0,15.0,residual_regional_blend_20toy_validation,4c7698e28f0c2c9eedf531a5b614ca727d7c305b,675b1c65be9238d6d97d7eeb0f09fd860404d13a,"Conditional source-conditioned stress diagnostics only; not physical background truth, observed-data bias, coverage, expected bands, limits, exclusions, or a production-card change.",2652790369.0,1.0,1956.6562718691484,0.18340501469308199,56.909238816487374,21575.0,21169.0,406.0,3867625268834d8a5c14ef896987cd5e16750f8aded1b8d1da91da1bcdc2b964
