model,scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
regional_blend,2021_1pct_x100,2,0.065,0.0,0.0,reference_bonly,0,2378168574,12,True,False,,1941.0201509674541,0.16637975907202174,56.82359110409028,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,48352.41570013043,48354.815188700944,21047.849203556165,0.43530088205085044,0.43530088205085044,-2039260400.833628,16,13724515325.231178,27472010959.908077,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,7fa52c021ffe5ee58a2183d336ebc09a1679410a40449743770294611a366ce8,False,False,False,False,True,-12.01916084010138,-1.600819794990191e-07,,,,,,,,,
regional_blend,2021_1pct_x100,2,0.065,0.0,0.0,reference_bonly,1,618653405,12,True,False,,1941.0201603922044,0.16637813494228834,56.816425375962346,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,48353.128758147635,48355.52745865376,21052.084377284646,0.4353820511301931,0.4353820511301931,-2039260400.833757,16,13724515325.231178,27472010959.908077,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,7fa52c021ffe5ee58a2183d336ebc09a1679410a40449743770294611a366ce8,False,False,False,False,True,-11.68859703786622,-1.5567353002827987e-07,,,,,,,,,
regional_blend,2021_1pct_x100,2,0.065,0.0,0.0,reference_bonly,2,594301903,12,True,False,,1941.0201604409533,0.16637985271689573,56.82376760373828,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,48352.36013351234,48354.759682186916,21047.49884194501,0.435294136290925,0.435294136290925,-2039260400.8336198,16,13724515325.231178,27472010959.908077,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,7fa52c021ffe5ee58a2183d336ebc09a1679410a40449743770294611a366ce8,False,False,False,False,True,-8.748835063085975,-1.1652516160321279e-07,,,,,,,,,
regional_blend,2021_1pct_x100,2,0.065,1.0,48352.36013351234,injected_refit,0,1587348945,12,True,False,,1940.9920039562087,0.16644574145945595,56.8280921920962,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,48318.38938690164,48352.36013351234,68490.64631455876,1.4174861203698463,0.4167830599607196,-2040015113.8623428,16,13724515325.231178,27472010959.908077,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,8e3415a7b3b94b2353ba41ffe07f59507a2d597836f1b5348e10cc978f142a78,False,False,False,False,True,-13.930381208192257,-1.8591574457810576e-07,1915685227.0,2.0,1941.0201604409533,0.16637985271689573,56.82376760373828,48193.0,47281.0,912.0,2d92596a29b9f83e62d0e8c48c948506453df360c3f272f1cd27a94a18ce3421
regional_blend,2021_1pct_x100,2,0.065,3.0,145057.080400537,injected_refit,0,3466460155,12,True,False,,1940.905453757444,0.1666078233163787,56.84196942632155,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,48231.601408954164,48352.36013351234,165253.75281316403,3.426254737262047,0.4187435586345165,-2041538442.291994,16,13724515325.231178,27472010959.908077,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,483796e102e36ecc0ec63294a4e418a2a352f4fcf6f232ab8820eaf1651c7770,False,False,False,False,True,-10.199557642839537,-1.3681597571380204e-07,3670375268.0,2.0,1941.0201604409533,0.16637985271689573,56.82376760373828,145355.0,142704.0,2651.0,2bfc208aa37c93b7be5734ae6529b7edada7aff95af68fc7b181af91647f959e
regional_blend,2021_1pct_x100,2,0.065,5.0,241761.8006675617,injected_refit,0,2628950122,12,True,False,,1940.8115685838632,0.16676882625031833,56.85148945946883,1e-08,1e+18,0.03533208047215282,0.803001828912564,0.16843908465206228,1.0,48146.51778467652,48352.36013351234,255552.02903712314,5.307798794089675,0.2864221340208827,-2043051279.7335482,16,13724515325.231178,27472010959.908077,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,1071d0626c8b21b7d529d4522e78ce1ef16b018dbc543e3c70f71278aebccb77,False,False,False,False,True,-8.229703391023556,-1.1094564543113926e-07,2775144317.0,2.0,1941.0201604409533,0.16637985271689573,56.82376760373828,242008.0,237469.0,4539.0,732f5af2f9f8e3877d400ada379850f0c1fae4e5ddf67c2673bc6d73010c81d5
regional_blend,2021_1pct_x100,2,0.09,0.0,0.0,reference_bonly,0,1612777919,12,True,False,,1301.410127002077,0.13914904567557138,1.0,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,39266.10088147626,39268.39877186434,-58621.44345671852,-1.4929275415877394,-1.4929275415877394,-2569247968.327914,18,15176137681.674213,42061411754.66299,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,d5a1e1e8d23712a1b075d1d23c31a943389bd75a35a7de483fc2dd01f14028f1,False,False,False,False,True,-0.2339629738693485,-8.01826844805873e-09,,,,,,,,,
regional_blend,2021_1pct_x100,2,0.09,0.0,0.0,reference_bonly,1,2578917775,12,True,False,,1931.9184678067977,0.17584924954882375,58.7745530086742,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,31671.538357134876,31678.406540781063,-98148.38263316921,-3.0989458587842362,-3.0989458587842362,-2569247967.756685,18,15176137681.674213,42061411754.66299,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,d5a1e1e8d23712a1b075d1d23c31a943389bd75a35a7de483fc2dd01f14028f1,False,False,False,False,True,-16.627069851333406,-1.087686223004368e-06,,,,,,,,,
regional_blend,2021_1pct_x100,2,0.09,0.0,0.0,reference_bonly,2,189950940,12,True,False,,1931.9184623341598,0.17585600528037598,58.75724438811063,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,31669.38640892861,31676.25406609406,-98144.67212276644,-3.0990392695166435,-3.0990392695166435,-2569247967.755573,18,15176137681.674213,42061411754.66299,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,d5a1e1e8d23712a1b075d1d23c31a943389bd75a35a7de483fc2dd01f14028f1,False,False,False,False,True,-14.99169927104309,-9.809043253875277e-07,,,,,,,,,
regional_blend,2021_1pct_x100,2,0.09,1.0,31671.538357134876,injected_refit,0,3394590968,12,True,False,,1931.9644084928245,0.17580637291135726,58.745171601418036,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,31684.26159731046,31671.538357134876,-67591.24946317034,-2.1332751989684327,-3.1328736355570053,-2569746115.107581,18,15176137681.674213,42061411754.66299,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,290a0eeb1f922671a86bbee1cd5875b544d76070ffe261d90f25707f38720050,False,False,False,False,True,-12.372271289688138,-8.084706898795938e-07,499883269.0,1.0,1931.9184678067977,0.17584924954882375,58.7745530086742,31676.0,31008.0,668.0,882bb3dd7a53803c684d4041759de466c528a6c221b59004345c7e222645ff3b
regional_blend,2021_1pct_x100,2,0.09,3.0,95014.61507140462,injected_refit,0,2432345206,12,True,False,,1932.057821448113,0.17575661829923142,58.78285019852542,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,31702.52364390187,31671.538357134876,-6436.049034151952,-0.20301377601495635,-3.200081647918622,-2570742665.1975546,18,15176137681.674213,42061411754.66299,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",398,71,327,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,4c425394753c5a9bdec19ca2a0e0f0d0effe2de61d3d45de11c5dda176c3f4d9,False,False,False,False,True,-15.07016783347988,-9.833634373881435e-07,2166377948.0,1.0,1931.9184678067977,0.17584924954882375,58.7745530086742,94986.0,93039.0,1947.0,a1f773ce51de026a50228606d48504bfe6e7f810eb281808e3c7858a01cd3504
regional_blend,2021_1pct_x100,2,0.09,5.0,158357.69178567437,injected_refit,0,2057775935,12,True,False,,1932.1399583269922,0.17567133588158962,58.75279202442927,1e-08,1e+18,0.02918815006379436,0.6633670469044173,0.13914904567557138,1.0,31728.77715321641,31671.538357134876,55749.08099817911,1.757051043252315,-3.2339289438103545,-2571731239.9522924,18,15176137681.674213,42061411754.66299,0,,398,71,327,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,23a14795ad309e93a893bfd11fe76cf261e997057e25063d423d1c4c1e057d91,False,False,False,False,True,-16.407188485577258,-1.0682338209821028e-06,663494800.0,1.0,1931.9184678067977,0.17584924954882375,58.7745530086742,157814.0,154571.0,3243.0,9dbd46847d3b560843ce2d7e1a9151176a52ab49f069290b2322f2da3cc29a63
regional_blend,2021_1pct_x100,2,0.12,0.0,0.0,reference_bonly,0,3076516788,12,True,False,,1912.94911540263,0.1848950180635694,58.91242511372139,1e-08,1e+18,0.026444851590963617,0.6010193543400821,0.12607088335067795,1.0,21430.937323133352,21438.94857378285,-52350.49887560555,-2.442753580315709,-2.442753580315709,-1762361170.9856813,22,8806892570.538837,32544981027.315945,0,,394,117,277,0.04,0.3,0.0006250000000000006,0,37198.0,10218826.0,47db8b2ae931d99b3ca80e9873a078c7b5d97e2386fb4f1b0fa39fdf5fc8d9fb,False,False,False,False,True,-7.0343865097280105,-1.8567187287469203e-06,,,,,,,,,
