model,scenario,background_toy_index,mass_GeV,mass_MeV,upper_factor,attempt,optimizer_seed,optimizer_seed_namespace,seed_includes_upper_factor,optimizer_restarts,background_only,fit_ok,error,gp_lml,ell_opt,ell_lo,ell_hi,ell_init,sigma_x,ell_over_sigma_x,ell_lo_over_sigma_x,ell_hi_over_sigma_x,ell_over_ell_hi,ell_over_ell_lo,ell_mass_delta_GeV,kernel_constant_opt,kernel_constant_lo,kernel_constant_hi,kernel_constant_init,n_blind,blind_lo,blind_hi,sigma_mass_GeV,support_lo_GeV,support_hi_GeV,ell_at_lower_exact,ell_at_upper_exact,ell_near_lower,ell_near_upper,constant_at_lower_exact,constant_at_upper_exact,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,training_counts_sha256,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,addendum_id,stage,source_family,post_closure_initiated,evaluated_attempt_count,maximum_lml_candidate_attempt,matches_maximum_lml_branch,selected_maximum_lml_reproduced_branch,maximum_lml_branch_replicates,selected_attempt,n_attempts,top_branch_replicates,optimizer_gate_status,support_preserved_40_300,common_seeds_across_factors,factor_selection_performed,inference_quantities_inspected
knot_spline,2021_1pct,7,0.065,65,25,2,1512049,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1182.0835987835774,0.803001828912564,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,25.0,1.1,25.0,1.0,22.727272727272727,0.08009505782117883,163.55381594288252,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,cda78a255d6987abdf4c5c343190b6f96ac86a10eeb3a6e8af7389542f4e4549,True,-0.00387684812968264,-4.4110094312364143e-07,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,2,True,True,3,2,3,3,maximum_lml_reproduced,True,True,False,False
knot_spline,2021_1pct,7,0.065,65,35,0,1701888475,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1182.712883806403,0.8780502200975652,0.03533208047215282,1.1242025604775896,0.19929981267877409,0.03212007315650256,27.336495026625055,1.1,35.0,0.7810427150464302,24.851359115113684,0.09140323155172833,281.86866201174075,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,cda78a255d6987abdf4c5c343190b6f96ac86a10eeb3a6e8af7389542f4e4549,True,-0.010093234524128573,-1.2108247824957786e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,True,3,0,3,3,maximum_lml_reproduced,True,True,False,False
knot_spline,2021_1pct,7,0.065,65,50,1,1252506757,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1182.712883945703,0.8780149807569465,0.03533208047215282,1.606003657825128,0.2382088379486563,0.03212007315650256,27.335397913911553,1.1,50.0,0.546707958278231,24.85036173991959,0.09139772010208834,281.72511158764405,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,cda78a255d6987abdf4c5c343190b6f96ac86a10eeb3a6e8af7389542f4e4549,True,-0.00979190832128268,-1.1746655187594263e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,1,True,True,3,1,3,3,maximum_lml_reproduced,True,True,False,False
knot_spline,2021_1pct,7,0.065,65,75,1,1252506757,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1182.7128843453838,0.8780408754925013,0.03533208047215282,2.409005486737692,0.29174505259776695,0.03212007315650256,27.336204099359158,1.1,75.0,0.36448272132478876,24.85109463578105,0.09140177003212746,281.83664198437344,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,cda78a255d6987abdf4c5c343190b6f96ac86a10eeb3a6e8af7389542f4e4549,True,-0.010151306834704076,-1.2177865688040096e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,1,True,True,3,1,3,3,maximum_lml_reproduced,True,True,False,False
knot_spline,2021_1pct,7,0.12,120,25,0,2612708105,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1146.4582959687975,0.6010193543400821,0.026444851590963617,0.6010193543400821,0.12607088335067795,0.024040774173603285,25.0,1.1,25.0,1.0,22.727272727272727,0.098877255850339,49.480945291364435,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.6010193543400821. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,7b0a1b36a2b49cad640a20f4cf90a540429c6edf86a33f9986ed0e03e7a170c2,True,-0.0006595028755657934,-2.617715641640561e-07,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,True,3,0,3,3,maximum_lml_reproduced,True,True,False,False
knot_spline,2021_1pct,7,0.12,120,35,0,2612708105,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1151.6308574806897,0.841427096076115,0.026444851590963617,0.841427096076115,0.14916908084569117,0.024040774173603285,35.0,1.1,35.0,1.0,31.818181818181817,0.15836100178646023,198.388407870189,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.841427096076115. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,7b0a1b36a2b49cad640a20f4cf90a540429c6edf86a33f9986ed0e03e7a170c2,True,-0.003528616903338025,-1.7870345102309343e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,True,3,0,3,3,maximum_lml_reproduced,True,True,False,False
knot_spline,2021_1pct,7,0.12,120,50,2,2588805575,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1151.630871060554,0.8417165191295249,0.026444851590963617,1.2020387086801643,0.1782911530548852,0.024040774173603285,35.01203884081769,1.1,50.0,0.7002407768163538,31.829126218925165,0.158441577537225,198.890043957169,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,False,False,False,False,False,0,,394,117,277,0.04,0.3,0.0006250000000000006,7b0a1b36a2b49cad640a20f4cf90a540429c6edf86a33f9986ed0e03e7a170c2,True,-0.0028151554939938902,-1.4259379737239698e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,2,True,True,3,2,3,3,maximum_lml_reproduced,True,True,False,False
knot_spline,2021_1pct,7,0.12,120,75,0,2612708105,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1151.630871333703,0.8417127734663391,0.026444851590963617,1.8030580630202464,0.21836117531846347,0.024040774173603285,35.011883036218435,1.1,75.0,0.46682510714957914,31.828984578380393,0.15844053459081187,198.8785217849187,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",394,117,277,0.04,0.3,0.0006250000000000006,7b0a1b36a2b49cad640a20f4cf90a540429c6edf86a33f9986ed0e03e7a170c2,True,-0.003188164328479475,-1.61487300892031e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,True,3,0,3,3,maximum_lml_reproduced,True,True,False,False
knot_spline,2021_1pct,7,0.21,210,25,2,2397313037,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1132.4220669818992,0.6285308590092686,0.027655357796407824,0.6285308590092686,0.1318417452553814,0.025141234360370746,25.0,1.1,25.0,1.0,22.727272727272723,0.1837193672789743,56.70219628670883,1e-08,1e+18,1.0,38,0.197970178125,0.22202982187499998,0.0053465875,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.6285308590092686. Increasing the bound and calling fit again may find a better value.,378,253,125,0.04,0.3,0.0006250000000000006,d8eabdf450f470ad5e66c8cb13f1175ec18b2e8bf1aabfbad53c53d07a22cf9d,True,-8.703962934739998e-06,-5.215272343516736e-08,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,2,True,True,2,2,3,2,maximum_lml_reproduced,True,True,False,False
knot_spline,2021_1pct,7,0.21,210,35,2,2397313037,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1136.667026797279,0.8382240124478691,0.027655357796407824,0.8799432026129761,0.15599725673478632,0.025141234360370746,33.340606926171155,1.1,35.0,0.9525887693191759,30.309642660155593,0.2755739256408342,193.46440110744936,1e-08,1e+18,1.0,38,0.197970178125,0.22202982187499998,0.0053465875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",378,253,125,0.04,0.3,0.0006250000000000006,d8eabdf450f470ad5e66c8cb13f1175ec18b2e8bf1aabfbad53c53d07a22cf9d,True,-4.0309627651004476e-05,-3.1112451776672985e-07,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,2,True,True,2,2,3,2,maximum_lml_reproduced,True,True,False,False
