model,scenario,background_toy_index,mass_GeV,mass_MeV,upper_factor,attempt,optimizer_seed,optimizer_seed_namespace,seed_includes_upper_factor,optimizer_restarts,background_only,fit_ok,error,gp_lml,ell_opt,ell_lo,ell_hi,ell_init,sigma_x,ell_over_sigma_x,ell_lo_over_sigma_x,ell_hi_over_sigma_x,ell_over_ell_hi,ell_over_ell_lo,ell_mass_delta_GeV,kernel_constant_opt,kernel_constant_lo,kernel_constant_hi,kernel_constant_init,n_blind,blind_lo,blind_hi,sigma_mass_GeV,support_lo_GeV,support_hi_GeV,ell_at_lower_exact,ell_at_upper_exact,ell_near_lower,ell_near_upper,constant_at_lower_exact,constant_at_upper_exact,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,training_counts_sha256,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,addendum_id,stage,source_family,post_closure_initiated,evaluated_attempt_count,maximum_lml_candidate_attempt,matches_maximum_lml_branch,selected_maximum_lml_reproduced_branch,maximum_lml_branch_replicates
knot_spline,2021_1pct,2,0.065,65,25,0,432060926,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.4992250397856,0.803001828912564,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,25.0,1.1,25.0,1.0,22.727272727272727,0.08009505782117883,164.727955607067,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.003967089931735126,-4.502266021982869e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,2,True,False,3
knot_spline,2021_1pct,2,0.065,65,35,0,432060926,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.6623761135836,0.8370639960941234,0.03533208047215282,1.1242025604775896,0.19929981267877409,0.03212007315650256,26.060463561698448,1.1,35.0,0.7445846731913842,23.691330510634952,0.08512244573337038,211.7798783896759,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.005445762103196759,-6.327124434815315e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,1,True,False,3
knot_spline,2021_1pct,2,0.065,65,50,0,432060926,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.6623760658151,0.8370573958698249,0.03533208047215282,1.606003657825128,0.2382088379486563,0.03212007315650256,26.060258075731266,1.1,50.0,0.5212051615146253,23.69114370521024,0.08512145489482618,211.78836711678346,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.004979795516141346,-5.78568930360948e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,0,True,True,3
knot_spline,2021_1pct,2,0.065,65,75,0,432060926,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.6623760043467,0.8370383928117223,0.03533208047215282,2.409005486737692,0.29174505259776695,0.03212007315650256,26.059666450114165,1.1,75.0,0.34746221933485555,23.690605863740146,0.08511860215520183,211.7265300376321,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.005530639146303013,-6.425644818812896e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,0,True,True,3
knot_spline,2021_1pct,2,0.065,65,25,1,1857723968,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.499224481567,0.803001828912564,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,25.0,1.1,25.0,1.0,22.727272727272727,0.08009505782117883,164.72792670644506,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.005507606660905863,-6.250605297800925e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,2,True,False,3
knot_spline,2021_1pct,2,0.065,65,35,1,1857723968,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.6623763560044,0.8370527986143913,0.03533208047215282,1.1242025604775896,0.19929981267877409,0.03212007315650256,26.060114948553093,1.1,35.0,0.7445747128158027,23.69101358959372,0.08512076474973834,211.768464733303,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.005208222773005514,-6.051084010441773e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,1,True,True,3
knot_spline,2021_1pct,2,0.065,65,50,1,1857723968,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.6623758750636,0.8370491056728919,0.03533208047215282,1.606003657825128,0.2382088379486563,0.03212007315650256,26.05999997554287,1.1,50.0,0.5211999995108574,23.690909068675335,0.08512021036355995,211.7569876318826,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.005682657992542964,-6.602291087600614e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,0,True,False,3
knot_spline,2021_1pct,2,0.065,65,75,1,1857723968,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.6623753573128,0.837051917591512,0.03533208047215282,2.409005486737692,0.29174505259776695,0.03212007315650256,26.060087519509732,1.1,75.0,0.3474678335934631,23.690988654099755,0.08512063248996819,211.76745317379462,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.006179837229069499,-7.179932485103705e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,0,True,False,3
knot_spline,2021_1pct,2,0.065,65,25,2,2087391050,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.4992253075932,0.803001828912564,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,25.0,1.1,25.0,1.0,22.727272727272727,0.08009505782117883,164.73158518833282,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.003815908710765716,-4.330686300477325e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,2,True,True,3
knot_spline,2021_1pct,2,0.065,65,35,2,2087391050,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.6623762135266,0.8370398936351668,0.03533208047215282,1.1242025604775896,0.19929981267877409,0.03212007315650256,26.059713175519715,1.1,35.0,0.7445632335862775,23.690648341381557,0.08511882745688848,211.71109913997483,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.004824052637530535,-5.604744422892405e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,1,True,False,3
knot_spline,2021_1pct,2,0.065,65,50,2,2087391050,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.6623759349025,0.8370489095763114,0.03533208047215282,1.606003657825128,0.2382088379486563,0.03212007315650256,26.059993870432848,1.1,50.0,0.5211998774086569,23.690903518575315,0.08512018092550291,211.75890777186737,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.004818062011422817,-5.597771908678234e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,0,True,False,3
knot_spline,2021_1pct,2,0.065,65,75,2,2087391050,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1193.662375845495,0.8370876959322258,0.03533208047215282,2.409005486737692,0.29174505259776695,0.03212007315650256,26.061201413009897,1.1,75.0,0.3474826855067986,23.69200128455445,0.08512600365319067,211.79467144560718,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,5ae58ad0ecf01a278517382914cbd044ba7ccdbd4ec48b27204221c9b879e7ac,True,-0.005121219584141584,-5.950189509928122e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,0,True,False,3
knot_spline,2021_1pct,2,0.12,120,25,0,3065065316,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1165.1122754911335,0.6010193543400821,0.026444851590963617,0.6010193543400821,0.12607088335067795,0.024040774173603285,25.0,1.1,25.0,1.0,22.727272727272727,0.098877255850339,55.45816236849978,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.6010193543400821. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,c34bada569a8af75807397477dc44a37c732013c442bb0956b19c4dea280f0d0,True,-0.0007631294325436457,-3.015582001160176e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,0,True,True,3
knot_spline,2021_1pct,2,0.12,120,35,0,3065065316,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1169.8184973012299,0.8064948433880382,0.026444851590963617,0.841427096076115,0.14916908084569117,0.024040774173603285,33.54695807897766,1.1,35.0,0.9584845165422189,30.497234617252417,0.14880510120607288,155.80975895461714,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,False,False,False,False,False,0,,394,117,277,0.04,0.3,0.0006250000000000006,c34bada569a8af75807397477dc44a37c732013c442bb0956b19c4dea280f0d0,True,-0.002897413616226045,-1.4344673679182946e-06,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,0,True,True,3
knot_spline,2021_1pct,2,0.12,120,50,0,3065065316,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1169.8184969020326,0.8065012226711862,0.026444851590963617,1.2020387086801643,0.1782911530548852,0.024040774173603285,33.5472234316282,1.1,50.0,0.670944468632564,30.497475846934723,0.14880681599539466,155.80421315575614,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,False,False,False,False,False,0,,394,117,277,0.04,0.3,0.0006250000000000006,c34bada569a8af75807397477dc44a37c732013c442bb0956b19c4dea280f0d0,True,-0.003686799415507474,-1.825294892011687e-06,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,1,True,False,3
knot_spline,2021_1pct,2,0.12,120,75,0,3065065316,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1169.818497343504,0.8064765759451267,0.026444851590963617,1.8030580630202464,0.21836117531846347,0.024040774173603285,33.54619822645463,1.1,75.0,0.44728264301939497,30.496543842231475,0.14880019086908206,155.7538359588104,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,False,False,False,False,False,0,,394,117,277,0.04,0.3,0.0006250000000000006,c34bada569a8af75807397477dc44a37c732013c442bb0956b19c4dea280f0d0,True,-0.0030800170165995854,-1.52486658701908e-06,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,2,True,False,3
knot_spline,2021_1pct,2,0.12,120,25,1,1064232181,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1165.1122754346325,0.6010193543400821,0.026444851590963617,0.6010193543400821,0.12607088335067795,0.024040774173603285,25.0,1.1,25.0,1.0,22.727272727272727,0.098877255850339,55.45961327101677,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.6010193543400821. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,c34bada569a8af75807397477dc44a37c732013c442bb0956b19c4dea280f0d0,True,-0.0008375587615516374,-3.3096935604595757e-07,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,0,True,False,3
knot_spline,2021_1pct,2,0.12,120,35,1,1064232181,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1169.8184970559519,0.8064769703176589,0.026444851590963617,0.841427096076115,0.14916908084569117,0.024040774173603285,33.546214630773775,1.1,35.0,0.958463275164965,30.496558755248884,0.14880029687651491,155.75620478645854,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,False,False,False,False,False,0,,394,117,277,0.04,0.3,0.0006250000000000006,c34bada569a8af75807397477dc44a37c732013c442bb0956b19c4dea280f0d0,True,-0.0029836691203773483,-1.4771657040366803e-06,v4p8p3_residual_length_ceiling_remediation_v1,select,one_pct,True,3,0,True,False,3
