model,scenario,background_toy_index,mass_GeV,mass_MeV,upper_factor,attempt,optimizer_seed,optimizer_seed_namespace,seed_includes_upper_factor,optimizer_restarts,background_only,fit_ok,error,gp_lml,ell_opt,ell_lo,ell_hi,ell_init,sigma_x,ell_over_sigma_x,ell_lo_over_sigma_x,ell_hi_over_sigma_x,ell_over_ell_hi,ell_over_ell_lo,ell_mass_delta_GeV,kernel_constant_opt,kernel_constant_lo,kernel_constant_hi,kernel_constant_init,n_blind,blind_lo,blind_hi,sigma_mass_GeV,support_lo_GeV,support_hi_GeV,ell_at_lower_exact,ell_at_upper_exact,ell_near_lower,ell_near_upper,constant_at_lower_exact,constant_at_upper_exact,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,training_counts_sha256,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,evaluated_attempt_count,maximum_lml_candidate_attempt,matches_maximum_lml_branch,selected_maximum_lml_reproduced_branch,maximum_lml_branch_replicates
knot_spline,2021_1pct_x100,1,0.065,65,15,0,649439274,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,2039.6534936453065,0.3935159813056197,0.03533208047215282,0.4818010973475384,0.1304723539415717,0.03212007315650256,12.251403643704162,1.1,15.0,0.8167602429136108,11.137639676094691,0.03134189309952085,238.9883090579741,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,3d3b4e24a3eda483af1fd9f56148db20a14d91de7518b0864120975001d8add7,True,-44.47510642153101,-1.2377578750804961e-05,3,1,True,False,3
knot_spline,2021_1pct_x100,1,0.065,65,20,0,649439274,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,2039.6535294229755,0.393521802962769,0.03533208047215282,0.6424014631300512,0.1506564973399411,0.03212007315650256,12.251584890400611,1.1,20.0,0.6125792445200305,11.137804445818736,0.031342453970624184,239.04657936547926,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,3d3b4e24a3eda483af1fd9f56148db20a14d91de7518b0864120975001d8add7,True,-43.37776359498385,-1.2072323039759841e-05,3,0,True,True,3
knot_spline,2021_1pct_x100,1,0.065,65,25,0,649439274,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,2039.6534714563675,0.39351984034255444,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,12.25152378779337,1.1,25.0,0.49006095151173484,11.137748897993973,0.031342264887162054,238.88642316769145,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,3d3b4e24a3eda483af1fd9f56148db20a14d91de7518b0864120975001d8add7,True,-43.78875493466031,-1.2187039596151987e-05,3,1,True,False,3
knot_spline,2021_1pct_x100,1,0.065,65,15,1,3138859989,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,2039.6535553716406,0.3935072287835976,0.03533208047215282,0.4818010973475384,0.1304723539415717,0.03212007315650256,12.251131149865826,1.1,15.0,0.8167420766577217,11.137391954423476,0.03134104986867004,238.91457409533464,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,3d3b4e24a3eda483af1fd9f56148db20a14d91de7518b0864120975001d8add7,True,-57.240280895896426,-1.5929796493659476e-05,3,1,True,True,3
knot_spline,2021_1pct_x100,1,0.065,65,20,1,3138859989,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,2039.653528304798,0.3936004753363482,0.03533208047215282,0.6424014631300512,0.1506564973399411,0.03212007315650256,12.254034211521265,1.1,20.0,0.6127017105760633,11.140031101382966,0.031350033758310525,239.66188871888698,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,3d3b4e24a3eda483af1fd9f56148db20a14d91de7518b0864120975001d8add7,True,-39.03384195853986,-1.0865783647057364e-05,3,0,True,False,3
knot_spline,2021_1pct_x100,1,0.065,65,25,1,3138859989,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,2039.6535076894995,0.3935157846722867,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,12.251397521883328,1.1,25.0,0.4900559008753332,11.137634110803026,0.03134187415549516,238.9714739574716,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,3d3b4e24a3eda483af1fd9f56148db20a14d91de7518b0864120975001d8add7,True,-44.87096982001599,-1.2487791865154205e-05,3,1,True,True,3
knot_spline,2021_1pct_x100,1,0.065,65,15,2,2062446148,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,2039.6535389758076,0.3935302738039807,0.03533208047215282,0.4818010973475384,0.1304723539415717,0.03212007315650256,12.251848614619744,1.1,15.0,0.8167899076413162,11.138044195108856,0.03134327007571026,239.23250853611154,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,3d3b4e24a3eda483af1fd9f56148db20a14d91de7518b0864120975001d8add7,True,-50.401658352854454,-1.4027113221908333e-05,3,1,True,False,3
knot_spline,2021_1pct_x100,1,0.065,65,20,2,2062446148,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,2039.6534831680144,0.39350942103882874,0.03533208047215282,0.6424014631300512,0.1506564973399411,0.03212007315650256,12.251199401741232,1.1,20.0,0.6125599700870615,11.137454001582936,0.0313412610730721,238.93748694947524,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,3d3b4e24a3eda483af1fd9f56148db20a14d91de7518b0864120975001d8add7,True,-51.2634109324187,-1.4266541925160412e-05,3,0,True,False,3
knot_spline,2021_1pct_x100,1,0.065,65,25,2,2062446148,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,2039.6534920496667,0.3935090337908083,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,12.251187345479138,1.1,25.0,0.4900474938191655,11.13744304134467,0.031341223765116694,238.9248681952767,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,3d3b4e24a3eda483af1fd9f56148db20a14d91de7518b0864120975001d8add7,True,-62.290966996331406,-1.7335536462198017e-05,3,1,True,False,3
knot_spline,2021_1pct_x100,1,0.12,120,15,0,1661230559,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,2002.1511132845271,0.3606116126040492,0.026444851590963617,0.3606116126040493,0.09765408633176671,0.024040774173603285,14.999999999999998,1.1,15.0,0.9999999999999999,13.636363636363633,0.0521047590040144,100.9714387377881,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,True,False,True,False,False,3,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.3606116126040493. Increasing the bound and calling fit again may find a better value.",394,117,277,0.04,0.3,0.0006250000000000006,1e5b51a0389ce65c692a3a89a2acdfe92fea403759b95645f6ffd20f30d1eae1,True,-14.982194350594256,-2.369799518787258e-05,3,1,True,False,3
