model,scenario,background_toy_index,mass_GeV,mass_MeV,upper_factor,attempt,optimizer_seed,optimizer_seed_namespace,seed_includes_upper_factor,optimizer_restarts,background_only,fit_ok,error,gp_lml,ell_opt,ell_lo,ell_hi,ell_init,sigma_x,ell_over_sigma_x,ell_lo_over_sigma_x,ell_hi_over_sigma_x,ell_over_ell_hi,ell_over_ell_lo,ell_mass_delta_GeV,kernel_constant_opt,kernel_constant_lo,kernel_constant_hi,kernel_constant_init,n_blind,blind_lo,blind_hi,sigma_mass_GeV,support_lo_GeV,support_hi_GeV,ell_at_lower_exact,ell_at_upper_exact,ell_near_lower,ell_near_upper,constant_at_lower_exact,constant_at_upper_exact,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,training_counts_sha256,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,evaluated_attempt_count,maximum_lml_candidate_attempt,matches_maximum_lml_branch,selected_maximum_lml_reproduced_branch,maximum_lml_branch_replicates
regional_blend,2021_1pct_x10,2,0.065,65,15,0,97630546,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,1541.8379617836965,0.24113729215889346,0.03533208047215282,0.4818010973475384,0.1304723539415717,0.03212007315650256,7.507370577394726,1.1,15.0,0.5004913718263151,6.824882343086114,0.017725224040024436,51.38660771552617,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,1e8c2913b0554cba38442b6396c273b5f830f48c084f00c8b9b670ef5effa0e5,True,-0.101933831550095,-9.957233210650703e-08,3,1,True,False,3
regional_blend,2021_1pct_x10,2,0.065,65,20,0,97630546,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,1541.837961357597,0.2411435735677526,0.03533208047215282,0.6424014631300512,0.1506564973399411,0.03212007315650256,7.507566137623638,1.1,20.0,0.37537830688118184,6.825060125112397,0.017725743672611604,51.41798767142869,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,1e8c2913b0554cba38442b6396c273b5f830f48c084f00c8b9b670ef5effa0e5,True,-0.09802734130561544,-9.575879586394629e-08,3,1,True,False,3
regional_blend,2021_1pct_x10,2,0.065,65,25,0,97630546,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,1541.837962484745,0.2411435121848597,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,7.50756422657902,1.1,25.0,0.30030256906316083,6.825058387799109,0.017725738594666293,51.41798880523836,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,1e8c2913b0554cba38442b6396c273b5f830f48c084f00c8b9b670ef5effa0e5,True,-0.10682256503997264,-1.0435038771597898e-07,3,1,True,False,3
regional_blend,2021_1pct_x10,2,0.065,65,15,1,4209534709,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,1541.837962902415,0.24114355814615948,0.03533208047215282,0.4818010973475384,0.1304723539415717,0.03212007315650256,7.507565657500412,1.1,15.0,0.5005043771666942,6.825059688636737,0.01772574239684885,51.4178892830237,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,1e8c2913b0554cba38442b6396c273b5f830f48c084f00c8b9b670ef5effa0e5,True,-0.09237493822037672,-9.023719595784566e-08,3,1,True,True,3
regional_blend,2021_1pct_x10,2,0.065,65,20,1,4209534709,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,1541.8379622711693,0.24114396044938718,0.03533208047215282,0.6424014631300512,0.1506564973399411,0.03212007315650256,7.507578182478975,1.1,20.0,0.3753789091239487,6.825071074980885,0.017725775677688727,51.4196056563252,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,1e8c2913b0554cba38442b6396c273b5f830f48c084f00c8b9b670ef5effa0e5,True,-0.11891016852256153,-1.1615860254728235e-07,3,1,True,True,3
regional_blend,2021_1pct_x10,2,0.065,65,25,1,4209534709,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,1541.8379629201202,0.24114487547415792,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,7.507606670109319,1.1,25.0,0.3003042668043728,6.825096972826653,0.017725851373857283,51.42122205925918,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,1e8c2913b0554cba38442b6396c273b5f830f48c084f00c8b9b670ef5effa0e5,True,-0.10383093902247839,-1.014292567903864e-07,3,1,True,True,3
regional_blend,2021_1pct_x10,2,0.065,65,15,2,456422223,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,1541.8379623861113,0.2411435728937403,0.03533208047215282,0.4818010973475384,0.1304723539415717,0.03212007315650256,7.507566116639492,1.1,15.0,0.5005044077759662,6.825060106035901,0.01772574361685343,51.41798862354021,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,1e8c2913b0554cba38442b6396c273b5f830f48c084f00c8b9b670ef5effa0e5,True,-0.08239245620209532,-8.048572906294824e-08,3,1,True,False,3
regional_blend,2021_1pct_x10,2,0.065,65,20,2,456422223,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,1541.8379620801304,0.24114358937255376,0.03533208047215282,0.6424014631300512,0.1506564973399411,0.03212007315650256,7.507566629677347,1.1,20.0,0.37537833148386734,6.8250605724339515,0.01772574498007554,51.418627820715066,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,1e8c2913b0554cba38442b6396c273b5f830f48c084f00c8b9b670ef5effa0e5,True,-0.1588995487962581,-1.552221435068883e-07,3,1,True,False,3
regional_blend,2021_1pct_x10,2,0.065,65,25,2,456422223,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,1541.8379621577972,0.24114550153432743,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,7.507626161352893,1.1,25.0,0.3003050464541157,6.825114692138993,0.017725903165234026,51.41048806945168,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,1e8c2913b0554cba38442b6396c273b5f830f48c084f00c8b9b670ef5effa0e5,True,-0.11857091810854717,-1.1583166072483475e-07,3,1,True,False,3
regional_blend,2021_1pct_x10,2,0.12,120,15,0,998191917,v4p8p3_residual_length_pilot_common_v1,False,12,True,True,,1518.230763192997,0.24004660321691687,0.026444851590963617,0.3606116126040493,0.09765408633176671,0.024040774173603285,9.984978082797662,1.1,15.0,0.6656652055198441,9.077252802543327,0.03255700752021857,48.755404429043416,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,False,False,False,False,False,0,,394,117,277,0.04,0.3,0.0006250000000000006,83358ffacdcd79b27822f4e62d66f3d680a9936b1025e45cdfca46fafaadb560,True,-0.0616687765577988,-4.7041890911302073e-07,3,1,True,False,3
