phase,anchor_GeV,block,selected_seed,selected_lml,selected_constant,selected_length,warning_free_repeat_count,reproduced_warning_free_count,kernel_at_bound,technical_pass,covariance_ok,minimum_eigenvalue,maximum_diagonal,median_diagonal,jitter_relative_median_diagonal,nlpd_per_bin,mahalanobis_per_bin,poisson_deviance_per_bin,max_abs_marginal_standardized_residual,n_train,n_score,train_center_min_GeV,train_center_max_GeV,score_center_min_GeV,score_center_max_GeV,train_centers_sha256,score_centers_sha256,train_counts_sha256,score_counts_sha256,n_centers_at_or_above_38p75,n_search_centers
control,0.039,L1,2711,78.26845841903267,103.16012257465921,0.35815531146052415,3,3,False,True,True,34273.32575783113,46506.03683154617,42092.37597074654,0.0,6.46282058726453,0.45714292578428123,0.5646546470938721,1.1456950576767266,32,3,0.030125,0.038625,0.035375,0.035875,60885f1f2e4f99fe244cfb78e4b569dc8ce7ed7c1546250e2d93b10281d6cb08,cddd9db6814ab8151eced7dc3a00dc5532c37e6b9bc749b26ea36e7040fa2ab6,9a37e736ce9878ddadc169dabcaa14c769d280f3d2c693c402ee40239e891daa,ef7b936f164c51c7670139f121ebe66523a464f0b2e4e38bf53e93e71592ef1a,0,0
control,0.039,L2,6043,78.73119696586816,78.32067155789919,0.3215958188480845,3,3,False,True,True,46390.63050567061,62652.40520370789,56827.36934531283,0.0,6.904968911591511,1.0411852598829714,1.2296257244920479,1.6213055132721375,32,3,0.030125,0.038625,0.036125,0.036625,98136cab54457cf7cbddfbb153ff8acb4e2812acecca0952d67002fdee2513d1,7043b750efcd4b114a1133f3254ef9007aa0e61b911453e719c20842701e75c1,120ee4944fded670f531c08fc11e32ad7805be379f68df21586619aec2dbe028,f4d9155e564a6ad606d0212f0d0a2d8a32cdf030705d90c701ea825ac77f0a37,0,0
control,0.039,L3,2711,73.16769890065945,74.76007801963456,0.3124905673624307,3,3,False,True,True,60494.81585215992,98151.55934765191,87715.13975015044,0.0,6.787126170433611,0.43320179593794256,0.504048430594386,1.0348137433600393,31,4,0.030125,0.038625,0.036875,0.037625,456469590684c229f93d0d195ce3b03fe1fb90ddbd4dd7baa340c01506334658,dd89f434f3f35a01bfaa5c19c145addb6faff04ccf895f87e00772141c57346d,1c2faaa2bbe9ec81f61dae1425c6365df7aab6791bf2e9fa65b777146b4f94e4,4cfafa36775e7a4758491f5372ed2c62eb5783078681a14f12cbe8de96a18a2c,0,0
control,0.039,L4,9151,74.59275513464738,79.5436247709953,0.31807552815638224,3,3,False,True,True,82089.08466094855,1379226.5516942767,531744.5852636013,0.0,7.420474695225556,0.7608656559490268,0.9181835186343648,0.9002366113938662,31,4,0.030125,0.037625,0.037875,0.038625,6a81ed37f7d4761da5e3086b1538da2dd700f6aa517519378adfad0d909c4561,4b2619be737f92a26a5ec8b9d57d1f3dd2f4cc9f1e1ca47cb017c349d65376cb,864d795cdf3e60b1287a608d41d2e14c31fefcc5d881102fd0279a4ab07e3f53,d0c594bf4a27a4cd53e68d14886aaed587c0d8831d382063c48ffd0316040af7,0,0
control,0.065,L1,6043,78.26845841747185,103.15549042980841,0.3581515794864399,3,3,False,True,True,34273.326357250146,46506.05235580853,42092.39423889643,0.0,6.4628185237914435,0.4571384704916639,0.5646485760724692,1.1456901155929138,32,3,0.030125,0.038625,0.035375,0.035875,60885f1f2e4f99fe244cfb78e4b569dc8ce7ed7c1546250e2d93b10281d6cb08,cddd9db6814ab8151eced7dc3a00dc5532c37e6b9bc749b26ea36e7040fa2ab6,9a37e736ce9878ddadc169dabcaa14c769d280f3d2c693c402ee40239e891daa,ef7b936f164c51c7670139f121ebe66523a464f0b2e4e38bf53e93e71592ef1a,0,0
control,0.065,L2,9151,78.73119696532952,78.32232971416002,0.3215969224596883,3,3,False,True,True,46390.63046282159,62652.40357762069,56827.36763150081,0.0,6.904968458049459,1.0411843780513539,1.2296243292569926,1.6213045513597584,32,3,0.030125,0.038625,0.036125,0.036625,98136cab54457cf7cbddfbb153ff8acb4e2812acecca0952d67002fdee2513d1,7043b750efcd4b114a1133f3254ef9007aa0e61b911453e719c20842701e75c1,120ee4944fded670f531c08fc11e32ad7805be379f68df21586619aec2dbe028,f4d9155e564a6ad606d0212f0d0a2d8a32cdf030705d90c701ea825ac77f0a37,0,0
control,0.065,L3,6043,73.16769889669894,74.75917007353898,0.3124916832881382,3,3,False,True,True,60494.81331916783,98151.4603087978,87715.06511761743,0.0,6.787124616900629,0.4331991863980843,0.5040430111769822,1.0348070531924713,31,4,0.030125,0.038625,0.036875,0.037625,456469590684c229f93d0d195ce3b03fe1fb90ddbd4dd7baa340c01506334658,dd89f434f3f35a01bfaa5c19c145addb6faff04ccf895f87e00772141c57346d,1c2faaa2bbe9ec81f61dae1425c6365df7aab6791bf2e9fa65b777146b4f94e4,4cfafa36775e7a4758491f5372ed2c62eb5783078681a14f12cbe8de96a18a2c,0,0
control,0.065,L4,2711,74.5927551360297,79.54354593696775,0.31807486949707386,3,3,False,True,True,82089.08278779473,1379231.2266949057,531745.9437280188,0.0,7.4204751849502575,0.7608657581709585,0.9181978942707048,0.9002400998979465,31,4,0.030125,0.037625,0.037875,0.038625,6a81ed37f7d4761da5e3086b1538da2dd700f6aa517519378adfad0d909c4561,4b2619be737f92a26a5ec8b9d57d1f3dd2f4cc9f1e1ca47cb017c349d65376cb,864d795cdf3e60b1287a608d41d2e14c31fefcc5d881102fd0279a4ab07e3f53,d0c594bf4a27a4cd53e68d14886aaed587c0d8831d382063c48ffd0316040af7,0,0
control,0.1,L1,9151,78.26845842003836,103.16052559060417,0.3581556485143676,3,3,False,True,True,34273.32575972317,46506.035356745786,42092.3742756241,0.0,6.462820779548935,0.4571433404281322,0.5646552124761541,1.1456955174627155,32,3,0.030125,0.038625,0.035375,0.035875,60885f1f2e4f99fe244cfb78e4b569dc8ce7ed7c1546250e2d93b10281d6cb08,cddd9db6814ab8151eced7dc3a00dc5532c37e6b9bc749b26ea36e7040fa2ab6,9a37e736ce9878ddadc169dabcaa14c769d280f3d2c693c402ee40239e891daa,ef7b936f164c51c7670139f121ebe66523a464f0b2e4e38bf53e93e71592ef1a,0,0
control,0.1,L2,9151,78.73119696321687,78.32247950341564,0.32159719327903313,3,3,False,True,True,46390.63032192535,62652.40277966886,56827.36671190421,0.0,6.904968316167952,1.0411841073199979,1.229623870458994,1.621304216717005,32,3,0.030125,0.038625,0.036125,0.036625,98136cab54457cf7cbddfbb153ff8acb4e2812acecca0952d67002fdee2513d1,7043b750efcd4b114a1133f3254ef9007aa0e61b911453e719c20842701e75c1,120ee4944fded670f531c08fc11e32ad7805be379f68df21586619aec2dbe028,f4d9155e564a6ad606d0212f0d0a2d8a32cdf030705d90c701ea825ac77f0a37,0,0
