dataset,mass_GeV,mass_MeV,state_source,selected_path_id,selected_method_family,const_opt,ls_opt,lml,eligible_path_count,selected_cluster_path_count,selected_cluster_method_family_count,selected_cluster_method_families,selected_cluster_path_ids,selected_cluster_pass,best_prior_label,n_train,n_train_low,n_train_high,n_query,train_centers_sha256,train_counts_sha256,query_centers_sha256,two_training_sidebands,reconstruction_success,reconstruction_warning_count,reconstruction_warnings,reconstruction_error,reconstructed_lml,reconstructed_minus_selected_fixed_lml,analytic_lml_minus_reconstructed_lml,selected_gradient_constant_log,selected_gradient_length_log,selected_gradient_infinity,selected_coordinates_interior,prediction_closure_pass,prediction_mean_max_abs_difference,prediction_covariance_max_abs_difference,prediction_mean_sha256,prediction_covariance_sha256,covariance_ok,minimum_eigenvalue,maximum_diagonal,median_diagonal,jitter_relative_median_diagonal,selected_state_certificate_pass,state_resolved
2016,0.039,39,v4p9p11p1_uniform_postpolish_max_fixed_lml,trust_lbfgsb__fixed_lattice_center,trust_lbfgsb,79.02543052274585,0.38971719571968716,2360.8063586606286,12,12,3,direct_lbfgsb|powell_lbfgsb|trust_lbfgsb,direct_lbfgsb__archived|direct_lbfgsb__lattice_c1000_f0p1|direct_lbfgsb__lattice_c1000_f0p5|direct_lbfgsb__lattice_c100_f0p1|direct_lbfgsb__lattice_c100_f0p5|direct_lbfgsb__lattice_c100_f0p9|direct_lbfgsb__v4p9p11_seed_2711|direct_lbfgsb__v4p9p11_seed_6043|direct_lbfgsb__v4p9p11_seed_9151|powell_lbfgsb__card_initializer|trust_lbfgsb__best_prior_source|trust_lbfgsb__fixed_lattice_center,True,v4p9p11_seed_2711,688,20,668,32,dd6e2554360e136150fa2cef795e23618f4fbae6069e2582ec2359acd7a0a6f3,e72a12e0add7355bca380cfeb8bd47b9510c65156ca3e10c8280b1a7f372d468,6fa7c909ec1e7a02e7d9b91d814f2d3e8ed2971809db010af77cb4beeae40019,True,True,0,,,2360.8063586606286,0.0,0.0,2.0044972035603163e-06,3.391103660060542e-05,3.391103660060542e-05,True,True,4.0745362639427185e-10,3.410605131648481e-13,e7f77eb457fc366907fd7bd869ce17afb0ed75ec6fd7bbfce2cc12cc4b4f56bb,96a66035f7949c84c539ff543f2757e57f245e204d3cc1f5a00e9328ef9628b3,True,30309.51428512884,231676.86149962104,193063.61153954786,0.0,True,True
2016,0.04,40,v4p9p11p1_uniform_postpolish_max_fixed_lml,direct_lbfgsb__v4p9p11_seed_9151,direct_lbfgsb,91.61931966304267,0.3983645340184565,2355.9749368668886,12,12,3,direct_lbfgsb|powell_lbfgsb|trust_lbfgsb,direct_lbfgsb__archived|direct_lbfgsb__lattice_c1000_f0p1|direct_lbfgsb__lattice_c1000_f0p9|direct_lbfgsb__lattice_c100_f0p1|direct_lbfgsb__lattice_c100_f0p5|direct_lbfgsb__v4p9p11_seed_2711|direct_lbfgsb__v4p9p11_seed_6043|direct_lbfgsb__v4p9p11_seed_9151|powell_lbfgsb__best_prior_source|powell_lbfgsb__card_initializer|trust_lbfgsb__best_prior_source|trust_lbfgsb__fixed_lattice_center,True,v4p9p11_seed_6043,688,24,664,32,d42d0c78047c695731f2eb5f4add084af8b0abf9c74f98ee0657760bbf401810,d1adbc789515953d1929b221669c3bbc78cbf18a53981c221d8bada708eb2884,7f181fa1c063609ea25a5dd44399b00a2c9337fe62fa4eb5ee07b1387a80b27e,True,True,0,,,2355.9749368668886,0.0,0.0,3.867751642543879e-05,-0.00023102228393405785,0.00023102228393405785,True,True,4.511093720793724e-10,3.552713678800501e-13,1f241d045dc3be9b75fed04a10c9ffa9f385f6bae619350af7da2964d2a6814d,727a53f4040f8393acbab93f5b443b645d9766483986af642ef3b198ecad0305,True,45825.138773049315,252166.63381012995,218314.64503356576,0.0,True,True
2016,0.041,41,v4p9p11p1_uniform_postpolish_max_fixed_lml,direct_lbfgsb__lattice_c1000_f0p1,direct_lbfgsb,94.77017897570602,0.40852922497325,2353.247317766225,13,13,3,direct_lbfgsb|powell_lbfgsb|trust_lbfgsb,direct_lbfgsb__archived|direct_lbfgsb__lattice_c1000_f0p1|direct_lbfgsb__lattice_c1000_f0p5|direct_lbfgsb__lattice_c1000_f0p9|direct_lbfgsb__lattice_c100_f0p1|direct_lbfgsb__lattice_c100_f0p5|direct_lbfgsb__lattice_c100_f0p9|direct_lbfgsb__v4p9p11_seed_2711|direct_lbfgsb__v4p9p11_seed_6043|direct_lbfgsb__v4p9p11_seed_9151|powell_lbfgsb__card_initializer|trust_lbfgsb__best_prior_source|trust_lbfgsb__fixed_lattice_center,True,v4p9p11_seed_6043,688,28,660,32,ef57b69bdf0c42d002e6c320505abb4d4a438a5367d1ac2b7c0982b87b68672f,9bc64dd2b750617bb5cab0be75da9d16cc72f9a5ddd4d23fc96253e60fa2e80c,7dbc043409a41ecde3834467c1e03e6c3ee6b613466d00fb82c4c2039397cacd,True,True,0,,,2353.247317766225,0.0,0.0,1.7512310794991303e-06,-8.037298136369392e-06,8.037298136369392e-06,True,True,4.893081495538354e-10,3.268496584496461e-13,d5999ea47c9aaf7a1b4fe28ad6a29632bd549a549325cab33212dc5c5b6d07c8,80b5a02b663f463f452eb8564e8a2ece80315b9923a6fc3d12337c2f26117ccc,True,64804.47143795561,269832.58674425667,232201.189700028,0.0,True,True
2016,0.042,42,v4p9p11p1_uniform_postpolish_max_fixed_lml,trust_lbfgsb__fixed_lattice_center,trust_lbfgsb,89.16353986080526,0.39700147890395376,2339.874118783593,10,10,2,direct_lbfgsb|trust_lbfgsb,direct_lbfgsb__archived|direct_lbfgsb__lattice_c1000_f0p1|direct_lbfgsb__lattice_c1000_f0p5|direct_lbfgsb__lattice_c1000_f0p9|direct_lbfgsb__lattice_c100_f0p1|direct_lbfgsb__lattice_c100_f0p5|direct_lbfgsb__lattice_c100_f0p9|direct_lbfgsb__v4p9p11_seed_2711|direct_lbfgsb__v4p9p11_seed_6043|trust_lbfgsb__fixed_lattice_center,True,v4p9p11_seed_9151,686,31,655,34,0c1a9c7bf9263a903eaf3359a714c337a334bf4f377b195a6f6fa42747b39759,d7b9578a13bb43f1dad7b9246159b86573bd77fe6ab2c339b92f87db565357e1,2a1cd874ec1f130d7d422f9a69d8b4af051c33f8df5b17c0c0641f2d983249ec,True,True,0,,,2339.874118783593,0.0,0.0,-1.856256063180111e-05,0.0005092696834543101,0.0005092696834543101,True,True,4.3655745685100555e-10,3.836930773104541e-13,5b38aad3b9fc82320e16ec04dfeca9188332fcee95346c0f641e4852634200c5,47c36a7d4f9b0ab1b844ec87016fc75568236e7bacdab6aaff8a50eb1c75a5e2,True,80577.05861984634,294894.0712762394,267278.41996927944,0.0,True,True
2016,0.043,43,v4p9p11p1_uniform_postpolish_max_fixed_lml,direct_lbfgsb__lattice_c100_f0p1,direct_lbfgsb,84.63529301725939,0.3927521257036292,2338.0682857057072,13,13,3,direct_lbfgsb|powell_lbfgsb|trust_lbfgsb,direct_lbfgsb__archived|direct_lbfgsb__lattice_c1000_f0p1|direct_lbfgsb__lattice_c1000_f0p5|direct_lbfgsb__lattice_c1000_f0p9|direct_lbfgsb__lattice_c100_f0p1|direct_lbfgsb__lattice_c100_f0p5|direct_lbfgsb__lattice_c100_f0p9|direct_lbfgsb__v4p9p11_seed_2711|direct_lbfgsb__v4p9p11_seed_9151|powell_lbfgsb__best_prior_source|powell_lbfgsb__card_initializer|trust_lbfgsb__best_prior_source|trust_lbfgsb__fixed_lattice_center,True,v4p9p11_seed_9151,686,35,651,34,e21ef5208975fa0901f7c3054f17f5edaaaf60dd8fabf6747ddf23c48ebd7c36,962a9cbd5ee521a2ed028287638d4f5eba7773e1c93c1ee0c7993f70be2e7c3a,cee1735e0a33a759fe0aa522bf09085aba05f46958ebe12c1a36740c9b112d84,True,True,0,,,2338.0682857057072,0.0,0.0,-0.00025458376708958777,0.0018705362682372825,0.0018705362682372825,True,True,3.637978807091713e-10,3.836930773104541e-13,43779a5728a5a1c4c1b3a80ec2136615732ccc89c4dc5fdbb746b1b7aa7a3949,7b36bcd9fcb0e913683602fe1f783651656df6e7119e6557991938bfcc5ede76,True,103189.89382723407,312713.68830084393,285653.65549914597,0.0,True,True
2016,0.044,44,v4p9p11p1_uniform_postpolish_max_fixed_lml,trust_lbfgsb__fixed_lattice_center,trust_lbfgsb,82.3948697199976,0.3927842696321498,2336.4452963371577,14,14,3,direct_lbfgsb|powell_lbfgsb|trust_lbfgsb,direct_lbfgsb__archived|direct_lbfgsb__lattice_c1000_f0p1|direct_lbfgsb__lattice_c1000_f0p5|direct_lbfgsb__lattice_c1000_f0p9|direct_lbfgsb__lattice_c100_f0p1|direct_lbfgsb__lattice_c100_f0p5|direct_lbfgsb__lattice_c100_f0p9|direct_lbfgsb__v4p9p11_seed_2711|direct_lbfgsb__v4p9p11_seed_6043|direct_lbfgsb__v4p9p11_seed_9151|powell_lbfgsb__best_prior_source|powell_lbfgsb__card_initializer|trust_lbfgsb__best_prior_source|trust_lbfgsb__fixed_lattice_center,True,v4p9p11_seed_6043,686,39,647,34,5e5f4176298fe6c291f7e1685951d0b6a815f0792adc72fa2b4077142daf43d3,959e6e6a8ae976fa425628663cfaf0d34348b6037c65831bd3ac89a6230d2eeb,bb942fd4fc416f545dd5135a78e9044377c032165d8b35a9fabe55146918be6e,True,True,0,,,2336.4452963371577,0.0,0.0,2.301725299184293e-05,0.00023153702903472832,0.00023153702903472832,True,True,2.3646862246096134e-10,3.836930773104541e-13,f723f73af959e780b34bd9e7c6636eedf05621b478e8aa9181727978f9612982,f014e5e000b9b513dc8274cf08eebc2c511b777a875ca3e87ee0b08d2d485e14,True,126665.66303219442,328669.7969000335,305357.1785123034,0.0,True,True
2016,0.045,45,v4p9p11p1_uniform_postpolish_max_fixed_lml,trust_lbfgsb__best_prior_source,trust_lbfgsb,116.93792856879402,0.4373355724616446,2321.80908259636,12,6,3,direct_lbfgsb|powell_lbfgsb|trust_lbfgsb,direct_lbfgsb__archived|direct_lbfgsb__lattice_c1000_f0p5|direct_lbfgsb__v4p9p11_seed_2711|direct_lbfgsb__v4p9p11_seed_6043|powell_lbfgsb__best_prior_source|trust_lbfgsb__best_prior_source,True,v4p9p11_seed_6043,684,42,642,36,ab9c9ce600ed4b268c3850d699f3f82e4e20ba935a7f3d0bd39282aaa4673663,3776227960bf54b8ccfdc01c09b3c5f1274f87698e7b8dbc6f50564799bef524,eb5e58ebb45de39809ee8d50d43a34a424bf385c94e91700cee286f42b6dd2e2,True,True,0,,,2321.80908259636,0.0,0.0,1.9747042753746868e-05,0.0009897358552060133,0.0009897358552060133,True,True,7.439666660502553e-10,3.694822225952521e-13,462100acd58aebb11f929eee758917388dd48fd4224e786d7a2ad734957e3d9a,c496c3b280e95a24923b6b2576e8300f7af60a0c919edfcd64902b27b3b44adf,True,144460.92427590693,338764.76903032354,314090.37742934027,0.0,True,True
2016,0.046,46,v4p9p11p1_uniform_postpolish_max_fixed_lml,trust_lbfgsb__fixed_lattice_center,trust_lbfgsb,79.07988795128814,0.3836599093195682,2320.833228460584,13,13,3,direct_lbfgsb|powell_lbfgsb|trust_lbfgsb,direct_lbfgsb__archived|direct_lbfgsb__lattice_c1000_f0p1|direct_lbfgsb__lattice_c1000_f0p5|direct_lbfgsb__lattice_c1000_f0p9|direct_lbfgsb__lattice_c100_f0p1|direct_lbfgsb__lattice_c100_f0p5|direct_lbfgsb__v4p9p11_seed_2711|direct_lbfgsb__v4p9p11_seed_6043|direct_lbfgsb__v4p9p11_seed_9151|powell_lbfgsb__best_prior_source|powell_lbfgsb__card_initializer|trust_lbfgsb__best_prior_source|trust_lbfgsb__fixed_lattice_center,True,archived,684,46,638,36,5e2b1cffcc85217ab519fb10548e6566c1737c4165989188442e5083267cdf4e,6d5c0b61df5708d682ffa3864504e526a7280c994bc134c3718c17634d55e2c3,995b31cd59ea0856850e8bf7e46c5617ac9a2bd44daa8fcbc838042e7e03f8c6,True,True,0,,,2320.833228460584,0.0,0.0,6.860012770805898e-06,-6.265535537738547e-05,6.265535537738547e-05,True,True,2.8052227207808755e-10,4.121147867408581e-13,148b96f9051ff68eaaf91eb0fe49daa49901b1c3134d249f04567a564529a224,7c2159bf4fc982bbead7615f95e4b16ac21cda154bfc2f993b2a74429dfaedc5,True,168177.94288780395,369144.8476857699,354086.48820021,0.0,True,True
2016,0.047,47,v4p9p11p1_uniform_postpolish_max_fixed_lml,trust_lbfgsb__fixed_lattice_center,trust_lbfgsb,81.56019093896477,0.3860108302664244,2323.3980679074803,13,13,3,direct_lbfgsb|powell_lbfgsb|trust_lbfgsb,direct_lbfgsb__archived|direct_lbfgsb__lattice_c1000_f0p1|direct_lbfgsb__lattice_c1000_f0p5|direct_lbfgsb__lattice_c1000_f0p9|direct_lbfgsb__lattice_c100_f0p1|direct_lbfgsb__lattice_c100_f0p5|direct_lbfgsb__lattice_c100_f0p9|direct_lbfgsb__v4p9p11_seed_2711|direct_lbfgsb__v4p9p11_seed_6043|direct_lbfgsb__v4p9p11_seed_9151|powell_lbfgsb__card_initializer|trust_lbfgsb__best_prior_source|trust_lbfgsb__fixed_lattice_center,True,archived,684,50,634,36,01b1eb5c10f367f6059b83d3ee120a1b8beb3ca89c94512919148d8fd36e7004,95c89af440317d9cd7d53e90ac60a51225e75a757b4aefd8bb5e82b8b9930013,f761867a45052bcc6272eb04d36e28acae63305649322ebcc422b130c582679b,True,True,0,,,2323.3980679074803,0.0,0.0,0.0007816164019214469,-0.0008401648140870952,0.0008401648140870952,True,True,3.7834979593753815e-10,3.410605131648481e-13,b1e1f4f5156271a268403a111b4a265f7f097138c5f6c8c3b862d9d6d19e5981,0611e95e6b70e2a9a6cb7e1f7ee8af3dbd74af3c28cbd4cc8e2fa8181b55e35f,True,190748.3039128093,373076.7406131882,361128.565103831,0.0,True,True
2016,0.048,48,v4p9p11p1_uniform_postpolish_max_fixed_lml,direct_lbfgsb__lattice_c100_f0p1,direct_lbfgsb,82.44647548629506,0.3881156962180699,2325.704128747474,11,11,2,direct_lbfgsb|trust_lbfgsb,direct_lbfgsb__archived|direct_lbfgsb__lattice_c1000_f0p5|direct_lbfgsb__lattice_c1000_f0p9|direct_lbfgsb__lattice_c100_f0p1|direct_lbfgsb__lattice_c100_f0p5|direct_lbfgsb__lattice_c100_f0p9|direct_lbfgsb__v4p9p11_seed_2711|direct_lbfgsb__v4p9p11_seed_6043|direct_lbfgsb__v4p9p11_seed_9151|trust_lbfgsb__best_prior_source|trust_lbfgsb__fixed_lattice_center,True,v4p9p11_seed_9151,684,54,630,36,6c472030a9a02db200cce43beb41e0511cf63b4e0f1071c9bf37feeba4953378,68b066f10c578a7356adcb709af302163b2e92e9ce4a3cc1272afe58d06f21bc,0482388ca16c38f4ada29663444278ee3747bec84c409f5360c30e42445c10c3,True,True,0,,,2325.704128747474,0.0,0.0,-0.0001396639110611312,0.001409247055070807,0.001409247055070807,True,True,3.1650415621697903e-10,4.121147867408581e-13,0f12cdd82a633f19ceeefe25545d722b6b8fb4c7d3bccfa46ddb0a28521e7a54,5743ce9425c3c105c89fd1d02e17e6d21f7bc3a58352bb77afe16cd787b9aeed,True,212032.3917818624,377560.3151636137,366917.01157884696,0.0,True,True
