mass_MeV,observed_counts,smooth_truth_counts,truth_gp_variance,injected_signal_counts,background_m66,background_m71,background_m72
36.3125,4408.0,4440.495084177725,2628.5412480744244,0.0,4446.833766191167,4474.077666777155,4467.881212742814
36.9375,5420.0,5462.831013952035,1492.94651509039,0.0,5467.585919271137,5470.7643816471755,5469.83041937994
37.5625,6724.0,6731.731268403968,1227.2463191126421,0.0,6733.045409496903,6719.013406615568,6721.9909763292235
38.1875,8366.0,8321.65232331507,1415.080893007243,0.0,8318.462229878369,8294.515790909642,8299.923395210992
38.8125,10475.0,10324.84894636898,1767.25240498722,0.0,10316.99708758286,10290.379916058866,10296.684807257232
39.4375,12989.0,12853.234707129068,2129.754499682365,0.0,12841.534527194512,12818.968937442549,12824.670368648021
40.0625,15927.0,16039.450473110961,2466.9671426953855,0.0,16025.68423498055,16012.854854184892,16016.58802245327
40.6874999999999,19966.0,20036.51340103335,2831.6160753750983,0.0,20023.32082659933,20024.297511560606,20024.964125268147
41.3124999999999,25048.0,25015.417178909694,3324.507759047027,0.0,25006.02711961064,25022.68307872826,25019.600225512346
41.9374999999999,31071.0,31160.192145992227,4047.393589146401,0.0,31157.96672516079,31189.512170193477,31182.55606832384
42.5624999999999,38636.0,38660.23760885193,5058.533601616771,0.0,38668.040343076354,38710.83075158334,38700.539888041676
43.1875,47482.0,47700.19294823921,6346.5554457400585,0.0,47719.65330645051,47767.42454687725,47755.02225050724
43.8125,58354.0,58448.14704412309,7837.1775325401695,0.0,58478.95791091755,58523.576506677164,58510.88033071514
44.4375,71136.0,71043.47386393181,9435.601631513535,0.0,71082.90239618077,71115.60454750962,71104.80956645828
45.0625,85872.0,85585.88237279403,11088.232857265966,0.0,85628.6758813855,85641.63069411425,85634.98279511706
45.6875,101427.0,102127.26672798704,12831.335518351105,0.0,102166.08117323434,102153.99399943308,102153.40000109853
46.3125,121084.0,120667.59984076778,14793.421181654408,0.0,120693.97444220043,120655.38835150456,120662.03274351459
46.9375,141637.0,141155.48997881453,17137.903042824357,0.0,141161.261701988,141099.24426000778,141113.29011081145
47.5625,163282.0,163493.26078894534,19965.892496212673,0.0,163472.19240536285,163394.21035759093,163414.65045955844
48.1874999999999,187983.0,187545.70113599548,23228.422886236385,1.9031990590394015e-12,187495.02172200228,187411.9761644897,187436.67296921925
48.8125,212967.0,213151.12353136516,26704.285066772718,1.9031990590394016e-11,213072.67012993636,212997.2447980709,213023.1612756479
49.4375,240223.0,240133.15830376657,30075.008177270298,1.9031990590394014e-10,240033.86591580592,239978.4828533229,240002.06996482742
50.0624999999999,268367.0,268311.80146889953,33080.22875418106,1.757604331022887e-09,268203.39731537004,268178.1468593562,268195.8260738318
50.6874999999999,297706.0,297512.5609078965,35686.83985736713,1.4859226653450129e-08,297410.4495438417,297421.35551867663,297430.0206649957
51.3125,326867.0,327572.9970485021,38180.70930594816,1.1537763655614565e-07,327494.4493613167,327542.3556814985,327539.8205262718
51.9375,358042.0,358346.4259600694,41107.422738434485,8.22450344572346e-07,358308.28124574316,358388.52973947435,358373.8605644315
52.5625,389875.0,389702.9534733236,45048.21502773978,5.382530515623224e-06,389719.099883023,389822.03922339424,389795.73136378324
53.1875,422035.0,421528.29442834435,50298.30057718538,3.234092743472289e-05,421607.2095265018,421719.4525783338,421683.4367364044
53.8125,453500.0,453720.989015513,56586.088307810474,0.0001784066867507,453863.5996175931,453969.8575155242,453927.33988958475
54.4375,485436.0,486188.66956291697,63003.29284596461,0.0009035777986553,486386.7457728389,486472.0040782938,486427.1667958253
55.0625,518358.0,518843.99042171356,68288.36128159179,0.0042016394519683,519079.22590704303,519131.0122243663,519088.6084562826
55.6875,552063.0,551600.7352970489,71521.42975102825,0.017937989156728,551844.6001696436,551855.0944180989,551819.9833828702
